region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.189776
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.236151
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.314097
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.314191
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.339445
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.275583
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.206475
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.104040
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.093356
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.084779
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.088385
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.075284
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.073420
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.088454
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.177903
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.173555
(294,368)(175855,216859)(170000,220000)	chr01	195000	76	0.320689
(301,390)(183430,229717)(180000,230000)	chr01	205000	91	0.286515
(304,390)(193065,229717)(190000,240000)	chr01	215000	88	0.286620
(316,430)(202400,249999)(200000,250000)	chr01	225000	116	0.285168
(341,467)(215040,258347)(210000,260000)	chr01	235000	128	0.310980
(369,486)(224519,268043)(220000,270000)	chr01	245000	119	0.185260
(391,515)(241035,278351)(230000,280000)	chr01	255000	126	0.192282
(391,539)(241035,286093)(240000,290000)	chr01	265000	150	0.177625
(431,548)(250021,296664)(250000,300000)	chr01	275000	119	0.134113
(468,570)(267752,307842)(260000,310000)	chr01	285000	104	0.071225
(487,571)(270347,317230)(270000,320000)	chr01	295000	86	0.098617
(516,583)(281515,324273)(280000,330000)	chr01	305000	69	0.076105
(540,609)(291233,339583)(290000,340000)	chr01	315000	71	0.168085
(549,615)(303105,348196)(300000,350000)	chr01	325000	68	0.175420
(571,633)(317230,359771)(310000,360000)	chr01	335000	64	0.111211
(572,641)(322110,360805)(320000,370000)	chr01	345000	71	0.125336
(584,660)(334023,373127)(330000,380000)	chr01	355000	78	0.181041
(610,663)(342750,384275)(340000,390000)	chr01	365000	55	0.163394
(616,671)(356572,399618)(350000,400000)	chr01	375000	57	0.170926
(634,685)(360718,406909)(360000,410000)	chr01	385000	53	0.309229
(642,723)(371165,418272)(370000,420000)	chr01	395000	83	0.247091
(661,732)(384248,426178)(380000,430000)	chr01	405000	73	0.246459
(664,732)(399494,426178)(390000,440000)	chr01	415000	70	0.229032
(672,752)(405929,447446)(400000,450000)	chr01	425000	82	0.233555
(686,765)(412909,458510)(410000,460000)	chr01	435000	81	0.178341
(724,765)(422091,458510)(420000,470000)	chr01	445000	43	0.212719
(733,778)(440021,477626)(430000,480000)	chr01	455000	47	0.167988
(733,804)(440021,489540)(440000,490000)	chr01	465000	73	0.175055
(753,815)(458290,497075)(450000,500000)	chr01	475000	64	0.146957
(766,815)(472791,497075)(460000,510000)	chr01	485000	51	0.109930
(766,816)(472791,519445)(470000,520000)	chr01	495000	52	0.113161
(779,837)(482579,527912)(480000,530000)	chr01	505000	60	0.207734
(805,837)(490388,527912)(490000,540000)	chr01	515000	34	0.202269
(816,839)(519445,546039)(500000,550000)	chr01	525000	25	0.199645
(816,843)(519445,556579)(510000,560000)	chr01	535000	29	0.219162
(817,850)(520967,567617)(520000,570000)	chr01	545000	35	0.186078
(838,850)(546012,567617)(530000,580000)	chr01	555000	14	0.158449
(838,850)(546012,567617)(540000,590000)	chr01	565000	14	0.158449
(840,866)(553209,598747)(550000,600000)	chr01	575000	28	0.190349
(844,887)(567497,609080)(560000,610000)	chr01	585000	45	0.253146
(851,893)(598538,615712)(570000,620000)	chr01	595000	44	0.239462
(851,907)(598538,629014)(580000,630000)	chr01	605000	58	0.197107
(851,935)(598538,639995)(590000,640000)	chr01	615000	86	0.172250
(867,939)(608808,647580)(600000,650000)	chr01	625000	74	0.264516
(888,939)(615547,647580)(610000,660000)	chr01	635000	53	0.235365
(894,951)(622726,664539)(620000,670000)	chr01	645000	59	0.389885
(908,1018)(631986,679765)(630000,680000)	chr01	655000	112	0.567310
(936,1024)(640931,687635)(640000,690000)	chr01	665000	90	0.601926
(940,1027)(664341,699440)(650000,700000)	chr01	675000	89	0.593108
