region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.574291
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.555740
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.472266
(24,101)(66768,109295)(60000,110000)	chr01	85000	79	0.535232
(31,175)(72927,119227)(70000,120000)	chr01	95000	146	0.474595
(66,200)(99745,121372)(80000,130000)	chr01	105000	136	0.441014
(66,228)(99745,131673)(90000,140000)	chr01	115000	164	0.423202
(68,243)(101120,148599)(100000,150000)	chr01	125000	177	0.429091
(102,268)(112439,159252)(110000,160000)	chr01	135000	168	0.366502
(176,289)(121114,169571)(120000,170000)	chr01	145000	115	0.346222
(201,296)(130856,175991)(130000,180000)	chr01	155000	97	0.389800
(229,299)(146066,183449)(140000,190000)	chr01	165000	72	0.481494
(244,311)(155765,197658)(150000,200000)	chr01	175000	69	0.376911
(269,336)(165376,204116)(160000,210000)	chr01	185000	69	0.374947
(290,371)(175855,216859)(170000,220000)	chr01	195000	83	0.369333
(297,393)(183430,229717)(180000,230000)	chr01	205000	98	0.443194
(300,393)(193065,229717)(190000,240000)	chr01	215000	95	0.420359
(312,431)(202400,249999)(200000,250000)	chr01	225000	121	0.608447
(337,468)(214936,258347)(210000,260000)	chr01	235000	133	0.649260
(372,487)(224519,268043)(220000,270000)	chr01	245000	117	0.761145
(394,514)(241035,278351)(230000,280000)	chr01	255000	122	0.770613
(394,528)(241035,286071)(240000,290000)	chr01	265000	136	0.760731
(432,532)(250021,291347)(250000,300000)	chr01	275000	102	0.726632
(469,551)(267752,307842)(260000,310000)	chr01	285000	84	0.774637
(488,551)(270347,307842)(270000,320000)	chr01	295000	65	0.769641
(515,563)(284710,324273)(280000,330000)	chr01	305000	50	0.808987
(529,589)(291296,339583)(290000,340000)	chr01	315000	62	0.821474
(533,595)(303105,348196)(300000,350000)	chr01	325000	64	0.808999
(552,613)(322110,359771)(310000,360000)	chr01	335000	63	0.716903
(552,621)(322110,360805)(320000,370000)	chr01	345000	71	0.717722
(564,640)(334023,373127)(330000,380000)	chr01	355000	78	0.650390
(590,643)(342750,384275)(340000,390000)	chr01	365000	55	0.634141
(596,651)(356572,399618)(350000,400000)	chr01	375000	57	0.647313
(614,661)(360718,406909)(360000,410000)	chr01	385000	49	0.673515
(622,695)(371165,418272)(370000,420000)	chr01	395000	75	0.603037
(641,704)(384248,426178)(380000,430000)	chr01	405000	65	0.662234
(644,704)(399494,426178)(390000,440000)	chr01	415000	62	0.642964
(652,712)(405929,447272)(400000,450000)	chr01	425000	62	0.647615
(662,725)(413073,458510)(410000,460000)	chr01	435000	65	0.639057
(696,725)(422091,458510)(420000,470000)	chr01	445000	31	0.757752
(705,738)(447168,477626)(430000,480000)	chr01	455000	35	0.629043
(705,762)(447168,489540)(440000,490000)	chr01	465000	59	0.683315
(713,772)(458290,497021)(450000,500000)	chr01	475000	61	0.701424
(726,772)(472791,497021)(460000,510000)	chr01	485000	48	0.702826
(726,773)(472791,519445)(470000,520000)	chr01	495000	49	0.696062
(739,794)(484534,527912)(480000,530000)	chr01	505000	57	0.668118
(763,794)(490388,527912)(490000,540000)	chr01	515000	33	0.583584
(773,796)(519445,546039)(500000,550000)	chr01	525000	25	0.470909
(773,803)(519445,556579)(510000,560000)	chr01	535000	32	0.499644
(774,810)(520967,567617)(520000,570000)	chr01	545000	38	0.416788
(795,810)(546012,567617)(530000,580000)	chr01	555000	17	0.328182
(795,810)(546012,567617)(540000,590000)	chr01	565000	17	0.328182
(797,826)(553209,598747)(550000,600000)	chr01	575000	31	0.246641
(804,847)(567497,609080)(560000,610000)	chr01	585000	45	0.210463
(811,850)(598538,615712)(570000,620000)	chr01	595000	41	0.226936
(811,863)(598538,625368)(580000,630000)	chr01	605000	54	0.203885
(811,891)(598538,639995)(590000,640000)	chr01	615000	82	0.357768
(827,895)(608808,647580)(600000,650000)	chr01	625000	70	0.379694
(848,895)(615678,647580)(610000,660000)	chr01	635000	49	0.399958
(851,907)(622726,664539)(620000,670000)	chr01	645000	58	0.397021
(864,974)(631986,679765)(630000,680000)	chr01	655000	112	0.456211
(892,980)(640931,687635)(640000,690000)	chr01	665000	90	0.415932
(896,983)(664341,699440)(650000,700000)	chr01	675000	89	0.424549
(896,1005)(664341,705398)(660000,710000)	chr01	685000	111	0.422348
(908,1015)(670057,710536)(670000,720000)	chr01	695000	109	0.434168
(975,1050)(687435,726176)(680000,730000)	chr01	705000	77	0.446214
(981,1083)(699339,736121)(690000,740000)	chr01	715000	104	0.401043
(984,1089)(702035,749383)(700000,750000)	chr01	725000	107	0.396408
(1006,1092)(710398,754850)(710000,760000)	chr01	735000	88	0.406616
(1016,1128)(720265,768507)(720000,770000)	chr01	745000	114	0.515311
(1051,1135)(730423,774383)(730000,780000)	chr01	755000	86	0.523541
(1084,1136)(749258,780712)(740000,790000)	chr01	765000	54	0.614618
(1090,1136)(751549,780712)(750000,800000)	chr01	775000	48	0.629164
(1093,1140)(760149,800296)(760000,810000)	chr01	785000	49	0.644086
(1129,1170)(771638,819725)(770000,820000)	chr01	795000	43	0.753597
(1136,1172)(780712,824471)(780000,830000)	chr01	805000	38	0.769903
(1137,1225)(800261,839979)(790000,840000)	chr01	815000	90	0.768153
(1137,1226)(800261,849991)(800000,850000)	chr01	825000	91	0.766970
(1141,1233)(816740,855718)(810000,860000)	chr01	835000	94	0.775392
(1171,1236)(824403,860813)(820000,870000)	chr01	845000	67	0.762958
(1173,1242)(830052,877821)(830000,880000)	chr01	855000	71	0.755698
(1226,1250)(849991,888203)(840000,890000)	chr01	865000	26	0.763747
(1227,1256)(852666,898756)(850000,900000)	chr01	875000	31	0.760115
(1234,1281)(860727,909640)(860000,910000)	chr01	885000	49	0.693377
(1237,1311)(876147,916778)(870000,920000)	chr01	895000	76	0.618900
(1243,1338)(885386,929364)(880000,930000)	chr01	905000	97	0.521427
(1251,1342)(890743,936207)(890000,940000)	chr01	915000	93	0.456376
(1257,1375)(902874,949937)(900000,950000)	chr01	925000	120	0.654759
(1282,1388)(911188,952812)(910000,960000)	chr01	935000	108	0.624382
(1312,1396)(921481,969688)(920000,970000)	chr01	945000	86	0.648901
(1339,1446)(933153,979790)(930000,980000)	chr01	955000	109	0.747687
(1343,1466)(941192,981690)(940000,990000)	chr01	965000	125	0.752078
(1376,1482)(951051,994392)(950000,1000000)	chr01	975000	108	0.662387
(1389,1484)(964396,1007159)(960000,1010000)	chr01	985000	97	0.773745
(1397,1520)(972160,1019757)(970000,1020000)	chr01	995000	125	0.732840
(1447,1523)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.705517
(1467,1537)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.701345
(1483,1556)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.725668
(1485,1560)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.750192
(1521,1576)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.759500
(1524,1576)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.759645
(1538,1598)(1040190,1088668)(1040000,1090000)	chr01	1065000	62	0.842709
