region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.424253
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.390843
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.433629
(24,103)(66768,109295)(60000,110000)	chr01	85000	81	0.420958
(31,177)(72927,119227)(70000,120000)	chr01	95000	148	0.461034
(66,202)(99745,121372)(80000,130000)	chr01	105000	138	0.447655
(66,230)(99745,131673)(90000,140000)	chr01	115000	166	0.461562
(68,245)(101120,148599)(100000,150000)	chr01	125000	179	0.429990
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.446113
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.360033
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.401636
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.371801
(246,313)(155765,197658)(150000,200000)	chr01	175000	69	0.429960
(271,338)(165376,204116)(160000,210000)	chr01	185000	69	0.329973
(292,373)(175855,216859)(170000,220000)	chr01	195000	83	0.312617
(299,395)(183430,229717)(180000,230000)	chr01	205000	98	0.359644
(302,395)(193065,229717)(190000,240000)	chr01	215000	95	0.340796
(314,435)(202400,249999)(200000,250000)	chr01	225000	123	0.438032
(339,472)(214936,258347)(210000,260000)	chr01	235000	135	0.508680
(374,491)(224519,268043)(220000,270000)	chr01	245000	119	0.569857
(396,520)(241035,278351)(230000,280000)	chr01	255000	126	0.561301
(396,544)(241035,286093)(240000,290000)	chr01	265000	150	0.531429
(436,553)(250021,296664)(250000,300000)	chr01	275000	119	0.479264
(473,575)(267752,307842)(260000,310000)	chr01	285000	104	0.407211
(492,576)(270347,317230)(270000,320000)	chr01	295000	86	0.430964
(521,588)(281515,324273)(280000,330000)	chr01	305000	69	0.426383
(545,614)(291233,339583)(290000,340000)	chr01	315000	71	0.507247
(554,620)(303105,348196)(300000,350000)	chr01	325000	68	0.504429
(576,638)(317230,359771)(310000,360000)	chr01	335000	64	0.440682
(577,646)(322110,360805)(320000,370000)	chr01	345000	71	0.421546
(589,665)(334023,373127)(330000,380000)	chr01	355000	78	0.444154
(615,668)(342750,384275)(340000,390000)	chr01	365000	55	0.414467
(621,676)(356572,399618)(350000,400000)	chr01	375000	57	0.391404
(639,690)(360718,406909)(360000,410000)	chr01	385000	53	0.532417
(647,728)(371165,418272)(370000,420000)	chr01	395000	83	0.524078
(666,737)(384248,426178)(380000,430000)	chr01	405000	73	0.573812
(669,737)(399494,426178)(390000,440000)	chr01	415000	70	0.565317
(677,757)(405929,447446)(400000,450000)	chr01	425000	82	0.578059
(691,770)(412909,458510)(410000,460000)	chr01	435000	81	0.528832
(729,770)(422091,458510)(420000,470000)	chr01	445000	43	0.560890
(738,783)(440021,477626)(430000,480000)	chr01	455000	47	0.499869
(738,809)(440021,489540)(440000,490000)	chr01	465000	73	0.482772
(758,820)(458290,497075)(450000,500000)	chr01	475000	64	0.433806
(771,820)(472791,497075)(460000,510000)	chr01	485000	51	0.508242
(771,821)(472791,519445)(470000,520000)	chr01	495000	52	0.478220
(784,842)(482579,527912)(480000,530000)	chr01	505000	60	0.104505
(810,842)(490388,527912)(490000,540000)	chr01	515000	34	0.112873
(821,844)(519445,546039)(500000,550000)	chr01	525000	25	0.117024
(821,851)(519445,556579)(510000,560000)	chr01	535000	32	0.189685
(822,858)(520967,567617)(520000,570000)	chr01	545000	38	0.204793
(843,858)(546012,567617)(530000,580000)	chr01	555000	17	0.258427
(843,858)(546012,567617)(540000,590000)	chr01	565000	17	0.258427
(845,874)(553209,598747)(550000,600000)	chr01	575000	31	0.199478
(852,895)(567497,609080)(560000,610000)	chr01	585000	45	0.146865
(859,901)(598538,615712)(570000,620000)	chr01	595000	44	0.228149
(859,915)(598538,629014)(580000,630000)	chr01	605000	58	0.188983
(859,943)(598538,639995)(590000,640000)	chr01	615000	86	0.405103
(875,947)(608808,647580)(600000,650000)	chr01	625000	74	0.422537
(896,947)(615547,647580)(610000,660000)	chr01	635000	53	0.489630
(902,959)(622726,664539)(620000,670000)	chr01	645000	59	0.371962
(916,1026)(631986,679765)(630000,680000)	chr01	655000	112	0.279097
(944,1032)(640931,687635)(640000,690000)	chr01	665000	90	0.113474
(948,1035)(664341,699440)(650000,700000)	chr01	675000	89	0.118124
(948,1057)(664341,705398)(660000,710000)	chr01	685000	111	0.114216
(960,1067)(670057,710536)(670000,720000)	chr01	695000	109	0.139046
(1027,1102)(687435,726176)(680000,730000)	chr01	705000	77	0.257599
(1033,1135)(699339,736121)(690000,740000)	chr01	715000	104	0.195872
(1036,1141)(702035,749383)(700000,750000)	chr01	725000	107	0.196258
(1058,1144)(710398,754850)(710000,760000)	chr01	735000	88	0.209347
(1068,1184)(720265,768507)(720000,770000)	chr01	745000	118	0.378196
(1103,1191)(730423,774383)(730000,780000)	chr01	755000	90	0.400954
(1136,1192)(749258,780712)(740000,790000)	chr01	765000	58	0.567138
(1142,1192)(751549,780712)(750000,800000)	chr01	775000	52	0.585423
(1145,1196)(760149,800296)(760000,810000)	chr01	785000	53	0.621008
(1185,1226)(771638,819725)(770000,820000)	chr01	795000	43	0.621160
(1192,1228)(780712,824471)(780000,830000)	chr01	805000	38	0.640144
(1193,1282)(800261,839979)(790000,840000)	chr01	815000	91	0.621931
(1193,1283)(800261,849991)(800000,850000)	chr01	825000	92	0.621868
(1197,1290)(816740,855718)(810000,860000)	chr01	835000	95	0.615836
(1227,1293)(824403,860813)(820000,870000)	chr01	845000	68	0.604368
(1229,1299)(830052,877821)(830000,880000)	chr01	855000	72	0.604870
(1283,1311)(849991,888203)(840000,890000)	chr01	865000	30	0.608626
(1284,1326)(852666,898885)(850000,900000)	chr01	875000	44	0.728813
(1291,1351)(860727,909640)(860000,910000)	chr01	885000	62	0.758044
(1294,1381)(876147,916778)(870000,920000)	chr01	895000	89	0.641531
(1300,1408)(881512,929364)(880000,930000)	chr01	905000	110	0.547004
(1312,1412)(890743,936207)(890000,940000)	chr01	915000	102	0.516475
(1327,1445)(902874,949937)(900000,950000)	chr01	925000	120	0.461036
(1352,1458)(911188,952812)(910000,960000)	chr01	935000	108	0.424527
(1382,1466)(921481,969688)(920000,970000)	chr01	945000	86	0.494456
(1409,1516)(933153,979790)(930000,980000)	chr01	955000	109	0.677491
(1413,1536)(941192,981690)(940000,990000)	chr01	965000	125	0.721561
(1446,1552)(951051,994392)(950000,1000000)	chr01	975000	108	0.830709
(1459,1554)(964396,1007159)(960000,1010000)	chr01	985000	97	0.862508
