region	chr	midPos	Nsites
(5,41)(34877,75784)(30000,80000)	chr01	55000	38	0.643243
(6,41)(40565,75784)(40000,90000)	chr01	65000	37	0.614932
(20,43)(72990,99748)(50000,100000)	chr01	75000	25	0.595499
(20,76)(72990,109295)(60000,110000)	chr01	85000	58	0.529640
(20,147)(72990,119227)(70000,120000)	chr01	95000	129	0.768781
(42,172)(99745,121372)(80000,130000)	chr01	105000	132	0.809620
(42,200)(99745,131673)(90000,140000)	chr01	115000	160	0.814038
(44,215)(101120,148599)(100000,150000)	chr01	125000	173	0.812724
(77,240)(112439,159252)(110000,160000)	chr01	135000	165	0.838578
(148,261)(121114,169571)(120000,170000)	chr01	145000	115	0.806531
(173,268)(130856,175991)(130000,180000)	chr01	155000	97	0.785316
(201,271)(146066,183449)(140000,190000)	chr01	165000	72	0.764662
(216,283)(155765,197658)(150000,200000)	chr01	175000	69	0.754684
(241,308)(165376,204116)(160000,210000)	chr01	185000	69	0.704012
(262,343)(175855,216859)(170000,220000)	chr01	195000	83	0.805905
(269,363)(183430,229717)(180000,230000)	chr01	205000	96	0.802772
(272,363)(193065,229717)(190000,240000)	chr01	215000	93	0.808307
(284,401)(202400,249999)(200000,250000)	chr01	225000	119	0.867149
(309,435)(214936,257492)(210000,260000)	chr01	235000	128	0.910162
(344,451)(224519,268043)(220000,270000)	chr01	245000	109	0.827652
(364,465)(241035,278259)(230000,280000)	chr01	255000	103	0.798016
(364,475)(241035,285977)(240000,290000)	chr01	265000	113	0.788334
(402,475)(250021,285977)(250000,300000)	chr01	275000	75	0.676295
(436,490)(267752,305489)(260000,310000)	chr01	285000	56	0.598303
(452,490)(270347,305489)(270000,320000)	chr01	295000	40	0.719562
(466,495)(284735,323234)(280000,330000)	chr01	305000	31	0.814458
(476,510)(303105,339583)(290000,340000)	chr01	315000	36	0.793989
(476,515)(303105,348196)(300000,350000)	chr01	325000	41	0.819514
(491,533)(322110,359771)(310000,360000)	chr01	335000	44	0.584385
(491,541)(322110,360805)(320000,370000)	chr01	345000	52	0.562463
(496,560)(334023,373127)(330000,380000)	chr01	355000	66	0.561532
(511,563)(342750,384275)(340000,390000)	chr01	365000	54	0.558525
(516,571)(356572,399618)(350000,400000)	chr01	375000	57	0.449613
(534,585)(360718,406909)(360000,410000)	chr01	385000	53	0.700851
(542,623)(371165,418272)(370000,420000)	chr01	395000	83	0.611096
(561,632)(384248,426178)(380000,430000)	chr01	405000	73	0.625268
(564,632)(399494,426178)(390000,440000)	chr01	415000	70	0.589144
(572,648)(405929,447272)(400000,450000)	chr01	425000	78	0.717099
(586,661)(412909,458510)(410000,460000)	chr01	435000	77	0.729054
(624,661)(422091,458510)(420000,470000)	chr01	445000	39	0.848377
(633,674)(440021,477626)(430000,480000)	chr01	455000	43	0.820375
(633,700)(440021,489540)(440000,490000)	chr01	465000	69	0.760860
(649,711)(458290,497075)(450000,500000)	chr01	475000	64	0.716529
(662,711)(472791,497075)(460000,510000)	chr01	485000	51	0.642733
(662,712)(472791,519445)(470000,520000)	chr01	495000	52	0.642733
(675,733)(482579,527912)(480000,530000)	chr01	505000	60	0.638218
(701,733)(490388,527912)(490000,540000)	chr01	515000	34	0.685132
(712,735)(519445,546039)(500000,550000)	chr01	525000	25	0.707228
(712,742)(519445,556579)(510000,560000)	chr01	535000	32	0.650658
(713,749)(520967,567617)(520000,570000)	chr01	545000	38	0.596858
(734,749)(546012,567617)(530000,580000)	chr01	555000	17	0.470129
(734,749)(546012,567617)(540000,590000)	chr01	565000	17	0.470129
(736,765)(553209,598747)(550000,600000)	chr01	575000	31	0.233332
(743,786)(567497,609080)(560000,610000)	chr01	585000	45	0.438364
(750,791)(598538,615712)(570000,620000)	chr01	595000	43	0.477111
(750,800)(598538,622801)(580000,630000)	chr01	605000	52	0.521885
(750,822)(598538,639995)(590000,640000)	chr01	615000	74	0.583949
(766,826)(608808,647580)(600000,650000)	chr01	625000	62	0.663485
(787,826)(615625,647580)(610000,660000)	chr01	635000	41	0.633388
(792,838)(622726,664539)(620000,670000)	chr01	645000	48	0.560995
(801,905)(631986,679765)(630000,680000)	chr01	655000	106	0.473875
(823,911)(640931,687635)(640000,690000)	chr01	665000	90	0.456971
(827,914)(664341,699440)(650000,700000)	chr01	675000	89	0.489142
(827,918)(664341,702132)(660000,710000)	chr01	685000	93	0.532420
(839,928)(670057,710536)(670000,720000)	chr01	695000	91	0.662622
(906,957)(687435,726075)(680000,730000)	chr01	705000	53	0.860026
(912,990)(699339,736121)(690000,740000)	chr01	715000	80	0.752526
(915,996)(702035,749383)(700000,750000)	chr01	725000	83	0.743208
(919,999)(710398,754850)(710000,760000)	chr01	735000	82	0.715207
(929,1008)(720265,768507)(720000,770000)	chr01	745000	81	0.540503
(958,1013)(730423,774383)(730000,780000)	chr01	755000	57	0.543326
