region	chr	midPos	Nsites
(2,21)(27510,49086)(10000,60000)	chr01	35000	21	0.770184
(2,21)(27510,49086)(20000,70000)	chr01	45000	21	0.770184
(7,43)(34877,75784)(30000,80000)	chr01	55000	38	0.681511
(8,43)(40565,75784)(40000,90000)	chr01	65000	37	0.655524
(22,45)(72990,99748)(50000,100000)	chr01	75000	25	0.655494
(22,81)(72990,109295)(60000,110000)	chr01	85000	61	0.492460
(22,152)(72990,119227)(70000,120000)	chr01	95000	132	0.703905
(44,177)(99745,121372)(80000,130000)	chr01	105000	135	0.722040
(44,205)(99745,131673)(90000,140000)	chr01	115000	163	0.726233
(46,220)(101120,148599)(100000,150000)	chr01	125000	176	0.719127
(82,245)(112439,159252)(110000,160000)	chr01	135000	165	0.778952
(153,266)(121114,169571)(120000,170000)	chr01	145000	115	0.743878
(178,273)(130856,175991)(130000,180000)	chr01	155000	97	0.719693
(206,276)(146066,183449)(140000,190000)	chr01	165000	72	0.705369
(221,288)(155765,197658)(150000,200000)	chr01	175000	69	0.673674
(246,313)(165376,204116)(160000,210000)	chr01	185000	69	0.557133
(267,341)(175855,216859)(170000,220000)	chr01	195000	76	0.489432
(274,363)(183430,229717)(180000,230000)	chr01	205000	91	0.504000
(277,363)(193065,229717)(190000,240000)	chr01	215000	88	0.510066
(289,403)(202400,249999)(200000,250000)	chr01	225000	116	0.523618
(314,437)(215040,257492)(210000,260000)	chr01	235000	125	0.596080
(342,453)(224519,268043)(220000,270000)	chr01	245000	113	0.543944
(364,467)(241035,278259)(230000,280000)	chr01	255000	105	0.517496
(364,477)(241035,285977)(240000,290000)	chr01	265000	115	0.518334
(404,477)(250021,285977)(250000,300000)	chr01	275000	75	0.533946
(438,492)(267752,305489)(260000,310000)	chr01	285000	56	0.622773
(454,492)(270347,305489)(270000,320000)	chr01	295000	40	0.740738
(468,497)(284735,323234)(280000,330000)	chr01	305000	31	0.817631
(478,512)(303105,339583)(290000,340000)	chr01	315000	36	0.794780
(478,517)(303105,348196)(300000,350000)	chr01	325000	41	0.809409
(493,535)(322110,359771)(310000,360000)	chr01	335000	44	0.553223
(493,543)(322110,360805)(320000,370000)	chr01	345000	52	0.551853
(498,562)(334023,373127)(330000,380000)	chr01	355000	66	0.520059
(513,565)(342750,384275)(340000,390000)	chr01	365000	54	0.463373
(518,573)(356572,399618)(350000,400000)	chr01	375000	57	0.327017
(536,587)(360718,406909)(360000,410000)	chr01	385000	53	0.537273
(544,625)(371165,418272)(370000,420000)	chr01	395000	83	0.457863
(563,634)(384248,426178)(380000,430000)	chr01	405000	73	0.528962
(566,634)(399494,426178)(390000,440000)	chr01	415000	70	0.515228
(574,650)(405929,447272)(400000,450000)	chr01	425000	78	0.601453
(588,663)(412909,458510)(410000,460000)	chr01	435000	77	0.649562
(626,663)(422091,458510)(420000,470000)	chr01	445000	39	0.745515
(635,676)(440021,477626)(430000,480000)	chr01	455000	43	0.660870
(635,702)(440021,489540)(440000,490000)	chr01	465000	69	0.645611
(651,713)(458290,497075)(450000,500000)	chr01	475000	64	0.629439
(664,713)(472791,497075)(460000,510000)	chr01	485000	51	0.539796
(664,714)(472791,519445)(470000,520000)	chr01	495000	52	0.539796
(677,735)(482579,527912)(480000,530000)	chr01	505000	60	0.596133
(703,735)(490388,527912)(490000,540000)	chr01	515000	34	0.592525
(714,737)(519445,546039)(500000,550000)	chr01	525000	25	0.612683
(714,741)(519445,556579)(510000,560000)	chr01	535000	29	0.602424
(715,748)(520967,567617)(520000,570000)	chr01	545000	35	0.525670
(736,748)(546012,567617)(530000,580000)	chr01	555000	14	0.459528
(736,748)(546012,567617)(540000,590000)	chr01	565000	14	0.459528
(738,764)(553209,598747)(550000,600000)	chr01	575000	28	0.393321
(742,785)(567497,609080)(560000,610000)	chr01	585000	45	0.629732
(749,790)(598538,615712)(570000,620000)	chr01	595000	43	0.680918
(749,799)(598538,622801)(580000,630000)	chr01	605000	52	0.686092
(749,827)(598538,639995)(590000,640000)	chr01	615000	80	0.643846
(765,831)(608808,647580)(600000,650000)	chr01	625000	68	0.647139
(786,831)(615625,647580)(610000,660000)	chr01	635000	47	0.543864
(791,843)(622726,664539)(620000,670000)	chr01	645000	54	0.558741
(800,910)(631986,679765)(630000,680000)	chr01	655000	112	0.544877
(828,916)(640931,687635)(640000,690000)	chr01	665000	90	0.542706
(832,919)(664341,699440)(650000,700000)	chr01	675000	89	0.560514
(832,926)(664341,702232)(660000,710000)	chr01	685000	96	0.628076
(844,936)(670057,710536)(670000,720000)	chr01	695000	94	0.712635
(911,971)(687435,726176)(680000,730000)	chr01	705000	62	0.744987
(917,1004)(699339,736121)(690000,740000)	chr01	715000	89	0.607604
(920,1010)(702035,749383)(700000,750000)	chr01	725000	92	0.598834
(927,1013)(710398,754850)(710000,760000)	chr01	735000	88	0.534893
(937,1051)(720265,768507)(720000,770000)	chr01	745000	116	0.650967
(972,1056)(730423,774383)(730000,780000)	chr01	755000	86	0.666189
(1005,1057)(749258,780712)(740000,790000)	chr01	765000	54	0.794261
(1011,1057)(751549,780712)(750000,800000)	chr01	775000	48	0.814285
(1014,1061)(760149,800296)(760000,810000)	chr01	785000	49	0.797966
(1052,1091)(774173,819725)(770000,820000)	chr01	795000	41	0.331583
(1057,1093)(780712,824471)(780000,830000)	chr01	805000	38	0.213538
(1058,1144)(800261,839864)(790000,840000)	chr01	815000	88	0.555197
(1058,1145)(800261,849991)(800000,850000)	chr01	825000	89	0.555105
(1062,1150)(816740,852734)(810000,860000)	chr01	835000	90	0.568464
(1092,1153)(824403,860813)(820000,870000)	chr01	845000	63	0.600373
(1094,1159)(830052,877821)(830000,880000)	chr01	855000	67	0.631360
(1145,1171)(849991,888203)(840000,890000)	chr01	865000	28	0.635694
(1146,1186)(852666,898885)(850000,900000)	chr01	875000	42	0.656094
(1151,1202)(860727,908031)(860000,910000)	chr01	885000	53	0.633877
(1154,1232)(876147,916778)(870000,920000)	chr01	895000	80	0.482123
(1160,1259)(881512,929364)(880000,930000)	chr01	905000	101	0.401657
(1172,1263)(890743,936207)(890000,940000)	chr01	915000	93	0.359453
(1187,1296)(902874,949937)(900000,950000)	chr01	925000	111	0.581626
(1203,1309)(911188,952812)(910000,960000)	chr01	935000	108	0.615269
(1233,1317)(921481,969688)(920000,970000)	chr01	945000	86	0.687063
(1260,1365)(933153,979790)(930000,980000)	chr01	955000	107	0.704667
(1264,1385)(941192,981690)(940000,990000)	chr01	965000	123	0.798286
(1297,1401)(951051,994392)(950000,1000000)	chr01	975000	106	0.755729
