region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.756936
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.648672
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.555473
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.534364
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.465522
(26,103)(66768,109295)(60000,110000)	chr01	85000	79	0.496304
(33,177)(72927,119227)(70000,120000)	chr01	95000	146	0.537943
(68,202)(99745,121372)(80000,130000)	chr01	105000	136	0.552053
(68,230)(99745,131673)(90000,140000)	chr01	115000	164	0.537924
(70,245)(101120,148599)(100000,150000)	chr01	125000	177	0.502058
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.589553
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.685378
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.701133
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.749914
(246,308)(155765,197658)(150000,200000)	chr01	175000	64	0.788647
(271,333)(165376,204116)(160000,210000)	chr01	185000	64	0.771432
(292,368)(175855,216859)(170000,220000)	chr01	195000	78	0.685299
(299,390)(183430,229717)(180000,230000)	chr01	205000	93	0.663887
(302,390)(195626,229717)(190000,240000)	chr01	215000	90	0.643378
(309,428)(202400,249999)(200000,250000)	chr01	225000	121	0.706366
(334,465)(214936,258347)(210000,260000)	chr01	235000	133	0.704992
(369,484)(224519,268043)(220000,270000)	chr01	245000	117	0.661523
(391,513)(241035,278351)(230000,280000)	chr01	255000	124	0.651576
(391,537)(241035,286093)(240000,290000)	chr01	265000	148	0.619918
(429,546)(250021,296664)(250000,300000)	chr01	275000	119	0.487424
(466,568)(267752,307842)(260000,310000)	chr01	285000	104	0.392540
(485,569)(270347,317230)(270000,320000)	chr01	295000	86	0.460757
(514,581)(281515,324273)(280000,330000)	chr01	305000	69	0.481405
(538,607)(291233,339583)(290000,340000)	chr01	315000	71	0.623772
(547,613)(303105,348196)(300000,350000)	chr01	325000	68	0.610113
(569,631)(317230,359771)(310000,360000)	chr01	335000	64	0.717450
(570,639)(322110,360805)(320000,370000)	chr01	345000	71	0.706832
(582,658)(334023,373127)(330000,380000)	chr01	355000	78	0.750603
(608,658)(342750,373127)(340000,390000)	chr01	365000	52	0.740136
(614,666)(356572,399618)(350000,400000)	chr01	375000	54	0.709245
(632,679)(360718,406783)(360000,410000)	chr01	385000	49	0.762706
(640,706)(371165,418272)(370000,420000)	chr01	395000	68	0.707878
(659,715)(399494,426178)(380000,430000)	chr01	405000	58	0.701679
(659,715)(399494,426178)(390000,440000)	chr01	415000	58	0.701679
(667,717)(405929,447272)(400000,450000)	chr01	425000	52	0.722237
(680,717)(413073,447272)(410000,460000)	chr01	435000	39	0.637767
(707,717)(422091,447272)(420000,470000)	chr01	445000	12	0.702769
(716,730)(447245,477626)(430000,480000)	chr01	455000	16	0.337314
(716,751)(447245,489386)(440000,490000)	chr01	465000	37	0.720461
(718,762)(472791,497075)(450000,500000)	chr01	475000	46	0.761802
(718,762)(472791,497075)(460000,510000)	chr01	485000	46	0.761802
(718,763)(472791,519445)(470000,520000)	chr01	495000	47	0.746513
(731,775)(482579,525090)(480000,530000)	chr01	505000	46	0.855794
(752,775)(490388,525090)(490000,540000)	chr01	515000	25	0.809409
(763,777)(519445,546039)(500000,550000)	chr01	525000	16	0.782745
(763,778)(519445,556579)(510000,560000)	chr01	535000	17	0.781972
(764,785)(520967,567617)(520000,570000)	chr01	545000	23	0.720239
(776,785)(546012,567617)(530000,580000)	chr01	555000	11	0.300800
(776,785)(546012,567617)(540000,590000)	chr01	565000	11	0.300800
(778,801)(556579,598747)(550000,600000)	chr01	575000	25	0.229291
(779,822)(567497,609080)(560000,610000)	chr01	585000	45	0.365965
(786,827)(598538,615712)(570000,620000)	chr01	595000	43	0.523174
(786,841)(598538,629014)(580000,630000)	chr01	605000	57	0.408336
(786,863)(598538,639995)(590000,640000)	chr01	615000	79	0.353885
(802,867)(608808,647580)(600000,650000)	chr01	625000	67	0.362143
(823,867)(615625,647580)(610000,660000)	chr01	635000	46	0.315882
(828,879)(622726,664539)(620000,670000)	chr01	645000	53	0.277121
(842,946)(631986,679765)(630000,680000)	chr01	655000	106	0.376759
(864,952)(640931,687635)(640000,690000)	chr01	665000	90	0.399310
(868,955)(664341,699440)(650000,700000)	chr01	675000	89	0.413804
(868,977)(664341,705398)(660000,710000)	chr01	685000	111	0.390672
(880,987)(670057,710536)(670000,720000)	chr01	695000	109	0.384580
(947,1022)(687435,726176)(680000,730000)	chr01	705000	77	0.330667
(953,1055)(699339,736121)(690000,740000)	chr01	715000	104	0.275989
(956,1061)(702035,749383)(700000,750000)	chr01	725000	107	0.236377
(978,1063)(710398,751567)(710000,760000)	chr01	735000	87	0.243315
(988,1101)(720265,768507)(720000,770000)	chr01	745000	115	0.269256
(1023,1106)(730423,774383)(730000,780000)	chr01	755000	85	0.273014
(1056,1107)(749258,780712)(740000,790000)	chr01	765000	53	0.299400
(1062,1107)(751549,780712)(750000,800000)	chr01	775000	47	0.312442
(1064,1111)(760149,800296)(760000,810000)	chr01	785000	49	0.309379
(1102,1141)(774173,819725)(770000,820000)	chr01	795000	41	0.381006
(1107,1143)(780712,824471)(780000,830000)	chr01	805000	38	0.362751
(1108,1197)(800261,839979)(790000,840000)	chr01	815000	91	0.382052
(1108,1198)(800261,849991)(800000,850000)	chr01	825000	92	0.381739
(1112,1205)(816740,855718)(810000,860000)	chr01	835000	95	0.463794
(1142,1208)(824403,860813)(820000,870000)	chr01	845000	68	0.503065
(1144,1214)(830052,877821)(830000,880000)	chr01	855000	72	0.497076
(1198,1224)(849991,888203)(840000,890000)	chr01	865000	28	0.698068
(1199,1225)(852666,898756)(850000,900000)	chr01	875000	28	0.701014
(1206,1250)(860727,909640)(860000,910000)	chr01	885000	46	0.531037
(1209,1280)(876147,916778)(870000,920000)	chr01	895000	73	0.375113
(1215,1307)(885300,929364)(880000,930000)	chr01	905000	94	0.316810
(1225,1311)(898756,936207)(890000,940000)	chr01	915000	88	0.224593
(1226,1344)(902874,949937)(900000,950000)	chr01	925000	120	0.279959
(1251,1357)(911188,952812)(910000,960000)	chr01	935000	108	0.280696
(1281,1362)(921481,969688)(920000,970000)	chr01	945000	83	0.393735
(1308,1387)(933153,979790)(930000,980000)	chr01	955000	81	0.588152
(1312,1407)(941192,981690)(940000,990000)	chr01	965000	97	0.663925
(1345,1423)(951051,994392)(950000,1000000)	chr01	975000	80	0.730531
(1358,1425)(964396,1007159)(960000,1010000)	chr01	985000	69	0.779277
(1363,1461)(972160,1019757)(970000,1020000)	chr01	995000	100	0.708354
(1388,1464)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.679373
(1408,1478)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.631042
(1424,1497)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.645793
(1426,1498)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.655319
(1462,1514)(1023745,1067383)(1020000,1070000)	chr01	1045000	54	0.736809
(1465,1514)(1030079,1067383)(1030000,1080000)	chr01	1055000	51	0.743565
(1479,1537)(1040190,1088668)(1040000,1090000)	chr01	1065000	60	0.756230
