region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.350907
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.287608
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.295888
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.295955
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.277679
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.222260
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.172360
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.058893
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.063748
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.088401
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.112151
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.165460
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.157674
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.180087
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.272783
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.224966
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.258150
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.264326
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.262958
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.205726
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.221598
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.123762
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.111991
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.106876
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.088803
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.049243
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.077361
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.068918
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.061621
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.072272
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.058978
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.068427
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.053868
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.045794
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.021352
(641,692)(360718,406909)(360000,410000)	chr01	385000	53	0.023396
(649,730)(371165,418272)(370000,420000)	chr01	395000	83	0.064617
(668,739)(384248,426178)(380000,430000)	chr01	405000	73	0.066609
(671,739)(399494,426178)(390000,440000)	chr01	415000	70	0.074764
(679,759)(405929,447446)(400000,450000)	chr01	425000	82	0.047069
(693,772)(412909,458510)(410000,460000)	chr01	435000	81	0.052950
(731,772)(422091,458510)(420000,470000)	chr01	445000	43	0.020943
(740,785)(440021,477626)(430000,480000)	chr01	455000	47	0.078975
(740,811)(440021,489540)(440000,490000)	chr01	465000	73	0.077934
(760,822)(458290,497075)(450000,500000)	chr01	475000	64	0.157276
(773,822)(472791,497075)(460000,510000)	chr01	485000	51	0.197314
(773,823)(472791,519445)(470000,520000)	chr01	495000	52	0.195448
(786,844)(482579,527912)(480000,530000)	chr01	505000	60	0.093842
(812,844)(490388,527912)(490000,540000)	chr01	515000	34	0.099264
(823,846)(519445,546039)(500000,550000)	chr01	525000	25	0.070835
(823,853)(519445,556579)(510000,560000)	chr01	535000	32	0.255186
(824,860)(520967,567617)(520000,570000)	chr01	545000	38	0.240078
(845,860)(546012,567617)(530000,580000)	chr01	555000	17	0.393637
(845,860)(546012,567617)(540000,590000)	chr01	565000	17	0.393637
(847,876)(553209,598747)(550000,600000)	chr01	575000	31	0.292650
(854,897)(567497,609080)(560000,610000)	chr01	585000	45	0.063719
(861,903)(598538,615712)(570000,620000)	chr01	595000	44	0.046136
(861,917)(598538,629014)(580000,630000)	chr01	605000	58	0.037495
(861,945)(598538,639995)(590000,640000)	chr01	615000	86	0.046587
(877,949)(608808,647580)(600000,650000)	chr01	625000	74	0.082876
(898,949)(615547,647580)(610000,660000)	chr01	635000	53	0.097225
(904,961)(622726,664539)(620000,670000)	chr01	645000	59	0.072544
(918,1028)(631986,679765)(630000,680000)	chr01	655000	112	0.044341
(946,1034)(640931,687635)(640000,690000)	chr01	665000	90	0.038147
(950,1037)(664341,699440)(650000,700000)	chr01	675000	89	0.013432
(950,1051)(664341,705398)(660000,710000)	chr01	685000	103	0.039733
(962,1061)(670057,710536)(670000,720000)	chr01	695000	101	0.204071
(1029,1096)(687435,726176)(680000,730000)	chr01	705000	69	0.414599
(1035,1129)(699339,736121)(690000,740000)	chr01	715000	96	0.341056
(1038,1135)(702035,749383)(700000,750000)	chr01	725000	99	0.340655
(1052,1138)(710398,754850)(710000,760000)	chr01	735000	88	0.337630
(1062,1178)(720265,768507)(720000,770000)	chr01	745000	118	0.190409
(1097,1185)(730423,774383)(730000,780000)	chr01	755000	90	0.190192
(1130,1186)(749258,780712)(740000,790000)	chr01	765000	58	0.248432
(1136,1186)(751549,780712)(750000,800000)	chr01	775000	52	0.245105
(1139,1190)(760149,800296)(760000,810000)	chr01	785000	53	0.281879
(1179,1220)(771638,819725)(770000,820000)	chr01	795000	43	0.227324
(1186,1222)(780712,824471)(780000,830000)	chr01	805000	38	0.245982
(1187,1276)(800261,839979)(790000,840000)	chr01	815000	91	0.208117
(1187,1277)(800261,849991)(800000,850000)	chr01	825000	92	0.207736
(1191,1282)(816740,852734)(810000,860000)	chr01	835000	93	0.196615
(1221,1285)(824403,860813)(820000,870000)	chr01	845000	66	0.185744
(1223,1291)(830052,877821)(830000,880000)	chr01	855000	70	0.209449
(1277,1303)(849991,888203)(840000,890000)	chr01	865000	28	0.408275
(1278,1318)(852666,898885)(850000,900000)	chr01	875000	42	0.525235
(1283,1343)(860727,909640)(860000,910000)	chr01	885000	62	0.501319
(1286,1373)(876147,916778)(870000,920000)	chr01	895000	89	0.297742
(1292,1400)(881512,929364)(880000,930000)	chr01	905000	110	0.245969
(1304,1404)(890743,936207)(890000,940000)	chr01	915000	102	0.214884
(1319,1437)(902874,949937)(900000,950000)	chr01	925000	120	0.147554
(1344,1450)(911188,952812)(910000,960000)	chr01	935000	108	0.139993
(1374,1458)(921481,969688)(920000,970000)	chr01	945000	86	0.150804
(1401,1508)(933153,979790)(930000,980000)	chr01	955000	109	0.116706
(1405,1528)(941192,981690)(940000,990000)	chr01	965000	125	0.107635
(1438,1544)(951051,994392)(950000,1000000)	chr01	975000	108	0.069029
(1451,1546)(964396,1007159)(960000,1010000)	chr01	985000	97	0.053391
(1459,1582)(972160,1019757)(970000,1020000)	chr01	995000	125	0.043717
(1509,1585)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.016879
(1529,1599)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.018442
(1545,1618)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.048253
(1547,1622)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.045999
(1583,1638)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.108385
(1586,1638)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.115710
(1600,1661)(1040190,1088668)(1040000,1090000)	chr01	1065000	63	0.122969
(1619,1661)(1059222,1088668)(1050000,1100000)	chr01	1075000	44	0.110701
(1623,1666)(1060081,1106471)(1060000,1110000)	chr01	1085000	45	0.119509
(1639,1680)(1080464,1118148)(1070000,1120000)	chr01	1095000	43	0.110388
(1639,1692)(1080464,1129684)(1080000,1130000)	chr01	1105000	55	0.106116
(1662,1723)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.159655
(1662,1744)(1106311,1148852)(1100000,1150000)	chr01	1125000	84	0.176369
(1667,1746)(1110213,1156484)(1110000,1160000)	chr01	1135000	81	0.170337
(1681,1774)(1125674,1169984)(1120000,1170000)	chr01	1145000	95	0.125856
(1693,1781)(1131938,1175775)(1130000,1180000)	chr01	1155000	90	0.122162
(1724,1785)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.092264
(1745,1792)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.033423
(1747,1800)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.076769
(1775,1814)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.142348
(1782,1814)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.161519
(1786,1833)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.114457
(1793,1841)(1202564,1248625)(1200000,1250000)	chr01	1225000	50	0.138954
(1801,1841)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.117078
(1815,1846)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.114548
(1815,1852)(1230664,1271087)(1230000,1280000)	chr01	1255000	39	0.087121
(1834,1867)(1242138,1287173)(1240000,1290000)	chr01	1265000	35	0.170518
(1842,1870)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.156981
(1842,1913)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.193341
(1847,1921)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.217326
(1853,1930)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.244804
(1868,1954)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.207900
(1871,1989)(1306965,1348194)(1300000,1350000)	chr01	1325000	120	0.217008
(1914,1993)(1311649,1355827)(1310000,1360000)	chr01	1335000	81	0.215041
(1922,2005)(1326979,1369999)(1320000,1370000)	chr01	1345000	85	0.185083
(1931,2030)(1330096,1376926)(1330000,1380000)	chr01	1355000	101	0.167506
(1955,2032)(1340379,1380434)(1340000,1390000)	chr01	1365000	79	0.165476
