region	chr	midPos	Nsites
(5,41)(34877,75784)(30000,80000)	chr01	55000	38	0.639419
(6,41)(40565,75784)(40000,90000)	chr01	65000	37	0.638717
(20,43)(72990,99748)(50000,100000)	chr01	75000	25	0.567357
(20,79)(72990,109295)(60000,110000)	chr01	85000	61	0.424079
(20,150)(72990,119227)(70000,120000)	chr01	95000	132	0.579887
(42,175)(99745,121372)(80000,130000)	chr01	105000	135	0.597309
(42,203)(99745,131673)(90000,140000)	chr01	115000	163	0.587565
(44,218)(101120,148599)(100000,150000)	chr01	125000	176	0.603807
(80,243)(112439,159252)(110000,160000)	chr01	135000	165	0.682525
(151,264)(121114,169571)(120000,170000)	chr01	145000	115	0.708232
(176,271)(130856,175991)(130000,180000)	chr01	155000	97	0.708489
(204,274)(146066,183449)(140000,190000)	chr01	165000	72	0.731089
(219,286)(155765,197658)(150000,200000)	chr01	175000	69	0.757411
(244,311)(165376,204116)(160000,210000)	chr01	185000	69	0.663233
(265,346)(175855,216859)(170000,220000)	chr01	195000	83	0.649412
(272,368)(183430,229717)(180000,230000)	chr01	205000	98	0.684705
(275,368)(193065,229717)(190000,240000)	chr01	215000	95	0.682998
(287,408)(202400,249999)(200000,250000)	chr01	225000	123	0.681446
(312,442)(214936,257492)(210000,260000)	chr01	235000	132	0.752301
(347,458)(224519,268043)(220000,270000)	chr01	245000	113	0.749665
(369,472)(241035,278259)(230000,280000)	chr01	255000	105	0.709806
(369,482)(241035,285977)(240000,290000)	chr01	265000	115	0.706234
(409,482)(250021,285977)(250000,300000)	chr01	275000	75	0.695190
(443,497)(267752,305489)(260000,310000)	chr01	285000	56	0.533174
(459,497)(270347,305489)(270000,320000)	chr01	295000	40	0.552770
(473,502)(284735,323234)(280000,330000)	chr01	305000	31	0.574280
(483,517)(303105,339583)(290000,340000)	chr01	315000	36	0.583257
(483,522)(303105,348196)(300000,350000)	chr01	325000	41	0.607685
(498,540)(322110,359771)(310000,360000)	chr01	335000	44	0.515855
(498,548)(322110,360805)(320000,370000)	chr01	345000	52	0.508737
(503,567)(334023,373127)(330000,380000)	chr01	355000	66	0.576129
(518,570)(342750,384275)(340000,390000)	chr01	365000	54	0.592144
(523,578)(356572,399618)(350000,400000)	chr01	375000	57	0.558431
(541,592)(360718,406909)(360000,410000)	chr01	385000	53	0.711139
(549,630)(371165,418272)(370000,420000)	chr01	395000	83	0.648995
(568,639)(384248,426178)(380000,430000)	chr01	405000	73	0.667277
(571,639)(399494,426178)(390000,440000)	chr01	415000	70	0.657210
(579,655)(405929,447272)(400000,450000)	chr01	425000	78	0.583431
(593,668)(412909,458510)(410000,460000)	chr01	435000	77	0.494125
(631,668)(422091,458510)(420000,470000)	chr01	445000	39	0.430773
(640,681)(440021,477626)(430000,480000)	chr01	455000	43	0.407167
(640,707)(440021,489540)(440000,490000)	chr01	465000	69	0.455275
(656,718)(458290,497075)(450000,500000)	chr01	475000	64	0.537238
(669,718)(472791,497075)(460000,510000)	chr01	485000	51	0.621003
(669,719)(472791,519445)(470000,520000)	chr01	495000	52	0.613518
(682,740)(482579,527912)(480000,530000)	chr01	505000	60	0.548181
(708,740)(490388,527912)(490000,540000)	chr01	515000	34	0.510642
(719,742)(519445,546039)(500000,550000)	chr01	525000	25	0.543082
(719,749)(519445,556579)(510000,560000)	chr01	535000	32	0.470687
(720,756)(520967,567617)(520000,570000)	chr01	545000	38	0.420201
(741,756)(546012,567617)(530000,580000)	chr01	555000	17	0.360444
(741,756)(546012,567617)(540000,590000)	chr01	565000	17	0.360444
(743,772)(553209,598747)(550000,600000)	chr01	575000	31	0.263939
(750,793)(567497,609080)(560000,610000)	chr01	585000	45	0.475580
(757,798)(598538,615712)(570000,620000)	chr01	595000	43	0.572647
(757,807)(598538,622801)(580000,630000)	chr01	605000	52	0.593968
(757,835)(598538,639995)(590000,640000)	chr01	615000	80	0.601606
