region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.151558
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.081622
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.062138
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.061998
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.044657
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.064810
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.064907
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.073345
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.071368
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.079189
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.074188
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.094249
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.081802
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.094787
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.104262
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.202592
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.135045
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.179364
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.178196
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.226244
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.227422
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.275310
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.239396
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.220979
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.196992
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.105104
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.123901
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.122052
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.293221
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.248557
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.254678
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.254393
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.246153
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.032890
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.061197
(641,692)(360718,406909)(360000,410000)	chr01	385000	53	0.136392
(649,730)(371165,418272)(370000,420000)	chr01	395000	83	0.122352
(668,739)(384248,426178)(380000,430000)	chr01	405000	73	0.196241
(671,739)(399494,426178)(390000,440000)	chr01	415000	70	0.192261
(679,759)(405929,447446)(400000,450000)	chr01	425000	82	0.129640
(693,772)(412909,458510)(410000,460000)	chr01	435000	81	0.129940
(731,772)(422091,458510)(420000,470000)	chr01	445000	43	0.143604
(740,785)(440021,477626)(430000,480000)	chr01	455000	47	0.066819
(740,811)(440021,489540)(440000,490000)	chr01	465000	73	0.083575
(760,822)(458290,497075)(450000,500000)	chr01	475000	64	0.117679
(773,822)(472791,497075)(460000,510000)	chr01	485000	51	0.085126
(773,823)(472791,519445)(470000,520000)	chr01	495000	52	0.084505
(786,844)(482579,527912)(480000,530000)	chr01	505000	60	0.164941
(812,844)(490388,527912)(490000,540000)	chr01	515000	34	0.139944
(823,846)(519445,546039)(500000,550000)	chr01	525000	25	0.168431
(823,853)(519445,556579)(510000,560000)	chr01	535000	32	0.157902
(824,860)(520967,567617)(520000,570000)	chr01	545000	38	0.146452
(845,860)(546012,567617)(530000,580000)	chr01	555000	17	0.128520
(845,860)(546012,567617)(540000,590000)	chr01	565000	17	0.128520
(847,876)(553209,598747)(550000,600000)	chr01	575000	31	0.103347
(854,897)(567497,609080)(560000,610000)	chr01	585000	45	0.099843
(861,903)(598538,615712)(570000,620000)	chr01	595000	44	0.119238
(861,917)(598538,629014)(580000,630000)	chr01	605000	58	0.090881
(861,945)(598538,639995)(590000,640000)	chr01	615000	86	0.082552
(877,949)(608808,647580)(600000,650000)	chr01	625000	74	0.083812
(898,949)(615547,647580)(610000,660000)	chr01	635000	53	0.076888
(904,961)(622726,664539)(620000,670000)	chr01	645000	59	0.041904
(918,1028)(631986,679765)(630000,680000)	chr01	655000	112	0.016215
(946,1034)(640931,687635)(640000,690000)	chr01	665000	90	0.008868
(950,1037)(664341,699440)(650000,700000)	chr01	675000	89	0.004754
(950,1059)(664341,705398)(660000,710000)	chr01	685000	111	0.006758
(962,1069)(670057,710536)(670000,720000)	chr01	695000	109	0.010552
(1029,1104)(687435,726176)(680000,730000)	chr01	705000	77	0.094567
(1035,1137)(699339,736121)(690000,740000)	chr01	715000	104	0.098263
