region	chr	midPos	Nsites
(5,41)(34877,75784)(30000,80000)	chr01	55000	38	0.422209
(6,41)(40565,75784)(40000,90000)	chr01	65000	37	0.418436
(20,43)(72990,99748)(50000,100000)	chr01	75000	25	0.431636
(20,79)(72990,109295)(60000,110000)	chr01	85000	61	0.559596
(20,150)(72990,119227)(70000,120000)	chr01	95000	132	0.620473
(42,175)(99745,121372)(80000,130000)	chr01	105000	135	0.654253
(42,203)(99745,131673)(90000,140000)	chr01	115000	163	0.636477
(44,218)(101120,148599)(100000,150000)	chr01	125000	176	0.668904
(80,243)(112439,159252)(110000,160000)	chr01	135000	165	0.705994
(151,264)(121114,169571)(120000,170000)	chr01	145000	115	0.713555
(176,271)(130856,175991)(130000,180000)	chr01	155000	97	0.717021
(204,274)(146066,183449)(140000,190000)	chr01	165000	72	0.733918
(219,286)(155765,197658)(150000,200000)	chr01	175000	69	0.703521
(244,304)(165376,204116)(160000,210000)	chr01	185000	62	0.648348
(265,339)(175855,216859)(170000,220000)	chr01	195000	76	0.734163
(272,361)(183430,229717)(180000,230000)	chr01	205000	91	0.805878
(275,361)(193065,229717)(190000,240000)	chr01	215000	88	0.823305
(287,401)(202400,249999)(200000,250000)	chr01	225000	116	0.861764
(305,431)(214936,257492)(210000,260000)	chr01	235000	128	0.903710
(340,447)(224519,268043)(220000,270000)	chr01	245000	109	0.917746
(362,461)(241035,278259)(230000,280000)	chr01	255000	101	0.884333
(362,471)(241035,285977)(240000,290000)	chr01	265000	111	0.872098
(402,471)(250021,285977)(250000,300000)	chr01	275000	71	0.844917
(432,486)(267752,305489)(260000,310000)	chr01	285000	56	0.730514
(448,486)(270347,305489)(270000,320000)	chr01	295000	40	0.698496
(462,491)(284735,323234)(280000,330000)	chr01	305000	31	0.706195
(472,505)(303105,339583)(290000,340000)	chr01	315000	35	0.718897
(472,510)(303105,348196)(300000,350000)	chr01	325000	40	0.748910
(487,527)(322110,359771)(310000,360000)	chr01	335000	42	0.760179
(487,535)(322110,360805)(320000,370000)	chr01	345000	50	0.757631
(492,554)(334023,373127)(330000,380000)	chr01	355000	64	0.726758
(506,557)(342750,384275)(340000,390000)	chr01	365000	53	0.749908
(511,565)(356572,399618)(350000,400000)	chr01	375000	56	0.700543
(528,573)(360718,406783)(360000,410000)	chr01	385000	47	0.731146
(536,609)(371165,418272)(370000,420000)	chr01	395000	75	0.773934
(555,618)(384248,426178)(380000,430000)	chr01	405000	65	0.761809
(558,618)(399494,426178)(390000,440000)	chr01	415000	62	0.749661
(566,634)(405929,447272)(400000,450000)	chr01	425000	70	0.794800
(574,647)(412986,458510)(410000,460000)	chr01	435000	75	0.770296
(610,647)(422091,458510)(420000,470000)	chr01	445000	39	0.744596
(619,660)(440021,477626)(430000,480000)	chr01	455000	43	0.758139
(619,675)(440021,489540)(440000,490000)	chr01	465000	58	0.700829
(635,686)(458290,497075)(450000,500000)	chr01	475000	53	0.634978
(648,686)(472791,497075)(460000,510000)	chr01	485000	40	0.657831
(648,687)(472791,519445)(470000,520000)	chr01	495000	41	0.657831
(661,699)(482579,525090)(480000,530000)	chr01	505000	40	0.669788
(676,699)(490388,525090)(490000,540000)	chr01	515000	25	0.769346
(687,701)(519445,546039)(500000,550000)	chr01	525000	16	0.787804
(687,702)(519445,556579)(510000,560000)	chr01	535000	17	0.787280
(688,709)(520967,567617)(520000,570000)	chr01	545000	23	0.626839
(700,709)(546012,567617)(530000,580000)	chr01	555000	11	0.506134
(700,709)(546012,567617)(540000,590000)	chr01	565000	11	0.506134
(702,725)(556579,598747)(550000,600000)	chr01	575000	25	0.422155
(703,746)(567497,609080)(560000,610000)	chr01	585000	45	0.606025
(710,751)(598538,615712)(570000,620000)	chr01	595000	43	0.711718
(710,760)(598538,622801)(580000,630000)	chr01	605000	52	0.731573
(710,782)(598538,639995)(590000,640000)	chr01	615000	74	0.586755
(726,786)(608808,647580)(600000,650000)	chr01	625000	62	0.644410
(747,786)(615625,647580)(610000,660000)	chr01	635000	41	0.575708
(752,798)(622726,664539)(620000,670000)	chr01	645000	48	0.608620
(761,865)(631986,679765)(630000,680000)	chr01	655000	106	0.620599
(783,867)(640931,687635)(640000,690000)	chr01	665000	86	0.653075
(787,870)(664341,699440)(650000,700000)	chr01	675000	85	0.652582
(787,889)(664341,705398)(660000,710000)	chr01	685000	104	0.654378
(799,899)(670057,710536)(670000,720000)	chr01	695000	102	0.644158
(866,934)(687594,726176)(680000,730000)	chr01	705000	70	0.547566
(868,967)(699339,736121)(690000,740000)	chr01	715000	101	0.483078
(871,973)(702035,749383)(700000,750000)	chr01	725000	104	0.444545
(890,976)(710398,754850)(710000,760000)	chr01	735000	88	0.359324
(900,1010)(720265,768507)(720000,770000)	chr01	745000	112	0.399366
(935,1015)(730423,774383)(730000,780000)	chr01	755000	82	0.457836
(968,1016)(749258,780712)(740000,790000)	chr01	765000	50	0.536208
(974,1016)(751549,780712)(750000,800000)	chr01	775000	44	0.565819
(977,1020)(760149,800296)(760000,810000)	chr01	785000	45	0.499299
(1011,1050)(774173,819725)(770000,820000)	chr01	795000	41	0.561258
(1016,1052)(780712,824471)(780000,830000)	chr01	805000	38	0.518104
(1017,1103)(800261,839864)(790000,840000)	chr01	815000	88	0.560629
(1017,1104)(800261,849991)(800000,850000)	chr01	825000	89	0.560259
(1021,1111)(816740,855718)(810000,860000)	chr01	835000	92	0.605328
(1051,1114)(824403,860813)(820000,870000)	chr01	845000	65	0.572391
(1053,1120)(830052,877821)(830000,880000)	chr01	855000	69	0.659230
(1104,1130)(849991,888203)(840000,890000)	chr01	865000	28	0.753245
(1105,1138)(852666,898885)(850000,900000)	chr01	875000	35	0.724526
(1112,1151)(860727,906800)(860000,910000)	chr01	885000	41	0.726375
(1115,1179)(876147,916778)(870000,920000)	chr01	895000	66	0.705582
(1121,1193)(885300,929364)(880000,930000)	chr01	905000	74	0.616061
(1131,1197)(893918,936207)(890000,940000)	chr01	915000	68	0.581266
(1139,1230)(902874,949937)(900000,950000)	chr01	925000	93	0.652908
(1152,1243)(911188,952812)(910000,960000)	chr01	935000	93	0.747771
(1180,1250)(929275,969688)(920000,970000)	chr01	945000	72	0.824334
(1194,1286)(933153,979790)(930000,980000)	chr01	955000	94	0.949472
(1198,1306)(941192,981690)(940000,990000)	chr01	965000	110	0.963717
(1231,1322)(951051,994392)(950000,1000000)	chr01	975000	93	0.978362
(1244,1324)(964396,1007159)(960000,1010000)	chr01	985000	82	0.987374
(1251,1360)(972160,1019757)(970000,1020000)	chr01	995000	111	0.881682
(1287,1363)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.803410
(1307,1377)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.477745
(1323,1396)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.452011
(1325,1400)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.451443
(1361,1409)(1023745,1060127)(1020000,1070000)	chr01	1045000	50	0.485832
(1364,1409)(1030079,1060127)(1030000,1080000)	chr01	1055000	47	0.202327
(1378,1431)(1040190,1088668)(1040000,1090000)	chr01	1065000	55	0.704970
(1397,1431)(1059222,1088668)(1050000,1100000)	chr01	1075000	36	0.731693
(1401,1436)(1060081,1106471)(1060000,1110000)	chr01	1085000	37	0.767819
(1410,1450)(1080464,1118148)(1070000,1120000)	chr01	1095000	42	0.896134
(1410,1462)(1080464,1129684)(1080000,1130000)	chr01	1105000	54	0.898789
(1432,1493)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.775360
(1432,1514)(1106311,1148852)(1100000,1150000)	chr01	1125000	84	0.752638
(1437,1516)(1110213,1156484)(1110000,1160000)	chr01	1135000	81	0.745031
(1451,1544)(1125674,1169984)(1120000,1170000)	chr01	1145000	95	0.721811
(1463,1551)(1131938,1175775)(1130000,1180000)	chr01	1155000	90	0.644917
(1494,1555)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.693513
(1515,1562)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.674433
(1517,1570)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.697585
(1545,1584)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.415402
(1552,1584)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.524463
(1556,1603)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.437511
(1563,1611)(1202564,1248625)(1200000,1250000)	chr01	1225000	50	0.618689
(1571,1611)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.514264
(1585,1616)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.680189
(1585,1622)(1230664,1271087)(1230000,1280000)	chr01	1255000	39	0.769702
(1604,1637)(1242138,1287173)(1240000,1290000)	chr01	1265000	35	0.816440
(1612,1640)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.777263
(1612,1680)(1260436,1309739)(1260000,1310000)	chr01	1285000	70	0.655736
