region	chr	midPos	Nsites
(2,20)(34877,49138)(10000,60000)	chr01	35000	20	0.408873
(2,20)(34877,49138)(20000,70000)	chr01	45000	20	0.408873
(2,55)(34877,79275)(30000,80000)	chr01	55000	55	0.569109
(3,55)(40565,79275)(40000,90000)	chr01	65000	54	0.569242
(21,57)(72927,99748)(50000,100000)	chr01	75000	38	0.688062
(21,92)(72927,109295)(60000,110000)	chr01	85000	73	0.668288
(21,149)(72927,119132)(70000,120000)	chr01	95000	130	0.784307
(56,174)(99745,121372)(80000,130000)	chr01	105000	120	0.848225
(56,188)(99745,131673)(90000,140000)	chr01	115000	134	0.861402
(58,203)(101120,148599)(100000,150000)	chr01	125000	147	0.835813
(93,228)(112439,159252)(110000,160000)	chr01	135000	137	0.864929
(150,249)(121114,169571)(120000,170000)	chr01	145000	101	0.800332
(175,256)(131445,175991)(130000,180000)	chr01	155000	83	0.765185
(189,259)(146066,183449)(140000,190000)	chr01	165000	72	0.733495
(204,271)(155765,197658)(150000,200000)	chr01	175000	69	0.732236
(229,296)(165376,204116)(160000,210000)	chr01	185000	69	0.694515
(250,323)(175855,216832)(170000,220000)	chr01	195000	75	0.687365
(257,344)(183430,229717)(180000,230000)	chr01	205000	89	0.719305
(260,344)(193065,229717)(190000,240000)	chr01	215000	86	0.716886
(272,382)(202400,249999)(200000,250000)	chr01	225000	112	0.693620
(297,418)(215040,257533)(210000,260000)	chr01	235000	123	0.654409
(324,437)(224519,268043)(220000,270000)	chr01	245000	115	0.661271
(345,464)(241035,278351)(230000,280000)	chr01	255000	121	0.659173
(345,485)(241035,286071)(240000,290000)	chr01	265000	142	0.693193
(383,492)(250021,291347)(250000,300000)	chr01	275000	111	0.724934
(419,503)(267752,305489)(260000,310000)	chr01	285000	86	0.798007
(438,503)(270347,305489)(270000,320000)	chr01	295000	67	0.820721
(465,515)(281515,324273)(280000,330000)	chr01	305000	52	0.878194
(486,541)(291233,339583)(290000,340000)	chr01	315000	57	0.921128
(493,547)(305433,348196)(300000,350000)	chr01	325000	56	0.919366
(504,564)(322110,359771)(310000,360000)	chr01	335000	62	0.841053
(504,572)(322110,360805)(320000,370000)	chr01	345000	70	0.819628
(516,591)(334023,373127)(330000,380000)	chr01	355000	77	0.817353
