region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.378329
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.378434
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.319360
(24,101)(66768,109295)(60000,110000)	chr01	85000	79	0.370819
(31,175)(72927,119227)(70000,120000)	chr01	95000	146	0.534597
(66,200)(99745,121372)(80000,130000)	chr01	105000	136	0.556304
(66,228)(99745,131673)(90000,140000)	chr01	115000	164	0.582909
(68,243)(101120,148599)(100000,150000)	chr01	125000	177	0.560918
(102,268)(112439,159252)(110000,160000)	chr01	135000	168	0.634919
(176,289)(121114,169571)(120000,170000)	chr01	145000	115	0.698762
(201,296)(130856,175991)(130000,180000)	chr01	155000	97	0.725639
(229,299)(146066,183449)(140000,190000)	chr01	165000	72	0.734426
(244,306)(155765,197658)(150000,200000)	chr01	175000	64	0.776894
(269,331)(165376,204116)(160000,210000)	chr01	185000	64	0.780678
(290,365)(175855,216832)(170000,220000)	chr01	195000	77	0.701057
(297,387)(183430,229717)(180000,230000)	chr01	205000	92	0.671476
(300,387)(195626,229717)(190000,240000)	chr01	215000	89	0.660731
(307,425)(202400,249999)(200000,250000)	chr01	225000	120	0.591562
(332,462)(214936,258347)(210000,260000)	chr01	235000	132	0.510610
(366,481)(224519,268043)(220000,270000)	chr01	245000	117	0.369126
(388,510)(241035,278351)(230000,280000)	chr01	255000	124	0.328305
(388,534)(241035,286093)(240000,290000)	chr01	265000	148	0.326882
(426,543)(250021,296664)(250000,300000)	chr01	275000	119	0.237368
(463,565)(267752,307842)(260000,310000)	chr01	285000	104	0.244706
(482,566)(270347,317230)(270000,320000)	chr01	295000	86	0.343646
(511,578)(281515,324273)(280000,330000)	chr01	305000	69	0.359537
(535,598)(291233,339583)(290000,340000)	chr01	315000	65	0.526651
(544,604)(303105,348196)(300000,350000)	chr01	325000	62	0.583228
(566,621)(317230,359771)(310000,360000)	chr01	335000	57	0.761284
(567,629)(322110,360805)(320000,370000)	chr01	345000	64	0.726825
(579,648)(336747,373127)(330000,380000)	chr01	355000	71	0.746141
(599,648)(342750,373127)(340000,390000)	chr01	365000	51	0.744687
(605,656)(356572,399618)(350000,400000)	chr01	375000	53	0.652317
(622,663)(360718,405978)(360000,410000)	chr01	385000	43	0.459534
(630,685)(371165,418272)(370000,420000)	chr01	395000	57	0.322378
(649,694)(399494,426178)(380000,430000)	chr01	405000	47	0.247914
(649,694)(399494,426178)(390000,440000)	chr01	415000	47	0.247914
(657,696)(405929,447272)(400000,450000)	chr01	425000	41	0.253253
(664,696)(413611,447272)(410000,460000)	chr01	435000	34	0.237717
(686,696)(422091,447272)(420000,470000)	chr01	445000	12	0.321793
(695,709)(447245,477626)(430000,480000)	chr01	455000	16	0.623891
(695,711)(447245,482581)(440000,490000)	chr01	465000	18	0.611088
(697,714)(472791,497075)(450000,500000)	chr01	475000	19	0.710456
(697,714)(472791,497075)(460000,510000)	chr01	485000	19	0.710456
(697,715)(472791,519445)(470000,520000)	chr01	495000	20	0.679048
(710,727)(482579,525090)(480000,530000)	chr01	505000	19	0.585775
(712,727)(496996,525090)(490000,540000)	chr01	515000	17	0.589558
(715,729)(519445,546039)(500000,550000)	chr01	525000	16	0.493456
(715,730)(519445,556579)(510000,560000)	chr01	535000	17	0.492605
(716,737)(520967,567617)(520000,570000)	chr01	545000	23	0.480540
(728,737)(546012,567617)(530000,580000)	chr01	555000	11	0.364726
(728,737)(546012,567617)(540000,590000)	chr01	565000	11	0.364726
(730,753)(556579,598747)(550000,600000)	chr01	575000	25	0.189866
(731,774)(567497,609080)(560000,610000)	chr01	585000	45	0.172792
(738,779)(598538,615712)(570000,620000)	chr01	595000	43	0.467511
(738,793)(598538,629014)(580000,630000)	chr01	605000	57	0.685102
(738,815)(598538,639995)(590000,640000)	chr01	615000	79	0.571316
(754,819)(608808,647580)(600000,650000)	chr01	625000	67	0.617672
(775,819)(615625,647580)(610000,660000)	chr01	635000	46	0.634714
(780,831)(622726,664539)(620000,670000)	chr01	645000	53	0.483222
(794,898)(631986,679765)(630000,680000)	chr01	655000	106	0.218102
(816,904)(640931,687635)(640000,690000)	chr01	665000	90	0.211111
(820,907)(664341,699440)(650000,700000)	chr01	675000	89	0.216844
(820,928)(664341,705398)(660000,710000)	chr01	685000	110	0.239670
(832,938)(670057,710536)(670000,720000)	chr01	695000	108	0.257295
(899,973)(687435,726176)(680000,730000)	chr01	705000	76	0.299715
(905,1006)(699339,736121)(690000,740000)	chr01	715000	103	0.336876
(908,1012)(702087,749383)(700000,750000)	chr01	725000	106	0.315616
(929,1014)(710398,751567)(710000,760000)	chr01	735000	87	0.304458
(939,1052)(720265,768507)(720000,770000)	chr01	745000	115	0.252708
(974,1057)(730423,774383)(730000,780000)	chr01	755000	85	0.295418
(1007,1058)(749258,780712)(740000,790000)	chr01	765000	53	0.231523
(1013,1058)(751549,780712)(750000,800000)	chr01	775000	47	0.241839
(1015,1062)(760149,800296)(760000,810000)	chr01	785000	49	0.255028
(1053,1092)(774173,819725)(770000,820000)	chr01	795000	41	0.568135
(1058,1094)(780712,824471)(780000,830000)	chr01	805000	38	0.514242
(1059,1146)(800261,839943)(790000,840000)	chr01	815000	89	0.464497
(1059,1147)(800261,849991)(800000,850000)	chr01	825000	90	0.464456
(1063,1154)(816740,855718)(810000,860000)	chr01	835000	93	0.468480
(1093,1157)(824403,860813)(820000,870000)	chr01	845000	66	0.357772
(1095,1163)(830052,877821)(830000,880000)	chr01	855000	70	0.365321
(1147,1173)(849991,888203)(840000,890000)	chr01	865000	28	0.381311
(1148,1174)(852666,898756)(850000,900000)	chr01	875000	28	0.379969
(1155,1199)(860727,909640)(860000,910000)	chr01	885000	46	0.430398
(1158,1229)(876147,916778)(870000,920000)	chr01	895000	73	0.384082
(1164,1256)(885300,929364)(880000,930000)	chr01	905000	94	0.363130
(1174,1260)(898756,936207)(890000,940000)	chr01	915000	88	0.354925
(1175,1293)(902874,949937)(900000,950000)	chr01	925000	120	0.506774
(1200,1306)(911188,952812)(910000,960000)	chr01	935000	108	0.481812
(1230,1311)(921481,969688)(920000,970000)	chr01	945000	83	0.520091
(1257,1336)(933153,979790)(930000,980000)	chr01	955000	81	0.597155
(1261,1356)(941192,981690)(940000,990000)	chr01	965000	97	0.557316
(1294,1372)(951051,994392)(950000,1000000)	chr01	975000	80	0.537012
(1307,1374)(964396,1007159)(960000,1010000)	chr01	985000	69	0.590144
(1312,1410)(972160,1019757)(970000,1020000)	chr01	995000	100	0.555267
(1337,1413)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.536239
(1357,1427)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.626530
(1373,1446)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.629365
(1375,1447)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.635082
(1411,1463)(1023745,1067383)(1020000,1070000)	chr01	1045000	54	0.762881
(1414,1463)(1030079,1067383)(1030000,1080000)	chr01	1055000	51	0.763313
(1428,1486)(1040190,1088668)(1040000,1090000)	chr01	1065000	60	0.756070
(1447,1486)(1059222,1088668)(1050000,1100000)	chr01	1075000	41	0.747926
(1448,1491)(1060081,1106471)(1060000,1110000)	chr01	1085000	45	0.730693
(1464,1505)(1080464,1118148)(1070000,1120000)	chr01	1095000	43	0.619856
(1464,1517)(1080464,1129684)(1080000,1130000)	chr01	1105000	55	0.583961
(1487,1548)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.333508
(1487,1568)(1106311,1148852)(1100000,1150000)	chr01	1125000	83	0.367871
(1492,1570)(1110213,1156484)(1110000,1160000)	chr01	1135000	80	0.355981
(1506,1598)(1125674,1169984)(1120000,1170000)	chr01	1145000	94	0.436193
(1518,1605)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.434564
(1549,1609)(1141378,1187811)(1140000,1190000)	chr01	1165000	62	0.536306
(1569,1616)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.627601
(1571,1624)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.621064
(1599,1638)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.590187
(1606,1638)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.653466
(1610,1657)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.515367
(1617,1663)(1202564,1247876)(1200000,1250000)	chr01	1225000	48	0.379965
(1625,1663)(1215791,1247876)(1210000,1260000)	chr01	1235000	40	0.398259
(1639,1668)(1230664,1266942)(1220000,1270000)	chr01	1245000	31	0.193327
(1639,1674)(1230664,1271087)(1230000,1280000)	chr01	1255000	37	0.328740
(1658,1689)(1242138,1287173)(1240000,1290000)	chr01	1265000	33	0.418084
(1664,1692)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.464010
(1664,1735)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.533938
(1669,1743)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.531046
