region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.377760
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.377892
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.387713
(24,100)(66768,109295)(60000,110000)	chr01	85000	78	0.557368
(31,174)(72927,119227)(70000,120000)	chr01	95000	145	0.597978
(66,199)(99745,121372)(80000,130000)	chr01	105000	135	0.695459
(66,227)(99745,131673)(90000,140000)	chr01	115000	163	0.693263
(68,242)(101120,148599)(100000,150000)	chr01	125000	176	0.660322
(101,267)(112439,159252)(110000,160000)	chr01	135000	168	0.585778
(175,288)(121114,169571)(120000,170000)	chr01	145000	115	0.484371
(200,295)(130856,175991)(130000,180000)	chr01	155000	97	0.503180
(228,298)(146066,183449)(140000,190000)	chr01	165000	72	0.369511
(243,310)(155765,197658)(150000,200000)	chr01	175000	69	0.591580
(268,335)(165376,204116)(160000,210000)	chr01	185000	69	0.750213
(289,370)(175855,216859)(170000,220000)	chr01	195000	83	0.687072
(296,390)(183430,229717)(180000,230000)	chr01	205000	96	0.722426
(299,390)(193065,229717)(190000,240000)	chr01	215000	93	0.722556
(311,428)(202400,249999)(200000,250000)	chr01	225000	119	0.808051
(336,464)(214936,257533)(210000,260000)	chr01	235000	130	0.784930
(371,483)(224519,268043)(220000,270000)	chr01	245000	114	0.739117
(391,512)(241035,278351)(230000,280000)	chr01	255000	123	0.679511
(391,536)(241035,286093)(240000,290000)	chr01	265000	147	0.645755
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.492796
(465,567)(267752,307842)(260000,310000)	chr01	285000	104	0.307069
(484,568)(270347,317230)(270000,320000)	chr01	295000	86	0.405496
(513,580)(281515,324273)(280000,330000)	chr01	305000	69	0.347876
(537,606)(291233,339583)(290000,340000)	chr01	315000	71	0.507500
(546,612)(303105,348196)(300000,350000)	chr01	325000	68	0.453316
(568,630)(317230,359771)(310000,360000)	chr01	335000	64	0.423197
(569,638)(322110,360805)(320000,370000)	chr01	345000	71	0.429276
(581,657)(334023,373127)(330000,380000)	chr01	355000	78	0.488064
(607,660)(342750,384275)(340000,390000)	chr01	365000	55	0.407906
(613,668)(356572,399618)(350000,400000)	chr01	375000	57	0.423599
(631,682)(360718,406909)(360000,410000)	chr01	385000	53	0.561656
(639,720)(371165,418272)(370000,420000)	chr01	395000	83	0.476318
(658,729)(384248,426178)(380000,430000)	chr01	405000	73	0.552977
(661,729)(399494,426178)(390000,440000)	chr01	415000	70	0.536103
(669,749)(405929,447446)(400000,450000)	chr01	425000	82	0.543212
(683,762)(412909,458510)(410000,460000)	chr01	435000	81	0.489393
(721,762)(422091,458510)(420000,470000)	chr01	445000	43	0.639777
(730,772)(440021,476556)(430000,480000)	chr01	455000	44	0.532577
(730,798)(440021,489540)(440000,490000)	chr01	465000	70	0.493364
(750,809)(458290,497075)(450000,500000)	chr01	475000	61	0.494914
(763,809)(472791,497075)(460000,510000)	chr01	485000	48	0.499016
(763,810)(472791,519445)(470000,520000)	chr01	495000	49	0.536651
(773,831)(482579,527912)(480000,530000)	chr01	505000	60	0.641788
(799,831)(490388,527912)(490000,540000)	chr01	515000	34	0.763342
(810,833)(519445,546039)(500000,550000)	chr01	525000	25	0.759511
(810,840)(519445,556579)(510000,560000)	chr01	535000	32	0.794647
(811,847)(520967,567617)(520000,570000)	chr01	545000	38	0.773644
(832,847)(546012,567617)(530000,580000)	chr01	555000	17	0.786360
(832,847)(546012,567617)(540000,590000)	chr01	565000	17	0.786360
(834,863)(553209,598747)(550000,600000)	chr01	575000	31	0.638106
(841,884)(567497,609080)(560000,610000)	chr01	585000	45	0.365737
(848,890)(598538,615712)(570000,620000)	chr01	595000	44	0.435172
(848,904)(598538,629014)(580000,630000)	chr01	605000	58	0.480584
(848,926)(598538,639995)(590000,640000)	chr01	615000	80	0.551027
(864,930)(608808,647580)(600000,650000)	chr01	625000	68	0.595118
(885,930)(615547,647580)(610000,660000)	chr01	635000	47	0.726068
(891,941)(622726,664539)(620000,670000)	chr01	645000	52	0.606446
(905,1008)(631986,679765)(630000,680000)	chr01	655000	105	0.414804
(927,1014)(640931,687635)(640000,690000)	chr01	665000	89	0.266718
(931,1017)(664365,699440)(650000,700000)	chr01	675000	88	0.274121
(931,1021)(664365,702132)(660000,710000)	chr01	685000	92	0.278408
(942,1031)(670057,710536)(670000,720000)	chr01	695000	91	0.437192
(1009,1060)(687435,726075)(680000,730000)	chr01	705000	53	0.631587
(1015,1093)(699339,736121)(690000,740000)	chr01	715000	80	0.572726
(1018,1099)(702035,749383)(700000,750000)	chr01	725000	83	0.537084
(1022,1102)(710398,754850)(710000,760000)	chr01	735000	82	0.540909
(1032,1113)(720265,768507)(720000,770000)	chr01	745000	83	0.358702
(1061,1120)(730423,774383)(730000,780000)	chr01	755000	61	0.277648
(1094,1121)(749258,780712)(740000,790000)	chr01	765000	29	0.181868
(1100,1121)(751549,780712)(750000,800000)	chr01	775000	23	0.176144
(1103,1125)(768240,800296)(760000,810000)	chr01	785000	24	0.399893
(1114,1155)(771638,819725)(770000,820000)	chr01	795000	43	0.461966
(1121,1157)(780712,824471)(780000,830000)	chr01	805000	38	0.460225
(1122,1198)(800261,839979)(790000,840000)	chr01	815000	78	0.412395
(1122,1199)(800261,849991)(800000,850000)	chr01	825000	79	0.412300
(1126,1204)(816740,852734)(810000,860000)	chr01	835000	80	0.336308
(1156,1207)(824403,860813)(820000,870000)	chr01	845000	53	0.324621
(1158,1213)(830052,877821)(830000,880000)	chr01	855000	57	0.332950
(1199,1225)(849991,888203)(840000,890000)	chr01	865000	28	0.554055
(1200,1240)(852666,898885)(850000,900000)	chr01	875000	42	0.661764
(1205,1240)(860727,898885)(860000,910000)	chr01	885000	37	0.662140
(1208,1270)(876147,916778)(870000,920000)	chr01	895000	64	0.791388
(1214,1297)(881512,929364)(880000,930000)	chr01	905000	85	0.790655
(1226,1301)(890743,936207)(890000,940000)	chr01	915000	77	0.785530
(1241,1334)(911188,949937)(900000,950000)	chr01	925000	95	0.753740
(1241,1347)(911188,952812)(910000,960000)	chr01	935000	108	0.752626
(1271,1355)(921481,969688)(920000,970000)	chr01	945000	86	0.719702
(1298,1405)(933153,979790)(930000,980000)	chr01	955000	109	0.606246
(1302,1425)(941192,981690)(940000,990000)	chr01	965000	125	0.564602
(1335,1441)(951051,994392)(950000,1000000)	chr01	975000	108	0.381606
(1348,1443)(964396,1007159)(960000,1010000)	chr01	985000	97	0.259029
(1356,1479)(972160,1019757)(970000,1020000)	chr01	995000	125	0.232540
(1406,1482)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.249972
(1426,1496)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.267297
(1442,1515)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.375922
(1444,1515)(1010494,1046545)(1010000,1060000)	chr01	1035000	73	0.375928
(1480,1524)(1023745,1060127)(1020000,1070000)	chr01	1045000	46	0.580425
(1483,1524)(1030079,1060127)(1030000,1080000)	chr01	1055000	43	0.678648
(1497,1534)(1040190,1088668)(1040000,1090000)	chr01	1065000	39	0.579253
(1516,1534)(1060081,1088668)(1050000,1100000)	chr01	1075000	20	0.463936
(1516,1539)(1060081,1106471)(1060000,1110000)	chr01	1085000	25	0.425880
(1525,1542)(1080464,1118148)(1070000,1120000)	chr01	1095000	19	0.475048
(1525,1552)(1080464,1129684)(1080000,1130000)	chr01	1105000	29	0.472601
(1535,1579)(1106311,1137795)(1090000,1140000)	chr01	1115000	46	0.419621
(1535,1596)(1106311,1148852)(1100000,1150000)	chr01	1125000	63	0.384854
(1540,1598)(1110213,1156484)(1110000,1160000)	chr01	1135000	60	0.446338
(1543,1626)(1125674,1169984)(1120000,1170000)	chr01	1145000	85	0.523577
(1553,1633)(1131938,1175775)(1130000,1180000)	chr01	1155000	82	0.441788
(1580,1637)(1141378,1187811)(1140000,1190000)	chr01	1165000	59	0.501361
(1597,1644)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.543549
(1599,1652)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.575193
