region	chr	midPos	Nsites
(1,53)(40565,79275)(40000,90000)	chr01	65000	54	0.521702
(19,55)(72927,99748)(50000,100000)	chr01	75000	38	0.576222
(19,88)(72927,109295)(60000,110000)	chr01	85000	71	0.674276
(19,145)(72927,119132)(70000,120000)	chr01	95000	128	0.828304
(54,170)(99745,121372)(80000,130000)	chr01	105000	118	0.918868
(54,184)(99745,131673)(90000,140000)	chr01	115000	132	0.925449
(56,199)(101120,148599)(100000,150000)	chr01	125000	145	0.919255
(89,224)(112439,159252)(110000,160000)	chr01	135000	137	0.908405
(146,245)(121114,169571)(120000,170000)	chr01	145000	101	0.837619
(171,252)(131445,175991)(130000,180000)	chr01	155000	83	0.819280
(185,255)(146066,183449)(140000,190000)	chr01	165000	72	0.787647
(200,267)(155765,197658)(150000,200000)	chr01	175000	69	0.775200
(225,292)(165376,204116)(160000,210000)	chr01	185000	69	0.785035
(246,319)(175855,216832)(170000,220000)	chr01	195000	75	0.864001
(253,338)(183430,229717)(180000,230000)	chr01	205000	87	0.855387
(256,338)(193065,229717)(190000,240000)	chr01	215000	84	0.862418
(268,376)(202400,249999)(200000,250000)	chr01	225000	110	0.850196
(293,412)(215040,257533)(210000,260000)	chr01	235000	121	0.814696
(320,431)(224519,268043)(220000,270000)	chr01	245000	113	0.745273
(339,458)(241035,278351)(230000,280000)	chr01	255000	121	0.728117
(339,479)(241035,286071)(240000,290000)	chr01	265000	142	0.751831
(377,486)(250021,291347)(250000,300000)	chr01	275000	111	0.772736
(413,497)(267752,305489)(260000,310000)	chr01	285000	86	0.818045
(432,497)(270347,305489)(270000,320000)	chr01	295000	67	0.844681
(459,509)(281515,324273)(280000,330000)	chr01	305000	52	0.896859
(480,535)(291233,339583)(290000,340000)	chr01	315000	57	0.938667
(487,541)(305433,348196)(300000,350000)	chr01	325000	56	0.946250
(498,558)(322110,359771)(310000,360000)	chr01	335000	62	0.862223
(498,566)(322110,360805)(320000,370000)	chr01	345000	70	0.816886
(510,585)(334023,373127)(330000,380000)	chr01	355000	77	0.811503
(536,588)(342750,384275)(340000,390000)	chr01	365000	54	0.780027
(542,596)(356572,399618)(350000,400000)	chr01	375000	56	0.744471
(559,605)(360718,406909)(360000,410000)	chr01	385000	48	0.778074
(567,641)(371165,418272)(370000,420000)	chr01	395000	76	0.790870
(586,650)(384248,426178)(380000,430000)	chr01	405000	66	0.783225
(589,650)(399494,426178)(390000,440000)	chr01	415000	63	0.752242
(597,661)(405929,447419)(400000,450000)	chr01	425000	66	0.808678
(606,674)(412986,458510)(410000,460000)	chr01	435000	70	0.861431
(642,674)(422091,458510)(420000,470000)	chr01	445000	34	0.983572
(651,687)(440110,477626)(430000,480000)	chr01	455000	38	0.970050
(651,713)(440110,489540)(440000,490000)	chr01	465000	64	0.938168
(662,724)(458290,497075)(450000,500000)	chr01	475000	64	0.931907
(675,724)(472791,497075)(460000,510000)	chr01	485000	51	0.846382
(675,725)(472791,519445)(470000,520000)	chr01	495000	52	0.846382
(688,746)(482579,527912)(480000,530000)	chr01	505000	60	0.869265
(714,746)(490388,527912)(490000,540000)	chr01	515000	34	0.901012
(725,748)(519445,546039)(500000,550000)	chr01	525000	25	0.864728
(725,755)(519445,556579)(510000,560000)	chr01	535000	32	0.830909
(726,762)(520967,567617)(520000,570000)	chr01	545000	38	0.814830
(747,762)(546012,567617)(530000,580000)	chr01	555000	17	0.665542
(747,762)(546012,567617)(540000,590000)	chr01	565000	17	0.665542
(749,778)(553209,598747)(550000,600000)	chr01	575000	31	0.599743
(756,799)(567497,609080)(560000,610000)	chr01	585000	45	0.506332
(763,805)(598538,615712)(570000,620000)	chr01	595000	44	0.454362
(763,819)(598538,629014)(580000,630000)	chr01	605000	58	0.517040
(763,841)(598538,639995)(590000,640000)	chr01	615000	80	0.512594
(779,843)(608808,647580)(600000,650000)	chr01	625000	66	0.510937
(800,843)(615547,647580)(610000,660000)	chr01	635000	45	0.531520
(806,855)(622726,664539)(620000,670000)	chr01	645000	51	0.494510
(820,922)(631986,679765)(630000,680000)	chr01	655000	104	0.427309
(842,928)(647375,687635)(640000,690000)	chr01	665000	88	0.480594
