region	chr	midPos	Nsites
(1,46)(40565,79275)(40000,90000)	chr01	65000	47	0.722187
(19,48)(72990,99748)(50000,100000)	chr01	75000	31	0.735688
(19,83)(72990,109295)(60000,110000)	chr01	85000	66	0.734956
(19,140)(72990,119132)(70000,120000)	chr01	95000	123	0.776532
(47,165)(99745,121372)(80000,130000)	chr01	105000	120	0.804431
(47,179)(99745,131673)(90000,140000)	chr01	115000	134	0.822972
(49,194)(101120,148599)(100000,150000)	chr01	125000	147	0.823771
(84,219)(112439,159252)(110000,160000)	chr01	135000	137	0.843178
(141,240)(121114,169571)(120000,170000)	chr01	145000	101	0.786274
(166,247)(131445,175991)(130000,180000)	chr01	155000	83	0.791727
(180,250)(146066,183449)(140000,190000)	chr01	165000	72	0.735960
(195,262)(155765,197658)(150000,200000)	chr01	175000	69	0.718976
(220,280)(165376,204116)(160000,210000)	chr01	185000	62	0.744569
(241,307)(175855,216832)(170000,220000)	chr01	195000	68	0.810225
(248,328)(183430,229717)(180000,230000)	chr01	205000	82	0.835359
(251,328)(193065,229717)(190000,240000)	chr01	215000	79	0.863004
(263,366)(202400,249999)(200000,250000)	chr01	225000	105	0.837016
(281,398)(215040,257533)(210000,260000)	chr01	235000	119	0.803511
(308,417)(224519,268043)(220000,270000)	chr01	245000	111	0.800751
(329,444)(241035,278351)(230000,280000)	chr01	255000	117	0.734900
(329,465)(241035,286071)(240000,290000)	chr01	265000	138	0.720573
(367,472)(250021,291347)(250000,300000)	chr01	275000	107	0.755077
(399,483)(267752,305489)(260000,310000)	chr01	285000	86	0.719001
(418,483)(270347,305489)(270000,320000)	chr01	295000	67	0.711606
(445,495)(281515,324273)(280000,330000)	chr01	305000	52	0.760254
(466,511)(291233,339583)(290000,340000)	chr01	315000	47	0.838674
(473,517)(305433,348196)(300000,350000)	chr01	325000	46	0.850182
(484,534)(322110,359771)(310000,360000)	chr01	335000	52	0.876024
(484,542)(322110,360805)(320000,370000)	chr01	345000	60	0.843910
(496,561)(334023,373127)(330000,380000)	chr01	355000	67	0.799852
(512,564)(342750,384275)(340000,390000)	chr01	365000	54	0.777937
(518,572)(356572,399618)(350000,400000)	chr01	375000	56	0.689212
(535,580)(360718,406783)(360000,410000)	chr01	385000	47	0.619857
(543,616)(371165,418272)(370000,420000)	chr01	395000	75	0.722768
(562,625)(384248,426178)(380000,430000)	chr01	405000	65	0.676197
(565,625)(399494,426178)(390000,440000)	chr01	415000	62	0.657303
(573,636)(405929,447419)(400000,450000)	chr01	425000	65	0.748647
(581,649)(412986,458510)(410000,460000)	chr01	435000	70	0.776536
(617,649)(422091,458510)(420000,470000)	chr01	445000	34	0.775921
(626,662)(440110,477626)(430000,480000)	chr01	455000	38	0.929817
(626,677)(440110,489540)(440000,490000)	chr01	465000	53	0.941675
(637,688)(458290,497075)(450000,500000)	chr01	475000	53	0.925118
(650,688)(472791,497075)(460000,510000)	chr01	485000	40	0.927217
(650,689)(472791,519445)(470000,520000)	chr01	495000	41	0.927217
(663,701)(482579,525090)(480000,530000)	chr01	505000	40	0.906981
(678,701)(490388,525090)(490000,540000)	chr01	515000	25	0.876148
(689,703)(519445,546039)(500000,550000)	chr01	525000	16	0.709082
(689,704)(519445,556579)(510000,560000)	chr01	535000	17	0.708408
