region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.808963
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.658919
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.637072
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.637356
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.538914
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.450591
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.410571
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.320699
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.371772
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.354892
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.368742
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.366873
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.369835
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.332223
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.526413
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.519233
(285,359)(175855,216859)(170000,220000)	chr01	195000	76	0.784979
(292,381)(183430,229717)(180000,230000)	chr01	205000	91	0.782639
(295,381)(193065,229717)(190000,240000)	chr01	215000	88	0.775707
(307,421)(202400,249999)(200000,250000)	chr01	225000	116	0.704313
(332,458)(215040,258347)(210000,260000)	chr01	235000	128	0.681270
(360,477)(224519,268043)(220000,270000)	chr01	245000	119	0.333565
(382,505)(241035,278351)(230000,280000)	chr01	255000	125	0.292606
(382,529)(241035,286093)(240000,290000)	chr01	265000	149	0.354471
(422,538)(250021,296664)(250000,300000)	chr01	275000	118	0.380951
(459,556)(267752,305489)(260000,310000)	chr01	285000	99	0.307078
(478,556)(270347,305489)(270000,320000)	chr01	295000	80	0.412068
(506,568)(281515,324273)(280000,330000)	chr01	305000	64	0.436504
(530,594)(291233,339583)(290000,340000)	chr01	315000	66	0.530005
(539,600)(303105,348196)(300000,350000)	chr01	325000	63	0.521962
(557,618)(322110,359771)(310000,360000)	chr01	335000	63	0.476527
(557,626)(322110,360805)(320000,370000)	chr01	345000	71	0.524956
(569,645)(334023,373127)(330000,380000)	chr01	355000	78	0.450903
(595,648)(342750,384275)(340000,390000)	chr01	365000	55	0.301514
(601,656)(356572,399618)(350000,400000)	chr01	375000	57	0.409063
(619,670)(360718,406909)(360000,410000)	chr01	385000	53	0.601626
(627,708)(371165,418272)(370000,420000)	chr01	395000	83	0.559189
(646,717)(384248,426178)(380000,430000)	chr01	405000	73	0.651535
(649,717)(399494,426178)(390000,440000)	chr01	415000	70	0.648735
(657,717)(405929,426178)(400000,450000)	chr01	425000	62	0.642745
(671,730)(412909,458510)(410000,460000)	chr01	435000	61	0.700798
(709,730)(422091,458510)(420000,470000)	chr01	445000	23	0.863387
(718,743)(458290,477626)(430000,480000)	chr01	455000	27	0.696356
(718,769)(458290,489540)(440000,490000)	chr01	465000	53	0.666150
(718,780)(458290,497075)(450000,500000)	chr01	475000	64	0.664818
(731,780)(472791,497075)(460000,510000)	chr01	485000	51	0.516023
(731,781)(472791,519445)(470000,520000)	chr01	495000	52	0.528282
(744,802)(482579,527912)(480000,530000)	chr01	505000	60	0.648952
(770,802)(490388,527912)(490000,540000)	chr01	515000	34	0.677531
(781,804)(519445,546039)(500000,550000)	chr01	525000	25	0.668132
(781,804)(519445,546039)(510000,560000)	chr01	535000	25	0.668132
(782,811)(520967,567617)(520000,570000)	chr01	545000	31	0.610139
(803,811)(546012,567617)(530000,580000)	chr01	555000	10	0.292202
(803,811)(546012,567617)(540000,590000)	chr01	565000	10	0.292202
(805,827)(567497,598747)(550000,600000)	chr01	575000	24	0.643357
(805,848)(567497,609080)(560000,610000)	chr01	585000	45	0.668053
(812,848)(598538,609080)(570000,620000)	chr01	595000	38	0.712438
(812,848)(598538,609080)(580000,630000)	chr01	605000	38	0.712438
(812,870)(598538,639995)(590000,640000)	chr01	615000	60	0.673927
(828,873)(608808,647580)(600000,650000)	chr01	625000	47	0.635591
(849,873)(631986,647580)(610000,660000)	chr01	635000	26	0.591990
(849,873)(631986,647580)(620000,670000)	chr01	645000	26	0.591990
(849,877)(631986,679765)(630000,680000)	chr01	655000	30	0.603476
(871,877)(640931,679765)(640000,690000)	chr01	665000	8	0.562512
(874,880)(679713,699440)(650000,700000)	chr01	675000	8	0.492510
(874,887)(679713,702232)(660000,710000)	chr01	685000	15	0.744838
(874,897)(679713,710536)(670000,720000)	chr01	695000	25	0.705026
(878,932)(699339,726176)(680000,730000)	chr01	705000	56	0.680475
(878,965)(699339,736121)(690000,740000)	chr01	715000	89	0.619977
(881,971)(702035,749383)(700000,750000)	chr01	725000	92	0.627813
(888,974)(710398,754850)(710000,760000)	chr01	735000	88	0.587092
(898,1014)(720265,768507)(720000,770000)	chr01	745000	118	0.603031
(933,1021)(730423,774383)(730000,780000)	chr01	755000	90	0.524960
(966,1022)(749258,780712)(740000,790000)	chr01	765000	58	0.592739
(972,1022)(751549,780712)(750000,800000)	chr01	775000	52	0.599772
(975,1026)(760149,800296)(760000,810000)	chr01	785000	53	0.619851
(1015,1056)(771638,819725)(770000,820000)	chr01	795000	43	0.344032
(1022,1058)(780712,824471)(780000,830000)	chr01	805000	38	0.393866
(1023,1111)(800261,839979)(790000,840000)	chr01	815000	90	0.488473
(1023,1112)(800261,849991)(800000,850000)	chr01	825000	91	0.488321
(1027,1117)(816740,852734)(810000,860000)	chr01	835000	92	0.480856
(1057,1120)(824403,860813)(820000,870000)	chr01	845000	65	0.501197
(1059,1126)(830052,877821)(830000,880000)	chr01	855000	69	0.507265
(1112,1136)(849991,888203)(840000,890000)	chr01	865000	26	0.740171
(1113,1143)(852666,898756)(850000,900000)	chr01	875000	32	0.840980
(1118,1168)(860727,909640)(860000,910000)	chr01	885000	52	0.747003
(1121,1198)(876147,916778)(870000,920000)	chr01	895000	79	0.509824
(1127,1225)(881512,929364)(880000,930000)	chr01	905000	100	0.447688
(1137,1229)(893856,936207)(890000,940000)	chr01	915000	94	0.404735
(1144,1262)(902874,949937)(900000,950000)	chr01	925000	120	0.342240
(1169,1275)(911188,952812)(910000,960000)	chr01	935000	108	0.301733
(1199,1283)(921481,969688)(920000,970000)	chr01	945000	86	0.329105
(1226,1328)(933153,979790)(930000,980000)	chr01	955000	104	0.347858
(1230,1348)(941192,981690)(940000,990000)	chr01	965000	120	0.339404
(1263,1364)(951051,994392)(950000,1000000)	chr01	975000	103	0.368299
(1276,1366)(964396,1007159)(960000,1010000)	chr01	985000	92	0.355387
(1284,1402)(972160,1019757)(970000,1020000)	chr01	995000	120	0.297667
(1329,1405)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.286269
(1349,1419)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.292418
(1365,1438)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.245217
