region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.552165
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.536076
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.478378
(24,102)(66768,109295)(60000,110000)	chr01	85000	80	0.505624
(31,176)(72927,119227)(70000,120000)	chr01	95000	147	0.508220
(66,201)(99745,121372)(80000,130000)	chr01	105000	137	0.512120
(66,229)(99745,131673)(90000,140000)	chr01	115000	165	0.519153
(68,244)(101120,148599)(100000,150000)	chr01	125000	178	0.494505
(103,269)(112439,159252)(110000,160000)	chr01	135000	168	0.470057
(177,290)(121114,169571)(120000,170000)	chr01	145000	115	0.425532
(202,297)(130856,175991)(130000,180000)	chr01	155000	97	0.430702
(230,300)(146066,183449)(140000,190000)	chr01	165000	72	0.395268
(245,312)(155765,197658)(150000,200000)	chr01	175000	69	0.361161
(270,337)(165376,204116)(160000,210000)	chr01	185000	69	0.565981
(291,371)(175855,216832)(170000,220000)	chr01	195000	82	0.559448
(298,393)(183430,229717)(180000,230000)	chr01	205000	97	0.542968
(301,393)(193065,229717)(190000,240000)	chr01	215000	94	0.540916
(313,433)(202400,249999)(200000,250000)	chr01	225000	122	0.516754
(338,470)(214936,258347)(210000,260000)	chr01	235000	134	0.418660
(372,489)(224519,268043)(220000,270000)	chr01	245000	119	0.318362
(394,518)(241035,278351)(230000,280000)	chr01	255000	126	0.309157
(394,542)(241035,286093)(240000,290000)	chr01	265000	150	0.309489
(434,551)(250021,296664)(250000,300000)	chr01	275000	119	0.259910
(471,573)(267752,307842)(260000,310000)	chr01	285000	104	0.173832
(490,574)(270347,317230)(270000,320000)	chr01	295000	86	0.256578
(519,586)(281515,324273)(280000,330000)	chr01	305000	69	0.271703
(543,606)(291233,339583)(290000,340000)	chr01	315000	65	0.530722
(552,612)(303105,348196)(300000,350000)	chr01	325000	62	0.577571
(574,629)(317230,359771)(310000,360000)	chr01	335000	57	0.695633
(575,637)(322110,360805)(320000,370000)	chr01	345000	64	0.696599
(587,656)(336747,373127)(330000,380000)	chr01	355000	71	0.742350
(607,659)(342750,384275)(340000,390000)	chr01	365000	54	0.729416
(613,667)(356572,399618)(350000,400000)	chr01	375000	56	0.658575
(630,675)(360718,406909)(360000,410000)	chr01	385000	47	0.661444
(638,704)(371165,418272)(370000,420000)	chr01	395000	68	0.586943
(657,713)(384248,426178)(380000,430000)	chr01	405000	58	0.515459
(660,713)(399494,426178)(390000,440000)	chr01	415000	55	0.452495
(668,733)(405929,447446)(400000,450000)	chr01	425000	67	0.406600
(676,746)(412986,458510)(410000,460000)	chr01	435000	72	0.414690
(705,746)(422091,458510)(420000,470000)	chr01	445000	43	0.381930
(714,759)(440021,477626)(430000,480000)	chr01	455000	47	0.349841
(714,761)(440021,482581)(440000,490000)	chr01	465000	49	0.352890
(734,764)(458290,497075)(450000,500000)	chr01	475000	32	0.434519
(747,764)(472791,497075)(460000,510000)	chr01	485000	19	0.387046
(747,765)(472791,519445)(470000,520000)	chr01	495000	20	0.387042
(760,786)(482579,527912)(480000,530000)	chr01	505000	28	0.328986
(762,786)(496996,527912)(490000,540000)	chr01	515000	26	0.319358
(765,788)(519445,546039)(500000,550000)	chr01	525000	25	0.287289
(765,795)(519445,556579)(510000,560000)	chr01	535000	32	0.240093
(766,802)(520967,567617)(520000,570000)	chr01	545000	38	0.206141
(787,802)(546012,567617)(530000,580000)	chr01	555000	17	0.090803
(787,802)(546012,567617)(540000,590000)	chr01	565000	17	0.090803
(789,818)(553209,598747)(550000,600000)	chr01	575000	31	0.192475
(796,839)(567497,609080)(560000,610000)	chr01	585000	45	0.286438
(803,845)(598538,615712)(570000,620000)	chr01	595000	44	0.322825
(803,859)(598538,629014)(580000,630000)	chr01	605000	58	0.498577
(803,887)(598538,639995)(590000,640000)	chr01	615000	86	0.499550
(819,891)(608808,647580)(600000,650000)	chr01	625000	74	0.513494
(840,891)(615547,647580)(610000,660000)	chr01	635000	53	0.539187
(846,903)(622726,664539)(620000,670000)	chr01	645000	59	0.474527
(860,970)(631986,679765)(630000,680000)	chr01	655000	112	0.305009
(888,976)(640931,687635)(640000,690000)	chr01	665000	90	0.273609
(892,979)(664341,699440)(650000,700000)	chr01	675000	89	0.281122
