region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.694943
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.677385
(17,60)(66768,99748)(50000,100000)	chr01	75000	45	0.640859
(17,94)(66768,109295)(60000,110000)	chr01	85000	79	0.639129
(24,168)(72927,119227)(70000,120000)	chr01	95000	146	0.615248
(59,193)(99745,121372)(80000,130000)	chr01	105000	136	0.606097
(59,221)(99745,131673)(90000,140000)	chr01	115000	164	0.655160
(61,236)(101120,148599)(100000,150000)	chr01	125000	177	0.606544
(95,261)(112439,159252)(110000,160000)	chr01	135000	168	0.615969
(169,282)(121114,169571)(120000,170000)	chr01	145000	115	0.600999
(194,289)(130856,175991)(130000,180000)	chr01	155000	97	0.631209
(222,292)(146066,183449)(140000,190000)	chr01	165000	72	0.426585
(237,304)(155765,197658)(150000,200000)	chr01	175000	69	0.668211
(262,329)(165376,204116)(160000,210000)	chr01	185000	69	0.509987
(283,364)(175855,216859)(170000,220000)	chr01	195000	83	0.585800
(290,386)(183430,229717)(180000,230000)	chr01	205000	98	0.621816
(293,386)(193065,229717)(190000,240000)	chr01	215000	95	0.624134
(305,426)(202400,249999)(200000,250000)	chr01	225000	123	0.615945
(330,463)(214936,258347)(210000,260000)	chr01	235000	135	0.674033
(365,482)(224519,268043)(220000,270000)	chr01	245000	119	0.649733
(387,510)(241035,278351)(230000,280000)	chr01	255000	125	0.628855
(387,534)(241035,286093)(240000,290000)	chr01	265000	149	0.622404
(427,543)(250021,296664)(250000,300000)	chr01	275000	118	0.623604
(464,561)(267752,305489)(260000,310000)	chr01	285000	99	0.511249
(483,561)(270347,305489)(270000,320000)	chr01	295000	80	0.548106
(511,573)(281515,324273)(280000,330000)	chr01	305000	64	0.536254
(535,599)(291233,339583)(290000,340000)	chr01	315000	66	0.602072
(544,605)(303105,348196)(300000,350000)	chr01	325000	63	0.595583
(562,623)(322110,359771)(310000,360000)	chr01	335000	63	0.569483
(562,631)(322110,360805)(320000,370000)	chr01	345000	71	0.578981
(574,650)(334023,373127)(330000,380000)	chr01	355000	78	0.599282
(600,653)(342750,384275)(340000,390000)	chr01	365000	55	0.552668
(606,661)(356572,399618)(350000,400000)	chr01	375000	57	0.553720
(624,675)(360718,406909)(360000,410000)	chr01	385000	53	0.701841
(632,713)(371165,418272)(370000,420000)	chr01	395000	83	0.680620
(651,722)(384248,426178)(380000,430000)	chr01	405000	73	0.707043
(654,722)(399494,426178)(390000,440000)	chr01	415000	70	0.700559
(662,722)(405929,426178)(400000,450000)	chr01	425000	62	0.710119
(676,735)(412909,458510)(410000,460000)	chr01	435000	61	0.632472
(714,735)(422091,458510)(420000,470000)	chr01	445000	23	0.574450
(723,748)(458290,477626)(430000,480000)	chr01	455000	27	0.544050
(723,774)(458290,489540)(440000,490000)	chr01	465000	53	0.570842
(723,785)(458290,497075)(450000,500000)	chr01	475000	64	0.567701
(736,785)(472791,497075)(460000,510000)	chr01	485000	51	0.639724
(736,786)(472791,519445)(470000,520000)	chr01	495000	52	0.615413
(749,807)(482579,527912)(480000,530000)	chr01	505000	60	0.578249
(775,807)(490388,527912)(490000,540000)	chr01	515000	34	0.539120
(786,809)(519445,546039)(500000,550000)	chr01	525000	25	0.546296
(786,809)(519445,546039)(510000,560000)	chr01	535000	25	0.546296
(787,816)(520967,567617)(520000,570000)	chr01	545000	31	0.573161
(808,816)(546012,567617)(530000,580000)	chr01	555000	10	0.522663
(808,816)(546012,567617)(540000,590000)	chr01	565000	10	0.522663
(810,832)(567497,598747)(550000,600000)	chr01	575000	24	0.612825
(810,853)(567497,609080)(560000,610000)	chr01	585000	45	0.581015
(817,853)(598538,609080)(570000,620000)	chr01	595000	38	0.593458
(817,853)(598538,609080)(580000,630000)	chr01	605000	38	0.593458
(817,875)(598538,639995)(590000,640000)	chr01	615000	60	0.538154
(833,878)(608808,647580)(600000,650000)	chr01	625000	47	0.541819
(854,878)(631986,647580)(610000,660000)	chr01	635000	26	0.541787
(854,878)(631986,647580)(620000,670000)	chr01	645000	26	0.541787
(854,882)(631986,679765)(630000,680000)	chr01	655000	30	0.535209
(876,882)(640931,679765)(640000,690000)	chr01	665000	8	0.666351
(879,885)(679713,699440)(650000,700000)	chr01	675000	8	0.404628
(879,907)(679713,705398)(660000,710000)	chr01	685000	30	0.770147
(879,917)(679713,710536)(670000,720000)	chr01	695000	40	0.705266
(883,952)(699339,726176)(680000,730000)	chr01	705000	71	0.679742
(883,985)(699339,736121)(690000,740000)	chr01	715000	104	0.610531
(886,991)(702035,749383)(700000,750000)	chr01	725000	107	0.618934
(908,994)(710398,754850)(710000,760000)	chr01	735000	88	0.520571
(918,1034)(720265,768507)(720000,770000)	chr01	745000	118	0.593906
(953,1041)(730423,774383)(730000,780000)	chr01	755000	90	0.551182
(986,1042)(749258,780712)(740000,790000)	chr01	765000	58	0.664685
(992,1042)(751549,780712)(750000,800000)	chr01	775000	52	0.669981
(995,1046)(760149,800296)(760000,810000)	chr01	785000	53	0.684595
(1035,1076)(771638,819725)(770000,820000)	chr01	795000	43	0.488520
(1042,1078)(780712,824471)(780000,830000)	chr01	805000	38	0.479309
(1043,1131)(800261,839979)(790000,840000)	chr01	815000	90	0.349845
(1043,1132)(800261,849991)(800000,850000)	chr01	825000	91	0.349714
(1047,1137)(816740,852734)(810000,860000)	chr01	835000	92	0.324563
(1077,1140)(824403,860813)(820000,870000)	chr01	845000	65	0.314589
(1079,1146)(830052,877821)(830000,880000)	chr01	855000	69	0.349256
(1132,1156)(849991,888203)(840000,890000)	chr01	865000	26	0.720726
(1133,1163)(852666,898756)(850000,900000)	chr01	875000	32	0.815679
(1138,1188)(860727,909640)(860000,910000)	chr01	885000	52	0.789733
(1141,1218)(876147,916778)(870000,920000)	chr01	895000	79	0.635737
(1147,1245)(881512,929364)(880000,930000)	chr01	905000	100	0.556013
(1157,1249)(893856,936207)(890000,940000)	chr01	915000	94	0.521764
(1164,1282)(902874,949937)(900000,950000)	chr01	925000	120	0.454844
(1189,1295)(911188,952812)(910000,960000)	chr01	935000	108	0.410789
(1219,1303)(921481,969688)(920000,970000)	chr01	945000	86	0.467462
(1246,1348)(933153,979790)(930000,980000)	chr01	955000	104	0.641102
(1250,1368)(941192,981690)(940000,990000)	chr01	965000	120	0.694188
(1283,1384)(951051,994392)(950000,1000000)	chr01	975000	103	0.835435
(1296,1386)(964396,1007159)(960000,1010000)	chr01	985000	92	0.868955
(1304,1422)(972160,1019757)(970000,1020000)	chr01	995000	120	0.830884
(1349,1425)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.833913
(1369,1439)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.819007
(1385,1457)(1007148,1046477)(1000000,1050000)	chr01	1025000	74	0.821115
(1387,1458)(1010494,1059222)(1010000,1060000)	chr01	1035000	73	0.816109
(1423,1467)(1023745,1060127)(1020000,1070000)	chr01	1045000	46	0.868524
