region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.450892
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.397879
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.319006
(24,100)(66768,109295)(60000,110000)	chr01	85000	78	0.453557
(31,174)(72927,119227)(70000,120000)	chr01	95000	145	0.628991
(66,199)(99745,121372)(80000,130000)	chr01	105000	135	0.683593
(66,227)(99745,131673)(90000,140000)	chr01	115000	163	0.685659
(68,242)(101120,148599)(100000,150000)	chr01	125000	176	0.674859
(101,267)(112439,159252)(110000,160000)	chr01	135000	168	0.678751
(175,288)(121114,169571)(120000,170000)	chr01	145000	115	0.631165
(200,295)(130856,175991)(130000,180000)	chr01	155000	97	0.646453
(228,298)(146066,183449)(140000,190000)	chr01	165000	72	0.650427
(243,310)(155765,197658)(150000,200000)	chr01	175000	69	0.733826
(268,335)(165376,204116)(160000,210000)	chr01	185000	69	0.721375
(289,370)(175855,216859)(170000,220000)	chr01	195000	83	0.660289
(296,390)(183430,229717)(180000,230000)	chr01	205000	96	0.669627
(299,390)(193065,229717)(190000,240000)	chr01	215000	93	0.661381
(311,428)(202400,249999)(200000,250000)	chr01	225000	119	0.642150
(336,464)(214936,257533)(210000,260000)	chr01	235000	130	0.658825
(371,483)(224519,268043)(220000,270000)	chr01	245000	114	0.623844
(391,512)(241035,278351)(230000,280000)	chr01	255000	123	0.597017
(391,536)(241035,286093)(240000,290000)	chr01	265000	147	0.577622
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.548614
(465,567)(267752,307842)(260000,310000)	chr01	285000	104	0.468701
(484,568)(270347,317230)(270000,320000)	chr01	295000	86	0.507560
(513,580)(281515,324273)(280000,330000)	chr01	305000	69	0.467710
(537,606)(291233,339583)(290000,340000)	chr01	315000	71	0.564276
(546,612)(303105,348196)(300000,350000)	chr01	325000	68	0.576774
(568,630)(317230,359771)(310000,360000)	chr01	335000	64	0.557328
(569,638)(322110,360805)(320000,370000)	chr01	345000	71	0.538158
(581,657)(334023,373127)(330000,380000)	chr01	355000	78	0.607180
(607,660)(342750,384275)(340000,390000)	chr01	365000	55	0.604764
(613,668)(356572,399618)(350000,400000)	chr01	375000	57	0.556879
(631,682)(360718,406909)(360000,410000)	chr01	385000	53	0.714558
(639,720)(371165,418272)(370000,420000)	chr01	395000	83	0.672095
(658,729)(384248,426178)(380000,430000)	chr01	405000	73	0.690173
(661,729)(399494,426178)(390000,440000)	chr01	415000	70	0.671727
(669,749)(405929,447446)(400000,450000)	chr01	425000	82	0.668746
(683,762)(412909,458510)(410000,460000)	chr01	435000	81	0.639498
(721,762)(422091,458510)(420000,470000)	chr01	445000	43	0.682223
(730,775)(440021,477626)(430000,480000)	chr01	455000	47	0.647453
(730,801)(440021,489540)(440000,490000)	chr01	465000	73	0.634811
(750,812)(458290,497075)(450000,500000)	chr01	475000	64	0.667312
(763,812)(472791,497075)(460000,510000)	chr01	485000	51	0.689879
(763,813)(472791,519445)(470000,520000)	chr01	495000	52	0.668285
(776,834)(482579,527912)(480000,530000)	chr01	505000	60	0.565823
(802,834)(490388,527912)(490000,540000)	chr01	515000	34	0.594802
(813,836)(519445,546039)(500000,550000)	chr01	525000	25	0.591599
(813,843)(519445,556579)(510000,560000)	chr01	535000	32	0.558770
(814,850)(520967,567617)(520000,570000)	chr01	545000	38	0.530695
(835,850)(546012,567617)(530000,580000)	chr01	555000	17	0.404141
(835,850)(546012,567617)(540000,590000)	chr01	565000	17	0.404141
(837,866)(553209,598747)(550000,600000)	chr01	575000	31	0.334699
(844,887)(567497,609080)(560000,610000)	chr01	585000	45	0.312294
(851,893)(598538,615712)(570000,620000)	chr01	595000	44	0.474547
(851,907)(598538,629014)(580000,630000)	chr01	605000	58	0.506871
(851,929)(598538,639995)(590000,640000)	chr01	615000	80	0.520467
(867,933)(608808,647580)(600000,650000)	chr01	625000	68	0.613822
(888,933)(615547,647580)(610000,660000)	chr01	635000	47	0.658339
(894,945)(622726,664539)(620000,670000)	chr01	645000	53	0.514359
(908,1012)(631986,679765)(630000,680000)	chr01	655000	106	0.502027
(930,1018)(640931,687635)(640000,690000)	chr01	665000	90	0.542392
(934,1021)(664341,699440)(650000,700000)	chr01	675000	89	0.521338
(934,1025)(664341,702132)(660000,710000)	chr01	685000	93	0.520982
(946,1035)(670057,710536)(670000,720000)	chr01	695000	91	0.625177
(1013,1064)(687435,726075)(680000,730000)	chr01	705000	53	0.794080
(1019,1097)(699339,736121)(690000,740000)	chr01	715000	80	0.643237
(1022,1103)(702035,749383)(700000,750000)	chr01	725000	83	0.645584
(1026,1106)(710398,754850)(710000,760000)	chr01	735000	82	0.642225
(1036,1117)(720265,768507)(720000,770000)	chr01	745000	83	0.525432
(1065,1124)(730423,774383)(730000,780000)	chr01	755000	61	0.472833
(1098,1125)(749258,780712)(740000,790000)	chr01	765000	29	0.607838
(1104,1125)(751549,780712)(750000,800000)	chr01	775000	23	0.621289
(1107,1129)(768240,800296)(760000,810000)	chr01	785000	24	0.624727
(1118,1159)(771638,819725)(770000,820000)	chr01	795000	43	0.490138
(1125,1161)(780712,824471)(780000,830000)	chr01	805000	38	0.462445
(1126,1202)(800261,839979)(790000,840000)	chr01	815000	78	0.393945
(1126,1203)(800261,849991)(800000,850000)	chr01	825000	79	0.393899
(1130,1208)(816740,852734)(810000,860000)	chr01	835000	80	0.401205
(1160,1211)(824403,860813)(820000,870000)	chr01	845000	53	0.448559
(1162,1217)(830052,877821)(830000,880000)	chr01	855000	57	0.455496
(1203,1229)(849991,888203)(840000,890000)	chr01	865000	28	0.713720
(1204,1244)(852666,898885)(850000,900000)	chr01	875000	42	0.779240
(1209,1244)(860727,898885)(860000,910000)	chr01	885000	37	0.791633
(1212,1274)(876147,916778)(870000,920000)	chr01	895000	64	0.722434
(1218,1301)(881512,929364)(880000,930000)	chr01	905000	85	0.650275
(1230,1305)(890743,936207)(890000,940000)	chr01	915000	77	0.611437
(1245,1338)(911188,949937)(900000,950000)	chr01	925000	95	0.596685
(1245,1351)(911188,952812)(910000,960000)	chr01	935000	108	0.619149
(1275,1359)(921481,969688)(920000,970000)	chr01	945000	86	0.655161
(1302,1409)(933153,979790)(930000,980000)	chr01	955000	109	0.766299
(1306,1429)(941192,981690)(940000,990000)	chr01	965000	125	0.799859
(1339,1445)(951051,994392)(950000,1000000)	chr01	975000	108	0.882159
(1352,1447)(964396,1007159)(960000,1010000)	chr01	985000	97	0.892128
(1360,1483)(972160,1019757)(970000,1020000)	chr01	995000	125	0.852754
(1410,1486)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.851578
(1430,1500)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.839004
(1446,1518)(1007148,1046477)(1000000,1050000)	chr01	1025000	74	0.852038
(1448,1518)(1010494,1046477)(1010000,1060000)	chr01	1035000	72	0.848907
(1484,1527)(1023745,1060127)(1020000,1070000)	chr01	1045000	45	0.903885
(1487,1527)(1030079,1060127)(1030000,1080000)	chr01	1055000	42	0.906033
(1501,1537)(1040190,1088668)(1040000,1090000)	chr01	1065000	38	0.899676
(1519,1537)(1060081,1088668)(1050000,1100000)	chr01	1075000	20	0.803444
(1519,1542)(1060081,1106471)(1060000,1110000)	chr01	1085000	25	0.821969
(1528,1545)(1080464,1118148)(1070000,1120000)	chr01	1095000	19	0.846144
(1528,1555)(1080464,1129684)(1080000,1130000)	chr01	1105000	29	0.833865
(1538,1582)(1106311,1137795)(1090000,1140000)	chr01	1115000	46	0.601847
(1538,1599)(1106311,1148852)(1100000,1150000)	chr01	1125000	63	0.731483
(1543,1601)(1110213,1156484)(1110000,1160000)	chr01	1135000	60	0.725424
(1546,1629)(1125674,1169984)(1120000,1170000)	chr01	1145000	85	0.777611
(1556,1636)(1131938,1175775)(1130000,1180000)	chr01	1155000	82	0.735372
(1583,1640)(1141378,1187811)(1140000,1190000)	chr01	1165000	59	0.807588
(1600,1647)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.738011
(1602,1651)(1161555,1202634)(1160000,1210000)	chr01	1185000	51	0.774484
(1630,1665)(1170001,1215995)(1170000,1220000)	chr01	1195000	37	0.735120
(1637,1665)(1181102,1215995)(1180000,1230000)	chr01	1205000	30	0.846979
(1641,1684)(1196849,1235615)(1190000,1240000)	chr01	1215000	45	0.659094
(1648,1688)(1202564,1248625)(1200000,1250000)	chr01	1225000	42	0.649791
(1652,1688)(1215791,1248625)(1210000,1260000)	chr01	1235000	38	0.569536
(1666,1692)(1230664,1266942)(1220000,1270000)	chr01	1245000	28	0.313229
(1666,1698)(1230664,1271087)(1230000,1280000)	chr01	1255000	34	0.307625
(1685,1712)(1247842,1287173)(1240000,1290000)	chr01	1265000	29	0.637592
(1689,1713)(1260554,1299829)(1250000,1300000)	chr01	1275000	26	0.662110
(1689,1756)(1260554,1309752)(1260000,1310000)	chr01	1285000	69	0.624468
(1693,1764)(1271029,1311855)(1270000,1320000)	chr01	1295000	73	0.635752
(1699,1768)(1281877,1327006)(1280000,1330000)	chr01	1305000	71	0.656905
(1713,1792)(1299829,1339830)(1290000,1340000)	chr01	1315000	81	0.652780
(1714,1827)(1306965,1348194)(1300000,1350000)	chr01	1325000	115	0.693112
(1757,1831)(1311649,1355827)(1310000,1360000)	chr01	1335000	76	0.766050
(1765,1843)(1326979,1369999)(1320000,1370000)	chr01	1345000	80	0.823437
(1769,1868)(1330096,1376926)(1330000,1380000)	chr01	1355000	101	0.871411
(1793,1870)(1340379,1380434)(1340000,1390000)	chr01	1365000	79	0.940141
(1828,1927)(1354558,1399777)(1350000,1400000)	chr01	1375000	101	0.865304
(1832,1964)(1365354,1408031)(1360000,1410000)	chr01	1385000	134	0.850247
(1844,1974)(1370042,1414038)(1370000,1420000)	chr01	1395000	132	0.790417
(1869,1974)(1380412,1414038)(1380000,1430000)	chr01	1405000	107	0.614502
(1871,1982)(1390829,1434626)(1390000,1440000)	chr01	1415000	113	0.686834
(1928,2004)(1403724,1447907)(1400000,1450000)	chr01	1425000	78	0.707858
(1965,2004)(1412497,1447907)(1410000,1460000)	chr01	1435000	41	0.702080
(1975,2020)(1432940,1466693)(1420000,1470000)	chr01	1445000	47	0.911128
(1975,2031)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.910642
(1983,2040)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.880758
(2005,2052)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.725383
(2005,2052)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.725383
(2021,2054)(1470369,1518877)(1470000,1520000)	chr01	1495000	35	0.583007
(2032,2080)(1480472,1528219)(1480000,1530000)	chr01	1505000	50	0.535699
(2041,2086)(1494294,1539114)(1490000,1540000)	chr01	1515000	47	0.593694
(2053,2101)(1518851,1541686)(1500000,1550000)	chr01	1525000	50	0.605079
(2053,2108)(1518851,1559963)(1510000,1560000)	chr01	1535000	57	0.605075
(2055,2113)(1520238,1565601)(1520000,1570000)	chr01	1545000	60	0.442133
(2081,2123)(1534100,1576258)(1530000,1580000)	chr01	1555000	44	0.377464
(2087,2135)(1540673,1589999)(1540000,1590000)	chr01	1565000	50	0.378475
(2102,2153)(1557459,1594343)(1550000,1600000)	chr01	1575000	53	0.397192
(2109,2172)(1565554,1609534)(1560000,1610000)	chr01	1585000	65	0.372118
(2114,2193)(1571517,1615954)(1570000,1620000)	chr01	1595000	81	0.530320
(2124,2205)(1582529,1625070)(1580000,1630000)	chr01	1605000	83	0.568755
(2136,2205)(1590004,1625070)(1590000,1640000)	chr01	1615000	71	0.508424
(2154,2235)(1602281,1647959)(1600000,1650000)	chr01	1625000	83	0.567115
(2173,2259)(1614247,1659319)(1610000,1660000)	chr01	1635000	88	0.618414
(2194,2278)(1622917,1668636)(1620000,1670000)	chr01	1645000	86	0.877949
(2206,2310)(1641495,1679436)(1630000,1680000)	chr01	1655000	106	0.878625
(2206,2322)(1641495,1686842)(1640000,1690000)	chr01	1665000	118	0.867695
(2236,2330)(1655037,1699901)(1650000,1700000)	chr01	1675000	96	0.905205
(2260,2334)(1666837,1707624)(1660000,1710000)	chr01	1685000	76	0.923159
(2279,2335)(1672203,1718665)(1670000,1720000)	chr01	1695000	58	0.883923
(2311,2348)(1684895,1726909)(1680000,1730000)	chr01	1705000	39	0.843208
(2323,2389)(1694753,1739508)(1690000,1740000)	chr01	1715000	68	0.703550
(2331,2403)(1707516,1747885)(1700000,1750000)	chr01	1725000	74	0.614472
(2335,2419)(1718665,1759177)(1710000,1760000)	chr01	1735000	86	0.448320
(2336,2448)(1726685,1768287)(1720000,1770000)	chr01	1745000	114	0.364532
(2349,2467)(1730802,1778629)(1730000,1780000)	chr01	1755000	120	0.233409
(2390,2478)(1743980,1786148)(1740000,1790000)	chr01	1765000	90	0.213941
(2404,2478)(1750964,1786148)(1750000,1800000)	chr01	1775000	76	0.174350
(2420,2486)(1760369,1809286)(1760000,1810000)	chr01	1785000	68	0.242892
(2449,2523)(1775143,1819814)(1770000,1820000)	chr01	1795000	76	0.422603
(2468,2555)(1785664,1829936)(1780000,1830000)	chr01	1805000	89	0.414618
(2479,2562)(1808990,1834989)(1790000,1840000)	chr01	1815000	85	0.416761
(2479,2578)(1808990,1845832)(1800000,1850000)	chr01	1825000	101	0.413495
(2487,2587)(1810148,1857922)(1810000,1860000)	chr01	1835000	102	0.375213
(2524,2587)(1820045,1857922)(1820000,1870000)	chr01	1845000	65	0.353192
(2556,2588)(1833262,1874016)(1830000,1880000)	chr01	1855000	34	0.367854
(2563,2613)(1844345,1886510)(1840000,1890000)	chr01	1865000	52	0.347949
(2579,2616)(1857713,1891379)(1850000,1900000)	chr01	1875000	39	0.261704
(2588,2616)(1874016,1891379)(1860000,1910000)	chr01	1885000	30	0.489781
(2588,2616)(1874016,1891379)(1870000,1920000)	chr01	1895000	30	0.489781
(2589,2630)(1882508,1927820)(1880000,1930000)	chr01	1905000	43	0.503218
(2614,2639)(1891326,1938492)(1890000,1940000)	chr01	1915000	27	0.218296
(2617,2642)(1921289,1943645)(1900000,1950000)	chr01	1925000	27	0.260106
(2617,2653)(1921289,1959486)(1910000,1960000)	chr01	1935000	38	0.209459
(2617,2656)(1921289,1968482)(1920000,1970000)	chr01	1945000	41	0.190506
(2631,2687)(1937045,1976145)(1930000,1980000)	chr01	1955000	58	0.575270
(2640,2695)(1943618,1985957)(1940000,1990000)	chr01	1965000	57	0.733316
(2643,2696)(1959324,1997703)(1950000,2000000)	chr01	1975000	55	0.733421
(2654,2702)(1968396,2005901)(1960000,2010000)	chr01	1985000	50	0.812905
(2657,2729)(1973922,2016645)(1970000,2020000)	chr01	1995000	74	0.811587
(2688,2739)(1985852,2024923)(1980000,2030000)	chr01	2005000	53	0.842828
(2696,2765)(1997703,2038800)(1990000,2040000)	chr01	2015000	71	0.778876
(2697,2768)(2005804,2048565)(2000000,2050000)	chr01	2025000	73	0.837636
(2703,2769)(2010476,2056981)(2010000,2060000)	chr01	2035000	68	0.836667
(2730,2777)(2022428,2065186)(2020000,2070000)	chr01	2045000	49	0.889436
(2740,2785)(2030685,2075275)(2030000,2080000)	chr01	2055000	47	0.894954
(2766,2791)(2048522,2084300)(2040000,2090000)	chr01	2065000	27	0.873600
(2769,2791)(2056981,2084300)(2050000,2100000)	chr01	2075000	24	0.851383
(2770,2793)(2064938,2103427)(2060000,2110000)	chr01	2085000	25	0.840021
(2778,2822)(2072783,2119863)(2070000,2120000)	chr01	2095000	46	0.825307
(2786,2822)(2083655,2119863)(2080000,2130000)	chr01	2105000	38	0.801813
(2792,2829)(2103406,2135516)(2090000,2140000)	chr01	2115000	39	0.873599
(2792,2846)(2103406,2144605)(2100000,2150000)	chr01	2125000	56	0.841268
(2794,2857)(2110077,2153664)(2110000,2160000)	chr01	2135000	65	0.810411
(2823,2868)(2135395,2169153)(2120000,2170000)	chr01	2145000	47	0.829735
(2823,2894)(2135395,2179328)(2130000,2180000)	chr01	2155000	73	0.852171
(2830,2919)(2142749,2188441)(2140000,2190000)	chr01	2165000	91	0.764200
(2847,2944)(2150176,2198527)(2150000,2200000)	chr01	2175000	99	0.822133
(2858,2964)(2166156,2206253)(2160000,2210000)	chr01	2185000	108	0.805402
(2869,2979)(2170452,2216710)(2170000,2220000)	chr01	2195000	112	0.733953
(2895,2982)(2180217,2221974)(2180000,2230000)	chr01	2205000	89	0.667134
(2920,3004)(2192613,2237856)(2190000,2240000)	chr01	2215000	86	0.747901
(2945,3009)(2200974,2248960)(2200000,2250000)	chr01	2225000	66	0.652490
(2965,3027)(2214796,2253815)(2210000,2260000)	chr01	2235000	64	0.762968
(2980,3066)(2221944,2268623)(2220000,2270000)	chr01	2245000	88	0.798854
(2983,3077)(2231631,2277833)(2230000,2280000)	chr01	2255000	96	0.771581
(3005,3105)(2243733,2284724)(2240000,2290000)	chr01	2265000	102	0.588992
(3010,3111)(2250673,2290161)(2250000,2300000)	chr01	2275000	103	0.538402
(3028,3118)(2263428,2300926)(2260000,2310000)	chr01	2285000	92	0.331986
(3067,3137)(2270935,2317563)(2270000,2320000)	chr01	2295000	72	0.224947
(3078,3137)(2281592,2317563)(2280000,2330000)	chr01	2305000	61	0.229753
(3106,3137)(2290032,2317563)(2290000,2340000)	chr01	2315000	33	0.209800
(3112,3147)(2300836,2349544)(2300000,2350000)	chr01	2325000	37	0.307471
(3119,3169)(2314964,2357061)(2310000,2360000)	chr01	2335000	52	0.425859
(3138,3180)(2342747,2360811)(2320000,2370000)	chr01	2345000	44	0.418218
(3138,3190)(2342747,2370267)(2330000,2380000)	chr01	2355000	54	0.388810
(3138,3226)(2342747,2386007)(2340000,2390000)	chr01	2365000	90	0.330163
(3148,3247)(2352351,2399499)(2350000,2400000)	chr01	2375000	101	0.324811
(3170,3286)(2360586,2409712)(2360000,2410000)	chr01	2385000	118	0.231787
(3181,3297)(2370097,2417064)(2370000,2420000)	chr01	2395000	118	0.264120
(3191,3304)(2380855,2428154)(2380000,2430000)	chr01	2405000	115	0.289640
(3227,3310)(2392306,2437420)(2390000,2440000)	chr01	2415000	85	0.607559
(3248,3337)(2401257,2449050)(2400000,2450000)	chr01	2425000	91	0.702682
(3287,3344)(2416895,2458916)(2410000,2460000)	chr01	2435000	59	0.838609
(3298,3379)(2425196,2463590)(2420000,2470000)	chr01	2445000	83	0.792942
(3305,3401)(2436146,2479203)(2430000,2480000)	chr01	2455000	98	0.787580
(3311,3404)(2444103,2482772)(2440000,2490000)	chr01	2465000	95	0.779607
(3338,3413)(2452762,2493742)(2450000,2500000)	chr01	2475000	77	0.791033
(3345,3456)(2460117,2508548)(2460000,2510000)	chr01	2485000	113	0.770649
(3380,3479)(2471748,2517089)(2470000,2520000)	chr01	2495000	101	0.826247
(3402,3502)(2482746,2529777)(2480000,2530000)	chr01	2505000	102	0.844047
(3405,3524)(2492434,2538351)(2490000,2540000)	chr01	2515000	121	0.849350
(3414,3530)(2502513,2545863)(2500000,2550000)	chr01	2525000	118	0.852193
(3457,3541)(2511731,2558042)(2510000,2560000)	chr01	2535000	86	0.842017
(3480,3553)(2522672,2568170)(2520000,2570000)	chr01	2545000	75	0.834540
(3503,3577)(2530291,2579515)(2530000,2580000)	chr01	2555000	76	0.873181
(3525,3588)(2545703,2589457)(2540000,2590000)	chr01	2565000	65	0.840481
(3531,3588)(2556113,2589457)(2550000,2600000)	chr01	2575000	59	0.838451
(3542,3591)(2562903,2602012)(2560000,2610000)	chr01	2585000	51	0.849130
(3554,3591)(2570732,2602012)(2570000,2620000)	chr01	2595000	39	0.863321
(3578,3615)(2589283,2629677)(2580000,2630000)	chr01	2605000	39	0.832640
(3589,3615)(2601984,2629677)(2590000,2640000)	chr01	2615000	28	0.916901
(3589,3622)(2601984,2647685)(2600000,2650000)	chr01	2625000	35	0.911651
(3592,3641)(2620268,2652589)(2610000,2660000)	chr01	2635000	51	0.905199
(3592,3655)(2620268,2662872)(2620000,2670000)	chr01	2645000	65	0.894831
(3616,3676)(2641421,2679588)(2630000,2680000)	chr01	2655000	62	0.885586
(3616,3676)(2641421,2679588)(2640000,2690000)	chr01	2665000	62	0.885586
(3623,3691)(2650843,2696549)(2650000,2700000)	chr01	2675000	70	0.886352
(3642,3700)(2661618,2708952)(2660000,2710000)	chr01	2685000	60	0.868321
(3656,3714)(2677007,2715573)(2670000,2720000)	chr01	2695000	60	0.894136
(3677,3740)(2694353,2729927)(2680000,2730000)	chr01	2705000	65	0.860876
(3677,3746)(2694353,2733254)(2690000,2740000)	chr01	2715000	71	0.837894
(3692,3746)(2707188,2733254)(2700000,2750000)	chr01	2725000	56	0.824154
(3701,3754)(2713158,2758192)(2710000,2760000)	chr01	2735000	55	0.628931
(3715,3785)(2723210,2769321)(2720000,2770000)	chr01	2745000	72	0.498742
(3741,3785)(2733051,2769321)(2730000,2780000)	chr01	2755000	46	0.417251
(3747,3785)(2758090,2769321)(2740000,2790000)	chr01	2765000	40	0.438312
(3747,3793)(2758090,2797152)(2750000,2800000)	chr01	2775000	48	0.437352
(3755,3803)(2764352,2808020)(2760000,2810000)	chr01	2785000	50	0.700677
(3786,3823)(2793625,2819143)(2770000,2820000)	chr01	2795000	39	0.960761
(3786,3841)(2793625,2824191)(2780000,2830000)	chr01	2805000	57	0.967398
(3786,3876)(2793625,2836231)(2790000,2840000)	chr01	2815000	92	0.981795
