region	chr	midPos	Nsites
(2,14)(27510,40620)(10000,60000)	chr01	35000	14	0.903012
(2,14)(27510,40620)(20000,70000)	chr01	45000	14	0.903012
(7,36)(34877,75784)(30000,80000)	chr01	55000	31	0.825321
(8,36)(40565,75784)(40000,90000)	chr01	65000	30	0.818091
(15,38)(72990,99748)(50000,100000)	chr01	75000	25	0.743710
(15,72)(72990,109295)(60000,110000)	chr01	85000	59	0.601556
(15,143)(72990,119227)(70000,120000)	chr01	95000	130	0.684805
(37,168)(99745,121372)(80000,130000)	chr01	105000	133	0.688270
(37,196)(99745,131673)(90000,140000)	chr01	115000	161	0.728789
(39,211)(101120,148599)(100000,150000)	chr01	125000	174	0.723382
(73,236)(112439,159252)(110000,160000)	chr01	135000	165	0.764210
(144,257)(121114,169571)(120000,170000)	chr01	145000	115	0.802683
(169,264)(130856,175991)(130000,180000)	chr01	155000	97	0.798191
(197,267)(146066,183449)(140000,190000)	chr01	165000	72	0.758670
(212,279)(155765,197658)(150000,200000)	chr01	175000	69	0.782514
(237,304)(165376,204116)(160000,210000)	chr01	185000	69	0.713913
(258,339)(175855,216859)(170000,220000)	chr01	195000	83	0.831415
(265,361)(183430,229717)(180000,230000)	chr01	205000	98	0.866679
(268,361)(193065,229717)(190000,240000)	chr01	215000	95	0.868032
(280,401)(202400,249999)(200000,250000)	chr01	225000	123	0.849541
(305,435)(214936,257492)(210000,260000)	chr01	235000	132	0.877461
(340,451)(224519,268043)(220000,270000)	chr01	245000	113	0.694241
(362,465)(241035,278259)(230000,280000)	chr01	255000	105	0.580761
(362,475)(241035,285977)(240000,290000)	chr01	265000	115	0.576641
(402,475)(250021,285977)(250000,300000)	chr01	275000	75	0.597391
(436,490)(267752,305489)(260000,310000)	chr01	285000	56	0.652671
(452,490)(270347,305489)(270000,320000)	chr01	295000	40	0.773712
(466,495)(284735,323234)(280000,330000)	chr01	305000	31	0.819486
(476,510)(303105,339583)(290000,340000)	chr01	315000	36	0.781404
(476,515)(303105,348196)(300000,350000)	chr01	325000	41	0.812491
(491,533)(322110,359771)(310000,360000)	chr01	335000	44	0.492998
(491,541)(322110,360805)(320000,370000)	chr01	345000	52	0.534457
(496,560)(334023,373127)(330000,380000)	chr01	355000	66	0.443510
(511,563)(342750,384275)(340000,390000)	chr01	365000	54	0.410720
(516,571)(356572,399618)(350000,400000)	chr01	375000	57	0.374613
(534,585)(360718,406909)(360000,410000)	chr01	385000	53	0.557878
(542,623)(371165,418272)(370000,420000)	chr01	395000	83	0.560302
(561,632)(384248,426178)(380000,430000)	chr01	405000	73	0.651612
(564,632)(399494,426178)(390000,440000)	chr01	415000	70	0.651651
(572,632)(405929,426178)(400000,450000)	chr01	425000	62	0.627958
(586,645)(412909,458510)(410000,460000)	chr01	435000	61	0.536593
(624,645)(422091,458510)(420000,470000)	chr01	445000	23	0.297387
(633,658)(458290,477626)(430000,480000)	chr01	455000	27	0.447595
(633,684)(458290,489540)(440000,490000)	chr01	465000	53	0.491322
(633,695)(458290,497075)(450000,500000)	chr01	475000	64	0.508625
(646,695)(472791,497075)(460000,510000)	chr01	485000	51	0.533388
(646,696)(472791,519445)(470000,520000)	chr01	495000	52	0.540408
