region	chr	midPos	Nsites
(1,53)(40565,79275)(40000,90000)	chr01	65000	54	0.577782
(19,55)(72927,99748)(50000,100000)	chr01	75000	38	0.460165
(19,89)(72927,109295)(60000,110000)	chr01	85000	72	0.616607
(19,146)(72927,119132)(70000,120000)	chr01	95000	129	0.734208
(54,171)(99745,121372)(80000,130000)	chr01	105000	119	0.799520
(54,185)(99745,131673)(90000,140000)	chr01	115000	133	0.818614
(56,200)(101120,148599)(100000,150000)	chr01	125000	146	0.805635
(90,225)(112439,159252)(110000,160000)	chr01	135000	137	0.800584
(147,246)(121114,169571)(120000,170000)	chr01	145000	101	0.749660
(172,253)(131445,175991)(130000,180000)	chr01	155000	83	0.748108
(186,256)(146066,183449)(140000,190000)	chr01	165000	72	0.702230
(201,268)(155765,197658)(150000,200000)	chr01	175000	69	0.691004
(226,293)(165376,204116)(160000,210000)	chr01	185000	69	0.771341
(247,320)(175855,216832)(170000,220000)	chr01	195000	75	0.809860
(254,341)(183430,229717)(180000,230000)	chr01	205000	89	0.772439
(257,341)(193065,229717)(190000,240000)	chr01	215000	86	0.797557
(269,379)(202400,249999)(200000,250000)	chr01	225000	112	0.701901
(294,415)(215040,257533)(210000,260000)	chr01	235000	123	0.531479
(321,434)(224519,268043)(220000,270000)	chr01	245000	115	0.545052
(342,461)(241035,278351)(230000,280000)	chr01	255000	121	0.636831
(342,482)(241035,286071)(240000,290000)	chr01	265000	142	0.692165
(380,489)(250021,291347)(250000,300000)	chr01	275000	111	0.777381
(416,500)(267752,305489)(260000,310000)	chr01	285000	86	0.799304
(435,500)(270347,305489)(270000,320000)	chr01	295000	67	0.818137
(462,512)(281515,324273)(280000,330000)	chr01	305000	52	0.846432
(483,532)(291233,339583)(290000,340000)	chr01	315000	51	0.833092
(490,538)(305433,348196)(300000,350000)	chr01	325000	50	0.835641
(501,555)(322110,359771)(310000,360000)	chr01	335000	56	0.831140
(501,563)(322110,360805)(320000,370000)	chr01	345000	64	0.791203
(513,582)(336747,373127)(330000,380000)	chr01	355000	71	0.760277
(533,585)(342750,384275)(340000,390000)	chr01	365000	54	0.709122
(539,593)(356572,399618)(350000,400000)	chr01	375000	56	0.611180
(556,601)(360718,406909)(360000,410000)	chr01	385000	47	0.552994
(564,630)(371165,418272)(370000,420000)	chr01	395000	68	0.508888
(583,639)(384248,426178)(380000,430000)	chr01	405000	58	0.496978
