region	chr	midPos	Nsites
(1,53)(40565,79275)(40000,90000)	chr01	65000	54	0.710399
(19,55)(72927,99748)(50000,100000)	chr01	75000	38	0.608880
(19,88)(72927,109295)(60000,110000)	chr01	85000	71	0.613384
(19,145)(72927,119132)(70000,120000)	chr01	95000	128	0.702788
(54,170)(99745,121372)(80000,130000)	chr01	105000	118	0.749420
(54,184)(99745,131673)(90000,140000)	chr01	115000	132	0.773915
(56,199)(101120,148599)(100000,150000)	chr01	125000	145	0.798535
(89,224)(112439,159252)(110000,160000)	chr01	135000	137	0.836877
(146,245)(121114,169571)(120000,170000)	chr01	145000	101	0.827982
(171,252)(131445,175991)(130000,180000)	chr01	155000	83	0.843745
(185,255)(146066,183449)(140000,190000)	chr01	165000	72	0.823053
(200,267)(155765,197658)(150000,200000)	chr01	175000	69	0.784899
(225,292)(165376,204116)(160000,210000)	chr01	185000	69	0.808591
(246,319)(175855,216832)(170000,220000)	chr01	195000	75	0.853457
(253,340)(183430,229717)(180000,230000)	chr01	205000	89	0.834736
(256,340)(193065,229717)(190000,240000)	chr01	215000	86	0.837281
(268,378)(202400,249999)(200000,250000)	chr01	225000	112	0.788169
(293,414)(215040,257533)(210000,260000)	chr01	235000	123	0.722201
(320,433)(224519,268043)(220000,270000)	chr01	245000	115	0.733606
(341,460)(241035,278351)(230000,280000)	chr01	255000	121	0.711106
(341,472)(241035,286071)(240000,290000)	chr01	265000	133	0.697820
(379,476)(250021,291347)(250000,300000)	chr01	275000	99	0.734180
(415,487)(267752,305489)(260000,310000)	chr01	285000	74	0.818443
(434,487)(270347,305489)(270000,320000)	chr01	295000	55	0.738115
(461,499)(284735,324273)(280000,330000)	chr01	305000	40	0.816352
(473,525)(291296,339583)(290000,340000)	chr01	315000	54	0.881808
(477,531)(305433,348196)(300000,350000)	chr01	325000	56	0.875488
(488,548)(322110,359771)(310000,360000)	chr01	335000	62	0.726004
(488,556)(322110,360805)(320000,370000)	chr01	345000	70	0.708545
(500,575)(334023,373127)(330000,380000)	chr01	355000	77	0.723189
(526,578)(342750,384275)(340000,390000)	chr01	365000	54	0.676909
(532,586)(356572,399618)(350000,400000)	chr01	375000	56	0.639527
(549,595)(360718,406909)(360000,410000)	chr01	385000	48	0.649589
(557,629)(371165,418272)(370000,420000)	chr01	395000	74	0.582327
(576,638)(384248,426178)(380000,430000)	chr01	405000	64	0.621341
(579,638)(399494,426178)(390000,440000)	chr01	415000	61	0.625997
(587,644)(405929,447272)(400000,450000)	chr01	425000	59	0.681235
(596,657)(413073,458510)(410000,460000)	chr01	435000	63	0.706122
(630,657)(422091,458510)(420000,470000)	chr01	445000	29	0.953579
(639,670)(447201,477626)(430000,480000)	chr01	455000	33	0.839731
(639,694)(447201,489540)(440000,490000)	chr01	465000	57	0.771340
(645,704)(458290,497021)(450000,500000)	chr01	475000	61	0.774479
(658,704)(472791,497021)(460000,510000)	chr01	485000	48	0.780219
(658,705)(472791,519445)(470000,520000)	chr01	495000	49	0.780217
(671,726)(484534,527912)(480000,530000)	chr01	505000	57	0.748293
(695,726)(490388,527912)(490000,540000)	chr01	515000	33	0.737522
(705,728)(519445,546039)(500000,550000)	chr01	525000	25	0.596734
(705,735)(519445,556579)(510000,560000)	chr01	535000	32	0.639234
(706,742)(520967,567617)(520000,570000)	chr01	545000	38	0.600558
(727,742)(546012,567617)(530000,580000)	chr01	555000	17	0.573766
(727,742)(546012,567617)(540000,590000)	chr01	565000	17	0.573766
(729,758)(553209,598747)(550000,600000)	chr01	575000	31	0.593801
(736,779)(567497,609080)(560000,610000)	chr01	585000	45	0.575621
(743,782)(598538,615712)(570000,620000)	chr01	595000	41	0.581199
(743,795)(598538,625368)(580000,630000)	chr01	605000	54	0.568628
(743,823)(598538,639995)(590000,640000)	chr01	615000	82	0.671639
(759,825)(608808,647580)(600000,650000)	chr01	625000	68	0.670434
(780,825)(615678,647580)(610000,660000)	chr01	635000	47	0.667873
(783,837)(622726,664539)(620000,670000)	chr01	645000	56	0.664032
(796,904)(631986,679765)(630000,680000)	chr01	655000	110	0.630666
(824,910)(647375,687635)(640000,690000)	chr01	665000	88	0.538134
(826,913)(664341,699440)(650000,700000)	chr01	675000	89	0.549749
(826,931)(664341,705398)(660000,710000)	chr01	685000	107	0.638282
(838,941)(670057,710536)(670000,720000)	chr01	695000	105	0.622729
(905,973)(687435,726075)(680000,730000)	chr01	705000	70	0.619839
(911,1006)(699339,736121)(690000,740000)	chr01	715000	97	0.594528
(914,1012)(702087,749383)(700000,750000)	chr01	725000	100	0.613442
(932,1014)(710398,751567)(710000,760000)	chr01	735000	84	0.554675
(942,1050)(720265,768507)(720000,770000)	chr01	745000	110	0.732020
(974,1055)(730423,774383)(730000,780000)	chr01	755000	83	0.784711
(1007,1056)(749258,780712)(740000,790000)	chr01	765000	51	0.842359
(1013,1056)(751549,780712)(750000,800000)	chr01	775000	45	0.836732
(1015,1060)(760149,800296)(760000,810000)	chr01	785000	47	0.832400
(1051,1090)(774173,819725)(770000,820000)	chr01	795000	41	0.939718
(1056,1092)(780712,824471)(780000,830000)	chr01	805000	38	0.949238
(1057,1144)(800261,839979)(790000,840000)	chr01	815000	89	0.906171
(1057,1145)(800261,849991)(800000,850000)	chr01	825000	90	0.904773
(1061,1152)(816740,855718)(810000,860000)	chr01	835000	93	0.894031
(1091,1155)(824403,860813)(820000,870000)	chr01	845000	66	0.853578
(1093,1161)(830052,877821)(830000,880000)	chr01	855000	70	0.845752
(1145,1169)(849991,888203)(840000,890000)	chr01	865000	26	0.791192
(1146,1175)(852666,898756)(850000,900000)	chr01	875000	31	0.811395
(1153,1186)(860727,909542)(860000,910000)	chr01	885000	35	0.671044
(1156,1216)(876147,916778)(870000,920000)	chr01	895000	62	0.816818
(1162,1243)(885386,929364)(880000,930000)	chr01	905000	83	0.800271
(1170,1247)(890743,936207)(890000,940000)	chr01	915000	79	0.787888
(1176,1280)(902874,949937)(900000,950000)	chr01	925000	106	0.844856
(1187,1293)(911188,952812)(910000,960000)	chr01	935000	108	0.840497
(1217,1301)(921481,969688)(920000,970000)	chr01	945000	86	0.823672
(1244,1346)(933153,979790)(930000,980000)	chr01	955000	104	0.826269
(1248,1366)(941192,981690)(940000,990000)	chr01	965000	120	0.794407
(1281,1382)(951051,994392)(950000,1000000)	chr01	975000	103	0.625727
(1294,1384)(964396,1007159)(960000,1010000)	chr01	985000	92	0.604116
(1302,1420)(972160,1019757)(970000,1020000)	chr01	995000	120	0.640459
(1347,1423)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.671740
(1367,1437)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.709135
(1383,1456)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.771254
(1385,1460)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.800225
(1421,1476)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.858561
(1424,1476)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.858680
(1438,1498)(1040190,1088668)(1040000,1090000)	chr01	1065000	62	0.818131
(1457,1498)(1059222,1088668)(1050000,1100000)	chr01	1075000	43	0.765678
(1461,1503)(1060081,1106471)(1060000,1110000)	chr01	1085000	44	0.758711
(1477,1517)(1080464,1118148)(1070000,1120000)	chr01	1095000	42	0.655839
(1477,1523)(1080464,1129684)(1080000,1130000)	chr01	1105000	48	0.619674
(1499,1554)(1106311,1137795)(1090000,1140000)	chr01	1115000	57	0.557248
(1499,1575)(1106311,1148852)(1100000,1150000)	chr01	1125000	78	0.541760
(1504,1577)(1110213,1156484)(1110000,1160000)	chr01	1135000	75	0.478338
(1518,1604)(1125771,1169984)(1120000,1170000)	chr01	1145000	88	0.613542
(1524,1611)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.612494
(1555,1615)(1141378,1187811)(1140000,1190000)	chr01	1165000	62	0.658978
(1576,1622)(1156468,1197035)(1150000,1200000)	chr01	1175000	48	0.704597
(1578,1626)(1161555,1202634)(1160000,1210000)	chr01	1185000	50	0.690381
(1605,1640)(1170001,1215995)(1170000,1220000)	chr01	1195000	37	0.598702
(1612,1640)(1181102,1215995)(1180000,1230000)	chr01	1205000	30	0.642574
(1616,1659)(1196849,1235615)(1190000,1240000)	chr01	1215000	45	0.508548
(1623,1667)(1202564,1248625)(1200000,1250000)	chr01	1225000	46	0.576757
(1627,1667)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.598072
(1641,1671)(1230664,1266942)(1220000,1270000)	chr01	1245000	32	0.610034
(1641,1671)(1230664,1266942)(1230000,1280000)	chr01	1255000	32	0.610034
(1660,1677)(1242138,1286999)(1240000,1290000)	chr01	1265000	19	0.883900
(1668,1679)(1260554,1299754)(1250000,1300000)	chr01	1275000	13	0.820886
(1668,1686)(1260554,1308573)(1260000,1310000)	chr01	1285000	20	0.732451
(1672,1686)(1281877,1308573)(1270000,1320000)	chr01	1295000	16	0.652886
(1672,1692)(1281877,1328440)(1280000,1330000)	chr01	1305000	22	0.672826
(1678,1707)(1299742,1339830)(1290000,1340000)	chr01	1315000	31	0.819987
(1680,1741)(1306965,1348194)(1300000,1350000)	chr01	1325000	63	0.916125
(1687,1745)(1326979,1355827)(1310000,1360000)	chr01	1335000	60	0.934171
(1687,1757)(1326979,1369999)(1320000,1370000)	chr01	1345000	72	0.907993
(1693,1771)(1331097,1375599)(1330000,1380000)	chr01	1355000	80	0.915746
(1708,1771)(1340379,1375599)(1340000,1390000)	chr01	1365000	65	0.924934
(1742,1810)(1354558,1396734)(1350000,1400000)	chr01	1375000	70	0.736449
(1746,1847)(1365354,1408031)(1360000,1410000)	chr01	1385000	103	0.837429
(1758,1867)(1370042,1417953)(1370000,1420000)	chr01	1395000	111	0.805055
(1772,1889)(1393249,1425564)(1380000,1430000)	chr01	1405000	119	0.771895
(1772,1897)(1393249,1434626)(1390000,1440000)	chr01	1415000	127	0.778365
(1811,1919)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.838841
(1848,1919)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.714900
(1868,1935)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.800838
(1890,1946)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.804765
(1898,1955)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.736530
(1920,1967)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.582476
(1920,1967)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.582476
(1936,1969)(1470369,1518877)(1470000,1520000)	chr01	1495000	35	0.582909
(1947,1995)(1480472,1528219)(1480000,1530000)	chr01	1505000	50	0.702657
(1956,1999)(1494294,1539114)(1490000,1540000)	chr01	1515000	45	0.798754
(1968,2014)(1518851,1541686)(1500000,1550000)	chr01	1525000	48	0.796636
(1968,2021)(1518851,1559963)(1510000,1560000)	chr01	1535000	55	0.810380
(1970,2026)(1520238,1565601)(1520000,1570000)	chr01	1545000	58	0.764625
(1996,2036)(1534100,1576258)(1530000,1580000)	chr01	1555000	42	0.668352
(2000,2047)(1540673,1589999)(1540000,1590000)	chr01	1565000	49	0.715468
(2015,2065)(1557459,1594343)(1550000,1600000)	chr01	1575000	52	0.775299
(2022,2080)(1565554,1609422)(1560000,1610000)	chr01	1585000	60	0.758976
(2027,2101)(1571517,1615954)(1570000,1620000)	chr01	1595000	76	0.829945
(2037,2113)(1582529,1625070)(1580000,1630000)	chr01	1605000	78	0.886688
(2048,2113)(1590004,1625070)(1590000,1640000)	chr01	1615000	67	0.868315
(2066,2143)(1602281,1647959)(1600000,1650000)	chr01	1625000	79	0.893110
(2081,2165)(1614247,1659319)(1610000,1660000)	chr01	1635000	86	0.860031
(2102,2184)(1622917,1668636)(1620000,1670000)	chr01	1645000	84	0.809931
(2114,2216)(1641495,1679436)(1630000,1680000)	chr01	1655000	104	0.738258
(2114,2228)(1641495,1686842)(1640000,1690000)	chr01	1665000	116	0.737158
(2144,2236)(1655037,1699901)(1650000,1700000)	chr01	1675000	94	0.626071
(2166,2240)(1666837,1707624)(1660000,1710000)	chr01	1685000	76	0.637952
(2185,2241)(1672203,1718665)(1670000,1720000)	chr01	1695000	58	0.635381
(2217,2253)(1684895,1726909)(1680000,1730000)	chr01	1705000	38	0.534953
(2229,2281)(1694753,1738559)(1690000,1740000)	chr01	1715000	54	0.533092
(2237,2290)(1707516,1746953)(1700000,1750000)	chr01	1725000	55	0.631562
(2241,2304)(1718665,1751100)(1710000,1760000)	chr01	1735000	65	0.747662
(2242,2323)(1726723,1766724)(1720000,1770000)	chr01	1745000	83	0.787281
(2254,2337)(1730802,1778629)(1730000,1780000)	chr01	1755000	85	0.762377
(2282,2359)(1741381,1788908)(1740000,1790000)	chr01	1765000	79	0.870755
(2291,2359)(1750964,1788908)(1750000,1800000)	chr01	1775000	70	0.880636
(2305,2367)(1760396,1809286)(1760000,1810000)	chr01	1785000	64	0.902018
(2324,2394)(1775182,1819814)(1770000,1820000)	chr01	1795000	72	0.899105
(2338,2420)(1785664,1829936)(1780000,1830000)	chr01	1805000	84	0.846848
(2360,2427)(1808990,1834989)(1790000,1840000)	chr01	1815000	69	0.707189
(2360,2443)(1808990,1845832)(1800000,1850000)	chr01	1825000	85	0.720537
(2368,2452)(1810310,1857922)(1810000,1860000)	chr01	1835000	86	0.576826
(2395,2452)(1820045,1857922)(1820000,1870000)	chr01	1845000	59	0.494414
(2421,2453)(1833262,1874016)(1830000,1880000)	chr01	1855000	34	0.363190
(2428,2468)(1844345,1886335)(1840000,1890000)	chr01	1865000	42	0.713993
