region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.176412
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.176419
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.320042
(24,100)(66768,109295)(60000,110000)	chr01	85000	78	0.528351
(31,174)(72927,119227)(70000,120000)	chr01	95000	145	0.529200
(66,199)(99745,121372)(80000,130000)	chr01	105000	135	0.643407
(66,227)(99745,131673)(90000,140000)	chr01	115000	163	0.629339
(68,242)(101120,148599)(100000,150000)	chr01	125000	176	0.578748
(101,267)(112439,159252)(110000,160000)	chr01	135000	168	0.422442
(175,288)(121114,169571)(120000,170000)	chr01	145000	115	0.392522
(200,295)(130856,175991)(130000,180000)	chr01	155000	97	0.405544
(228,298)(146066,183449)(140000,190000)	chr01	165000	72	0.385100
(243,310)(155765,197658)(150000,200000)	chr01	175000	69	0.460173
(268,335)(165376,204116)(160000,210000)	chr01	185000	69	0.501696
(289,370)(175855,216859)(170000,220000)	chr01	195000	83	0.729102
(296,390)(183430,229717)(180000,230000)	chr01	205000	96	0.712042
(299,390)(193065,229717)(190000,240000)	chr01	215000	93	0.712057
(311,428)(202400,249999)(200000,250000)	chr01	225000	119	0.727860
(336,464)(214936,257533)(210000,260000)	chr01	235000	130	0.741155
(371,483)(224519,268043)(220000,270000)	chr01	245000	114	0.554591
(391,512)(241035,278351)(230000,280000)	chr01	255000	123	0.496137
(391,536)(241035,286093)(240000,290000)	chr01	265000	147	0.472388
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.348806
(465,567)(267752,307842)(260000,310000)	chr01	285000	104	0.138928
(484,568)(270347,317230)(270000,320000)	chr01	295000	86	0.192684
(513,580)(281515,324273)(280000,330000)	chr01	305000	69	0.167930
(537,606)(291233,339583)(290000,340000)	chr01	315000	71	0.133233
(546,612)(303105,348196)(300000,350000)	chr01	325000	68	0.194910
(568,630)(317230,359771)(310000,360000)	chr01	335000	64	0.261512
(569,638)(322110,360805)(320000,370000)	chr01	345000	71	0.267806
(581,657)(334023,373127)(330000,380000)	chr01	355000	78	0.306865
(607,660)(342750,384275)(340000,390000)	chr01	365000	55	0.336455
(613,668)(356572,399618)(350000,400000)	chr01	375000	57	0.261736
(631,682)(360718,406909)(360000,410000)	chr01	385000	53	0.380735
(639,720)(371165,418272)(370000,420000)	chr01	395000	83	0.339404
(658,729)(384248,426178)(380000,430000)	chr01	405000	73	0.412801
(661,729)(399494,426178)(390000,440000)	chr01	415000	70	0.398331
(669,749)(405929,447446)(400000,450000)	chr01	425000	82	0.474836
(683,762)(412909,458510)(410000,460000)	chr01	435000	81	0.473739
(721,762)(422091,458510)(420000,470000)	chr01	445000	43	0.612947
(730,775)(440021,477626)(430000,480000)	chr01	455000	47	0.494744
(730,801)(440021,489540)(440000,490000)	chr01	465000	73	0.445061
(750,812)(458290,497075)(450000,500000)	chr01	475000	64	0.274300
(763,812)(472791,497075)(460000,510000)	chr01	485000	51	0.105869
(763,813)(472791,519445)(470000,520000)	chr01	495000	52	0.105869
(776,834)(482579,527912)(480000,530000)	chr01	505000	60	0.246527
(802,834)(490388,527912)(490000,540000)	chr01	515000	34	0.302411
(813,836)(519445,546039)(500000,550000)	chr01	525000	25	0.410646
(813,843)(519445,556579)(510000,560000)	chr01	535000	32	0.372329
(814,850)(520967,567617)(520000,570000)	chr01	545000	38	0.411851
(835,850)(546012,567617)(530000,580000)	chr01	555000	17	0.522489
(835,850)(546012,567617)(540000,590000)	chr01	565000	17	0.522489
(837,866)(553209,598747)(550000,600000)	chr01	575000	31	0.240896
(844,887)(567497,609080)(560000,610000)	chr01	585000	45	0.288479
(851,893)(598538,615712)(570000,620000)	chr01	595000	44	0.324536
(851,907)(598538,629014)(580000,630000)	chr01	605000	58	0.347376
(851,929)(598538,639995)(590000,640000)	chr01	615000	80	0.314589
(867,933)(608808,647580)(600000,650000)	chr01	625000	68	0.363212
(888,933)(615547,647580)(610000,660000)	chr01	635000	47	0.374781
(894,945)(622726,664539)(620000,670000)	chr01	645000	53	0.197311
(908,1012)(631986,679765)(630000,680000)	chr01	655000	106	0.102158
(930,1018)(640931,687635)(640000,690000)	chr01	665000	90	0.130866
(934,1021)(664341,699440)(650000,700000)	chr01	675000	89	0.171001
(934,1025)(664341,702132)(660000,710000)	chr01	685000	93	0.170992
(946,1035)(670057,710536)(670000,720000)	chr01	695000	91	0.205185
(1013,1064)(687435,726075)(680000,730000)	chr01	705000	53	0.509950
(1019,1097)(699339,736121)(690000,740000)	chr01	715000	80	0.429182
(1022,1103)(702035,749383)(700000,750000)	chr01	725000	83	0.411564
(1026,1106)(710398,754850)(710000,760000)	chr01	735000	82	0.410433
(1036,1117)(720265,768507)(720000,770000)	chr01	745000	83	0.351757
(1065,1124)(730423,774383)(730000,780000)	chr01	755000	61	0.248108
(1098,1125)(749258,780712)(740000,790000)	chr01	765000	29	0.226850
(1104,1125)(751549,780712)(750000,800000)	chr01	775000	23	0.119874
(1107,1129)(768240,800296)(760000,810000)	chr01	785000	24	0.078381
(1118,1159)(771638,819725)(770000,820000)	chr01	795000	43	0.135437
(1125,1161)(780712,824471)(780000,830000)	chr01	805000	38	0.125333
(1126,1202)(800261,839979)(790000,840000)	chr01	815000	78	0.189621
(1126,1203)(800261,849991)(800000,850000)	chr01	825000	79	0.189611
(1130,1208)(816740,852734)(810000,860000)	chr01	835000	80	0.241522
(1160,1211)(824403,860813)(820000,870000)	chr01	845000	53	0.250722
(1162,1217)(830052,877821)(830000,880000)	chr01	855000	57	0.256495
