region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.773172
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.697965
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.611955
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.586277
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.480369
(26,103)(66768,109295)(60000,110000)	chr01	85000	79	0.533903
(33,177)(72927,119227)(70000,120000)	chr01	95000	146	0.564006
(68,202)(99745,121372)(80000,130000)	chr01	105000	136	0.571567
(68,230)(99745,131673)(90000,140000)	chr01	115000	164	0.559407
(70,245)(101120,148599)(100000,150000)	chr01	125000	177	0.529852
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.619488
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.719936
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.735531
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.779335
(246,308)(155765,197658)(150000,200000)	chr01	175000	64	0.809060
(271,333)(165376,204116)(160000,210000)	chr01	185000	64	0.768963
(292,361)(175855,216859)(170000,220000)	chr01	195000	71	0.666699
(299,383)(183430,229717)(180000,230000)	chr01	205000	86	0.629496
(302,383)(195626,229717)(190000,240000)	chr01	215000	83	0.592541
(309,421)(202400,249999)(200000,250000)	chr01	225000	114	0.641304
(334,458)(215040,258347)(210000,260000)	chr01	235000	126	0.561986
(362,477)(224519,268043)(220000,270000)	chr01	245000	117	0.498214
(384,506)(241035,278351)(230000,280000)	chr01	255000	124	0.485393
(384,530)(241035,286093)(240000,290000)	chr01	265000	148	0.470140
(422,539)(250021,296664)(250000,300000)	chr01	275000	119	0.330957
(459,561)(267752,307842)(260000,310000)	chr01	285000	104	0.478019
(478,562)(270347,317230)(270000,320000)	chr01	295000	86	0.554538
(507,574)(281515,324273)(280000,330000)	chr01	305000	69	0.592307
(531,600)(291233,339583)(290000,340000)	chr01	315000	71	0.716972
(540,606)(303105,348196)(300000,350000)	chr01	325000	68	0.719054
(562,624)(317230,359771)(310000,360000)	chr01	335000	64	0.741837
(563,632)(322110,360805)(320000,370000)	chr01	345000	71	0.742549
(575,651)(334023,373127)(330000,380000)	chr01	355000	78	0.797264
(601,651)(342750,373127)(340000,390000)	chr01	365000	52	0.785020
(607,659)(356572,399618)(350000,400000)	chr01	375000	54	0.762940
(625,672)(360718,406783)(360000,410000)	chr01	385000	49	0.829839
(633,699)(371165,418272)(370000,420000)	chr01	395000	68	0.752769
(652,708)(399494,426178)(380000,430000)	chr01	405000	58	0.764935
(652,708)(399494,426178)(390000,440000)	chr01	415000	58	0.764935
(660,710)(405929,447272)(400000,450000)	chr01	425000	52	0.781025
(673,710)(413073,447272)(410000,460000)	chr01	435000	39	0.707006
(700,710)(422091,447272)(420000,470000)	chr01	445000	12	0.872313
(709,723)(447245,477626)(430000,480000)	chr01	455000	16	0.487435
(709,744)(447245,489386)(440000,490000)	chr01	465000	37	0.760632
(711,755)(472791,497075)(450000,500000)	chr01	475000	46	0.815425
(711,755)(472791,497075)(460000,510000)	chr01	485000	46	0.815425
(711,756)(472791,519445)(470000,520000)	chr01	495000	47	0.801375
(724,768)(482579,525090)(480000,530000)	chr01	505000	46	0.899364
(745,768)(490388,525090)(490000,540000)	chr01	515000	25	0.864950
(756,770)(519445,546039)(500000,550000)	chr01	525000	16	0.846173
(756,771)(519445,556579)(510000,560000)	chr01	535000	17	0.845507
(757,778)(520967,567617)(520000,570000)	chr01	545000	23	0.776186
(769,778)(546012,567617)(530000,580000)	chr01	555000	11	0.176746
(769,778)(546012,567617)(540000,590000)	chr01	565000	11	0.176746
(771,794)(556579,598747)(550000,600000)	chr01	575000	25	0.324720
(772,815)(567497,609080)(560000,610000)	chr01	585000	45	0.508424
(779,820)(598538,615712)(570000,620000)	chr01	595000	43	0.683071
(779,834)(598538,629014)(580000,630000)	chr01	605000	57	0.589416
(779,856)(598538,639995)(590000,640000)	chr01	615000	79	0.545972
(795,860)(608808,647580)(600000,650000)	chr01	625000	67	0.602033
(816,860)(615625,647580)(610000,660000)	chr01	635000	46	0.570786
(821,872)(622726,664539)(620000,670000)	chr01	645000	53	0.546636
(835,939)(631986,679765)(630000,680000)	chr01	655000	106	0.599598
(857,945)(640931,687635)(640000,690000)	chr01	665000	90	0.627550
(861,948)(664341,699440)(650000,700000)	chr01	675000	89	0.612815
(861,955)(664341,702232)(660000,710000)	chr01	685000	96	0.609464
(873,965)(670057,710536)(670000,720000)	chr01	695000	94	0.626176
(940,1000)(687435,726176)(680000,730000)	chr01	705000	62	0.548246
(946,1033)(699339,736121)(690000,740000)	chr01	715000	89	0.439266
(949,1039)(702035,749383)(700000,750000)	chr01	725000	92	0.419700
(956,1041)(710398,751567)(710000,760000)	chr01	735000	87	0.409334
(966,1079)(720265,768507)(720000,770000)	chr01	745000	115	0.454969
(1001,1084)(730423,774383)(730000,780000)	chr01	755000	85	0.499237
(1034,1085)(749258,780712)(740000,790000)	chr01	765000	53	0.572583
(1040,1085)(751549,780712)(750000,800000)	chr01	775000	47	0.594749
(1042,1089)(760149,800296)(760000,810000)	chr01	785000	49	0.601787
(1080,1119)(774173,819725)(770000,820000)	chr01	795000	41	0.569346
(1085,1121)(780712,824471)(780000,830000)	chr01	805000	38	0.494358
(1086,1175)(800261,839979)(790000,840000)	chr01	815000	91	0.535445
(1086,1176)(800261,849991)(800000,850000)	chr01	825000	92	0.535396
(1090,1181)(816740,852734)(810000,860000)	chr01	835000	93	0.566787
(1120,1184)(824403,860813)(820000,870000)	chr01	845000	66	0.586541
(1122,1190)(830052,877821)(830000,880000)	chr01	855000	70	0.574800
(1176,1200)(849991,888203)(840000,890000)	chr01	865000	26	0.697437
(1177,1201)(852666,898756)(850000,900000)	chr01	875000	26	0.697369
(1182,1226)(860727,909640)(860000,910000)	chr01	885000	46	0.595963
(1185,1256)(876147,916778)(870000,920000)	chr01	895000	73	0.404358
(1191,1283)(885300,929364)(880000,930000)	chr01	905000	94	0.428231
(1201,1287)(898756,936207)(890000,940000)	chr01	915000	88	0.367923
(1202,1320)(902874,949937)(900000,950000)	chr01	925000	120	0.412869
(1227,1333)(911188,952812)(910000,960000)	chr01	935000	108	0.421557
(1257,1338)(921481,969688)(920000,970000)	chr01	945000	83	0.522499
(1284,1363)(933153,979790)(930000,980000)	chr01	955000	81	0.645460
(1288,1383)(941192,981690)(940000,990000)	chr01	965000	97	0.712231
(1321,1399)(951051,994392)(950000,1000000)	chr01	975000	80	0.746279
(1334,1401)(964396,1007159)(960000,1010000)	chr01	985000	69	0.779468
(1339,1437)(972160,1019757)(970000,1020000)	chr01	995000	100	0.711917
(1364,1440)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.685998
(1384,1454)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.641902
(1400,1473)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.656464
(1402,1474)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.652650
(1438,1490)(1023745,1067383)(1020000,1070000)	chr01	1045000	54	0.722897
(1441,1490)(1030079,1067383)(1030000,1080000)	chr01	1055000	51	0.730379
(1455,1513)(1040190,1088668)(1040000,1090000)	chr01	1065000	60	0.683688
(1474,1513)(1059222,1088668)(1050000,1100000)	chr01	1075000	41	0.612578
(1475,1518)(1060081,1106471)(1060000,1110000)	chr01	1085000	45	0.646046
(1491,1532)(1080464,1118148)(1070000,1120000)	chr01	1095000	43	0.754022
(1491,1544)(1080464,1129684)(1080000,1130000)	chr01	1105000	55	0.812947
(1514,1575)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.826725
(1514,1595)(1106311,1148852)(1100000,1150000)	chr01	1125000	83	0.773875
(1519,1597)(1110213,1156484)(1110000,1160000)	chr01	1135000	80	0.765315
(1533,1625)(1125674,1169984)(1120000,1170000)	chr01	1145000	94	0.728310
(1545,1632)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.650445
(1576,1636)(1141378,1187811)(1140000,1190000)	chr01	1165000	62	0.560209
(1596,1643)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.605449
(1598,1651)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.560495
(1626,1665)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.410418
(1633,1665)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.461005
(1637,1684)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.481778
(1644,1690)(1202564,1247876)(1200000,1250000)	chr01	1225000	48	0.485113
(1652,1690)(1215791,1247876)(1210000,1260000)	chr01	1235000	40	0.532482
(1666,1695)(1230664,1266942)(1220000,1270000)	chr01	1245000	31	0.562964
(1666,1701)(1230664,1271087)(1230000,1280000)	chr01	1255000	37	0.535226
(1685,1716)(1242138,1287173)(1240000,1290000)	chr01	1265000	33	0.524943
(1691,1719)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.402346
(1691,1762)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.467985
(1696,1770)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.494884
(1702,1779)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.507424
(1717,1803)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.458254
(1720,1837)(1306965,1348194)(1300000,1350000)	chr01	1325000	119	0.379384
(1763,1841)(1311649,1355827)(1310000,1360000)	chr01	1335000	80	0.328305
(1771,1853)(1326979,1369999)(1320000,1370000)	chr01	1345000	84	0.363846
(1780,1872)(1330096,1376887)(1330000,1380000)	chr01	1355000	94	0.392209
(1804,1874)(1340379,1380434)(1340000,1390000)	chr01	1365000	72	0.408856
(1838,1931)(1354558,1399777)(1350000,1400000)	chr01	1375000	95	0.620453
(1842,1968)(1365354,1408031)(1360000,1410000)	chr01	1385000	128	0.652276
(1854,1988)(1370042,1417953)(1370000,1420000)	chr01	1395000	136	0.622932
(1873,2010)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.659176
(1875,2018)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.653007
(1932,2040)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.623729
(1969,2040)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.552443
(1989,2056)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.586470
(2011,2067)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.469395
(2019,2076)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.484196
(2041,2088)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.406628
(2041,2088)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.406628
(2057,2090)(1470369,1518877)(1470000,1520000)	chr01	1495000	35	0.405813
(2068,2116)(1480472,1528219)(1480000,1530000)	chr01	1505000	50	0.384277
(2077,2122)(1494294,1539114)(1490000,1540000)	chr01	1515000	47	0.385153
(2089,2137)(1518851,1541686)(1500000,1550000)	chr01	1525000	50	0.452905
(2089,2144)(1518851,1559963)(1510000,1560000)	chr01	1535000	57	0.448673
(2091,2149)(1520238,1565601)(1520000,1570000)	chr01	1545000	60	0.395155
(2117,2159)(1534100,1576258)(1530000,1580000)	chr01	1555000	44	0.317627
(2123,2171)(1540673,1589999)(1540000,1590000)	chr01	1565000	50	0.381068
(2138,2189)(1557459,1594343)(1550000,1600000)	chr01	1575000	53	0.359915
(2145,2208)(1565554,1609534)(1560000,1610000)	chr01	1585000	65	0.410084
(2150,2229)(1571517,1615954)(1570000,1620000)	chr01	1595000	81	0.418235
(2160,2241)(1582529,1625070)(1580000,1630000)	chr01	1605000	83	0.477949
(2172,2241)(1590004,1625070)(1590000,1640000)	chr01	1615000	71	0.419695
(2190,2271)(1602281,1647959)(1600000,1650000)	chr01	1625000	83	0.565656
(2209,2295)(1614247,1659319)(1610000,1660000)	chr01	1635000	88	0.576142
(2230,2314)(1622917,1668636)(1620000,1670000)	chr01	1645000	86	0.545999
