region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.570752
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.270841
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.376488
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.376569
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.315504
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.250838
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.225670
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.159699
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.197452
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.238849
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.251113
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.354208
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.373861
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.405958
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.266269
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.244553
(285,366)(175855,216859)(170000,220000)	chr01	195000	83	0.205437
(292,388)(183430,229717)(180000,230000)	chr01	205000	98	0.202536
(295,388)(193065,229717)(190000,240000)	chr01	215000	95	0.136550
(307,428)(202400,249999)(200000,250000)	chr01	225000	123	0.086309
(332,465)(214936,258347)(210000,260000)	chr01	235000	135	0.066515
(367,484)(224519,268043)(220000,270000)	chr01	245000	119	0.044020
(389,513)(241035,278351)(230000,280000)	chr01	255000	126	0.074613
(389,537)(241035,286093)(240000,290000)	chr01	265000	150	0.093570
(429,546)(250021,296664)(250000,300000)	chr01	275000	119	0.103655
(466,564)(267752,305489)(260000,310000)	chr01	285000	100	0.179450
(485,564)(270347,305489)(270000,320000)	chr01	295000	81	0.285827
(514,576)(281515,324273)(280000,330000)	chr01	305000	64	0.255011
(538,602)(291233,339583)(290000,340000)	chr01	315000	66	0.180152
(547,608)(303105,348196)(300000,350000)	chr01	325000	63	0.180541
(565,626)(322110,359771)(310000,360000)	chr01	335000	63	0.092344
(565,634)(322110,360805)(320000,370000)	chr01	345000	71	0.084126
(577,653)(334023,373127)(330000,380000)	chr01	355000	78	0.042519
(603,656)(342750,384275)(340000,390000)	chr01	365000	55	0.046366
(609,664)(356572,399618)(350000,400000)	chr01	375000	57	0.044082
(627,678)(360718,406909)(360000,410000)	chr01	385000	53	0.045693
(635,716)(371165,418272)(370000,420000)	chr01	395000	83	0.060623
(654,725)(384248,426178)(380000,430000)	chr01	405000	73	0.170598
