region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.645680
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.631899
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.560859
(24,101)(66768,109295)(60000,110000)	chr01	85000	79	0.592493
(31,175)(72927,119227)(70000,120000)	chr01	95000	146	0.559858
(66,200)(99745,121372)(80000,130000)	chr01	105000	136	0.531440
(66,228)(99745,131673)(90000,140000)	chr01	115000	164	0.512456
(68,243)(101120,148599)(100000,150000)	chr01	125000	177	0.513579
(102,268)(112439,159252)(110000,160000)	chr01	135000	168	0.473085
(176,289)(121114,169571)(120000,170000)	chr01	145000	115	0.440445
(201,296)(130856,175991)(130000,180000)	chr01	155000	97	0.458040
(229,299)(146066,183449)(140000,190000)	chr01	165000	72	0.541741
(244,311)(155765,197658)(150000,200000)	chr01	175000	69	0.461258
(269,336)(165376,204116)(160000,210000)	chr01	185000	69	0.464078
(290,371)(175855,216859)(170000,220000)	chr01	195000	83	0.536721
(297,393)(183430,229717)(180000,230000)	chr01	205000	98	0.584071
(300,393)(193065,229717)(190000,240000)	chr01	215000	95	0.567766
(312,431)(202400,249999)(200000,250000)	chr01	225000	121	0.684771
(337,468)(214936,258347)(210000,260000)	chr01	235000	133	0.698242
(372,487)(224519,268043)(220000,270000)	chr01	245000	117	0.758086
(394,514)(241035,278351)(230000,280000)	chr01	255000	122	0.760462
(394,528)(241035,286071)(240000,290000)	chr01	265000	136	0.741452
(432,532)(250021,291347)(250000,300000)	chr01	275000	102	0.706836
(469,551)(267752,307842)(260000,310000)	chr01	285000	84	0.718655
(488,551)(270347,307842)(270000,320000)	chr01	295000	65	0.690193
(515,563)(284710,324273)(280000,330000)	chr01	305000	50	0.703460
(529,589)(291296,339583)(290000,340000)	chr01	315000	62	0.794544
(533,595)(303105,348196)(300000,350000)	chr01	325000	64	0.795407
(552,613)(322110,359771)(310000,360000)	chr01	335000	63	0.779504
(552,621)(322110,360805)(320000,370000)	chr01	345000	71	0.779983
(564,640)(334023,373127)(330000,380000)	chr01	355000	78	0.743338
(590,643)(342750,384275)(340000,390000)	chr01	365000	55	0.710690
(596,651)(356572,399618)(350000,400000)	chr01	375000	57	0.701382
(614,661)(360718,406909)(360000,410000)	chr01	385000	49	0.729093
(622,695)(371165,418272)(370000,420000)	chr01	395000	75	0.664415
(641,704)(384248,426178)(380000,430000)	chr01	405000	65	0.690986
(644,704)(399494,426178)(390000,440000)	chr01	415000	62	0.674842
(652,712)(405929,447272)(400000,450000)	chr01	425000	62	0.666181
(662,725)(413073,458510)(410000,460000)	chr01	435000	65	0.712597
(696,725)(422091,458510)(420000,470000)	chr01	445000	31	0.816593
(705,738)(447168,477626)(430000,480000)	chr01	455000	35	0.717242
(705,762)(447168,489540)(440000,490000)	chr01	465000	59	0.734258
(713,772)(458290,497021)(450000,500000)	chr01	475000	61	0.762591
(726,772)(472791,497021)(460000,510000)	chr01	485000	48	0.703981
(726,773)(472791,519445)(470000,520000)	chr01	495000	49	0.702658
(739,794)(484534,527912)(480000,530000)	chr01	505000	57	0.673695
(763,794)(490388,527912)(490000,540000)	chr01	515000	33	0.560182
(773,796)(519445,546039)(500000,550000)	chr01	525000	25	0.457209
(773,803)(519445,556579)(510000,560000)	chr01	535000	32	0.518434
(774,810)(520967,567617)(520000,570000)	chr01	545000	38	0.461030
(795,810)(546012,567617)(530000,580000)	chr01	555000	17	0.460353
(795,810)(546012,567617)(540000,590000)	chr01	565000	17	0.460353
(797,826)(553209,598747)(550000,600000)	chr01	575000	31	0.408704
(804,847)(567497,609080)(560000,610000)	chr01	585000	45	0.462897
(811,850)(598538,615712)(570000,620000)	chr01	595000	41	0.477064
(811,863)(598538,625368)(580000,630000)	chr01	605000	54	0.393997
(811,891)(598538,639995)(590000,640000)	chr01	615000	82	0.485680
(827,895)(608808,647580)(600000,650000)	chr01	625000	70	0.499529
(848,895)(615678,647580)(610000,660000)	chr01	635000	49	0.439271
(851,907)(622726,664539)(620000,670000)	chr01	645000	58	0.454244
(864,974)(631986,679765)(630000,680000)	chr01	655000	112	0.442227
(892,980)(640931,687635)(640000,690000)	chr01	665000	90	0.393671
(896,983)(664341,699440)(650000,700000)	chr01	675000	89	0.395206
(896,1005)(664341,705398)(660000,710000)	chr01	685000	111	0.391335
(908,1015)(670057,710536)(670000,720000)	chr01	695000	109	0.415034
(975,1050)(687435,726176)(680000,730000)	chr01	705000	77	0.455799
(981,1083)(699339,736121)(690000,740000)	chr01	715000	104	0.414590
(984,1089)(702035,749383)(700000,750000)	chr01	725000	107	0.412012
(1006,1092)(710398,754850)(710000,760000)	chr01	735000	88	0.429415
(1016,1128)(720265,768507)(720000,770000)	chr01	745000	114	0.508323
(1051,1135)(730423,774383)(730000,780000)	chr01	755000	86	0.523310
(1084,1136)(749258,780712)(740000,790000)	chr01	765000	54	0.588032
(1090,1136)(751549,780712)(750000,800000)	chr01	775000	48	0.595630
(1093,1140)(760149,800296)(760000,810000)	chr01	785000	49	0.612850
(1129,1170)(771638,819725)(770000,820000)	chr01	795000	43	0.464942
(1136,1172)(780712,824471)(780000,830000)	chr01	805000	38	0.454199
(1137,1225)(800261,839979)(790000,840000)	chr01	815000	90	0.571515
(1137,1226)(800261,849991)(800000,850000)	chr01	825000	91	0.570093
(1141,1233)(816740,855718)(810000,860000)	chr01	835000	94	0.607265
(1171,1236)(824403,860813)(820000,870000)	chr01	845000	67	0.673433
(1173,1242)(830052,877821)(830000,880000)	chr01	855000	71	0.656322
(1226,1250)(849991,888203)(840000,890000)	chr01	865000	26	0.743837
(1227,1256)(852666,898756)(850000,900000)	chr01	875000	31	0.741118
(1234,1281)(860727,909640)(860000,910000)	chr01	885000	49	0.545237
(1237,1311)(876147,916778)(870000,920000)	chr01	895000	76	0.487740
(1243,1338)(885386,929364)(880000,930000)	chr01	905000	97	0.470256
(1251,1342)(890743,936207)(890000,940000)	chr01	915000	93	0.406868
(1257,1375)(902874,949937)(900000,950000)	chr01	925000	120	0.546365
(1282,1388)(911188,952812)(910000,960000)	chr01	935000	108	0.526697
(1312,1396)(921481,969688)(920000,970000)	chr01	945000	86	0.548142
(1339,1446)(933153,979790)(930000,980000)	chr01	955000	109	0.561246
(1343,1466)(941192,981690)(940000,990000)	chr01	965000	125	0.574497
(1376,1482)(951051,994392)(950000,1000000)	chr01	975000	108	0.482026
(1389,1484)(964396,1007159)(960000,1010000)	chr01	985000	97	0.529999
(1397,1520)(972160,1019757)(970000,1020000)	chr01	995000	125	0.584738
(1447,1523)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.640850
(1467,1537)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.622401
(1483,1556)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.664396
(1485,1560)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.715408
(1521,1576)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.722882
(1524,1576)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.733253
(1538,1598)(1040190,1088668)(1040000,1090000)	chr01	1065000	62	0.834501
(1557,1598)(1059222,1088668)(1050000,1100000)	chr01	1075000	43	0.838678
(1561,1603)(1060081,1106471)(1060000,1110000)	chr01	1085000	44	0.824285
(1577,1617)(1080464,1118148)(1070000,1120000)	chr01	1095000	42	0.811683
(1577,1629)(1080464,1129684)(1080000,1130000)	chr01	1105000	54	0.789062
(1599,1660)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.567385
(1599,1681)(1106311,1148852)(1100000,1150000)	chr01	1125000	84	0.546101
(1604,1683)(1110213,1156484)(1110000,1160000)	chr01	1135000	81	0.522939
(1618,1710)(1125674,1169984)(1120000,1170000)	chr01	1145000	94	0.534720
(1630,1717)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.406299
(1661,1721)(1141378,1187811)(1140000,1190000)	chr01	1165000	62	0.426337
(1682,1728)(1156468,1197035)(1150000,1200000)	chr01	1175000	48	0.414573
(1684,1732)(1161555,1202634)(1160000,1210000)	chr01	1185000	50	0.416088
(1711,1746)(1170001,1215995)(1170000,1220000)	chr01	1195000	37	0.517111
(1718,1746)(1181102,1215995)(1180000,1230000)	chr01	1205000	30	0.614538
(1722,1765)(1196849,1235615)(1190000,1240000)	chr01	1215000	45	0.450420
(1729,1773)(1202564,1248625)(1200000,1250000)	chr01	1225000	46	0.488063
(1733,1773)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.488764
(1747,1778)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.347130
(1747,1783)(1230664,1271087)(1230000,1280000)	chr01	1255000	38	0.338426
(1766,1798)(1242138,1287173)(1240000,1290000)	chr01	1265000	34	0.389073
(1774,1801)(1260436,1299829)(1250000,1300000)	chr01	1275000	29	0.272066
(1774,1844)(1260436,1309752)(1260000,1310000)	chr01	1285000	72	0.393422
(1779,1852)(1271039,1311855)(1270000,1320000)	chr01	1295000	75	0.397393
(1784,1861)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.413888
(1799,1885)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.406605
(1802,1919)(1306965,1348194)(1300000,1350000)	chr01	1325000	119	0.403971
(1845,1923)(1311649,1355827)(1310000,1360000)	chr01	1335000	80	0.378203
(1853,1935)(1326979,1369999)(1320000,1370000)	chr01	1345000	84	0.420267
(1862,1955)(1330096,1375599)(1330000,1380000)	chr01	1355000	95	0.457661
(1886,1957)(1340379,1380434)(1340000,1390000)	chr01	1365000	73	0.479463
(1920,2014)(1354558,1399777)(1350000,1400000)	chr01	1375000	96	0.424783
(1924,2051)(1365354,1408031)(1360000,1410000)	chr01	1385000	129	0.444022
(1936,2071)(1370042,1417953)(1370000,1420000)	chr01	1395000	137	0.408036
(1956,2093)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.363516
(1958,2101)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.361471
(2015,2123)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.470603
(2052,2123)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.463689
(2072,2139)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.477643
(2094,2150)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.449114
(2102,2159)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.502880
(2124,2171)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.386230
(2124,2171)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.386230
(2140,2173)(1470369,1518877)(1470000,1520000)	chr01	1495000	35	0.406067
(2151,2199)(1480472,1528219)(1480000,1530000)	chr01	1505000	50	0.495258
(2160,2203)(1494294,1539114)(1490000,1540000)	chr01	1515000	45	0.436127
(2172,2218)(1518851,1541686)(1500000,1550000)	chr01	1525000	48	0.553485
(2172,2225)(1518851,1559963)(1510000,1560000)	chr01	1535000	55	0.535254
(2174,2230)(1520238,1565601)(1520000,1570000)	chr01	1545000	58	0.520512
(2200,2240)(1534100,1576258)(1530000,1580000)	chr01	1555000	42	0.479268
(2204,2252)(1540673,1589999)(1540000,1590000)	chr01	1565000	50	0.469984
(2219,2270)(1557459,1594343)(1550000,1600000)	chr01	1575000	53	0.309675
(2226,2289)(1565554,1609534)(1560000,1610000)	chr01	1585000	65	0.397132
(2231,2310)(1571517,1615954)(1570000,1620000)	chr01	1595000	81	0.522285
(2241,2322)(1582529,1625070)(1580000,1630000)	chr01	1605000	83	0.552980
(2253,2322)(1590004,1625070)(1590000,1640000)	chr01	1615000	71	0.566214
(2271,2352)(1602281,1647959)(1600000,1650000)	chr01	1625000	83	0.683254
(2290,2376)(1614247,1659319)(1610000,1660000)	chr01	1635000	88	0.707895
(2311,2395)(1622917,1668636)(1620000,1670000)	chr01	1645000	86	0.619359
(2323,2427)(1641495,1679436)(1630000,1680000)	chr01	1655000	106	0.554753
(2323,2439)(1641495,1686842)(1640000,1690000)	chr01	1665000	118	0.548522
(2353,2447)(1655037,1699901)(1650000,1700000)	chr01	1675000	96	0.470989
(2377,2451)(1666837,1707624)(1660000,1710000)	chr01	1685000	76	0.404717
(2396,2452)(1672203,1718665)(1670000,1720000)	chr01	1695000	58	0.405441
(2428,2464)(1684895,1726909)(1680000,1730000)	chr01	1705000	38	0.723356
(2440,2492)(1694753,1738559)(1690000,1740000)	chr01	1715000	54	0.816519
(2448,2501)(1707516,1746953)(1700000,1750000)	chr01	1725000	55	0.841118
(2452,2516)(1718665,1751147)(1710000,1760000)	chr01	1735000	66	0.767684
(2453,2542)(1726723,1768287)(1720000,1770000)	chr01	1745000	91	0.745708
(2465,2559)(1730802,1778629)(1730000,1780000)	chr01	1755000	96	0.769323
(2493,2581)(1741381,1788908)(1740000,1790000)	chr01	1765000	90	0.776119
(2502,2581)(1750964,1788908)(1750000,1800000)	chr01	1775000	81	0.766280
(2517,2589)(1760369,1809286)(1760000,1810000)	chr01	1785000	74	0.859639
(2543,2622)(1775143,1819814)(1770000,1820000)	chr01	1795000	81	0.913293
(2560,2653)(1785664,1829936)(1780000,1830000)	chr01	1805000	95	0.932758
(2582,2660)(1808990,1834989)(1790000,1840000)	chr01	1815000	80	0.906030
(2582,2676)(1808990,1845832)(1800000,1850000)	chr01	1825000	96	0.885442
(2590,2685)(1810241,1857922)(1810000,1860000)	chr01	1835000	97	0.838017
(2623,2685)(1820045,1857922)(1820000,1870000)	chr01	1845000	64	0.818172
(2654,2686)(1833262,1874016)(1830000,1880000)	chr01	1855000	34	0.422691
(2661,2711)(1844345,1886510)(1840000,1890000)	chr01	1865000	52	0.501568
(2677,2714)(1857713,1891379)(1850000,1900000)	chr01	1875000	39	0.418902
(2686,2714)(1874016,1891379)(1860000,1910000)	chr01	1885000	30	0.576713
(2686,2714)(1874016,1891379)(1870000,1920000)	chr01	1895000	30	0.576713
(2687,2728)(1882508,1927820)(1880000,1930000)	chr01	1905000	43	0.646477
(2712,2736)(1891326,1938492)(1890000,1940000)	chr01	1915000	26	0.629408
(2715,2736)(1921289,1938492)(1900000,1950000)	chr01	1925000	23	0.634947
(2715,2737)(1921289,1959453)(1910000,1960000)	chr01	1935000	24	0.620662
(2715,2740)(1921289,1968482)(1920000,1970000)	chr01	1945000	27	0.597549
(2729,2747)(1937632,1976145)(1930000,1980000)	chr01	1955000	20	0.631899
(2737,2755)(1959453,1985957)(1940000,1990000)	chr01	1965000	20	0.675826
(2737,2755)(1959453,1985957)(1950000,2000000)	chr01	1975000	20	0.675826
(2738,2761)(1968396,2005901)(1960000,2010000)	chr01	1985000	25	0.664963
(2741,2788)(1974314,2016645)(1970000,2020000)	chr01	1995000	49	0.668644
(2748,2798)(1985852,2024923)(1980000,2030000)	chr01	2005000	52	0.776374
(2756,2813)(2005804,2038800)(1990000,2040000)	chr01	2015000	59	0.855313
(2756,2816)(2005804,2048565)(2000000,2050000)	chr01	2025000	62	0.866981
(2762,2821)(2010476,2056981)(2010000,2060000)	chr01	2035000	61	0.842903
(2789,2829)(2022428,2065186)(2020000,2070000)	chr01	2045000	42	0.830147
(2799,2847)(2036179,2075408)(2030000,2080000)	chr01	2055000	50	0.777159
(2814,2878)(2048522,2089758)(2040000,2090000)	chr01	2065000	66	0.654510
(2817,2880)(2056895,2098350)(2050000,2100000)	chr01	2075000	65	0.648150
(2822,2894)(2064938,2104411)(2060000,2110000)	chr01	2085000	74	0.604283
(2830,2923)(2072783,2119863)(2070000,2120000)	chr01	2095000	95	0.634891
(2848,2923)(2083605,2119863)(2080000,2130000)	chr01	2105000	77	0.578376
(2879,2930)(2098323,2135516)(2090000,2140000)	chr01	2115000	53	0.647843
(2881,2947)(2103406,2144605)(2100000,2150000)	chr01	2125000	68	0.658890
(2895,2958)(2110077,2153664)(2110000,2160000)	chr01	2135000	65	0.743390
(2924,2972)(2135395,2169153)(2120000,2170000)	chr01	2145000	50	0.730833
(2924,2993)(2135395,2177104)(2130000,2180000)	chr01	2155000	71	0.699606
(2931,3018)(2142749,2188441)(2140000,2190000)	chr01	2165000	89	0.646349
(2948,3044)(2150176,2199351)(2150000,2200000)	chr01	2175000	98	0.709133
(2959,3064)(2166029,2206253)(2160000,2210000)	chr01	2185000	107	0.623309
(2973,3079)(2170480,2216710)(2170000,2220000)	chr01	2195000	108	0.640929
(2994,3082)(2180217,2221974)(2180000,2230000)	chr01	2205000	90	0.643287
(3019,3104)(2192613,2237856)(2190000,2240000)	chr01	2215000	87	0.658528
(3045,3109)(2200974,2248960)(2200000,2250000)	chr01	2225000	66	0.550641
(3065,3127)(2214796,2253815)(2210000,2260000)	chr01	2235000	64	0.748468
(3080,3166)(2221944,2268623)(2220000,2270000)	chr01	2245000	88	0.727071
(3083,3177)(2231631,2277833)(2230000,2280000)	chr01	2255000	96	0.733587
(3105,3205)(2243733,2284724)(2240000,2290000)	chr01	2265000	102	0.678586
(3110,3211)(2250673,2290161)(2250000,2300000)	chr01	2275000	103	0.627378
(3128,3218)(2263428,2300926)(2260000,2310000)	chr01	2285000	92	0.344781
(3167,3237)(2270935,2317563)(2270000,2320000)	chr01	2295000	72	0.323931
(3178,3237)(2281592,2317563)(2280000,2330000)	chr01	2305000	61	0.327639
(3206,3237)(2290032,2317563)(2290000,2340000)	chr01	2315000	33	0.323212
(3212,3247)(2300836,2349544)(2300000,2350000)	chr01	2325000	37	0.355813
(3219,3269)(2314964,2357061)(2310000,2360000)	chr01	2335000	52	0.426040
(3238,3280)(2342747,2360811)(2320000,2370000)	chr01	2345000	44	0.390110
(3238,3290)(2342747,2370267)(2330000,2380000)	chr01	2355000	54	0.348688
(3238,3326)(2342747,2386007)(2340000,2390000)	chr01	2365000	90	0.310744
(3248,3347)(2352351,2399499)(2350000,2400000)	chr01	2375000	101	0.364464
(3270,3386)(2360586,2409712)(2360000,2410000)	chr01	2385000	118	0.366092
(3281,3397)(2370097,2417064)(2370000,2420000)	chr01	2395000	118	0.387484
(3291,3404)(2380855,2428154)(2380000,2430000)	chr01	2405000	115	0.451958
(3327,3410)(2392306,2437420)(2390000,2440000)	chr01	2415000	85	0.554449
(3348,3437)(2401257,2449050)(2400000,2450000)	chr01	2425000	91	0.508702
(3387,3444)(2416895,2458916)(2410000,2460000)	chr01	2435000	59	0.545824
(3398,3479)(2425196,2463590)(2420000,2470000)	chr01	2445000	83	0.631476
(3405,3499)(2436146,2479203)(2430000,2480000)	chr01	2455000	96	0.591857
(3411,3502)(2444103,2482772)(2440000,2490000)	chr01	2465000	93	0.568641
(3438,3508)(2452762,2493694)(2450000,2500000)	chr01	2475000	72	0.604797
(3445,3525)(2460117,2505463)(2460000,2510000)	chr01	2485000	82	0.595731
(3480,3548)(2471748,2517089)(2470000,2520000)	chr01	2495000	70	0.403637
(3500,3571)(2482746,2529777)(2480000,2530000)	chr01	2505000	73	0.432778
(3503,3586)(2492434,2538351)(2490000,2540000)	chr01	2515000	85	0.450307
(3509,3592)(2502513,2545863)(2500000,2550000)	chr01	2525000	85	0.452461
(3526,3608)(2511731,2558042)(2510000,2560000)	chr01	2535000	84	0.431281
(3549,3617)(2522672,2568170)(2520000,2570000)	chr01	2545000	70	0.473818
(3572,3641)(2530300,2579515)(2530000,2580000)	chr01	2555000	71	0.432050
(3587,3652)(2545703,2589457)(2540000,2590000)	chr01	2565000	67	0.422563
(3593,3697)(2554825,2599467)(2550000,2600000)	chr01	2575000	106	0.657936
(3609,3714)(2567977,2607844)(2560000,2610000)	chr01	2585000	107	0.702397
(3618,3718)(2570732,2611794)(2570000,2620000)	chr01	2595000	102	0.715628
(3642,3741)(2589283,2629649)(2580000,2630000)	chr01	2605000	101	0.759393
(3653,3741)(2592709,2629649)(2590000,2640000)	chr01	2615000	90	0.777801
(3698,3747)(2601984,2647685)(2600000,2650000)	chr01	2625000	51	0.741402
(3715,3766)(2611745,2652589)(2610000,2660000)	chr01	2635000	53	0.764583
(3719,3780)(2620268,2662872)(2620000,2670000)	chr01	2645000	63	0.810407
(3742,3801)(2641421,2679588)(2630000,2680000)	chr01	2655000	61	0.922764
(3742,3801)(2641421,2679588)(2640000,2690000)	chr01	2665000	61	0.922764
(3748,3816)(2650843,2696549)(2650000,2700000)	chr01	2675000	70	0.930510
(3767,3821)(2661618,2708952)(2660000,2710000)	chr01	2685000	56	0.938830
(3781,3835)(2677007,2715573)(2670000,2720000)	chr01	2695000	56	0.906932
(3802,3860)(2694353,2729927)(2680000,2730000)	chr01	2705000	60	0.867123
(3802,3860)(2694353,2729927)(2690000,2740000)	chr01	2715000	60	0.867123
(3817,3860)(2708894,2729927)(2700000,2750000)	chr01	2725000	45	0.802977
(3822,3868)(2713158,2758192)(2710000,2760000)	chr01	2735000	48	0.797641
(3836,3897)(2723230,2769275)(2720000,2770000)	chr01	2745000	63	0.838020
(3861,3897)(2758090,2769275)(2730000,2780000)	chr01	2755000	38	0.839408
(3861,3897)(2758090,2769275)(2740000,2790000)	chr01	2765000	38	0.839408
(3861,3905)(2758090,2797152)(2750000,2800000)	chr01	2775000	46	0.854200
(3869,3915)(2764352,2808020)(2760000,2810000)	chr01	2785000	48	0.853680
(3898,3935)(2793625,2819143)(2770000,2820000)	chr01	2795000	39	0.848869
(3898,3966)(2793625,2827042)(2780000,2830000)	chr01	2805000	70	0.843163
(3898,4001)(2793625,2836231)(2790000,2840000)	chr01	2815000	105	0.833127
(3906,4054)(2803650,2848490)(2800000,2850000)	chr01	2825000	150	0.679737
(3916,4065)(2810429,2858402)(2810000,2860000)	chr01	2835000	151	0.668209
(3936,4065)(2822414,2858402)(2820000,2870000)	chr01	2845000	131	0.637806
(3967,4091)(2830574,2879565)(2830000,2880000)	chr01	2855000	126	0.578682
(4002,4091)(2840643,2879565)(2840000,2890000)	chr01	2865000	91	0.561157
(4055,4096)(2850321,2898228)(2850000,2900000)	chr01	2875000	43	0.662884
(4066,4112)(2874017,2908624)(2860000,2910000)	chr01	2885000	48	0.603984
(4066,4124)(2874017,2918659)(2870000,2920000)	chr01	2895000	60	0.595577
(4092,4131)(2897967,2928377)(2880000,2930000)	chr01	2905000	41	0.476084
(4092,4137)(2897967,2930701)(2890000,2940000)	chr01	2915000	47	0.458328
(4097,4141)(2900619,2947500)(2900000,2950000)	chr01	2925000	46	0.626412
(4113,4157)(2917349,2958530)(2910000,2960000)	chr01	2935000	46	0.771370
(4125,4171)(2925940,2966828)(2920000,2970000)	chr01	2945000	48	0.695236
(4132,4185)(2930458,2978558)(2930000,2980000)	chr01	2955000	55	0.713238
(4138,4232)(2947464,2986369)(2940000,2990000)	chr01	2965000	96	0.663217
(4142,4240)(2952414,2997442)(2950000,3000000)	chr01	2975000	100	0.609141
(4158,4256)(2966588,3006443)(2960000,3010000)	chr01	2985000	100	0.529595
(4172,4266)(2974790,3019074)(2970000,3020000)	chr01	2995000	96	0.545457
(4186,4296)(2982714,3026807)(2980000,3030000)	chr01	3005000	112	0.483121
(4233,4302)(2991288,3031371)(2990000,3040000)	chr01	3015000	71	0.378873
(4241,4320)(3000293,3042909)(3000000,3050000)	chr01	3025000	81	0.350588
(4257,4341)(3018840,3059830)(3010000,3060000)	chr01	3035000	86	0.462637
(4267,4362)(3021041,3065460)(3020000,3070000)	chr01	3045000	97	0.499155
(4297,4422)(3031309,3079001)(3030000,3080000)	chr01	3055000	127	0.504467
(4303,4442)(3040139,3088876)(3040000,3090000)	chr01	3065000	141	0.512985
(4321,4465)(3059392,3098204)(3050000,3100000)	chr01	3075000	146	0.532165
(4342,4472)(3060346,3107048)(3060000,3110000)	chr01	3085000	132	0.514696
(4363,4515)(3074196,3119995)(3070000,3120000)	chr01	3095000	154	0.467975
(4423,4519)(3083763,3123200)(3080000,3130000)	chr01	3105000	98	0.462197
(4443,4529)(3092551,3131534)(3090000,3140000)	chr01	3115000	88	0.566681
(4466,4529)(3103004,3131534)(3100000,3150000)	chr01	3125000	65	0.553851
(4473,4541)(3112075,3157744)(3110000,3160000)	chr01	3135000	70	0.543011
(4516,4555)(3120038,3166095)(3120000,3170000)	chr01	3145000	41	0.722262
