region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.050698
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.202540
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.221370
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.220910
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.293368
(26,103)(66768,109295)(60000,110000)	chr01	85000	79	0.322422
(33,177)(72927,119227)(70000,120000)	chr01	95000	146	0.312890
(68,202)(99745,121372)(80000,130000)	chr01	105000	136	0.341498
(68,230)(99745,131673)(90000,140000)	chr01	115000	164	0.333477
(70,245)(101120,148599)(100000,150000)	chr01	125000	177	0.284613
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.229089
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.159869
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.160472
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.107614
(246,313)(155765,197658)(150000,200000)	chr01	175000	69	0.231542
(271,338)(165376,204116)(160000,210000)	chr01	185000	69	0.423789
(292,373)(175855,216859)(170000,220000)	chr01	195000	83	0.462639
(299,395)(183430,229717)(180000,230000)	chr01	205000	98	0.470969
(302,395)(193065,229717)(190000,240000)	chr01	215000	95	0.473174
(314,435)(202400,249999)(200000,250000)	chr01	225000	123	0.460758
(339,472)(214936,258347)(210000,260000)	chr01	235000	135	0.373592
(374,491)(224519,268043)(220000,270000)	chr01	245000	119	0.139166
(396,520)(241035,278351)(230000,280000)	chr01	255000	126	0.107229
(396,544)(241035,286093)(240000,290000)	chr01	265000	150	0.110706
(436,553)(250021,296664)(250000,300000)	chr01	275000	119	0.115579
(473,575)(267752,307842)(260000,310000)	chr01	285000	104	0.067536
(492,576)(270347,317230)(270000,320000)	chr01	295000	86	0.103044
(521,588)(281515,324273)(280000,330000)	chr01	305000	69	0.110807
(545,614)(291233,339583)(290000,340000)	chr01	315000	71	0.310970
(554,620)(303105,348196)(300000,350000)	chr01	325000	68	0.310819
(576,638)(317230,359771)(310000,360000)	chr01	335000	64	0.282366
(577,646)(322110,360805)(320000,370000)	chr01	345000	71	0.309107
(589,666)(334023,373127)(330000,380000)	chr01	355000	79	0.300659
(615,669)(342750,384275)(340000,390000)	chr01	365000	56	0.133847
(621,677)(356572,399618)(350000,400000)	chr01	375000	58	0.228050
(639,691)(360718,406909)(360000,410000)	chr01	385000	54	0.257819
(647,729)(371165,418272)(370000,420000)	chr01	395000	84	0.286446
