region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.677530
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.663739
(24,60)(66768,99748)(50000,100000)	chr01	75000	38	0.641556
(24,94)(66768,109295)(60000,110000)	chr01	85000	72	0.687603
(31,168)(72990,119227)(70000,120000)	chr01	95000	139	0.658548
(59,193)(99745,121372)(80000,130000)	chr01	105000	136	0.641402
(59,221)(99745,131673)(90000,140000)	chr01	115000	164	0.653610
(61,236)(101120,148599)(100000,150000)	chr01	125000	177	0.640541
(95,261)(112439,159252)(110000,160000)	chr01	135000	168	0.592249
(169,282)(121114,169571)(120000,170000)	chr01	145000	115	0.518670
(194,289)(130856,175991)(130000,180000)	chr01	155000	97	0.551813
(222,292)(146066,183449)(140000,190000)	chr01	165000	72	0.425661
(237,304)(155765,197658)(150000,200000)	chr01	175000	69	0.462665
(262,322)(165376,204116)(160000,210000)	chr01	185000	62	0.617440
(283,357)(175855,216859)(170000,220000)	chr01	195000	76	0.735539
(290,379)(183430,229717)(180000,230000)	chr01	205000	91	0.777151
(293,379)(193065,229717)(190000,240000)	chr01	215000	88	0.786286
(305,419)(202400,249999)(200000,250000)	chr01	225000	116	0.829574
(323,451)(214936,257533)(210000,260000)	chr01	235000	130	0.832176
(358,470)(224519,268043)(220000,270000)	chr01	245000	114	0.831751
(380,499)(241035,278351)(230000,280000)	chr01	255000	121	0.816034
(380,523)(241035,286093)(240000,290000)	chr01	265000	145	0.786490
(420,532)(250021,296664)(250000,300000)	chr01	275000	114	0.755436
(452,554)(267752,307842)(260000,310000)	chr01	285000	104	0.711161
(471,555)(270347,317230)(270000,320000)	chr01	295000	86	0.726569
(500,567)(281515,324273)(280000,330000)	chr01	305000	69	0.735676
(524,583)(291233,339583)(290000,340000)	chr01	315000	61	0.808464
(533,589)(303105,348196)(300000,350000)	chr01	325000	58	0.821226
(555,606)(317230,359771)(310000,360000)	chr01	335000	53	0.843990
(556,614)(322110,360805)(320000,370000)	chr01	345000	60	0.839359
(568,633)(334023,373127)(330000,380000)	chr01	355000	67	0.764016
(584,636)(342750,384275)(340000,390000)	chr01	365000	54	0.716499
(590,644)(356572,399618)(350000,400000)	chr01	375000	56	0.641737
(607,652)(360718,406783)(360000,410000)	chr01	385000	47	0.641541
(615,688)(371165,418272)(370000,420000)	chr01	395000	75	0.737600
(634,697)(384248,426178)(380000,430000)	chr01	405000	65	0.706384
(637,697)(399494,426178)(390000,440000)	chr01	415000	62	0.697839
(645,717)(405929,447446)(400000,450000)	chr01	425000	74	0.727696
(653,730)(412986,458510)(410000,460000)	chr01	435000	79	0.690593
(689,730)(422091,458510)(420000,470000)	chr01	445000	43	0.494376
(698,740)(440021,476556)(430000,480000)	chr01	455000	44	0.591319
(698,755)(440021,489540)(440000,490000)	chr01	465000	59	0.696823
(718,766)(458290,497075)(450000,500000)	chr01	475000	50	0.749725
(731,766)(472791,497075)(460000,510000)	chr01	485000	37	0.820628
(731,767)(472791,519445)(470000,520000)	chr01	495000	38	0.819751
(741,779)(482579,525090)(480000,530000)	chr01	505000	40	0.798639
(756,779)(490388,525090)(490000,540000)	chr01	515000	25	0.810087
(767,781)(519445,546039)(500000,550000)	chr01	525000	16	0.620179
(767,782)(519445,556579)(510000,560000)	chr01	535000	17	0.616493
(768,789)(520967,567617)(520000,570000)	chr01	545000	23	0.647986
(780,789)(546012,567617)(530000,580000)	chr01	555000	11	0.721174
(780,789)(546012,567617)(540000,590000)	chr01	565000	11	0.721174
