region	chr	midPos	Nsites
(5,41)(34877,75784)(30000,80000)	chr01	55000	38	0.776149
(6,41)(40565,75784)(40000,90000)	chr01	65000	37	0.775933
(20,43)(72990,99748)(50000,100000)	chr01	75000	25	0.621543
(20,78)(72990,109295)(60000,110000)	chr01	85000	60	0.619037
(20,149)(72990,119227)(70000,120000)	chr01	95000	131	0.648701
(42,174)(99745,121372)(80000,130000)	chr01	105000	134	0.656425
(42,202)(99745,131673)(90000,140000)	chr01	115000	162	0.637801
(44,217)(101120,148599)(100000,150000)	chr01	125000	175	0.656518
(79,242)(112439,159252)(110000,160000)	chr01	135000	165	0.671101
(150,263)(121114,169571)(120000,170000)	chr01	145000	115	0.685098
(175,270)(130856,175991)(130000,180000)	chr01	155000	97	0.681979
(203,273)(146066,183449)(140000,190000)	chr01	165000	72	0.698329
(218,285)(155765,197658)(150000,200000)	chr01	175000	69	0.677288
(243,310)(165376,204116)(160000,210000)	chr01	185000	69	0.622870
(264,344)(175855,216832)(170000,220000)	chr01	195000	82	0.542864
(271,366)(183430,229717)(180000,230000)	chr01	205000	97	0.660751
(274,366)(193065,229717)(190000,240000)	chr01	215000	94	0.673974
(286,406)(202400,249999)(200000,250000)	chr01	225000	122	0.719918
(311,440)(214936,257492)(210000,260000)	chr01	235000	131	0.791024
(345,456)(224519,268043)(220000,270000)	chr01	245000	113	0.779857
(367,470)(241035,278259)(230000,280000)	chr01	255000	105	0.725661
(367,480)(241035,285977)(240000,290000)	chr01	265000	115	0.725967
(407,480)(250021,285977)(250000,300000)	chr01	275000	75	0.690535
(441,495)(267752,305489)(260000,310000)	chr01	285000	56	0.544329
(457,495)(270347,305489)(270000,320000)	chr01	295000	40	0.599259
(471,500)(284735,323234)(280000,330000)	chr01	305000	31	0.632543
(481,509)(303105,339583)(290000,340000)	chr01	315000	30	0.711338
(481,514)(303105,348196)(300000,350000)	chr01	325000	35	0.743776
(496,531)(322110,359771)(310000,360000)	chr01	335000	37	0.705553
(496,539)(322110,360805)(320000,370000)	chr01	345000	45	0.707897
(501,558)(339480,373127)(330000,380000)	chr01	355000	59	0.728208
(510,561)(342750,384275)(340000,390000)	chr01	365000	53	0.726984
(515,569)(356572,399618)(350000,400000)	chr01	375000	56	0.699643
(532,577)(360718,406909)(360000,410000)	chr01	385000	47	0.769034
(540,606)(371165,418272)(370000,420000)	chr01	395000	68	0.665693
(559,615)(384248,426178)(380000,430000)	chr01	405000	58	0.659857
(562,615)(399494,426178)(390000,440000)	chr01	415000	55	0.619321
(570,631)(405929,447272)(400000,450000)	chr01	425000	63	0.666439
(578,644)(412986,458510)(410000,460000)	chr01	435000	68	0.627462
(607,644)(422091,458510)(420000,470000)	chr01	445000	39	0.689258
(616,657)(440021,477626)(430000,480000)	chr01	455000	43	0.626695
(616,659)(440021,482581)(440000,490000)	chr01	465000	45	0.626597
(632,662)(458290,497075)(450000,500000)	chr01	475000	32	0.485578
(645,662)(472791,497075)(460000,510000)	chr01	485000	19	0.454417
(645,663)(472791,519445)(470000,520000)	chr01	495000	20	0.454416
(658,684)(482579,527912)(480000,530000)	chr01	505000	28	0.307510
(660,684)(496996,527912)(490000,540000)	chr01	515000	26	0.296123
(663,686)(519445,546039)(500000,550000)	chr01	525000	25	0.387348
(663,693)(519445,556579)(510000,560000)	chr01	535000	32	0.336374
(664,700)(520967,567617)(520000,570000)	chr01	545000	38	0.334914
(685,700)(546012,567617)(530000,580000)	chr01	555000	17	0.356588
(685,700)(546012,567617)(540000,590000)	chr01	565000	17	0.356588
(687,716)(553209,598747)(550000,600000)	chr01	575000	31	0.392186
(694,737)(567497,609080)(560000,610000)	chr01	585000	45	0.544207
(701,742)(598538,615712)(570000,620000)	chr01	595000	43	0.584613
(701,751)(598538,622801)(580000,630000)	chr01	605000	52	0.760974
(701,779)(598538,639995)(590000,640000)	chr01	615000	80	0.651465
(717,783)(608808,647580)(600000,650000)	chr01	625000	68	0.708746
(738,783)(615625,647580)(610000,660000)	chr01	635000	47	0.697596
(743,795)(622726,664539)(620000,670000)	chr01	645000	54	0.642592
(752,862)(631986,679765)(630000,680000)	chr01	655000	112	0.398616
(780,868)(640931,687635)(640000,690000)	chr01	665000	90	0.402265
(784,871)(664341,699440)(650000,700000)	chr01	675000	89	0.363985
(784,892)(664341,705398)(660000,710000)	chr01	685000	110	0.422078
(796,902)(670057,710536)(670000,720000)	chr01	695000	108	0.491664
(863,937)(687435,726176)(680000,730000)	chr01	705000	76	0.657243
(869,970)(699339,736121)(690000,740000)	chr01	715000	103	0.547125
(872,976)(702087,749383)(700000,750000)	chr01	725000	106	0.530736
(893,979)(710398,754850)(710000,760000)	chr01	735000	88	0.503353
(903,1017)(720265,768507)(720000,770000)	chr01	745000	116	0.437911
(938,1022)(730423,774383)(730000,780000)	chr01	755000	86	0.385775
(971,1023)(749258,780712)(740000,790000)	chr01	765000	54	0.430256
(977,1023)(751549,780712)(750000,800000)	chr01	775000	48	0.452500
(980,1027)(760149,800296)(760000,810000)	chr01	785000	49	0.429442
(1018,1057)(774173,819725)(770000,820000)	chr01	795000	41	0.418058
(1023,1059)(780712,824471)(780000,830000)	chr01	805000	38	0.398925
(1024,1109)(800261,839864)(790000,840000)	chr01	815000	87	0.454474
(1024,1110)(800261,849991)(800000,850000)	chr01	825000	88	0.454393
(1028,1117)(816740,855718)(810000,860000)	chr01	835000	91	0.469398
(1058,1120)(824403,860813)(820000,870000)	chr01	845000	64	0.452412
(1060,1126)(830052,877821)(830000,880000)	chr01	855000	68	0.509897
(1110,1138)(849991,888203)(840000,890000)	chr01	865000	30	0.582444
(1111,1149)(852666,898885)(850000,900000)	chr01	875000	40	0.677586
(1118,1165)(860727,908031)(860000,910000)	chr01	885000	49	0.675340
(1121,1195)(876147,916778)(870000,920000)	chr01	895000	76	0.665803
(1127,1222)(881512,929364)(880000,930000)	chr01	905000	97	0.606812
(1139,1226)(892660,936207)(890000,940000)	chr01	915000	89	0.602799
