region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.700351
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.674419
(17,60)(66768,99748)(50000,100000)	chr01	75000	45	0.620476
(17,94)(66768,109295)(60000,110000)	chr01	85000	79	0.575037
(24,168)(72927,119227)(70000,120000)	chr01	95000	146	0.563128
(59,193)(99745,121372)(80000,130000)	chr01	105000	136	0.532679
(59,221)(99745,131673)(90000,140000)	chr01	115000	164	0.594718
(61,236)(101120,148599)(100000,150000)	chr01	125000	177	0.549384
(95,261)(112439,159252)(110000,160000)	chr01	135000	168	0.566676
(169,282)(121114,169571)(120000,170000)	chr01	145000	115	0.574375
(194,289)(130856,175991)(130000,180000)	chr01	155000	97	0.612609
(222,292)(146066,183449)(140000,190000)	chr01	165000	72	0.382001
(237,304)(155765,197658)(150000,200000)	chr01	175000	69	0.556541
(262,329)(165376,204116)(160000,210000)	chr01	185000	69	0.435042
(283,364)(175855,216859)(170000,220000)	chr01	195000	83	0.492721
(290,386)(183430,229717)(180000,230000)	chr01	205000	98	0.531779
(293,386)(193065,229717)(190000,240000)	chr01	215000	95	0.533664
(305,426)(202400,249999)(200000,250000)	chr01	225000	123	0.530573
(330,463)(214936,258347)(210000,260000)	chr01	235000	135	0.551052
(365,482)(224519,268043)(220000,270000)	chr01	245000	119	0.537759
(387,511)(241035,278351)(230000,280000)	chr01	255000	126	0.524452
(387,535)(241035,286093)(240000,290000)	chr01	265000	150	0.530442
(427,544)(250021,296664)(250000,300000)	chr01	275000	119	0.547177
(464,562)(267752,305489)(260000,310000)	chr01	285000	100	0.516684
(483,562)(270347,305489)(270000,320000)	chr01	295000	81	0.552294
(512,574)(281515,324273)(280000,330000)	chr01	305000	64	0.542376
(536,600)(291233,339583)(290000,340000)	chr01	315000	66	0.573846
(545,606)(303105,348196)(300000,350000)	chr01	325000	63	0.565772
(563,624)(322110,359771)(310000,360000)	chr01	335000	63	0.490940
(563,632)(322110,360805)(320000,370000)	chr01	345000	71	0.475886
(575,651)(334023,373127)(330000,380000)	chr01	355000	78	0.451866
(601,654)(342750,384275)(340000,390000)	chr01	365000	55	0.390771
(607,662)(356572,399618)(350000,400000)	chr01	375000	57	0.337054
(625,676)(360718,406909)(360000,410000)	chr01	385000	53	0.566602
(633,714)(371165,418272)(370000,420000)	chr01	395000	83	0.551264
(652,723)(384248,426178)(380000,430000)	chr01	405000	73	0.621185
(655,723)(399494,426178)(390000,440000)	chr01	415000	70	0.611116
(663,731)(405929,447272)(400000,450000)	chr01	425000	70	0.611829
(677,744)(412909,458510)(410000,460000)	chr01	435000	69	0.542950
(715,744)(422091,458510)(420000,470000)	chr01	445000	31	0.590831
(724,757)(447168,477626)(430000,480000)	chr01	455000	35	0.525491
(724,783)(447168,489540)(440000,490000)	chr01	465000	61	0.542105
(732,794)(458290,497075)(450000,500000)	chr01	475000	64	0.579721
(745,794)(472791,497075)(460000,510000)	chr01	485000	51	0.616363
(745,795)(472791,519445)(470000,520000)	chr01	495000	52	0.594237
(758,816)(482579,527912)(480000,530000)	chr01	505000	60	0.556994
(784,816)(490388,527912)(490000,540000)	chr01	515000	34	0.529528
(795,818)(519445,546039)(500000,550000)	chr01	525000	25	0.532893
(795,819)(519445,556579)(510000,560000)	chr01	535000	26	0.531549
(796,826)(520967,567617)(520000,570000)	chr01	545000	32	0.476275
(817,826)(546012,567617)(530000,580000)	chr01	555000	11	0.166291
(817,826)(546012,567617)(540000,590000)	chr01	565000	11	0.166291
(819,842)(556579,598747)(550000,600000)	chr01	575000	25	0.356753
(820,863)(567497,609080)(560000,610000)	chr01	585000	45	0.408160
(827,863)(598538,609080)(570000,620000)	chr01	595000	38	0.461195
(827,872)(598538,622801)(580000,630000)	chr01	605000	47	0.446091
(827,894)(598538,639995)(590000,640000)	chr01	615000	69	0.415544
(843,898)(608808,647580)(600000,650000)	chr01	625000	57	0.461426
(864,898)(622726,647580)(610000,660000)	chr01	635000	36	0.458777
(864,902)(622726,664510)(620000,670000)	chr01	645000	40	0.462787
(873,902)(631986,664510)(630000,680000)	chr01	655000	31	0.476535
(895,906)(640931,687537)(640000,690000)	chr01	665000	13	0.636598
(899,909)(664448,699440)(650000,700000)	chr01	675000	12	0.497425
(899,931)(664448,705398)(660000,710000)	chr01	685000	34	0.563621
(903,941)(687435,710536)(670000,720000)	chr01	695000	40	0.576694
(903,976)(687435,726176)(680000,730000)	chr01	705000	75	0.525066
(907,1009)(699339,736121)(690000,740000)	chr01	715000	104	0.446407
(910,1015)(702035,749383)(700000,750000)	chr01	725000	107	0.454495
(932,1018)(710398,754850)(710000,760000)	chr01	735000	88	0.404522
(942,1058)(720265,768507)(720000,770000)	chr01	745000	118	0.502912
(977,1065)(730423,774383)(730000,780000)	chr01	755000	90	0.521929
(1010,1066)(749258,780712)(740000,790000)	chr01	765000	58	0.653020
(1016,1066)(751549,780712)(750000,800000)	chr01	775000	52	0.658337
(1019,1070)(760149,800296)(760000,810000)	chr01	785000	53	0.666871
(1059,1100)(771638,819725)(770000,820000)	chr01	795000	43	0.404590
(1066,1102)(780712,824471)(780000,830000)	chr01	805000	38	0.351979
(1067,1156)(800261,839979)(790000,840000)	chr01	815000	91	0.305961
(1067,1157)(800261,849991)(800000,850000)	chr01	825000	92	0.305929
(1071,1162)(816740,852734)(810000,860000)	chr01	835000	93	0.320626
(1101,1165)(824403,860813)(820000,870000)	chr01	845000	66	0.301403
(1103,1171)(830052,877821)(830000,880000)	chr01	855000	70	0.325590
(1157,1183)(849991,888203)(840000,890000)	chr01	865000	28	0.716944
(1158,1195)(852666,898885)(850000,900000)	chr01	875000	39	0.798405
(1163,1220)(860727,909640)(860000,910000)	chr01	885000	59	0.771406
(1166,1250)(876147,916778)(870000,920000)	chr01	895000	86	0.623081
(1172,1277)(881512,929364)(880000,930000)	chr01	905000	107	0.550193
(1184,1281)(892877,936207)(890000,940000)	chr01	915000	99	0.515035
(1196,1314)(902874,949937)(900000,950000)	chr01	925000	120	0.420648
(1221,1327)(911188,952812)(910000,960000)	chr01	935000	108	0.381946
(1251,1335)(921481,969688)(920000,970000)	chr01	945000	86	0.445179
(1278,1385)(933153,979790)(930000,980000)	chr01	955000	109	0.656237
(1282,1405)(941192,981690)(940000,990000)	chr01	965000	125	0.703692
(1315,1421)(951051,994392)(950000,1000000)	chr01	975000	108	0.846781
(1328,1423)(964396,1007159)(960000,1010000)	chr01	985000	97	0.878716
(1336,1459)(972160,1019757)(970000,1020000)	chr01	995000	125	0.848603
(1386,1462)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.845355
(1406,1476)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.838676
(1422,1494)(1007148,1046477)(1000000,1050000)	chr01	1025000	74	0.840033
(1424,1495)(1010494,1059222)(1010000,1060000)	chr01	1035000	73	0.836142
(1460,1508)(1023745,1066860)(1020000,1070000)	chr01	1045000	50	0.881310
(1463,1508)(1030079,1066860)(1030000,1080000)	chr01	1055000	47	0.883286
(1477,1518)(1040190,1088668)(1040000,1090000)	chr01	1065000	43	0.872110
(1495,1518)(1059222,1088668)(1050000,1100000)	chr01	1075000	25	0.768330
(1496,1523)(1060081,1106471)(1060000,1110000)	chr01	1085000	29	0.739808
(1509,1526)(1080464,1118148)(1070000,1120000)	chr01	1095000	19	0.749781
(1509,1533)(1080464,1129684)(1080000,1130000)	chr01	1105000	26	0.747537
(1519,1563)(1106311,1137795)(1090000,1140000)	chr01	1115000	46	0.496283
(1519,1584)(1106311,1148852)(1100000,1150000)	chr01	1125000	67	0.538562
(1524,1586)(1110213,1156484)(1110000,1160000)	chr01	1135000	64	0.539628
(1527,1614)(1125674,1169984)(1120000,1170000)	chr01	1145000	89	0.597151
(1534,1621)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.558405
(1564,1625)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.624032
(1585,1632)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.609648
(1587,1636)(1161555,1202634)(1160000,1210000)	chr01	1185000	51	0.610771
(1615,1650)(1170001,1215995)(1170000,1220000)	chr01	1195000	37	0.327930
(1622,1650)(1181102,1215995)(1180000,1230000)	chr01	1205000	30	0.379196
(1626,1669)(1196849,1235615)(1190000,1240000)	chr01	1215000	45	0.298370
(1633,1673)(1202564,1248625)(1200000,1250000)	chr01	1225000	42	0.326335
(1637,1673)(1215791,1248625)(1210000,1260000)	chr01	1235000	38	0.326594
(1651,1678)(1230664,1266942)(1220000,1270000)	chr01	1245000	29	0.558898
(1651,1684)(1230664,1271087)(1230000,1280000)	chr01	1255000	35	0.531276
(1670,1699)(1247842,1287173)(1240000,1290000)	chr01	1265000	31	0.712363
(1674,1702)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.701467
(1674,1745)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.490916
(1679,1753)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.467237
(1685,1762)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.496149
(1700,1785)(1299742,1339830)(1290000,1340000)	chr01	1315000	87	0.438815
(1703,1820)(1306965,1348194)(1300000,1350000)	chr01	1325000	119	0.512266
(1746,1824)(1311649,1355827)(1310000,1360000)	chr01	1335000	80	0.613780
(1754,1836)(1326979,1369999)(1320000,1370000)	chr01	1345000	84	0.609498
(1763,1855)(1330096,1376926)(1330000,1380000)	chr01	1355000	94	0.585955
(1786,1857)(1340379,1380434)(1340000,1390000)	chr01	1365000	73	0.658922
(1821,1914)(1354558,1399777)(1350000,1400000)	chr01	1375000	95	0.474673
(1825,1951)(1365354,1408031)(1360000,1410000)	chr01	1385000	128	0.487235
(1837,1961)(1370042,1414038)(1370000,1420000)	chr01	1395000	126	0.496615
(1856,1961)(1380412,1414038)(1380000,1430000)	chr01	1405000	107	0.509787
(1858,1969)(1390829,1434626)(1390000,1440000)	chr01	1415000	113	0.586737
(1915,1991)(1403724,1447907)(1400000,1450000)	chr01	1425000	78	0.668861
(1952,1991)(1412497,1447907)(1410000,1460000)	chr01	1435000	41	0.687599
(1962,2007)(1432940,1466693)(1420000,1470000)	chr01	1445000	47	0.720988
(1962,2018)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.715098
(1970,2027)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.624639
(1992,2039)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.336321
(1992,2039)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.336321
(2008,2041)(1470369,1518877)(1470000,1520000)	chr01	1495000	35	0.303374
