region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.475189
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.433933
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.436439
(24,101)(66768,109295)(60000,110000)	chr01	85000	79	0.552348
(31,175)(72927,119227)(70000,120000)	chr01	95000	146	0.628612
(66,200)(99745,121372)(80000,130000)	chr01	105000	136	0.666045
(66,228)(99745,131673)(90000,140000)	chr01	115000	164	0.684159
(68,243)(101120,148599)(100000,150000)	chr01	125000	177	0.649671
(102,268)(112439,159252)(110000,160000)	chr01	135000	168	0.647950
(176,289)(121114,169571)(120000,170000)	chr01	145000	115	0.563976
(201,296)(130856,175991)(130000,180000)	chr01	155000	97	0.586177
(229,299)(146066,183449)(140000,190000)	chr01	165000	72	0.498040
(244,311)(155765,197658)(150000,200000)	chr01	175000	69	0.595619
(269,336)(165376,204116)(160000,210000)	chr01	185000	69	0.515918
(290,371)(175855,216859)(170000,220000)	chr01	195000	83	0.498246
(297,393)(183430,229717)(180000,230000)	chr01	205000	98	0.539316
(300,393)(193065,229717)(190000,240000)	chr01	215000	95	0.524930
(312,433)(202400,249999)(200000,250000)	chr01	225000	123	0.580755
(337,470)(214936,258347)(210000,260000)	chr01	235000	135	0.613167
(372,489)(224519,268043)(220000,270000)	chr01	245000	119	0.622771
(394,518)(241035,278351)(230000,280000)	chr01	255000	126	0.596233
(394,542)(241035,286093)(240000,290000)	chr01	265000	150	0.562600
(434,551)(250021,296664)(250000,300000)	chr01	275000	119	0.521170
(471,573)(267752,307842)(260000,310000)	chr01	285000	104	0.444682
(490,574)(270347,317230)(270000,320000)	chr01	295000	86	0.483587
(519,586)(281515,324273)(280000,330000)	chr01	305000	69	0.468181
(543,612)(291233,339583)(290000,340000)	chr01	315000	71	0.585649
(552,618)(303105,348196)(300000,350000)	chr01	325000	68	0.578716
(574,636)(317230,359771)(310000,360000)	chr01	335000	64	0.531047
(575,644)(322110,360805)(320000,370000)	chr01	345000	71	0.516941
(587,663)(334023,373127)(330000,380000)	chr01	355000	78	0.579422
(613,666)(342750,384275)(340000,390000)	chr01	365000	55	0.539153
(619,674)(356572,399618)(350000,400000)	chr01	375000	57	0.516261
(637,688)(360718,406909)(360000,410000)	chr01	385000	53	0.640103
(645,726)(371165,418272)(370000,420000)	chr01	395000	83	0.626233
(664,735)(384248,426178)(380000,430000)	chr01	405000	73	0.654471
(667,735)(399494,426178)(390000,440000)	chr01	415000	70	0.648973
(675,755)(405929,447446)(400000,450000)	chr01	425000	82	0.643253
(689,768)(412909,458510)(410000,460000)	chr01	435000	81	0.567610
(727,768)(422091,458510)(420000,470000)	chr01	445000	43	0.545990
(736,778)(440021,476556)(430000,480000)	chr01	455000	44	0.402406
(736,804)(440021,489540)(440000,490000)	chr01	465000	70	0.400704
(756,815)(458290,497075)(450000,500000)	chr01	475000	61	0.287356
(769,815)(472791,497075)(460000,510000)	chr01	485000	48	0.368548
(769,816)(472791,519445)(470000,520000)	chr01	495000	49	0.368004
(779,837)(482579,527912)(480000,530000)	chr01	505000	60	0.346108
(805,837)(490388,527912)(490000,540000)	chr01	515000	34	0.308358
(816,839)(519445,546039)(500000,550000)	chr01	525000	25	0.311450
(816,846)(519445,556579)(510000,560000)	chr01	535000	32	0.487671
(817,853)(520967,567617)(520000,570000)	chr01	545000	38	0.547578
(838,853)(546012,567617)(530000,580000)	chr01	555000	17	0.672738
(838,853)(546012,567617)(540000,590000)	chr01	565000	17	0.672738
(840,869)(553209,598747)(550000,600000)	chr01	575000	31	0.563183
(847,890)(567497,609080)(560000,610000)	chr01	585000	45	0.385310
(854,896)(598538,615712)(570000,620000)	chr01	595000	44	0.265374
(854,910)(598538,629014)(580000,630000)	chr01	605000	58	0.275497
(854,938)(598538,639995)(590000,640000)	chr01	615000	86	0.468037
(870,942)(608808,647580)(600000,650000)	chr01	625000	74	0.530120
(891,942)(615547,647580)(610000,660000)	chr01	635000	53	0.604555
(897,953)(622726,664539)(620000,670000)	chr01	645000	58	0.592589
(911,1020)(631986,679765)(630000,680000)	chr01	655000	111	0.633002
(939,1026)(640931,687635)(640000,690000)	chr01	665000	89	0.635688
(943,1029)(664365,699440)(650000,700000)	chr01	675000	88	0.621364
(943,1051)(664365,705398)(660000,710000)	chr01	685000	110	0.608112
(954,1061)(670057,710536)(670000,720000)	chr01	695000	109	0.602798
(1021,1096)(687435,726176)(680000,730000)	chr01	705000	77	0.487092
(1027,1129)(699339,736121)(690000,740000)	chr01	715000	104	0.334342
(1030,1135)(702035,749383)(700000,750000)	chr01	725000	107	0.330268
(1052,1138)(710398,754850)(710000,760000)	chr01	735000	88	0.258560
(1062,1178)(720265,768507)(720000,770000)	chr01	745000	118	0.435798
(1097,1185)(730423,774383)(730000,780000)	chr01	755000	90	0.458939
(1130,1186)(749258,780712)(740000,790000)	chr01	765000	58	0.619103
(1136,1186)(751549,780712)(750000,800000)	chr01	775000	52	0.645514
(1139,1190)(760149,800296)(760000,810000)	chr01	785000	53	0.669352
(1179,1220)(771638,819725)(770000,820000)	chr01	795000	43	0.376937
(1186,1222)(780712,824471)(780000,830000)	chr01	805000	38	0.351936
(1187,1276)(800261,839979)(790000,840000)	chr01	815000	91	0.281499
(1187,1277)(800261,849991)(800000,850000)	chr01	825000	92	0.281456
(1191,1284)(816740,855718)(810000,860000)	chr01	835000	95	0.210447
(1221,1287)(824403,860813)(820000,870000)	chr01	845000	68	0.271497
(1223,1293)(830052,877821)(830000,880000)	chr01	855000	72	0.279517
(1277,1305)(849991,888203)(840000,890000)	chr01	865000	30	0.567741
(1278,1320)(852666,898885)(850000,900000)	chr01	875000	44	0.715741
(1285,1345)(860727,909640)(860000,910000)	chr01	885000	62	0.688266
(1288,1375)(876147,916778)(870000,920000)	chr01	895000	89	0.575925
(1294,1402)(881512,929364)(880000,930000)	chr01	905000	110	0.548903
(1306,1406)(890743,936207)(890000,940000)	chr01	915000	102	0.502592
(1321,1439)(902874,949937)(900000,950000)	chr01	925000	120	0.313794
(1346,1452)(911188,952812)(910000,960000)	chr01	935000	108	0.293735
(1376,1460)(921481,969688)(920000,970000)	chr01	945000	86	0.341565
(1403,1510)(933153,979790)(930000,980000)	chr01	955000	109	0.502438
(1407,1530)(941192,981690)(940000,990000)	chr01	965000	125	0.543830
(1440,1546)(951051,994392)(950000,1000000)	chr01	975000	108	0.716824
(1453,1548)(964396,1007159)(960000,1010000)	chr01	985000	97	0.743290
(1461,1584)(972160,1019757)(970000,1020000)	chr01	995000	125	0.736971
(1511,1587)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.748008
(1531,1601)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.809515
(1547,1619)(1007148,1046477)(1000000,1050000)	chr01	1025000	74	0.828113
(1549,1623)(1010494,1059378)(1010000,1060000)	chr01	1035000	76	0.812056
(1585,1635)(1023745,1067383)(1020000,1070000)	chr01	1045000	52	0.844005
(1588,1635)(1030079,1067383)(1030000,1080000)	chr01	1055000	49	0.857489
(1602,1658)(1040190,1088668)(1040000,1090000)	chr01	1065000	58	0.743041
(1620,1658)(1059222,1088668)(1050000,1100000)	chr01	1075000	40	0.581490
(1624,1663)(1060081,1106471)(1060000,1110000)	chr01	1085000	41	0.594813
