region	chr	midPos	Nsites
(2,21)(27510,49086)(10000,60000)	chr01	35000	21	0.598563
(2,21)(27510,49086)(20000,70000)	chr01	45000	21	0.598563
(7,43)(34877,75784)(30000,80000)	chr01	55000	38	0.359758
(8,43)(40565,75784)(40000,90000)	chr01	65000	37	0.318566
(22,45)(72990,99748)(50000,100000)	chr01	75000	25	0.327910
(22,81)(72990,109295)(60000,110000)	chr01	85000	61	0.322353
(22,152)(72990,119227)(70000,120000)	chr01	95000	132	0.612559
(44,177)(99745,121372)(80000,130000)	chr01	105000	135	0.691814
(44,205)(99745,131673)(90000,140000)	chr01	115000	163	0.697414
(46,220)(101120,148599)(100000,150000)	chr01	125000	176	0.685809
(82,245)(112439,159252)(110000,160000)	chr01	135000	165	0.783150
(153,266)(121114,169571)(120000,170000)	chr01	145000	115	0.750148
(178,273)(130856,175991)(130000,180000)	chr01	155000	97	0.715175
(206,276)(146066,183449)(140000,190000)	chr01	165000	72	0.701447
(221,288)(155765,197658)(150000,200000)	chr01	175000	69	0.695394
(246,313)(165376,204116)(160000,210000)	chr01	185000	69	0.562886
(267,348)(175855,216859)(170000,220000)	chr01	195000	83	0.436023
(274,370)(183430,229717)(180000,230000)	chr01	205000	98	0.481242
(277,370)(193065,229717)(190000,240000)	chr01	215000	95	0.485784
(289,410)(202400,249999)(200000,250000)	chr01	225000	123	0.453120
(314,444)(214936,257492)(210000,260000)	chr01	235000	132	0.568754
(349,460)(224519,268043)(220000,270000)	chr01	245000	113	0.582566
(371,474)(241035,278259)(230000,280000)	chr01	255000	105	0.546041
(371,484)(241035,285977)(240000,290000)	chr01	265000	115	0.545093
(411,484)(250021,285977)(250000,300000)	chr01	275000	75	0.600862
(445,499)(267752,305489)(260000,310000)	chr01	285000	56	0.545673
(461,499)(270347,305489)(270000,320000)	chr01	295000	40	0.611963
(475,504)(284735,323234)(280000,330000)	chr01	305000	31	0.644008
(485,519)(303105,339583)(290000,340000)	chr01	315000	36	0.611989
(485,524)(303105,348196)(300000,350000)	chr01	325000	41	0.659012
(500,542)(322110,359771)(310000,360000)	chr01	335000	44	0.455931
(500,550)(322110,360805)(320000,370000)	chr01	345000	52	0.448728
(505,569)(334023,373127)(330000,380000)	chr01	355000	66	0.382196
(520,572)(342750,384275)(340000,390000)	chr01	365000	54	0.341589
(525,580)(356572,399618)(350000,400000)	chr01	375000	57	0.252413
(543,594)(360718,406909)(360000,410000)	chr01	385000	53	0.356363
(551,632)(371165,418272)(370000,420000)	chr01	395000	83	0.337404
(570,641)(384248,426178)(380000,430000)	chr01	405000	73	0.420461
(573,641)(399494,426178)(390000,440000)	chr01	415000	70	0.412104
(581,657)(405929,447272)(400000,450000)	chr01	425000	78	0.576967
(595,670)(412909,458510)(410000,460000)	chr01	435000	77	0.633335
(633,670)(422091,458510)(420000,470000)	chr01	445000	39	0.736042
(642,683)(440021,477626)(430000,480000)	chr01	455000	43	0.679108
(642,709)(440021,489540)(440000,490000)	chr01	465000	69	0.634952
(658,720)(458290,497075)(450000,500000)	chr01	475000	64	0.566645
(671,720)(472791,497075)(460000,510000)	chr01	485000	51	0.485773
(671,721)(472791,519445)(470000,520000)	chr01	495000	52	0.483053
(684,742)(482579,527912)(480000,530000)	chr01	505000	60	0.481756
(710,742)(490388,527912)(490000,540000)	chr01	515000	34	0.458819
(721,744)(519445,546039)(500000,550000)	chr01	525000	25	0.492769
(721,751)(519445,556579)(510000,560000)	chr01	535000	32	0.405315
(722,758)(520967,567617)(520000,570000)	chr01	545000	38	0.435672
(743,758)(546012,567617)(530000,580000)	chr01	555000	17	0.446519
(743,758)(546012,567617)(540000,590000)	chr01	565000	17	0.446519
(745,774)(553209,598747)(550000,600000)	chr01	575000	31	0.431824
(752,795)(567497,609080)(560000,610000)	chr01	585000	45	0.556860
(759,800)(598538,615712)(570000,620000)	chr01	595000	43	0.542645
(759,809)(598538,622801)(580000,630000)	chr01	605000	52	0.517183
(759,837)(598538,639995)(590000,640000)	chr01	615000	80	0.468675
(775,841)(608808,647580)(600000,650000)	chr01	625000	68	0.470567
(796,841)(615625,647580)(610000,660000)	chr01	635000	47	0.407187
(801,853)(622726,664539)(620000,670000)	chr01	645000	54	0.402012
(810,920)(631986,679765)(630000,680000)	chr01	655000	112	0.427837
(838,926)(640931,687635)(640000,690000)	chr01	665000	90	0.443796
(842,929)(664341,699440)(650000,700000)	chr01	675000	89	0.433596
(842,951)(664341,705398)(660000,710000)	chr01	685000	111	0.467282
