region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.686548
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.595935
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.498548
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.478036
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.413409
(26,103)(66768,109295)(60000,110000)	chr01	85000	79	0.414361
(33,177)(72927,119227)(70000,120000)	chr01	95000	146	0.504981
(68,202)(99745,121372)(80000,130000)	chr01	105000	136	0.537369
(68,230)(99745,131673)(90000,140000)	chr01	115000	164	0.538733
(70,245)(101120,148599)(100000,150000)	chr01	125000	177	0.507404
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.636115
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.729507
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.742825
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.781121
(246,308)(155765,197658)(150000,200000)	chr01	175000	64	0.824841
(271,333)(165376,204116)(160000,210000)	chr01	185000	64	0.775734
(292,368)(175855,216859)(170000,220000)	chr01	195000	78	0.601648
(299,390)(183430,229717)(180000,230000)	chr01	205000	93	0.561133
(302,390)(195626,229717)(190000,240000)	chr01	215000	90	0.527167
(309,428)(202400,249999)(200000,250000)	chr01	225000	121	0.598865
(334,465)(214936,258347)(210000,260000)	chr01	235000	133	0.595855
(369,484)(224519,268043)(220000,270000)	chr01	245000	117	0.565427
(391,513)(241035,278351)(230000,280000)	chr01	255000	124	0.571997
(391,537)(241035,286093)(240000,290000)	chr01	265000	148	0.545925
(429,546)(250021,296664)(250000,300000)	chr01	275000	119	0.442844
(466,568)(267752,307842)(260000,310000)	chr01	285000	104	0.370522
(485,569)(270347,317230)(270000,320000)	chr01	295000	86	0.444399
(514,581)(281515,324273)(280000,330000)	chr01	305000	69	0.464339
(538,607)(291233,339583)(290000,340000)	chr01	315000	71	0.601578
(547,613)(303105,348196)(300000,350000)	chr01	325000	68	0.598345
(569,631)(317230,359771)(310000,360000)	chr01	335000	64	0.696580
(570,639)(322110,360805)(320000,370000)	chr01	345000	71	0.678482
(582,658)(334023,373127)(330000,380000)	chr01	355000	78	0.672562
(608,658)(342750,373127)(340000,390000)	chr01	365000	52	0.644422
(614,666)(356572,399618)(350000,400000)	chr01	375000	54	0.613648
(632,679)(360718,406783)(360000,410000)	chr01	385000	49	0.694717
(640,706)(371165,418272)(370000,420000)	chr01	395000	68	0.649636
(659,715)(399494,426178)(380000,430000)	chr01	405000	58	0.668614
(659,715)(399494,426178)(390000,440000)	chr01	415000	58	0.668614
(667,717)(405929,447272)(400000,450000)	chr01	425000	52	0.689361
(680,717)(413073,447272)(410000,460000)	chr01	435000	39	0.589482
(707,717)(422091,447272)(420000,470000)	chr01	445000	12	0.652077
(716,730)(447245,477626)(430000,480000)	chr01	455000	16	0.391463
(716,751)(447245,489386)(440000,490000)	chr01	465000	37	0.673570
(718,762)(472791,497075)(450000,500000)	chr01	475000	46	0.721768
(718,762)(472791,497075)(460000,510000)	chr01	485000	46	0.721768
(718,763)(472791,519445)(470000,520000)	chr01	495000	47	0.703672
(731,775)(482579,525090)(480000,530000)	chr01	505000	46	0.790902
(752,775)(490388,525090)(490000,540000)	chr01	515000	25	0.775102
(763,777)(519445,546039)(500000,550000)	chr01	525000	16	0.750985
(763,778)(519445,556579)(510000,560000)	chr01	535000	17	0.749289
(764,785)(520967,567617)(520000,570000)	chr01	545000	23	0.752283
(776,785)(546012,567617)(530000,580000)	chr01	555000	11	0.612031
(776,785)(546012,567617)(540000,590000)	chr01	565000	11	0.612031
(778,801)(556579,598747)(550000,600000)	chr01	575000	25	0.394314
(779,822)(567497,609080)(560000,610000)	chr01	585000	45	0.389038
(786,827)(598538,615712)(570000,620000)	chr01	595000	43	0.433756
(786,841)(598538,629014)(580000,630000)	chr01	605000	57	0.403254
(786,863)(598538,639995)(590000,640000)	chr01	615000	79	0.355185
(802,867)(608808,647580)(600000,650000)	chr01	625000	67	0.378306
(823,867)(615625,647580)(610000,660000)	chr01	635000	46	0.377250
(828,879)(622726,664539)(620000,670000)	chr01	645000	53	0.239343
(842,946)(631986,679765)(630000,680000)	chr01	655000	106	0.220751
(864,952)(640931,687635)(640000,690000)	chr01	665000	90	0.231970
(868,955)(664341,699440)(650000,700000)	chr01	675000	89	0.248030
(868,977)(664341,705398)(660000,710000)	chr01	685000	111	0.270098
(880,987)(670057,710536)(670000,720000)	chr01	695000	109	0.277492
(947,1022)(687435,726176)(680000,730000)	chr01	705000	77	0.402331
(953,1055)(699339,736121)(690000,740000)	chr01	715000	104	0.362732
(956,1061)(702035,749383)(700000,750000)	chr01	725000	107	0.334196
(978,1063)(710398,751567)(710000,760000)	chr01	735000	87	0.314426
(988,1101)(720265,768507)(720000,770000)	chr01	745000	115	0.366467
(1023,1106)(730423,774383)(730000,780000)	chr01	755000	85	0.355565
(1056,1107)(749258,780712)(740000,790000)	chr01	765000	53	0.387757
(1062,1107)(751549,780712)(750000,800000)	chr01	775000	47	0.408441
(1064,1111)(760149,800296)(760000,810000)	chr01	785000	49	0.455154
(1102,1141)(774173,819725)(770000,820000)	chr01	795000	41	0.465782
(1107,1143)(780712,824471)(780000,830000)	chr01	805000	38	0.440204
(1108,1197)(800261,839979)(790000,840000)	chr01	815000	91	0.406713
(1108,1198)(800261,849991)(800000,850000)	chr01	825000	92	0.405560
(1112,1205)(816740,855718)(810000,860000)	chr01	835000	95	0.410350
(1142,1208)(824403,860813)(820000,870000)	chr01	845000	68	0.426957
(1144,1214)(830052,877821)(830000,880000)	chr01	855000	72	0.423457
(1198,1224)(849991,888203)(840000,890000)	chr01	865000	28	0.632315
(1199,1225)(852666,898756)(850000,900000)	chr01	875000	28	0.624682
(1206,1250)(860727,909640)(860000,910000)	chr01	885000	46	0.485873
(1209,1280)(876147,916778)(870000,920000)	chr01	895000	73	0.332823
(1215,1307)(885300,929364)(880000,930000)	chr01	905000	94	0.316810
(1225,1311)(898756,936207)(890000,940000)	chr01	915000	88	0.223098
(1226,1344)(902874,949937)(900000,950000)	chr01	925000	120	0.374668
(1251,1357)(911188,952812)(910000,960000)	chr01	935000	108	0.367089
(1281,1362)(921481,969688)(920000,970000)	chr01	945000	83	0.458397
(1308,1387)(933153,979790)(930000,980000)	chr01	955000	81	0.595128
(1312,1407)(941192,981690)(940000,990000)	chr01	965000	97	0.611767
(1345,1423)(951051,994392)(950000,1000000)	chr01	975000	80	0.671401
(1358,1425)(964396,1007159)(960000,1010000)	chr01	985000	69	0.720576
(1363,1461)(972160,1019757)(970000,1020000)	chr01	995000	100	0.650746
(1388,1464)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.614545
(1408,1478)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.636562
(1424,1497)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.648129
(1426,1498)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.639275
(1462,1514)(1023745,1067383)(1020000,1070000)	chr01	1045000	54	0.773247
(1465,1514)(1030079,1067383)(1030000,1080000)	chr01	1055000	51	0.773927
(1479,1537)(1040190,1088668)(1040000,1090000)	chr01	1065000	60	0.790779
(1498,1537)(1059222,1088668)(1050000,1100000)	chr01	1075000	41	0.783488
(1499,1542)(1060081,1106471)(1060000,1110000)	chr01	1085000	45	0.798450
(1515,1555)(1080464,1118148)(1070000,1120000)	chr01	1095000	42	0.850871
(1515,1567)(1080464,1129684)(1080000,1130000)	chr01	1105000	54	0.889862
(1538,1598)(1106311,1137795)(1090000,1140000)	chr01	1115000	62	0.804997
(1538,1618)(1106311,1148852)(1100000,1150000)	chr01	1125000	82	0.743197
(1543,1620)(1110213,1156484)(1110000,1160000)	chr01	1135000	79	0.737604
(1556,1648)(1125674,1169984)(1120000,1170000)	chr01	1145000	94	0.693628
(1568,1655)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.594281
(1599,1659)(1141378,1187811)(1140000,1190000)	chr01	1165000	62	0.508852
(1619,1666)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.593756
(1621,1674)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.660377
(1649,1688)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.650021
(1656,1688)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.743113
(1660,1707)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.664469
(1667,1713)(1202564,1247876)(1200000,1250000)	chr01	1225000	48	0.604021
(1675,1713)(1215791,1247876)(1210000,1260000)	chr01	1235000	40	0.453234
(1689,1718)(1230664,1266942)(1220000,1270000)	chr01	1245000	31	0.390491
(1689,1724)(1230664,1271087)(1230000,1280000)	chr01	1255000	37	0.394249
(1708,1739)(1242138,1287173)(1240000,1290000)	chr01	1265000	33	0.328627
(1714,1742)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.231210
(1714,1785)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.223826
(1719,1793)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.220695
(1725,1802)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.195210
(1740,1826)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.266150
(1743,1860)(1306965,1348194)(1300000,1350000)	chr01	1325000	119	0.278166
(1786,1864)(1311649,1355827)(1310000,1360000)	chr01	1335000	80	0.292712
(1794,1876)(1326979,1369999)(1320000,1370000)	chr01	1345000	84	0.457373
(1803,1895)(1330096,1376887)(1330000,1380000)	chr01	1355000	94	0.501810
(1827,1897)(1340379,1380434)(1340000,1390000)	chr01	1365000	72	0.540486
(1861,1954)(1354558,1399777)(1350000,1400000)	chr01	1375000	95	0.649222
(1865,1991)(1365354,1408031)(1360000,1410000)	chr01	1385000	128	0.683153
(1877,2011)(1370042,1417953)(1370000,1420000)	chr01	1395000	136	0.630075
(1896,2033)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.662957
(1898,2041)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.658048
(1955,2063)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.642051
(1992,2063)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.568581
(2012,2079)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.642167
(2034,2090)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.471261
(2042,2099)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.486477
(2064,2111)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.405258
(2064,2111)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.405258
(2080,2113)(1470369,1518877)(1470000,1520000)	chr01	1495000	35	0.394397
(2091,2139)(1480472,1528219)(1480000,1530000)	chr01	1505000	50	0.387424
(2100,2145)(1494294,1539114)(1490000,1540000)	chr01	1515000	47	0.392855
(2112,2157)(1518851,1541686)(1500000,1550000)	chr01	1525000	47	0.445751
(2112,2164)(1518851,1559963)(1510000,1560000)	chr01	1535000	54	0.441183
(2114,2169)(1520238,1565601)(1520000,1570000)	chr01	1545000	57	0.352659
(2140,2179)(1534100,1576258)(1530000,1580000)	chr01	1555000	41	0.259423
(2146,2191)(1541517,1589999)(1540000,1590000)	chr01	1565000	47	0.356614
(2158,2209)(1557459,1594343)(1550000,1600000)	chr01	1575000	53	0.359530
(2165,2228)(1565554,1609534)(1560000,1610000)	chr01	1585000	65	0.396944
(2170,2249)(1571517,1615954)(1570000,1620000)	chr01	1595000	81	0.403966
(2180,2261)(1582529,1625070)(1580000,1630000)	chr01	1605000	83	0.461354
(2192,2261)(1590004,1625070)(1590000,1640000)	chr01	1615000	71	0.390373
(2210,2291)(1602281,1647959)(1600000,1650000)	chr01	1625000	83	0.590603
(2229,2315)(1614247,1659319)(1610000,1660000)	chr01	1635000	88	0.626506
(2250,2334)(1622917,1668636)(1620000,1670000)	chr01	1645000	86	0.626856
(2262,2366)(1641495,1679436)(1630000,1680000)	chr01	1655000	106	0.645742
(2262,2373)(1641495,1686820)(1640000,1690000)	chr01	1665000	113	0.641968
(2292,2375)(1655037,1694770)(1650000,1700000)	chr01	1675000	85	0.600368
(2316,2375)(1666837,1694770)(1660000,1710000)	chr01	1685000	61	0.605696
(2335,2376)(1672203,1718665)(1670000,1720000)	chr01	1695000	43	0.642391
(2367,2389)(1686691,1726909)(1680000,1730000)	chr01	1705000	24	0.265563
(2374,2429)(1694769,1738652)(1690000,1740000)	chr01	1715000	57	0.693029
(2376,2436)(1718665,1746953)(1700000,1750000)	chr01	1725000	62	0.707091
(2376,2451)(1718665,1751147)(1710000,1760000)	chr01	1735000	77	0.675096
(2377,2475)(1726685,1768287)(1720000,1770000)	chr01	1745000	100	0.686004
(2390,2494)(1730802,1778629)(1730000,1780000)	chr01	1755000	106	0.772881
(2430,2516)(1741381,1788908)(1740000,1790000)	chr01	1765000	88	0.790166
(2437,2516)(1750964,1788908)(1750000,1800000)	chr01	1775000	81	0.791876
(2452,2524)(1760369,1809286)(1760000,1810000)	chr01	1785000	74	0.845993
(2476,2555)(1775143,1819814)(1770000,1820000)	chr01	1795000	81	0.893188
(2495,2586)(1785664,1829936)(1780000,1830000)	chr01	1805000	93	0.857996
(2517,2593)(1808990,1834989)(1790000,1840000)	chr01	1815000	78	0.825684
(2517,2609)(1808990,1845832)(1800000,1850000)	chr01	1825000	94	0.808154
(2525,2618)(1810310,1857922)(1810000,1860000)	chr01	1835000	95	0.759731
(2556,2618)(1820045,1857922)(1820000,1870000)	chr01	1845000	64	0.698592
(2587,2619)(1833262,1874016)(1830000,1880000)	chr01	1855000	34	0.415926
(2594,2644)(1844345,1886510)(1840000,1890000)	chr01	1865000	52	0.427693
(2610,2647)(1857713,1891379)(1850000,1900000)	chr01	1875000	39	0.361483
(2619,2647)(1874016,1891379)(1860000,1910000)	chr01	1885000	30	0.529214
(2619,2647)(1874016,1891379)(1870000,1920000)	chr01	1895000	30	0.529214
(2620,2660)(1882508,1927820)(1880000,1930000)	chr01	1905000	42	0.500180
(2645,2668)(1891326,1938492)(1890000,1940000)	chr01	1915000	25	0.694915
(2648,2668)(1921365,1938492)(1900000,1950000)	chr01	1925000	22	0.723390
(2648,2679)(1921365,1959486)(1910000,1960000)	chr01	1935000	33	0.579369
(2648,2682)(1921365,1968482)(1920000,1970000)	chr01	1945000	36	0.573310
(2661,2713)(1937045,1976145)(1930000,1980000)	chr01	1955000	54	0.639519
(2669,2721)(1959324,1985957)(1940000,1990000)	chr01	1965000	54	0.520465
(2669,2722)(1959324,1997703)(1950000,2000000)	chr01	1975000	55	0.516889
(2680,2728)(1968396,2005901)(1960000,2010000)	chr01	1985000	50	0.602364
(2683,2755)(1973922,2016645)(1970000,2020000)	chr01	1995000	74	0.707679
(2714,2765)(1985852,2024923)(1980000,2030000)	chr01	2005000	53	0.732046
(2722,2791)(1997703,2038800)(1990000,2040000)	chr01	2015000	71	0.686288
(2723,2794)(2005804,2048565)(2000000,2050000)	chr01	2025000	73	0.712671
(2729,2799)(2010476,2056981)(2010000,2060000)	chr01	2035000	72	0.696268
(2756,2807)(2022428,2065186)(2020000,2070000)	chr01	2045000	53	0.573231
(2766,2825)(2030685,2075408)(2030000,2080000)	chr01	2055000	61	0.584178
(2792,2856)(2048522,2089758)(2040000,2090000)	chr01	2065000	66	0.614042
(2795,2858)(2056895,2098350)(2050000,2100000)	chr01	2075000	65	0.598787
(2800,2872)(2064938,2104411)(2060000,2110000)	chr01	2085000	74	0.580827
(2808,2901)(2072783,2119863)(2070000,2120000)	chr01	2095000	95	0.685059
(2826,2901)(2083605,2119863)(2080000,2130000)	chr01	2105000	77	0.689777
(2857,2908)(2098323,2135516)(2090000,2140000)	chr01	2115000	53	0.749098
(2859,2927)(2103406,2144713)(2100000,2150000)	chr01	2125000	70	0.785098
(2873,2938)(2110077,2153664)(2110000,2160000)	chr01	2135000	67	0.850233
(2902,2952)(2135395,2169153)(2120000,2170000)	chr01	2145000	52	0.828676
(2902,2972)(2135395,2176991)(2130000,2180000)	chr01	2155000	72	0.791996
(2909,2997)(2142749,2188441)(2140000,2190000)	chr01	2165000	90	0.706509
(2928,3020)(2150176,2198527)(2150000,2200000)	chr01	2175000	94	0.701500
(2939,3040)(2166029,2206253)(2160000,2210000)	chr01	2185000	103	0.663694
(2953,3055)(2170452,2216710)(2170000,2220000)	chr01	2195000	104	0.622443
(2973,3058)(2180217,2221974)(2180000,2230000)	chr01	2205000	87	0.600257
(2998,3079)(2193888,2237856)(2190000,2240000)	chr01	2215000	83	0.684118
(3021,3083)(2200974,2248960)(2200000,2250000)	chr01	2225000	64	0.636177
(3041,3100)(2214796,2253815)(2210000,2260000)	chr01	2235000	61	0.756167
(3056,3139)(2221944,2268623)(2220000,2270000)	chr01	2245000	85	0.764061
(3059,3150)(2231673,2277833)(2230000,2280000)	chr01	2255000	93	0.764591
(3080,3178)(2248846,2284724)(2240000,2290000)	chr01	2265000	100	0.620880
(3084,3184)(2250673,2290161)(2250000,2300000)	chr01	2275000	102	0.558310
(3101,3191)(2263428,2300926)(2260000,2310000)	chr01	2285000	92	0.341610
(3140,3210)(2270935,2317563)(2270000,2320000)	chr01	2295000	72	0.316436
(3151,3210)(2281592,2317563)(2280000,2330000)	chr01	2305000	61	0.316678
(3179,3210)(2290032,2317563)(2290000,2340000)	chr01	2315000	33	0.352875
(3185,3220)(2300836,2349544)(2300000,2350000)	chr01	2325000	37	0.372233
(3192,3242)(2314964,2357061)(2310000,2360000)	chr01	2335000	52	0.440761
(3211,3253)(2342747,2360811)(2320000,2370000)	chr01	2345000	44	0.370439
(3211,3263)(2342747,2370267)(2330000,2380000)	chr01	2355000	54	0.351823
(3211,3299)(2342747,2386007)(2340000,2390000)	chr01	2365000	90	0.292264
(3221,3320)(2352351,2399499)(2350000,2400000)	chr01	2375000	101	0.411545
