region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.568987
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.569121
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.655882
(24,101)(66768,109295)(60000,110000)	chr01	85000	79	0.581395
(31,175)(72927,119227)(70000,120000)	chr01	95000	146	0.429056
(66,200)(99745,121372)(80000,130000)	chr01	105000	136	0.358243
(66,228)(99745,131673)(90000,140000)	chr01	115000	164	0.336879
(68,243)(101120,148599)(100000,150000)	chr01	125000	177	0.367609
(102,268)(112439,159252)(110000,160000)	chr01	135000	168	0.369530
(176,289)(121114,169571)(120000,170000)	chr01	145000	115	0.395740
(201,296)(130856,175991)(130000,180000)	chr01	155000	97	0.430602
(229,299)(146066,183449)(140000,190000)	chr01	165000	72	0.503657
(244,311)(155765,197658)(150000,200000)	chr01	175000	69	0.426897
(269,336)(165376,204116)(160000,210000)	chr01	185000	69	0.651040
(290,370)(175855,216832)(170000,220000)	chr01	195000	82	0.799246
(297,392)(183430,229717)(180000,230000)	chr01	205000	97	0.781277
(300,392)(193065,229717)(190000,240000)	chr01	215000	94	0.792135
(312,430)(202400,249999)(200000,250000)	chr01	225000	120	0.753488
(337,467)(214936,258347)(210000,260000)	chr01	235000	132	0.727325
(371,486)(224519,268043)(220000,270000)	chr01	245000	117	0.674106
(393,513)(241035,278351)(230000,280000)	chr01	255000	122	0.712482
(393,527)(241035,286071)(240000,290000)	chr01	265000	136	0.723069
(431,531)(250021,291347)(250000,300000)	chr01	275000	102	0.771267
(468,550)(267752,307842)(260000,310000)	chr01	285000	84	0.765404
(487,550)(270347,307842)(270000,320000)	chr01	295000	65	0.750959
(514,562)(284710,324273)(280000,330000)	chr01	305000	50	0.764074
(528,582)(291296,339583)(290000,340000)	chr01	315000	56	0.784439
(532,588)(303105,348196)(300000,350000)	chr01	325000	58	0.801126
(551,605)(322110,359771)(310000,360000)	chr01	335000	56	0.817990
(551,613)(322110,360805)(320000,370000)	chr01	345000	64	0.782977
(563,633)(336747,373127)(330000,380000)	chr01	355000	72	0.696147
(583,636)(342750,384275)(340000,390000)	chr01	365000	55	0.599456
(589,644)(356572,399618)(350000,400000)	chr01	375000	57	0.532809
(606,652)(360718,406909)(360000,410000)	chr01	385000	48	0.496785
(614,679)(371165,418272)(370000,420000)	chr01	395000	67	0.333145
(634,688)(384248,426178)(380000,430000)	chr01	405000	56	0.358947
(637,688)(399494,426178)(390000,440000)	chr01	415000	53	0.362192
(645,696)(405929,447272)(400000,450000)	chr01	425000	53	0.304244
(653,709)(413611,458510)(410000,460000)	chr01	435000	58	0.419019
(680,709)(422091,458510)(420000,470000)	chr01	445000	31	0.587592
(689,722)(447168,477626)(430000,480000)	chr01	455000	35	0.614891
(689,722)(447168,477626)(440000,490000)	chr01	465000	35	0.614891
