region	chr	midPos	Nsites
(2,21)(27510,49086)(10000,60000)	chr01	35000	21	0.664929
(2,21)(27510,49086)(20000,70000)	chr01	45000	21	0.664929
(7,43)(34877,75784)(30000,80000)	chr01	55000	38	0.524324
(8,43)(40565,75784)(40000,90000)	chr01	65000	37	0.483323
(22,45)(72990,99748)(50000,100000)	chr01	75000	25	0.470624
(22,79)(72990,109295)(60000,110000)	chr01	85000	59	0.498987
(22,150)(72990,119227)(70000,120000)	chr01	95000	130	0.733840
(44,175)(99745,121372)(80000,130000)	chr01	105000	133	0.767507
(44,203)(99745,131673)(90000,140000)	chr01	115000	161	0.778550
(46,218)(101120,148599)(100000,150000)	chr01	125000	174	0.766207
(80,243)(112439,159252)(110000,160000)	chr01	135000	165	0.796454
(151,264)(121114,169571)(120000,170000)	chr01	145000	115	0.756600
(176,271)(130856,175991)(130000,180000)	chr01	155000	97	0.742824
(204,274)(146066,183449)(140000,190000)	chr01	165000	72	0.705762
(219,286)(155765,197658)(150000,200000)	chr01	175000	69	0.733002
(244,311)(165376,204116)(160000,210000)	chr01	185000	69	0.698129
(265,346)(175855,216859)(170000,220000)	chr01	195000	83	0.759735
(272,368)(183430,229717)(180000,230000)	chr01	205000	98	0.797456
(275,368)(193065,229717)(190000,240000)	chr01	215000	95	0.801999
(287,408)(202400,249999)(200000,250000)	chr01	225000	123	0.796467
(312,442)(214936,257492)(210000,260000)	chr01	235000	132	0.799139
(347,458)(224519,268043)(220000,270000)	chr01	245000	113	0.670534
(369,472)(241035,278259)(230000,280000)	chr01	255000	105	0.550365
(369,482)(241035,285977)(240000,290000)	chr01	265000	115	0.542965
(409,482)(250021,285977)(250000,300000)	chr01	275000	75	0.545059
(443,497)(267752,305489)(260000,310000)	chr01	285000	56	0.655678
(459,497)(270347,305489)(270000,320000)	chr01	295000	40	0.776513
(473,502)(284735,323234)(280000,330000)	chr01	305000	31	0.817858
(483,517)(303105,339583)(290000,340000)	chr01	315000	36	0.787078
(483,522)(303105,348196)(300000,350000)	chr01	325000	41	0.814800
(498,540)(322110,359771)(310000,360000)	chr01	335000	44	0.486630
(498,548)(322110,360805)(320000,370000)	chr01	345000	52	0.483947
(503,567)(334023,373127)(330000,380000)	chr01	355000	66	0.431288
(518,570)(342750,384275)(340000,390000)	chr01	365000	54	0.387852
(523,578)(356572,399618)(350000,400000)	chr01	375000	57	0.266980
(541,592)(360718,406909)(360000,410000)	chr01	385000	53	0.317740
(549,630)(371165,418272)(370000,420000)	chr01	395000	83	0.352801
(568,639)(384248,426178)(380000,430000)	chr01	405000	73	0.527190
(571,639)(399494,426178)(390000,440000)	chr01	415000	70	0.532267
(579,655)(405929,447272)(400000,450000)	chr01	425000	78	0.666009
(593,668)(412909,458510)(410000,460000)	chr01	435000	77	0.615632
(631,668)(422091,458510)(420000,470000)	chr01	445000	39	0.691360
(640,678)(440021,476556)(430000,480000)	chr01	455000	40	0.637055
(640,704)(440021,489540)(440000,490000)	chr01	465000	66	0.591421
(656,715)(458290,497075)(450000,500000)	chr01	475000	61	0.473240
(669,715)(472791,497075)(460000,510000)	chr01	485000	48	0.532445
(669,716)(472791,519445)(470000,520000)	chr01	495000	49	0.548467
(679,737)(482579,527912)(480000,530000)	chr01	505000	60	0.505915
(705,737)(490388,527912)(490000,540000)	chr01	515000	34	0.511822
(716,739)(519445,546039)(500000,550000)	chr01	525000	25	0.547512
(716,746)(519445,556579)(510000,560000)	chr01	535000	32	0.581571
(717,753)(520967,567617)(520000,570000)	chr01	545000	38	0.574894
