region	chr	midPos	Nsites
(2,20)(34877,49138)(10000,60000)	chr01	35000	20	0.408818
(2,20)(34877,49138)(20000,70000)	chr01	45000	20	0.408818
(2,55)(34877,79275)(30000,80000)	chr01	55000	55	0.547881
(3,55)(40565,79275)(40000,90000)	chr01	65000	54	0.547965
(21,57)(72927,99748)(50000,100000)	chr01	75000	38	0.627503
(21,92)(72927,109295)(60000,110000)	chr01	85000	73	0.652340
(21,149)(72927,119132)(70000,120000)	chr01	95000	130	0.764068
(56,174)(99745,121372)(80000,130000)	chr01	105000	120	0.821714
(56,188)(99745,131673)(90000,140000)	chr01	115000	134	0.837143
(58,203)(101120,148599)(100000,150000)	chr01	125000	147	0.816427
(93,228)(112439,159252)(110000,160000)	chr01	135000	137	0.843141
(150,249)(121114,169571)(120000,170000)	chr01	145000	101	0.784658
(175,256)(131445,175991)(130000,180000)	chr01	155000	83	0.760780
(189,259)(146066,183449)(140000,190000)	chr01	165000	72	0.728308
(204,271)(155765,197658)(150000,200000)	chr01	175000	69	0.710618
(229,296)(165376,204116)(160000,210000)	chr01	185000	69	0.659934
(250,323)(175855,216832)(170000,220000)	chr01	195000	75	0.642598
(257,344)(183430,229717)(180000,230000)	chr01	205000	89	0.673236
(260,344)(193065,229717)(190000,240000)	chr01	215000	86	0.666045
(272,382)(202400,249999)(200000,250000)	chr01	225000	112	0.645604
(297,418)(215040,257533)(210000,260000)	chr01	235000	123	0.586648
(324,437)(224519,268043)(220000,270000)	chr01	245000	115	0.608924
(345,464)(241035,278351)(230000,280000)	chr01	255000	121	0.614597
(345,485)(241035,286071)(240000,290000)	chr01	265000	142	0.650978
(383,492)(250021,291347)(250000,300000)	chr01	275000	111	0.692047
(419,503)(267752,305489)(260000,310000)	chr01	285000	86	0.782678
(438,503)(270347,305489)(270000,320000)	chr01	295000	67	0.801529
(465,515)(281515,324273)(280000,330000)	chr01	305000	52	0.857900
(486,541)(291233,339583)(290000,340000)	chr01	315000	57	0.916337
(493,547)(305433,348196)(300000,350000)	chr01	325000	56	0.923699
(504,564)(322110,359771)(310000,360000)	chr01	335000	62	0.830867
(504,572)(322110,360805)(320000,370000)	chr01	345000	70	0.809260
(516,591)(334023,373127)(330000,380000)	chr01	355000	77	0.807067
(542,594)(342750,384275)(340000,390000)	chr01	365000	54	0.760342
(548,602)(356572,399618)(350000,400000)	chr01	375000	56	0.743688
(565,611)(360718,406909)(360000,410000)	chr01	385000	48	0.749059
(573,647)(371165,418272)(370000,420000)	chr01	395000	76	0.767651
(592,656)(384248,426178)(380000,430000)	chr01	405000	66	0.767190
(595,656)(399494,426178)(390000,440000)	chr01	415000	63	0.747267
(603,667)(405929,447419)(400000,450000)	chr01	425000	66	0.747235
(612,680)(412986,458510)(410000,460000)	chr01	435000	70	0.816079
(648,680)(422091,458510)(420000,470000)	chr01	445000	34	0.865706
(657,693)(440110,477626)(430000,480000)	chr01	455000	38	0.765192
(657,719)(440110,489540)(440000,490000)	chr01	465000	64	0.769808
(668,730)(458290,497075)(450000,500000)	chr01	475000	64	0.826748
(681,730)(472791,497075)(460000,510000)	chr01	485000	51	0.678419
(681,731)(472791,519445)(470000,520000)	chr01	495000	52	0.678419
(694,752)(482579,527912)(480000,530000)	chr01	505000	60	0.791485
(720,752)(490388,527912)(490000,540000)	chr01	515000	34	0.787312
(731,754)(519445,546039)(500000,550000)	chr01	525000	25	0.718863
(731,758)(519445,556579)(510000,560000)	chr01	535000	29	0.756901
(732,765)(520967,567617)(520000,570000)	chr01	545000	35	0.733777
(753,765)(546012,567617)(530000,580000)	chr01	555000	14	0.691892
(753,765)(546012,567617)(540000,590000)	chr01	565000	14	0.691892
(755,781)(553209,598747)(550000,600000)	chr01	575000	28	0.780208
(759,802)(567497,609080)(560000,610000)	chr01	585000	45	0.753905
(766,808)(598538,615712)(570000,620000)	chr01	595000	44	0.708041
(766,822)(598538,629014)(580000,630000)	chr01	605000	58	0.638102
(766,850)(598538,639995)(590000,640000)	chr01	615000	86	0.690358
(782,852)(608808,647580)(600000,650000)	chr01	625000	72	0.645584
(803,852)(615547,647580)(610000,660000)	chr01	635000	51	0.635005
(809,864)(622726,664539)(620000,670000)	chr01	645000	57	0.651300
(823,931)(631986,679765)(630000,680000)	chr01	655000	110	0.688093
(851,937)(647375,687635)(640000,690000)	chr01	665000	88	0.655668
(853,940)(664341,699440)(650000,700000)	chr01	675000	89	0.685638
(853,943)(664341,702132)(660000,710000)	chr01	685000	92	0.694924
