region	chr	midPos	Nsites
(2,21)(27510,49086)(10000,60000)	chr01	35000	21	0.577160
(2,21)(27510,49086)(20000,70000)	chr01	45000	21	0.577160
(7,43)(34877,75784)(30000,80000)	chr01	55000	38	0.402475
(8,43)(40565,75784)(40000,90000)	chr01	65000	37	0.371958
(22,45)(72990,99748)(50000,100000)	chr01	75000	25	0.350813
(22,81)(72990,109295)(60000,110000)	chr01	85000	61	0.380492
(22,152)(72990,119227)(70000,120000)	chr01	95000	132	0.576124
(44,177)(99745,121372)(80000,130000)	chr01	105000	135	0.606405
(44,205)(99745,131673)(90000,140000)	chr01	115000	163	0.600779
(46,220)(101120,148599)(100000,150000)	chr01	125000	176	0.637968
(82,245)(112439,159252)(110000,160000)	chr01	135000	165	0.640652
(153,266)(121114,169571)(120000,170000)	chr01	145000	115	0.532935
(178,273)(130856,175991)(130000,180000)	chr01	155000	97	0.526280
(206,276)(146066,183449)(140000,190000)	chr01	165000	72	0.507565
(221,288)(155765,197658)(150000,200000)	chr01	175000	69	0.381596
(246,313)(165376,204116)(160000,210000)	chr01	185000	69	0.408045
(267,348)(175855,216859)(170000,220000)	chr01	195000	83	0.433824
(274,370)(183430,229717)(180000,230000)	chr01	205000	98	0.461970
(277,370)(193065,229717)(190000,240000)	chr01	215000	95	0.468067
(289,410)(202400,249999)(200000,250000)	chr01	225000	123	0.451882
(314,444)(214936,257492)(210000,260000)	chr01	235000	132	0.526566
(349,460)(224519,268043)(220000,270000)	chr01	245000	113	0.547616
(371,474)(241035,278259)(230000,280000)	chr01	255000	105	0.509478
(371,484)(241035,285977)(240000,290000)	chr01	265000	115	0.507713
(411,484)(250021,285977)(250000,300000)	chr01	275000	75	0.524203
(445,499)(267752,305489)(260000,310000)	chr01	285000	56	0.552542
(461,499)(270347,305489)(270000,320000)	chr01	295000	40	0.603611
(475,504)(284735,323234)(280000,330000)	chr01	305000	31	0.627842
(485,519)(303105,339583)(290000,340000)	chr01	315000	36	0.530812
(485,524)(303105,348196)(300000,350000)	chr01	325000	41	0.565233
(500,542)(322110,359771)(310000,360000)	chr01	335000	44	0.308937
(500,550)(322110,360805)(320000,370000)	chr01	345000	52	0.301998
(505,569)(334023,373127)(330000,380000)	chr01	355000	66	0.301941
(520,572)(342750,384275)(340000,390000)	chr01	365000	54	0.311462
(525,579)(356572,399618)(350000,400000)	chr01	375000	56	0.237070
(543,593)(360718,406909)(360000,410000)	chr01	385000	52	0.298596
(551,631)(371165,418272)(370000,420000)	chr01	395000	82	0.283621
(570,640)(384248,426178)(380000,430000)	chr01	405000	72	0.328868
(573,640)(399494,426178)(390000,440000)	chr01	415000	69	0.328872
(580,656)(405929,447272)(400000,450000)	chr01	425000	78	0.484967
(594,669)(412909,458510)(410000,460000)	chr01	435000	77	0.515498
