region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.490406
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.386549
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.296424
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.252832
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.300884
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.397091
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.339026
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.330441
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.309125
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.291269
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.163832
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.179699
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.176985
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.178461
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.178088
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.199551
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.160774
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.236833
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.238760
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.418093
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.470766
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.518401
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.481407
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.455365
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.319887
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.244973
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.304018
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.332560
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.478686
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.462742
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.409091
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.421975
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.440955
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.418320
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.412730
(641,691)(360718,406783)(360000,410000)	chr01	385000	52	0.647784
(649,718)(371165,418272)(370000,420000)	chr01	395000	71	0.617499
(668,727)(384248,426178)(380000,430000)	chr01	405000	61	0.643517
(671,727)(399494,426178)(390000,440000)	chr01	415000	58	0.624129
(679,747)(405929,447446)(400000,450000)	chr01	425000	70	0.622634
(692,760)(413073,458510)(410000,460000)	chr01	435000	70	0.573494
(719,760)(422091,458510)(420000,470000)	chr01	445000	43	0.599543
(728,773)(440021,477626)(430000,480000)	chr01	455000	47	0.549926
(728,799)(440021,489540)(440000,490000)	chr01	465000	73	0.505671
(748,810)(458290,497075)(450000,500000)	chr01	475000	64	0.546428
(761,810)(472791,497075)(460000,510000)	chr01	485000	51	0.466377
(761,811)(472791,519445)(470000,520000)	chr01	495000	52	0.460844
(774,832)(482579,527912)(480000,530000)	chr01	505000	60	0.434137
(800,832)(490388,527912)(490000,540000)	chr01	515000	34	0.432285
(811,834)(519445,546039)(500000,550000)	chr01	525000	25	0.323464
(811,841)(519445,556579)(510000,560000)	chr01	535000	32	0.292713
(812,848)(520967,567617)(520000,570000)	chr01	545000	38	0.272575
(833,848)(546012,567617)(530000,580000)	chr01	555000	17	0.207219
(833,848)(546012,567617)(540000,590000)	chr01	565000	17	0.207219
(835,864)(553209,598747)(550000,600000)	chr01	575000	31	0.123524
(842,885)(567497,609080)(560000,610000)	chr01	585000	45	0.129639
(849,891)(598538,615712)(570000,620000)	chr01	595000	44	0.100851
(849,905)(598538,629014)(580000,630000)	chr01	605000	58	0.093981
(849,933)(598538,639995)(590000,640000)	chr01	615000	86	0.277974
(865,937)(608808,647580)(600000,650000)	chr01	625000	74	0.304552
(886,937)(615547,647580)(610000,660000)	chr01	635000	53	0.347910
(892,949)(622726,664539)(620000,670000)	chr01	645000	59	0.360454
(906,1016)(631986,679765)(630000,680000)	chr01	655000	112	0.355185
(934,1022)(640931,687635)(640000,690000)	chr01	665000	90	0.274898
(938,1025)(664341,699440)(650000,700000)	chr01	675000	89	0.282409
(938,1047)(664341,705398)(660000,710000)	chr01	685000	111	0.271079
(950,1057)(670057,710536)(670000,720000)	chr01	695000	109	0.246703
(1017,1092)(687435,726176)(680000,730000)	chr01	705000	77	0.210609
(1023,1125)(699339,736121)(690000,740000)	chr01	715000	104	0.171919
(1026,1131)(702035,749383)(700000,750000)	chr01	725000	107	0.178583
(1048,1134)(710398,754850)(710000,760000)	chr01	735000	88	0.166846
(1058,1174)(720265,768507)(720000,770000)	chr01	745000	118	0.274760
(1093,1181)(730423,774383)(730000,780000)	chr01	755000	90	0.296581
(1126,1182)(749258,780712)(740000,790000)	chr01	765000	58	0.374524
(1132,1182)(751549,780712)(750000,800000)	chr01	775000	52	0.396001
(1135,1186)(760149,800296)(760000,810000)	chr01	785000	53	0.397514
(1175,1216)(771638,819725)(770000,820000)	chr01	795000	43	0.360612
(1182,1218)(780712,824471)(780000,830000)	chr01	805000	38	0.362256
(1183,1272)(800261,839979)(790000,840000)	chr01	815000	91	0.451196
(1183,1273)(800261,849991)(800000,850000)	chr01	825000	92	0.450757
