region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.624761
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.573513
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.512534
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.480250
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.536471
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.609042
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.548399
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.542525
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.523124
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.520067
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.441981
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.510258
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.522040
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.542767
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.500919
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.434068
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.486629
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.511852
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.514884
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.553978
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.569446
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.480481
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.428062
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.419216
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.343415
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.373522
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.447711
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.497071
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.604679
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.599065
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.534525
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.560968
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.622855
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.619762
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.609005
(641,691)(360718,406783)(360000,410000)	chr01	385000	52	0.780863
(649,718)(371165,418272)(370000,420000)	chr01	395000	71	0.729955
(668,727)(384248,426178)(380000,430000)	chr01	405000	61	0.745758
(671,727)(399494,426178)(390000,440000)	chr01	415000	58	0.737077
(679,747)(405929,447446)(400000,450000)	chr01	425000	70	0.721496
(692,760)(413073,458510)(410000,460000)	chr01	435000	70	0.728398
(719,760)(422091,458510)(420000,470000)	chr01	445000	43	0.785863
(728,773)(440021,477626)(430000,480000)	chr01	455000	47	0.719874
(728,799)(440021,489540)(440000,490000)	chr01	465000	73	0.694271
(748,810)(458290,497075)(450000,500000)	chr01	475000	64	0.738862
(761,810)(472791,497075)(460000,510000)	chr01	485000	51	0.630588
(761,811)(472791,519445)(470000,520000)	chr01	495000	52	0.629024
(774,832)(482579,527912)(480000,530000)	chr01	505000	60	0.582556
(800,832)(490388,527912)(490000,540000)	chr01	515000	34	0.540033
(811,834)(519445,546039)(500000,550000)	chr01	525000	25	0.508824
(811,841)(519445,556579)(510000,560000)	chr01	535000	32	0.487274
(812,848)(520967,567617)(520000,570000)	chr01	545000	38	0.495878
(833,848)(546012,567617)(530000,580000)	chr01	555000	17	0.544156
(833,848)(546012,567617)(540000,590000)	chr01	565000	17	0.544156
(835,864)(553209,598747)(550000,600000)	chr01	575000	31	0.381072
(842,885)(567497,609080)(560000,610000)	chr01	585000	45	0.356737
(849,891)(598538,615712)(570000,620000)	chr01	595000	44	0.340405
(849,905)(598538,629014)(580000,630000)	chr01	605000	58	0.275808
(849,933)(598538,639995)(590000,640000)	chr01	615000	86	0.325971
(865,937)(608808,647580)(600000,650000)	chr01	625000	74	0.407108
(886,937)(615547,647580)(610000,660000)	chr01	635000	53	0.424521
(892,949)(622726,664539)(620000,670000)	chr01	645000	59	0.375021
(906,1016)(631986,679765)(630000,680000)	chr01	655000	112	0.346029
(934,1022)(640931,687635)(640000,690000)	chr01	665000	90	0.334184
(938,1025)(664341,699440)(650000,700000)	chr01	675000	89	0.266483
(938,1039)(664341,705398)(660000,710000)	chr01	685000	103	0.273896
(950,1049)(670057,710536)(670000,720000)	chr01	695000	101	0.386991
(1017,1084)(687435,726176)(680000,730000)	chr01	705000	69	0.532225
(1023,1117)(699339,736121)(690000,740000)	chr01	715000	96	0.429277
(1026,1123)(702035,749383)(700000,750000)	chr01	725000	99	0.429377
(1040,1126)(710398,754850)(710000,760000)	chr01	735000	88	0.427407
(1050,1166)(720265,768507)(720000,770000)	chr01	745000	118	0.428425
(1085,1173)(730423,774383)(730000,780000)	chr01	755000	90	0.447234
(1118,1174)(749258,780712)(740000,790000)	chr01	765000	58	0.560841
(1124,1174)(751549,780712)(750000,800000)	chr01	775000	52	0.587112
(1127,1178)(760149,800296)(760000,810000)	chr01	785000	53	0.599914
(1167,1208)(771638,819725)(770000,820000)	chr01	795000	43	0.599105
(1174,1210)(780712,824471)(780000,830000)	chr01	805000	38	0.540408
(1175,1264)(800261,839979)(790000,840000)	chr01	815000	91	0.568690
(1175,1265)(800261,849991)(800000,850000)	chr01	825000	92	0.568645
(1179,1270)(816740,852734)(810000,860000)	chr01	835000	93	0.534435
(1209,1273)(824403,860813)(820000,870000)	chr01	845000	66	0.517331
(1211,1279)(830052,877821)(830000,880000)	chr01	855000	70	0.515238
(1265,1291)(849991,888203)(840000,890000)	chr01	865000	28	0.562482
(1266,1306)(852666,898885)(850000,900000)	chr01	875000	42	0.624202
(1271,1331)(860727,909640)(860000,910000)	chr01	885000	62	0.725005
(1274,1361)(876147,916778)(870000,920000)	chr01	895000	89	0.525302
(1280,1388)(881512,929364)(880000,930000)	chr01	905000	110	0.455766
(1292,1392)(890743,936207)(890000,940000)	chr01	915000	102	0.342038
(1307,1425)(902874,949937)(900000,950000)	chr01	925000	120	0.431608
(1332,1438)(911188,952812)(910000,960000)	chr01	935000	108	0.452889
(1362,1446)(921481,969688)(920000,970000)	chr01	945000	86	0.498014
(1389,1496)(933153,979790)(930000,980000)	chr01	955000	109	0.463364
(1393,1516)(941192,981690)(940000,990000)	chr01	965000	125	0.480301
(1426,1532)(951051,994392)(950000,1000000)	chr01	975000	108	0.420489
(1439,1534)(964396,1007159)(960000,1010000)	chr01	985000	97	0.385800
(1447,1570)(972160,1019757)(970000,1020000)	chr01	995000	125	0.387906
(1497,1573)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.435619
(1517,1587)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.398906
(1533,1606)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.412286
(1535,1610)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.413396
(1571,1626)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.467561
(1574,1626)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.474275
(1588,1649)(1040190,1088668)(1040000,1090000)	chr01	1065000	63	0.523482
(1607,1649)(1059222,1088668)(1050000,1100000)	chr01	1075000	44	0.546354
(1611,1654)(1060081,1106471)(1060000,1110000)	chr01	1085000	45	0.580842
(1627,1668)(1080464,1118148)(1070000,1120000)	chr01	1095000	43	0.551679
(1627,1680)(1080464,1129684)(1080000,1130000)	chr01	1105000	55	0.694290
(1650,1711)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.749064
(1650,1732)(1106311,1148852)(1100000,1150000)	chr01	1125000	84	0.676636
(1655,1734)(1110213,1156484)(1110000,1160000)	chr01	1135000	81	0.655800
(1669,1762)(1125674,1169984)(1120000,1170000)	chr01	1145000	95	0.623585
(1681,1769)(1131938,1175775)(1130000,1180000)	chr01	1155000	90	0.488233
(1712,1773)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.343785
(1733,1780)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.366972
(1735,1788)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.339400
(1763,1802)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.261012
(1770,1802)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.266003
(1774,1821)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.225625
(1781,1829)(1202564,1248625)(1200000,1250000)	chr01	1225000	50	0.301664
(1789,1829)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.326473
(1803,1834)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.352561
(1803,1840)(1230664,1271087)(1230000,1280000)	chr01	1255000	39	0.344990
(1822,1855)(1242138,1287173)(1240000,1290000)	chr01	1265000	35	0.397238
(1830,1858)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.268985
(1830,1901)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.190745
(1835,1909)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.182727
(1841,1918)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.191827
(1856,1942)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.155702
(1859,1976)(1306965,1348194)(1300000,1350000)	chr01	1325000	119	0.206696
(1902,1980)(1311649,1355827)(1310000,1360000)	chr01	1335000	80	0.240775
(1910,1992)(1326979,1369999)(1320000,1370000)	chr01	1345000	84	0.301228
(1919,2017)(1330096,1376926)(1330000,1380000)	chr01	1355000	100	0.267361
(1943,2019)(1340379,1380434)(1340000,1390000)	chr01	1365000	78	0.299309
(1977,2076)(1354558,1399777)(1350000,1400000)	chr01	1375000	101	0.347065
(1981,2113)(1365354,1408031)(1360000,1410000)	chr01	1385000	134	0.336786
(1993,2133)(1370042,1417953)(1370000,1420000)	chr01	1395000	142	0.343537
(2018,2155)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.486447
(2020,2163)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.482181
(2077,2185)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.583678
(2114,2185)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.638608
(2134,2201)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.661340
(2156,2212)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.587039
