region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.688925
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.673068
(24,60)(66768,99748)(50000,100000)	chr01	75000	38	0.621687
(24,96)(66768,109295)(60000,110000)	chr01	85000	74	0.638884
(31,170)(72990,119227)(70000,120000)	chr01	95000	141	0.601311
(59,195)(99745,121372)(80000,130000)	chr01	105000	138	0.557299
(59,223)(99745,131673)(90000,140000)	chr01	115000	166	0.556059
(61,238)(101120,148599)(100000,150000)	chr01	125000	179	0.539333
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.476954
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.418646
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.436128
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.387080
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.421713
(264,324)(165376,204116)(160000,210000)	chr01	185000	62	0.533433
(285,352)(175855,216859)(170000,220000)	chr01	195000	69	0.700812
(292,374)(183430,229717)(180000,230000)	chr01	205000	84	0.732410
(295,374)(193065,229717)(190000,240000)	chr01	215000	81	0.740940
(307,414)(202400,249999)(200000,250000)	chr01	225000	109	0.740085
(325,446)(215040,257533)(210000,260000)	chr01	235000	123	0.737601
(353,465)(224519,268043)(220000,270000)	chr01	245000	114	0.694629
(375,494)(241035,278351)(230000,280000)	chr01	255000	121	0.689930
(375,518)(241035,286093)(240000,290000)	chr01	265000	145	0.691275
(415,527)(250021,296664)(250000,300000)	chr01	275000	114	0.690936
(447,549)(267752,307842)(260000,310000)	chr01	285000	104	0.676542
(466,550)(270347,317230)(270000,320000)	chr01	295000	86	0.684881
(495,562)(281515,324273)(280000,330000)	chr01	305000	69	0.719525
(519,578)(291233,339583)(290000,340000)	chr01	315000	61	0.777123
(528,584)(303105,348196)(300000,350000)	chr01	325000	58	0.797882
(550,601)(317230,359771)(310000,360000)	chr01	335000	53	0.833564
(551,609)(322110,360805)(320000,370000)	chr01	345000	60	0.844230
(563,628)(334023,373127)(330000,380000)	chr01	355000	67	0.779193
(579,631)(342750,384275)(340000,390000)	chr01	365000	54	0.736000
(585,639)(356572,399618)(350000,400000)	chr01	375000	56	0.677611
(602,647)(360718,406783)(360000,410000)	chr01	385000	47	0.714195
(610,683)(371165,418272)(370000,420000)	chr01	395000	75	0.773093
(629,692)(384248,426178)(380000,430000)	chr01	405000	65	0.776890
(632,692)(399494,426178)(390000,440000)	chr01	415000	62	0.769423
(640,712)(405929,447446)(400000,450000)	chr01	425000	74	0.742791
(648,725)(412986,458510)(410000,460000)	chr01	435000	79	0.779815
(684,725)(422091,458510)(420000,470000)	chr01	445000	43	0.750593
(693,738)(440021,477626)(430000,480000)	chr01	455000	47	0.723495
(693,753)(440021,489540)(440000,490000)	chr01	465000	62	0.792893
(713,764)(458290,497075)(450000,500000)	chr01	475000	53	0.879655
(726,764)(472791,497075)(460000,510000)	chr01	485000	40	0.857390
(726,765)(472791,519445)(470000,520000)	chr01	495000	41	0.857390
(739,777)(482579,525090)(480000,530000)	chr01	505000	40	0.910880
(754,777)(490388,525090)(490000,540000)	chr01	515000	25	0.894081
(765,779)(519445,546039)(500000,550000)	chr01	525000	16	0.745498
(765,780)(519445,556579)(510000,560000)	chr01	535000	17	0.743645
(766,787)(520967,567617)(520000,570000)	chr01	545000	23	0.543590
(778,787)(546012,567617)(530000,580000)	chr01	555000	11	0.325840
(778,787)(546012,567617)(540000,590000)	chr01	565000	11	0.325840
(780,803)(556579,598747)(550000,600000)	chr01	575000	25	0.293246
(781,824)(567497,609080)(560000,610000)	chr01	585000	45	0.535313
(788,830)(598538,615712)(570000,620000)	chr01	595000	44	0.551427
(788,844)(598538,629014)(580000,630000)	chr01	605000	58	0.499012
(788,866)(598538,639995)(590000,640000)	chr01	615000	80	0.542917
(804,870)(608808,647580)(600000,650000)	chr01	625000	68	0.599422
(825,870)(615547,647580)(610000,660000)	chr01	635000	47	0.562630
(831,882)(622726,664539)(620000,670000)	chr01	645000	53	0.653166
(845,949)(631986,679765)(630000,680000)	chr01	655000	106	0.776948
(867,951)(640931,687635)(640000,690000)	chr01	665000	86	0.798541
(871,954)(664341,699440)(650000,700000)	chr01	675000	85	0.801209
(871,958)(664341,702132)(660000,710000)	chr01	685000	89	0.801076
(883,968)(670057,710536)(670000,720000)	chr01	695000	87	0.795692
(950,1003)(687594,726176)(680000,730000)	chr01	705000	55	0.584553
(952,1036)(699339,736121)(690000,740000)	chr01	715000	86	0.513034
(955,1042)(702035,749383)(700000,750000)	chr01	725000	89	0.488878
(959,1045)(710398,754850)(710000,760000)	chr01	735000	88	0.489698
(969,1081)(720265,768507)(720000,770000)	chr01	745000	114	0.563272
(1004,1088)(730423,774383)(730000,780000)	chr01	755000	86	0.585805
(1037,1089)(749258,780712)(740000,790000)	chr01	765000	54	0.708944
(1043,1089)(751549,780712)(750000,800000)	chr01	775000	48	0.736230
(1046,1093)(760149,800296)(760000,810000)	chr01	785000	49	0.712770
(1082,1123)(771638,819725)(770000,820000)	chr01	795000	43	0.610682
(1089,1125)(780712,824471)(780000,830000)	chr01	805000	38	0.525690
(1090,1176)(800261,839864)(790000,840000)	chr01	815000	88	0.574617
(1090,1177)(800261,849991)(800000,850000)	chr01	825000	89	0.574444
(1094,1182)(816740,852734)(810000,860000)	chr01	835000	90	0.596285
(1124,1185)(824403,860813)(820000,870000)	chr01	845000	63	0.609092
(1126,1191)(830052,877821)(830000,880000)	chr01	855000	67	0.635505
(1177,1201)(849991,888203)(840000,890000)	chr01	865000	26	0.771512
(1178,1209)(852666,898885)(850000,900000)	chr01	875000	33	0.729853
(1183,1227)(860727,909640)(860000,910000)	chr01	885000	46	0.799238
(1186,1255)(876147,916778)(870000,920000)	chr01	895000	71	0.542297
(1192,1269)(885300,929364)(880000,930000)	chr01	905000	79	0.503837
(1202,1273)(893918,936207)(890000,940000)	chr01	915000	73	0.441519
(1210,1306)(902874,949937)(900000,950000)	chr01	925000	98	0.640195
(1228,1319)(911188,952812)(910000,960000)	chr01	935000	93	0.620254
(1256,1326)(929275,969688)(920000,970000)	chr01	945000	72	0.744614
(1270,1363)(933153,979790)(930000,980000)	chr01	955000	95	0.789836
(1274,1383)(941192,981690)(940000,990000)	chr01	965000	111	0.836546
(1307,1399)(951051,994392)(950000,1000000)	chr01	975000	94	0.816937
(1320,1401)(964396,1007159)(960000,1010000)	chr01	985000	83	0.828338
(1327,1437)(972160,1019757)(970000,1020000)	chr01	995000	112	0.741558
