region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.554243
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.536705
(24,60)(66768,99748)(50000,100000)	chr01	75000	38	0.456063
(24,96)(66768,109295)(60000,110000)	chr01	85000	74	0.549497
(31,170)(72990,119227)(70000,120000)	chr01	95000	141	0.525848
(59,195)(99745,121372)(80000,130000)	chr01	105000	138	0.541675
(59,223)(99745,131673)(90000,140000)	chr01	115000	166	0.544188
(61,238)(101120,148599)(100000,150000)	chr01	125000	179	0.529397
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.465465
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.447135
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.470441
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.435005
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.409675
(264,324)(165376,204116)(160000,210000)	chr01	185000	62	0.497028
(285,359)(175855,216859)(170000,220000)	chr01	195000	76	0.581677
(292,381)(183430,229717)(180000,230000)	chr01	205000	91	0.638665
(295,381)(193065,229717)(190000,240000)	chr01	215000	88	0.642707
(307,421)(202400,249999)(200000,250000)	chr01	225000	116	0.661873
(325,453)(214936,257533)(210000,260000)	chr01	235000	130	0.670160
(360,472)(224519,268043)(220000,270000)	chr01	245000	114	0.684533
(382,501)(241035,278351)(230000,280000)	chr01	255000	121	0.700615
(382,525)(241035,286093)(240000,290000)	chr01	265000	145	0.696159
(422,534)(250021,296664)(250000,300000)	chr01	275000	114	0.703708
(454,556)(267752,307842)(260000,310000)	chr01	285000	104	0.683494
(473,557)(270347,317230)(270000,320000)	chr01	295000	86	0.700651
(502,569)(281515,324273)(280000,330000)	chr01	305000	69	0.707019
(526,585)(291233,339583)(290000,340000)	chr01	315000	61	0.749782
(535,591)(303105,348196)(300000,350000)	chr01	325000	58	0.769301
(557,608)(317230,359771)(310000,360000)	chr01	335000	53	0.839016
(558,616)(322110,360805)(320000,370000)	chr01	345000	60	0.829453
