region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.636978
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.510256
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.445306
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.416550
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.428241
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.552289
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.513565
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.517595
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.490580
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.477293
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.369286
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.426122
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.439196
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.465705
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.431243
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.386255
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.248732
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.321124
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.323022
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.478795
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.525535
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.550974
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.504085
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.476445
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.372082
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.270221
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.324755
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.347085
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.508112
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.480287
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.481268
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.507122
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.567850
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.561562
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.558016
(641,691)(360718,406783)(360000,410000)	chr01	385000	52	0.735890
