region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.430132
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.243195
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.335205
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.335179
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.301424
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.428365
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.403943
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.383860
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.350358
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.372528
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.291592
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.374228
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.385524
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.442974
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.371539
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.389348
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.235336
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.230125
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.229395
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.224568
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.125371
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.105663
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.112793
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.133110
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.159579
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.137823
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.168987
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.152084
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.138972
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.159729
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.226915
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.220961
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.236265
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.246723
(623,677)(356572,399618)(350000,400000)	chr01	375000	56	0.204187
(641,691)(360718,406909)(360000,410000)	chr01	385000	52	0.178058
(649,729)(371165,418272)(370000,420000)	chr01	395000	82	0.209525
(668,738)(384248,426178)(380000,430000)	chr01	405000	72	0.297813
(671,738)(399494,426178)(390000,440000)	chr01	415000	69	0.299069
(678,758)(405929,447446)(400000,450000)	chr01	425000	82	0.213525
(692,771)(412909,458510)(410000,460000)	chr01	435000	81	0.237867
(730,771)(422091,458510)(420000,470000)	chr01	445000	43	0.238381
(739,784)(440021,477626)(430000,480000)	chr01	455000	47	0.105875
(739,805)(440021,489386)(440000,490000)	chr01	465000	68	0.339003
(759,808)(458290,497075)(450000,500000)	chr01	475000	51	0.468557
(772,808)(472791,497075)(460000,510000)	chr01	485000	38	0.502635
(772,809)(472791,519445)(470000,520000)	chr01	495000	39	0.496012
(785,830)(482579,527912)(480000,530000)	chr01	505000	47	0.545114
(806,830)(496996,527912)(490000,540000)	chr01	515000	26	0.341864
(809,832)(519445,546039)(500000,550000)	chr01	525000	25	0.333927
(809,839)(519445,556579)(510000,560000)	chr01	535000	32	0.399407
(810,846)(520967,567617)(520000,570000)	chr01	545000	38	0.365828
(831,846)(546012,567617)(530000,580000)	chr01	555000	17	0.391175
(831,846)(546012,567617)(540000,590000)	chr01	565000	17	0.391175
(833,862)(553209,598747)(550000,600000)	chr01	575000	31	0.420612
(840,883)(567497,609080)(560000,610000)	chr01	585000	45	0.455506
(847,889)(598538,615712)(570000,620000)	chr01	595000	44	0.561939
(847,903)(598538,629014)(580000,630000)	chr01	605000	58	0.450855
(847,931)(598538,639995)(590000,640000)	chr01	615000	86	0.543354
(863,935)(608808,647580)(600000,650000)	chr01	625000	74	0.528037
(884,935)(615547,647580)(610000,660000)	chr01	635000	53	0.517319
(890,947)(622726,664539)(620000,670000)	chr01	645000	59	0.437579
(904,1014)(631986,679765)(630000,680000)	chr01	655000	112	0.407106
(932,1020)(640931,687635)(640000,690000)	chr01	665000	90	0.256428
(936,1023)(664341,699440)(650000,700000)	chr01	675000	89	0.268385
(936,1045)(664341,705398)(660000,710000)	chr01	685000	111	0.246979
(948,1055)(670057,710536)(670000,720000)	chr01	695000	109	0.239682
(1015,1090)(687435,726176)(680000,730000)	chr01	705000	77	0.221991
(1021,1123)(699339,736121)(690000,740000)	chr01	715000	104	0.199163
(1024,1129)(702035,749383)(700000,750000)	chr01	725000	107	0.203048
(1046,1132)(710398,754850)(710000,760000)	chr01	735000	88	0.217778
(1056,1172)(720265,768507)(720000,770000)	chr01	745000	118	0.321534
(1091,1179)(730423,774383)(730000,780000)	chr01	755000	90	0.378698
(1124,1180)(749258,780712)(740000,790000)	chr01	765000	58	0.485131
(1130,1180)(751549,780712)(750000,800000)	chr01	775000	52	0.498566
(1133,1184)(760149,800296)(760000,810000)	chr01	785000	53	0.456362
(1173,1214)(771638,819725)(770000,820000)	chr01	795000	43	0.253590
(1180,1216)(780712,824471)(780000,830000)	chr01	805000	38	0.172129
(1181,1270)(800261,839979)(790000,840000)	chr01	815000	91	0.161111
(1181,1271)(800261,849991)(800000,850000)	chr01	825000	92	0.160789
(1185,1278)(816740,855718)(810000,860000)	chr01	835000	95	0.180933
(1215,1281)(824403,860813)(820000,870000)	chr01	845000	68	0.155005
(1217,1287)(830052,877821)(830000,880000)	chr01	855000	72	0.170099
(1271,1297)(849991,888203)(840000,890000)	chr01	865000	28	0.423052
(1272,1301)(852666,898885)(850000,900000)	chr01	875000	31	0.510041
(1279,1326)(860727,909640)(860000,910000)	chr01	885000	49	0.466547
(1282,1356)(876147,916778)(870000,920000)	chr01	895000	76	0.337460
(1288,1383)(885300,929364)(880000,930000)	chr01	905000	97	0.280742
(1298,1387)(898756,936207)(890000,940000)	chr01	915000	91	0.213882
(1302,1420)(902874,949937)(900000,950000)	chr01	925000	120	0.362769
(1327,1433)(911188,952812)(910000,960000)	chr01	935000	108	0.368346
(1357,1441)(921481,969688)(920000,970000)	chr01	945000	86	0.420936
(1384,1491)(933153,979790)(930000,980000)	chr01	955000	109	0.398629
(1388,1511)(941192,981690)(940000,990000)	chr01	965000	125	0.394145
(1421,1527)(951051,994392)(950000,1000000)	chr01	975000	108	0.318448
(1434,1529)(964396,1007159)(960000,1010000)	chr01	985000	97	0.306949
(1442,1565)(972160,1019757)(970000,1020000)	chr01	995000	125	0.261985
(1492,1568)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.263140
(1512,1582)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.250015
(1528,1601)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.207612
(1530,1605)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.211155
(1566,1621)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.315430
(1569,1621)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.320895
(1583,1644)(1040190,1088668)(1040000,1090000)	chr01	1065000	63	0.349082
(1602,1644)(1059222,1088668)(1050000,1100000)	chr01	1075000	44	0.307721
(1606,1649)(1060081,1106471)(1060000,1110000)	chr01	1085000	45	0.305617
(1622,1663)(1080464,1118148)(1070000,1120000)	chr01	1095000	43	0.277503
(1622,1675)(1080464,1129684)(1080000,1130000)	chr01	1105000	55	0.272633
(1645,1705)(1106311,1137795)(1090000,1140000)	chr01	1115000	62	0.379038
(1645,1726)(1106311,1148852)(1100000,1150000)	chr01	1125000	83	0.529155
(1650,1728)(1110213,1156484)(1110000,1160000)	chr01	1135000	80	0.537766
(1664,1756)(1125674,1169984)(1120000,1170000)	chr01	1145000	94	0.515131
(1676,1763)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.487934
(1706,1767)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.512886
(1727,1774)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.279346
(1729,1782)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.250382
(1757,1796)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.230954
(1764,1796)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.282839
(1768,1815)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.242234
(1775,1823)(1202564,1248625)(1200000,1250000)	chr01	1225000	50	0.225069
(1783,1823)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.223475
(1797,1828)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.217836
(1797,1834)(1230664,1271087)(1230000,1280000)	chr01	1255000	39	0.182622
(1816,1849)(1242138,1287173)(1240000,1290000)	chr01	1265000	35	0.309745
(1824,1852)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.341675
(1824,1895)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.429973
(1829,1903)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.466268
(1835,1912)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.497409
(1850,1936)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.485666
(1853,1970)(1306965,1348194)(1300000,1350000)	chr01	1325000	119	0.509897
(1896,1974)(1311649,1355827)(1310000,1360000)	chr01	1335000	80	0.501965
(1904,1986)(1326979,1369999)(1320000,1370000)	chr01	1345000	84	0.456339
(1913,2005)(1330096,1376926)(1330000,1380000)	chr01	1355000	94	0.416668
(1937,2007)(1340379,1380434)(1340000,1390000)	chr01	1365000	72	0.409128
