region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.831747
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.824313
(17,60)(66768,99748)(50000,100000)	chr01	75000	45	0.807658
(17,92)(66768,109295)(60000,110000)	chr01	85000	77	0.770768
(24,166)(72927,119227)(70000,120000)	chr01	95000	144	0.616679
(59,191)(99745,121372)(80000,130000)	chr01	105000	134	0.516445
(59,219)(99745,131673)(90000,140000)	chr01	115000	162	0.549600
(61,234)(101120,148599)(100000,150000)	chr01	125000	175	0.537998
(93,259)(112439,159252)(110000,160000)	chr01	135000	168	0.495295
(167,280)(121114,169571)(120000,170000)	chr01	145000	115	0.568436
(192,287)(130856,175991)(130000,180000)	chr01	155000	97	0.621913
(220,290)(146066,183449)(140000,190000)	chr01	165000	72	0.522665
(235,302)(155765,197658)(150000,200000)	chr01	175000	69	0.508079
(260,327)(165376,204116)(160000,210000)	chr01	185000	69	0.480130
(281,362)(175855,216859)(170000,220000)	chr01	195000	83	0.410523
(288,384)(183430,229717)(180000,230000)	chr01	205000	98	0.548488
(291,384)(193065,229717)(190000,240000)	chr01	215000	95	0.548491
(303,422)(202400,249999)(200000,250000)	chr01	225000	121	0.646895
(328,459)(214936,258347)(210000,260000)	chr01	235000	133	0.632713
(363,478)(224519,268043)(220000,270000)	chr01	245000	117	0.711143
(385,505)(241035,278351)(230000,280000)	chr01	255000	122	0.719033
(385,519)(241035,286071)(240000,290000)	chr01	265000	136	0.721697
(423,523)(250021,291347)(250000,300000)	chr01	275000	102	0.727984
(460,538)(267752,305489)(260000,310000)	chr01	285000	80	0.831681
(479,538)(270347,305489)(270000,320000)	chr01	295000	61	0.846815
(506,550)(284710,324273)(280000,330000)	chr01	305000	46	0.876315
(520,576)(291296,339583)(290000,340000)	chr01	315000	58	0.885552
(524,582)(303105,348196)(300000,350000)	chr01	325000	60	0.881253
(539,600)(322110,359771)(310000,360000)	chr01	335000	63	0.745931
(539,608)(322110,360805)(320000,370000)	chr01	345000	71	0.734886
(551,628)(334023,373127)(330000,380000)	chr01	355000	79	0.630692
