region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.560010
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.560193
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.530973
(24,101)(66768,109295)(60000,110000)	chr01	85000	79	0.524358
(31,175)(72927,119227)(70000,120000)	chr01	95000	146	0.520473
(66,200)(99745,121372)(80000,130000)	chr01	105000	136	0.495596
(66,228)(99745,131673)(90000,140000)	chr01	115000	164	0.508993
(68,243)(101120,148599)(100000,150000)	chr01	125000	177	0.523108
(102,268)(112439,159252)(110000,160000)	chr01	135000	168	0.618638
(176,289)(121114,169571)(120000,170000)	chr01	145000	115	0.740825
(201,296)(130856,175991)(130000,180000)	chr01	155000	97	0.784622
(229,299)(146066,183449)(140000,190000)	chr01	165000	72	0.843387
(244,306)(155765,197658)(150000,200000)	chr01	175000	64	0.866010
(269,331)(165376,204116)(160000,210000)	chr01	185000	64	0.864414
(290,366)(175855,216859)(170000,220000)	chr01	195000	78	0.864020
(297,388)(183430,229717)(180000,230000)	chr01	205000	93	0.843275
(300,388)(195626,229717)(190000,240000)	chr01	215000	90	0.833619
(307,426)(202400,249999)(200000,250000)	chr01	225000	121	0.762549
(332,463)(214936,258347)(210000,260000)	chr01	235000	133	0.730142
(367,482)(224519,268043)(220000,270000)	chr01	245000	117	0.667255
(389,509)(241035,278351)(230000,280000)	chr01	255000	122	0.706616
(389,523)(241035,286071)(240000,290000)	chr01	265000	136	0.721103
(427,527)(250021,291347)(250000,300000)	chr01	275000	102	0.781436
(464,546)(267752,307842)(260000,310000)	chr01	285000	84	0.811519
(483,546)(270347,307842)(270000,320000)	chr01	295000	65	0.816582
(510,558)(284710,324273)(280000,330000)	chr01	305000	50	0.836576
(524,584)(291296,339583)(290000,340000)	chr01	315000	62	0.783773
(528,590)(303105,348196)(300000,350000)	chr01	325000	64	0.789331
(547,608)(322110,359771)(310000,360000)	chr01	335000	63	0.804920
(547,616)(322110,360805)(320000,370000)	chr01	345000	71	0.784167
(559,635)(334023,373127)(330000,380000)	chr01	355000	78	0.746132
(585,635)(342750,373127)(340000,390000)	chr01	365000	52	0.777073
(591,643)(356572,399618)(350000,400000)	chr01	375000	54	0.736123
(609,652)(360718,406783)(360000,410000)	chr01	385000	45	0.681279
(617,679)(371165,418272)(370000,420000)	chr01	395000	64	0.552777
(636,688)(399494,426178)(380000,430000)	chr01	405000	54	0.512268
(636,688)(399494,426178)(390000,440000)	chr01	415000	54	0.512268
(644,690)(405929,447272)(400000,450000)	chr01	425000	48	0.511877
(653,690)(413073,447272)(410000,460000)	chr01	435000	39	0.437073
(680,690)(422091,447272)(420000,470000)	chr01	445000	12	0.192954
(689,703)(447245,477626)(430000,480000)	chr01	455000	16	0.755300
(689,722)(447245,489386)(440000,490000)	chr01	465000	35	0.644902
(691,732)(472791,497021)(450000,500000)	chr01	475000	43	0.639047
(691,732)(472791,497021)(460000,510000)	chr01	485000	43	0.639047
(691,733)(472791,519445)(470000,520000)	chr01	495000	44	0.626296
(704,745)(484534,525090)(480000,530000)	chr01	505000	43	0.623195
(723,745)(490388,525090)(490000,540000)	chr01	515000	24	0.631778
(733,747)(519445,546039)(500000,550000)	chr01	525000	16	0.639801
(733,748)(519445,556579)(510000,560000)	chr01	535000	17	0.711356
(734,755)(520967,567617)(520000,570000)	chr01	545000	23	0.639381
(746,755)(546012,567617)(530000,580000)	chr01	555000	11	0.592665
(746,755)(546012,567617)(540000,590000)	chr01	565000	11	0.592665
(748,771)(556579,598747)(550000,600000)	chr01	575000	25	0.525151
(749,792)(567497,609080)(560000,610000)	chr01	585000	45	0.523266
(756,795)(598538,615712)(570000,620000)	chr01	595000	41	0.623336
(756,808)(598538,625368)(580000,630000)	chr01	605000	54	0.503333
(756,830)(598538,639995)(590000,640000)	chr01	615000	76	0.481592
(772,834)(608808,647580)(600000,650000)	chr01	625000	64	0.473915
(793,834)(615678,647580)(610000,660000)	chr01	635000	43	0.423584
(796,846)(622726,664539)(620000,670000)	chr01	645000	52	0.313278
(809,913)(631986,679765)(630000,680000)	chr01	655000	106	0.247462
(831,919)(640931,687635)(640000,690000)	chr01	665000	90	0.174282
(835,922)(664341,699440)(650000,700000)	chr01	675000	89	0.196795
(835,944)(664341,705398)(660000,710000)	chr01	685000	111	0.252256
(847,954)(670057,710536)(670000,720000)	chr01	695000	109	0.280888
(914,989)(687435,726176)(680000,730000)	chr01	705000	77	0.477748
(920,1022)(699339,736121)(690000,740000)	chr01	715000	104	0.470850
(923,1028)(702035,749383)(700000,750000)	chr01	725000	107	0.457591
(945,1030)(710398,751567)(710000,760000)	chr01	735000	87	0.490985
(955,1066)(720265,768507)(720000,770000)	chr01	745000	113	0.477380
(990,1071)(730423,774383)(730000,780000)	chr01	755000	83	0.457948
(1023,1072)(749258,780712)(740000,790000)	chr01	765000	51	0.463372
(1029,1072)(751549,780712)(750000,800000)	chr01	775000	45	0.465650
(1031,1076)(760149,800296)(760000,810000)	chr01	785000	47	0.451313
(1067,1106)(774173,819725)(770000,820000)	chr01	795000	41	0.567645
