region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.662256
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.662472
(24,60)(66768,99748)(50000,100000)	chr01	75000	38	0.604406
(24,96)(66768,109295)(60000,110000)	chr01	85000	74	0.655678
(31,170)(72990,119227)(70000,120000)	chr01	95000	141	0.544570
(59,195)(99745,121372)(80000,130000)	chr01	105000	138	0.500089
(59,223)(99745,131673)(90000,140000)	chr01	115000	166	0.476076
(61,238)(101120,148599)(100000,150000)	chr01	125000	179	0.455307
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.352493
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.352469
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.397539
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.417725
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.546217
(264,324)(165376,204116)(160000,210000)	chr01	185000	62	0.386057
(285,359)(175855,216859)(170000,220000)	chr01	195000	76	0.364250
(292,381)(183430,229717)(180000,230000)	chr01	205000	91	0.378646
(295,381)(193065,229717)(190000,240000)	chr01	215000	88	0.388286
(307,421)(202400,249999)(200000,250000)	chr01	225000	116	0.292400
(325,453)(214936,257533)(210000,260000)	chr01	235000	130	0.269209
(360,472)(224519,268043)(220000,270000)	chr01	245000	114	0.237011
(382,501)(241035,278351)(230000,280000)	chr01	255000	121	0.222511
(382,525)(241035,286093)(240000,290000)	chr01	265000	145	0.308316
(422,534)(250021,296664)(250000,300000)	chr01	275000	114	0.346544
(454,556)(267752,307842)(260000,310000)	chr01	285000	104	0.301913
(473,557)(270347,317230)(270000,320000)	chr01	295000	86	0.316681
(502,569)(281515,324273)(280000,330000)	chr01	305000	69	0.327967
(526,585)(291233,339583)(290000,340000)	chr01	315000	61	0.179630
(535,591)(303105,348196)(300000,350000)	chr01	325000	58	0.179136
(557,608)(317230,359771)(310000,360000)	chr01	335000	53	0.350717
(558,616)(322110,360805)(320000,370000)	chr01	345000	60	0.344579
(570,635)(334023,373127)(330000,380000)	chr01	355000	67	0.318548
(586,638)(342750,384275)(340000,390000)	chr01	365000	54	0.346277
(592,646)(356572,399618)(350000,400000)	chr01	375000	56	0.312545
(609,654)(360718,406783)(360000,410000)	chr01	385000	47	0.269908
(617,690)(371165,418272)(370000,420000)	chr01	395000	75	0.398522
(636,699)(384248,426178)(380000,430000)	chr01	405000	65	0.446910
(639,699)(399494,426178)(390000,440000)	chr01	415000	62	0.449961
(647,719)(405929,447446)(400000,450000)	chr01	425000	74	0.501341
(655,732)(412986,458510)(410000,460000)	chr01	435000	79	0.502020
(691,732)(422091,458510)(420000,470000)	chr01	445000	43	0.534347
(700,745)(440021,477626)(430000,480000)	chr01	455000	47	0.557444
(700,760)(440021,489540)(440000,490000)	chr01	465000	62	0.677216
(720,771)(458290,497075)(450000,500000)	chr01	475000	53	0.786719
(733,771)(472791,497075)(460000,510000)	chr01	485000	40	0.872910
(733,772)(472791,519445)(470000,520000)	chr01	495000	41	0.861819
(746,784)(482579,525090)(480000,530000)	chr01	505000	40	0.880007
(761,784)(490388,525090)(490000,540000)	chr01	515000	25	0.830583
(772,786)(519445,546039)(500000,550000)	chr01	525000	16	0.608175
(772,787)(519445,556579)(510000,560000)	chr01	535000	17	0.607046
(773,794)(520967,567617)(520000,570000)	chr01	545000	23	0.401900
(785,794)(546012,567617)(530000,580000)	chr01	555000	11	0.084611
(785,794)(546012,567617)(540000,590000)	chr01	565000	11	0.084611
(787,810)(556579,598747)(550000,600000)	chr01	575000	25	0.115272
(788,831)(567497,609080)(560000,610000)	chr01	585000	45	0.165362
(795,837)(598538,615712)(570000,620000)	chr01	595000	44	0.586243
(795,851)(598538,629014)(580000,630000)	chr01	605000	58	0.514544
(795,873)(598538,639995)(590000,640000)	chr01	615000	80	0.390309
(811,877)(608808,647580)(600000,650000)	chr01	625000	68	0.383638
(832,877)(615547,647580)(610000,660000)	chr01	635000	47	0.390823
(838,889)(622726,664539)(620000,670000)	chr01	645000	53	0.181203
(852,956)(631986,679765)(630000,680000)	chr01	655000	106	0.425828
(874,958)(640931,687635)(640000,690000)	chr01	665000	86	0.468311
(878,961)(664341,699440)(650000,700000)	chr01	675000	85	0.493247
(878,980)(664341,705398)(660000,710000)	chr01	685000	104	0.480481
(890,990)(670057,710536)(670000,720000)	chr01	695000	102	0.526222
(957,1025)(687594,726176)(680000,730000)	chr01	705000	70	0.477243
(959,1058)(699339,736121)(690000,740000)	chr01	715000	101	0.446268
(962,1064)(702035,749383)(700000,750000)	chr01	725000	104	0.421543
(981,1067)(710398,754850)(710000,760000)	chr01	735000	88	0.432922
(991,1103)(720265,768507)(720000,770000)	chr01	745000	114	0.455149
(1026,1110)(730423,774383)(730000,780000)	chr01	755000	86	0.522734
(1059,1111)(749258,780712)(740000,790000)	chr01	765000	54	0.641713
(1065,1111)(751549,780712)(750000,800000)	chr01	775000	48	0.664940
(1068,1115)(760149,800296)(760000,810000)	chr01	785000	49	0.644122
(1104,1145)(771638,819725)(770000,820000)	chr01	795000	43	0.673855
(1111,1147)(780712,824471)(780000,830000)	chr01	805000	38	0.582733
(1112,1198)(800261,839864)(790000,840000)	chr01	815000	88	0.461479
(1112,1199)(800261,849991)(800000,850000)	chr01	825000	89	0.461269
(1116,1206)(816740,855718)(810000,860000)	chr01	835000	92	0.456565
(1146,1209)(824403,860813)(820000,870000)	chr01	845000	65	0.306616
(1148,1215)(830052,877821)(830000,880000)	chr01	855000	69	0.432446
(1199,1225)(849991,888203)(840000,890000)	chr01	865000	28	0.719970
