region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.916586
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.691799
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.674191
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.652721
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.614697
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.686165
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.588792
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.542534
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.564942
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.543199
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.469600
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.533349
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.562779
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.533725
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.524844
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.492692
(285,366)(175855,216859)(170000,220000)	chr01	195000	83	0.348612
(292,388)(183430,229717)(180000,230000)	chr01	205000	98	0.432271
(295,388)(193065,229717)(190000,240000)	chr01	215000	95	0.409214
(307,428)(202400,249999)(200000,250000)	chr01	225000	123	0.476605
(332,465)(214936,258347)(210000,260000)	chr01	235000	135	0.467807
(367,484)(224519,268043)(220000,270000)	chr01	245000	119	0.473534
(389,513)(241035,278351)(230000,280000)	chr01	255000	126	0.415635
(389,537)(241035,286093)(240000,290000)	chr01	265000	150	0.445160
(429,546)(250021,296664)(250000,300000)	chr01	275000	119	0.424613
(466,564)(267752,305489)(260000,310000)	chr01	285000	100	0.495942
(485,564)(270347,305489)(270000,320000)	chr01	295000	81	0.595685
(514,576)(281515,324273)(280000,330000)	chr01	305000	64	0.641215
(538,602)(291233,339583)(290000,340000)	chr01	315000	66	0.640704
(547,608)(303105,348196)(300000,350000)	chr01	325000	63	0.619102
(565,626)(322110,359771)(310000,360000)	chr01	335000	63	0.470036
(565,634)(322110,360805)(320000,370000)	chr01	345000	71	0.469722
(577,653)(334023,373127)(330000,380000)	chr01	355000	78	0.462876
(603,656)(342750,384275)(340000,390000)	chr01	365000	55	0.411143
(609,664)(356572,399618)(350000,400000)	chr01	375000	57	0.403435
(627,677)(360718,406783)(360000,410000)	chr01	385000	52	0.672508
(635,704)(371165,418272)(370000,420000)	chr01	395000	71	0.624182
(654,713)(384248,426178)(380000,430000)	chr01	405000	61	0.689451
(657,713)(399494,426178)(390000,440000)	chr01	415000	58	0.671139
(665,721)(405929,447272)(400000,450000)	chr01	425000	58	0.700607
(678,734)(413073,458510)(410000,460000)	chr01	435000	58	0.573606
(705,734)(422091,458510)(420000,470000)	chr01	445000	31	0.760791
(714,747)(447168,477626)(430000,480000)	chr01	455000	35	0.512381
(714,773)(447168,489540)(440000,490000)	chr01	465000	61	0.427105
(722,784)(458290,497075)(450000,500000)	chr01	475000	64	0.493221
(735,784)(472791,497075)(460000,510000)	chr01	485000	51	0.473743
(735,785)(472791,519445)(470000,520000)	chr01	495000	52	0.475154
(748,806)(482579,527912)(480000,530000)	chr01	505000	60	0.492134
(774,806)(490388,527912)(490000,540000)	chr01	515000	34	0.587676
(785,808)(519445,546039)(500000,550000)	chr01	525000	25	0.501101
(785,809)(519445,556579)(510000,560000)	chr01	535000	26	0.500425
(786,816)(520967,567617)(520000,570000)	chr01	545000	32	0.416817
(807,816)(546012,567617)(530000,580000)	chr01	555000	11	0.148088
(807,816)(546012,567617)(540000,590000)	chr01	565000	11	0.148088
(809,832)(556579,598747)(550000,600000)	chr01	575000	25	0.384693
(810,853)(567497,609080)(560000,610000)	chr01	585000	45	0.397814
(817,853)(598538,609080)(570000,620000)	chr01	595000	38	0.461950
(817,862)(598538,622801)(580000,630000)	chr01	605000	47	0.398118
(817,884)(598538,639995)(590000,640000)	chr01	615000	69	0.401190
(833,888)(608808,647580)(600000,650000)	chr01	625000	57	0.458913
(854,888)(622726,647580)(610000,660000)	chr01	635000	36	0.475083
(854,892)(622726,664510)(620000,670000)	chr01	645000	40	0.469246
(863,892)(631986,664510)(630000,680000)	chr01	655000	31	0.545356
(885,896)(640931,687537)(640000,690000)	chr01	665000	13	0.700529
(889,899)(664448,699440)(650000,700000)	chr01	675000	12	0.500319
(889,921)(664448,705398)(660000,710000)	chr01	685000	34	0.503935
(893,931)(687435,710536)(670000,720000)	chr01	695000	40	0.473878
(893,966)(687435,726176)(680000,730000)	chr01	705000	75	0.451439
(897,999)(699339,736121)(690000,740000)	chr01	715000	104	0.427007
(900,1005)(702035,749383)(700000,750000)	chr01	725000	107	0.428935
(922,1008)(710398,754850)(710000,760000)	chr01	735000	88	0.399630
(932,1048)(720265,768507)(720000,770000)	chr01	745000	118	0.509606
(967,1055)(730423,774383)(730000,780000)	chr01	755000	90	0.571195
(1000,1056)(749258,780712)(740000,790000)	chr01	765000	58	0.634224
(1006,1056)(751549,780712)(750000,800000)	chr01	775000	52	0.658355
(1009,1060)(760149,800296)(760000,810000)	chr01	785000	53	0.662144
(1049,1090)(771638,819725)(770000,820000)	chr01	795000	43	0.629615
(1056,1092)(780712,824471)(780000,830000)	chr01	805000	38	0.568013
(1057,1146)(800261,839979)(790000,840000)	chr01	815000	91	0.555092
(1057,1147)(800261,849991)(800000,850000)	chr01	825000	92	0.555054
(1061,1152)(816740,852734)(810000,860000)	chr01	835000	93	0.554517
(1091,1155)(824403,860813)(820000,870000)	chr01	845000	66	0.530521
(1093,1161)(830052,877821)(830000,880000)	chr01	855000	70	0.527257
(1147,1173)(849991,888203)(840000,890000)	chr01	865000	28	0.613884
(1148,1185)(852666,898885)(850000,900000)	chr01	875000	39	0.715573
(1153,1210)(860727,909640)(860000,910000)	chr01	885000	59	0.720656
(1156,1240)(876147,916778)(870000,920000)	chr01	895000	86	0.583384
(1162,1267)(881512,929364)(880000,930000)	chr01	905000	107	0.538201
(1174,1271)(892877,936207)(890000,940000)	chr01	915000	99	0.504052
(1186,1304)(902874,949937)(900000,950000)	chr01	925000	120	0.452071
(1211,1317)(911188,952812)(910000,960000)	chr01	935000	108	0.444008
(1241,1325)(921481,969688)(920000,970000)	chr01	945000	86	0.473044
(1268,1375)(933153,979790)(930000,980000)	chr01	955000	109	0.488981
(1272,1395)(941192,981690)(940000,990000)	chr01	965000	125	0.496004
(1305,1411)(951051,994392)(950000,1000000)	chr01	975000	108	0.500885
(1318,1413)(964396,1007159)(960000,1010000)	chr01	985000	97	0.484824
(1326,1449)(972160,1019757)(970000,1020000)	chr01	995000	125	0.463905
(1376,1452)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.459327
(1396,1466)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.426027
(1412,1485)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.390301
(1414,1486)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.424061
(1450,1499)(1023745,1066860)(1020000,1070000)	chr01	1045000	51	0.486195
(1453,1499)(1030079,1066860)(1030000,1080000)	chr01	1055000	48	0.490189
(1467,1509)(1040190,1088668)(1040000,1090000)	chr01	1065000	44	0.643815
(1486,1509)(1059222,1088668)(1050000,1100000)	chr01	1075000	25	0.764691
(1487,1514)(1060081,1106471)(1060000,1110000)	chr01	1085000	29	0.700623
(1500,1517)(1080464,1118148)(1070000,1120000)	chr01	1095000	19	0.703894
(1500,1524)(1080464,1129684)(1080000,1130000)	chr01	1105000	26	0.819831
(1510,1554)(1106311,1137795)(1090000,1140000)	chr01	1115000	46	0.806704
(1510,1575)(1106311,1148852)(1100000,1150000)	chr01	1125000	67	0.847360
(1515,1577)(1110213,1156484)(1110000,1160000)	chr01	1135000	64	0.858988
(1518,1605)(1125674,1169984)(1120000,1170000)	chr01	1145000	89	0.816424
(1525,1612)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.734791
(1555,1616)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.701546
(1576,1623)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.462426
(1578,1631)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.481753
(1606,1645)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.414307
(1613,1645)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.463813
(1617,1664)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.427022
(1624,1668)(1202564,1248625)(1200000,1250000)	chr01	1225000	46	0.384703
(1632,1668)(1215791,1248625)(1210000,1260000)	chr01	1235000	38	0.326283
(1646,1673)(1230664,1266942)(1220000,1270000)	chr01	1245000	29	0.444775
(1646,1679)(1230664,1271087)(1230000,1280000)	chr01	1255000	35	0.454487
(1665,1694)(1247842,1287173)(1240000,1290000)	chr01	1265000	31	0.610442
(1669,1697)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.630586
(1669,1740)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.502989
(1674,1748)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.522866
(1680,1757)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.562776
