region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.496313
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.417686
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.378916
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.339549
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.418718
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.554396
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.462526
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.459434
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.442164
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.477239
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.398455
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.528524
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.551771
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.589200
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.503002
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.474180
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.287675
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.381843
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.390218
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.471023
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.465561
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.483572
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.426952
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.417216
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.346368
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.432101
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.536741
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.563391
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.632725
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.612249
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.457004
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.460228
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.487833
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.464280
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.455917
(641,691)(360718,406783)(360000,410000)	chr01	385000	52	0.685381
(649,718)(371165,418272)(370000,420000)	chr01	395000	71	0.642296
(668,727)(384248,426178)(380000,430000)	chr01	405000	61	0.701549
(671,727)(399494,426178)(390000,440000)	chr01	415000	58	0.684476
(679,747)(405929,447446)(400000,450000)	chr01	425000	70	0.728408
(692,760)(413073,458510)(410000,460000)	chr01	435000	70	0.617480
(719,760)(422091,458510)(420000,470000)	chr01	445000	43	0.714630
(728,773)(440021,477626)(430000,480000)	chr01	455000	47	0.538060
(728,799)(440021,489540)(440000,490000)	chr01	465000	73	0.503923
(748,810)(458290,497075)(450000,500000)	chr01	475000	64	0.502338
(761,810)(472791,497075)(460000,510000)	chr01	485000	51	0.516235
(761,811)(472791,519445)(470000,520000)	chr01	495000	52	0.509384
(774,832)(482579,527912)(480000,530000)	chr01	505000	60	0.519558
(800,832)(490388,527912)(490000,540000)	chr01	515000	34	0.560457
(811,834)(519445,546039)(500000,550000)	chr01	525000	25	0.509154
(811,841)(519445,556579)(510000,560000)	chr01	535000	32	0.486668
(812,848)(520967,567617)(520000,570000)	chr01	545000	38	0.479591
(833,848)(546012,567617)(530000,580000)	chr01	555000	17	0.481232
(833,848)(546012,567617)(540000,590000)	chr01	565000	17	0.481232
(835,864)(553209,598747)(550000,600000)	chr01	575000	31	0.376886
(842,885)(567497,609080)(560000,610000)	chr01	585000	45	0.372861
(849,891)(598538,615712)(570000,620000)	chr01	595000	44	0.456071
(849,905)(598538,629014)(580000,630000)	chr01	605000	58	0.385906
(849,927)(598538,639995)(590000,640000)	chr01	615000	80	0.433598
(865,931)(608808,647580)(600000,650000)	chr01	625000	68	0.440940
(886,931)(615547,647580)(610000,660000)	chr01	635000	47	0.466477
(892,943)(622726,664539)(620000,670000)	chr01	645000	53	0.599821
(906,1010)(631986,679765)(630000,680000)	chr01	655000	106	0.773527
(928,1010)(640931,679765)(640000,690000)	chr01	665000	84	0.807427
(932,1013)(664341,699440)(650000,700000)	chr01	675000	83	0.817944
(932,1035)(664341,705398)(660000,710000)	chr01	685000	105	0.767829
(944,1045)(670057,710536)(670000,720000)	chr01	695000	103	0.705847
(1011,1080)(699339,726176)(680000,730000)	chr01	705000	71	0.330730
(1011,1113)(699339,736121)(690000,740000)	chr01	715000	104	0.342168
(1014,1119)(702035,749383)(700000,750000)	chr01	725000	107	0.344026
(1036,1122)(710398,754850)(710000,760000)	chr01	735000	88	0.327157
(1046,1162)(720265,768507)(720000,770000)	chr01	745000	118	0.410906
(1081,1169)(730423,774383)(730000,780000)	chr01	755000	90	0.428797
(1114,1170)(749258,780712)(740000,790000)	chr01	765000	58	0.464367
(1120,1170)(751549,780712)(750000,800000)	chr01	775000	52	0.482077
(1123,1174)(760149,800296)(760000,810000)	chr01	785000	53	0.526630
(1163,1204)(771638,819725)(770000,820000)	chr01	795000	43	0.523935
(1170,1206)(780712,824471)(780000,830000)	chr01	805000	38	0.538605
(1171,1260)(800261,839979)(790000,840000)	chr01	815000	91	0.546263
(1171,1261)(800261,849991)(800000,850000)	chr01	825000	92	0.545044
(1175,1266)(816740,852734)(810000,860000)	chr01	835000	93	0.546781
(1205,1269)(824403,860813)(820000,870000)	chr01	845000	66	0.563981
(1207,1275)(830052,877821)(830000,880000)	chr01	855000	70	0.561517
(1261,1287)(849991,888203)(840000,890000)	chr01	865000	28	0.657236
(1262,1302)(852666,898885)(850000,900000)	chr01	875000	42	0.745830
(1267,1327)(860727,909640)(860000,910000)	chr01	885000	62	0.742786
(1270,1357)(876147,916778)(870000,920000)	chr01	895000	89	0.601939
(1276,1384)(881512,929364)(880000,930000)	chr01	905000	110	0.545370
(1288,1388)(890743,936207)(890000,940000)	chr01	915000	102	0.465488
(1303,1421)(902874,949937)(900000,950000)	chr01	925000	120	0.437827
(1328,1434)(911188,952812)(910000,960000)	chr01	935000	108	0.441357
(1358,1442)(921481,969688)(920000,970000)	chr01	945000	86	0.461055
(1385,1492)(933153,979790)(930000,980000)	chr01	955000	109	0.402744
(1389,1512)(941192,981690)(940000,990000)	chr01	965000	125	0.424638
(1422,1528)(951051,994392)(950000,1000000)	chr01	975000	108	0.389272
(1435,1530)(964396,1007159)(960000,1010000)	chr01	985000	97	0.369935
(1443,1566)(972160,1019757)(970000,1020000)	chr01	995000	125	0.380194
(1493,1569)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.452038
(1513,1583)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.421776
(1529,1602)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.421218
(1531,1606)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.415659
(1567,1622)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.615856
(1570,1622)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.620263
(1584,1645)(1040190,1088668)(1040000,1090000)	chr01	1065000	63	0.645821
(1603,1645)(1059222,1088668)(1050000,1100000)	chr01	1075000	44	0.696249
(1607,1650)(1060081,1106471)(1060000,1110000)	chr01	1085000	45	0.707684
(1623,1664)(1080464,1118148)(1070000,1120000)	chr01	1095000	43	0.556132
(1623,1676)(1080464,1129684)(1080000,1130000)	chr01	1105000	55	0.668077
(1646,1707)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.666023
(1646,1728)(1106311,1148852)(1100000,1150000)	chr01	1125000	84	0.608614
(1651,1730)(1110213,1156484)(1110000,1160000)	chr01	1135000	81	0.610241
(1665,1758)(1125674,1169984)(1120000,1170000)	chr01	1145000	95	0.638135
(1677,1765)(1131938,1175775)(1130000,1180000)	chr01	1155000	90	0.524608
(1708,1769)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.494822
(1729,1776)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.524811
(1731,1784)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.525151
