region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.036783
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	-0.011556
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	-0.007836
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	-0.008196
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	-0.014546
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	-0.007880
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.012631
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.020055
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.017875
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.012661
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.013791
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	-0.010078
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	-0.005695
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	-0.009491
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.088327
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.072901
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.060025
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.111243
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.111257
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.147089
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.199713
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.250556
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.229798
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.219769
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.211024
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.122740
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.137717
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.108395
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.124637
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.122758
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.142164
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.139695
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.147205
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.113480
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.071210
(641,692)(360718,406909)(360000,410000)	chr01	385000	53	0.106474
(649,730)(371165,418272)(370000,420000)	chr01	395000	83	0.082136
(668,739)(384248,426178)(380000,430000)	chr01	405000	73	0.098520
(671,739)(399494,426178)(390000,440000)	chr01	415000	70	0.099059
(679,759)(405929,447446)(400000,450000)	chr01	425000	82	0.105521
(693,772)(412909,458510)(410000,460000)	chr01	435000	81	0.111598
(731,772)(422091,458510)(420000,470000)	chr01	445000	43	0.140691
(740,785)(440021,477626)(430000,480000)	chr01	455000	47	0.131526
(740,811)(440021,489540)(440000,490000)	chr01	465000	73	0.152799
(760,822)(458290,497075)(450000,500000)	chr01	475000	64	0.174223
(773,822)(472791,497075)(460000,510000)	chr01	485000	51	0.154744
(773,823)(472791,519445)(470000,520000)	chr01	495000	52	0.154742
(786,844)(482579,527912)(480000,530000)	chr01	505000	60	0.167728
(812,844)(490388,527912)(490000,540000)	chr01	515000	34	0.096152
(823,846)(519445,546039)(500000,550000)	chr01	525000	25	0.219895
(823,853)(519445,556579)(510000,560000)	chr01	535000	32	0.316508
(824,860)(520967,567617)(520000,570000)	chr01	545000	38	0.283176
(845,860)(546012,567617)(530000,580000)	chr01	555000	17	0.364752
(845,860)(546012,567617)(540000,590000)	chr01	565000	17	0.364752
(847,876)(553209,598747)(550000,600000)	chr01	575000	31	0.301113
(854,897)(567497,609080)(560000,610000)	chr01	585000	45	0.199522
(861,903)(598538,615712)(570000,620000)	chr01	595000	44	0.267391
(861,917)(598538,629014)(580000,630000)	chr01	605000	58	0.204110
(861,945)(598538,639995)(590000,640000)	chr01	615000	86	0.189768
(877,949)(608808,647580)(600000,650000)	chr01	625000	74	0.179826
(898,949)(615547,647580)(610000,660000)	chr01	635000	53	0.169462
(904,961)(622726,664539)(620000,670000)	chr01	645000	59	0.157033
