region	chr	midPos	Nsites
(2,20)(34877,49138)(10000,60000)	chr01	35000	20	0.157874
(2,20)(34877,49138)(20000,70000)	chr01	45000	20	0.157874
(2,55)(34877,79275)(30000,80000)	chr01	55000	55	0.342624
(3,55)(40565,79275)(40000,90000)	chr01	65000	54	0.342807
(21,57)(72927,99748)(50000,100000)	chr01	75000	38	0.445698
(21,92)(72927,109295)(60000,110000)	chr01	85000	73	0.499152
(21,149)(72927,119132)(70000,120000)	chr01	95000	130	0.585001
(56,174)(99745,121372)(80000,130000)	chr01	105000	120	0.649814
(56,188)(99745,131673)(90000,140000)	chr01	115000	134	0.657016
(58,203)(101120,148599)(100000,150000)	chr01	125000	147	0.661325
(93,228)(112439,159252)(110000,160000)	chr01	135000	137	0.665250
(150,249)(121114,169571)(120000,170000)	chr01	145000	101	0.590240
(175,256)(131445,175991)(130000,180000)	chr01	155000	83	0.600843
(189,259)(146066,183449)(140000,190000)	chr01	165000	72	0.583809
(204,271)(155765,197658)(150000,200000)	chr01	175000	69	0.541420
(229,296)(165376,204116)(160000,210000)	chr01	185000	69	0.559009
(250,323)(175855,216832)(170000,220000)	chr01	195000	75	0.557083
(257,344)(183430,229717)(180000,230000)	chr01	205000	89	0.567535
(260,344)(193065,229717)(190000,240000)	chr01	215000	86	0.560046
(272,382)(202400,249999)(200000,250000)	chr01	225000	112	0.620439
(297,418)(215040,257533)(210000,260000)	chr01	235000	123	0.621718
(324,437)(224519,268043)(220000,270000)	chr01	245000	115	0.690584
(345,464)(241035,278351)(230000,280000)	chr01	255000	121	0.707092
(345,485)(241035,286071)(240000,290000)	chr01	265000	142	0.724248
(383,492)(250021,291347)(250000,300000)	chr01	275000	111	0.738473
(419,503)(267752,305489)(260000,310000)	chr01	285000	86	0.776274
(438,503)(270347,305489)(270000,320000)	chr01	295000	67	0.790701
(465,515)(281515,324273)(280000,330000)	chr01	305000	52	0.819781
(486,541)(291233,339583)(290000,340000)	chr01	315000	57	0.815320
(493,547)(305433,348196)(300000,350000)	chr01	325000	56	0.799492
(504,564)(322110,359771)(310000,360000)	chr01	335000	62	0.738106
(504,572)(322110,360805)(320000,370000)	chr01	345000	70	0.702308
(516,591)(334023,373127)(330000,380000)	chr01	355000	77	0.634675
(542,594)(342750,384275)(340000,390000)	chr01	365000	54	0.597224
(548,602)(356572,399618)(350000,400000)	chr01	375000	56	0.558316
(565,611)(360718,406909)(360000,410000)	chr01	385000	48	0.523005
(573,647)(371165,418272)(370000,420000)	chr01	395000	76	0.605274
(592,656)(384248,426178)(380000,430000)	chr01	405000	66	0.602279
(595,656)(399494,426178)(390000,440000)	chr01	415000	63	0.561055
(603,667)(405929,447419)(400000,450000)	chr01	425000	66	0.620433
(612,680)(412986,458510)(410000,460000)	chr01	435000	70	0.670945
(648,680)(422091,458510)(420000,470000)	chr01	445000	34	0.688853
(657,693)(440110,477626)(430000,480000)	chr01	455000	38	0.648516
(657,719)(440110,489540)(440000,490000)	chr01	465000	64	0.594602
(668,730)(458290,497075)(450000,500000)	chr01	475000	64	0.579490
(681,730)(472791,497075)(460000,510000)	chr01	485000	51	0.488593
(681,731)(472791,519445)(470000,520000)	chr01	495000	52	0.481366
(694,752)(482579,527912)(480000,530000)	chr01	505000	60	0.468867
(720,752)(490388,527912)(490000,540000)	chr01	515000	34	0.493997
(731,754)(519445,546039)(500000,550000)	chr01	525000	25	0.367344
(731,761)(519445,556579)(510000,560000)	chr01	535000	32	0.394628
(732,768)(520967,567617)(520000,570000)	chr01	545000	38	0.388233
(753,768)(546012,567617)(530000,580000)	chr01	555000	17	0.365406
(753,768)(546012,567617)(540000,590000)	chr01	565000	17	0.365406
(755,784)(553209,598747)(550000,600000)	chr01	575000	31	0.473509
(762,805)(567497,609080)(560000,610000)	chr01	585000	45	0.387633
(769,811)(598538,615712)(570000,620000)	chr01	595000	44	0.378436
(769,825)(598538,629014)(580000,630000)	chr01	605000	58	0.340843
(769,853)(598538,639995)(590000,640000)	chr01	615000	86	0.548536
(785,855)(608808,647580)(600000,650000)	chr01	625000	72	0.534810
(806,855)(615547,647580)(610000,660000)	chr01	635000	51	0.598214
(812,867)(622726,664539)(620000,670000)	chr01	645000	57	0.575813
(826,934)(631986,679765)(630000,680000)	chr01	655000	110	0.516703
(854,940)(647375,687635)(640000,690000)	chr01	665000	88	0.369223
(856,943)(664341,699440)(650000,700000)	chr01	675000	89	0.376627
(856,961)(664341,705398)(660000,710000)	chr01	685000	107	0.473341
(868,971)(670057,710536)(670000,720000)	chr01	695000	105	0.507633
(935,1003)(687435,726075)(680000,730000)	chr01	705000	70	0.594484
(941,1036)(699339,736121)(690000,740000)	chr01	715000	97	0.535176
(944,1042)(702087,749383)(700000,750000)	chr01	725000	100	0.549793
(962,1044)(710398,751567)(710000,760000)	chr01	735000	84	0.496438
(972,1080)(720265,768507)(720000,770000)	chr01	745000	110	0.498396
(1004,1085)(730423,774383)(730000,780000)	chr01	755000	83	0.502061
(1037,1086)(749258,780712)(740000,790000)	chr01	765000	51	0.589942
(1043,1086)(751549,780712)(750000,800000)	chr01	775000	45	0.565699
(1045,1090)(760149,800296)(760000,810000)	chr01	785000	47	0.520264
(1081,1120)(774173,819725)(770000,820000)	chr01	795000	41	0.462837
(1086,1122)(780712,824471)(780000,830000)	chr01	805000	38	0.475103
(1087,1174)(800261,839979)(790000,840000)	chr01	815000	89	0.491098
