region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.703949
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.690129
(24,60)(66768,99748)(50000,100000)	chr01	75000	38	0.675631
(24,96)(66768,109295)(60000,110000)	chr01	85000	74	0.654213
(31,170)(72990,119227)(70000,120000)	chr01	95000	141	0.620136
(59,195)(99745,121372)(80000,130000)	chr01	105000	138	0.581444
(59,223)(99745,131673)(90000,140000)	chr01	115000	166	0.591871
(61,238)(101120,148599)(100000,150000)	chr01	125000	179	0.575349
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.544164
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.529266
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.541090
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.492780
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.533591
(264,324)(165376,204116)(160000,210000)	chr01	185000	62	0.579521
(285,359)(175855,216859)(170000,220000)	chr01	195000	76	0.745580
(292,381)(183430,229717)(180000,230000)	chr01	205000	91	0.773387
(295,381)(193065,229717)(190000,240000)	chr01	215000	88	0.783060
(307,421)(202400,249999)(200000,250000)	chr01	225000	116	0.778349
(325,453)(214936,257533)(210000,260000)	chr01	235000	130	0.794084
(360,472)(224519,268043)(220000,270000)	chr01	245000	114	0.743912
(382,501)(241035,278351)(230000,280000)	chr01	255000	121	0.734934
(382,525)(241035,286093)(240000,290000)	chr01	265000	145	0.732091
(422,534)(250021,296664)(250000,300000)	chr01	275000	114	0.724996
(454,556)(267752,307842)(260000,310000)	chr01	285000	104	0.691159
(473,557)(270347,317230)(270000,320000)	chr01	295000	86	0.704853
(502,569)(281515,324273)(280000,330000)	chr01	305000	69	0.737670
(526,585)(291233,339583)(290000,340000)	chr01	315000	61	0.788236
(535,591)(303105,348196)(300000,350000)	chr01	325000	58	0.801798
(557,608)(317230,359771)(310000,360000)	chr01	335000	53	0.855313
(558,616)(322110,360805)(320000,370000)	chr01	345000	60	0.862924
(570,635)(334023,373127)(330000,380000)	chr01	355000	67	0.806005
(586,638)(342750,384275)(340000,390000)	chr01	365000	54	0.762658
(592,646)(356572,399618)(350000,400000)	chr01	375000	56	0.703742
(609,654)(360718,406783)(360000,410000)	chr01	385000	47	0.676119
(617,690)(371165,418272)(370000,420000)	chr01	395000	75	0.759439
(636,699)(384248,426178)(380000,430000)	chr01	405000	65	0.761472
(639,699)(399494,426178)(390000,440000)	chr01	415000	62	0.757560
(647,719)(405929,447446)(400000,450000)	chr01	425000	74	0.740976
(655,732)(412986,458510)(410000,460000)	chr01	435000	79	0.781175
(691,732)(422091,458510)(420000,470000)	chr01	445000	43	0.759138
(700,745)(440021,477626)(430000,480000)	chr01	455000	47	0.753441
(700,760)(440021,489540)(440000,490000)	chr01	465000	62	0.808177
(720,771)(458290,497075)(450000,500000)	chr01	475000	53	0.891332
(733,771)(472791,497075)(460000,510000)	chr01	485000	40	0.878106
(733,772)(472791,519445)(470000,520000)	chr01	495000	41	0.878106
(746,784)(482579,525090)(480000,530000)	chr01	505000	40	0.898160
(761,784)(490388,525090)(490000,540000)	chr01	515000	25	0.866456
(772,786)(519445,546039)(500000,550000)	chr01	525000	16	0.791819
(772,787)(519445,556579)(510000,560000)	chr01	535000	17	0.785050
(773,794)(520967,567617)(520000,570000)	chr01	545000	23	0.779174
(785,794)(546012,567617)(530000,580000)	chr01	555000	11	0.804424
(785,794)(546012,567617)(540000,590000)	chr01	565000	11	0.804424
(787,810)(556579,598747)(550000,600000)	chr01	575000	25	0.555611
(788,831)(567497,609080)(560000,610000)	chr01	585000	45	0.520810
(795,837)(598538,615712)(570000,620000)	chr01	595000	44	0.427045
(795,851)(598538,629014)(580000,630000)	chr01	605000	58	0.393578
(795,873)(598538,639995)(590000,640000)	chr01	615000	80	0.409543
(811,877)(608808,647580)(600000,650000)	chr01	625000	68	0.505777
