region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.027826
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.027812
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.112994
(24,100)(66768,109295)(60000,110000)	chr01	85000	78	0.348644
(31,174)(72927,119227)(70000,120000)	chr01	95000	145	0.343644
(66,199)(99745,121372)(80000,130000)	chr01	105000	135	0.436479
(66,227)(99745,131673)(90000,140000)	chr01	115000	163	0.412321
(68,242)(101120,148599)(100000,150000)	chr01	125000	176	0.403902
(101,267)(112439,159252)(110000,160000)	chr01	135000	168	0.305807
(175,288)(121114,169571)(120000,170000)	chr01	145000	115	0.314543
(200,295)(130856,175991)(130000,180000)	chr01	155000	97	0.326716
(228,298)(146066,183449)(140000,190000)	chr01	165000	72	0.350838
(243,310)(155765,197658)(150000,200000)	chr01	175000	69	0.353907
(268,335)(165376,204116)(160000,210000)	chr01	185000	69	0.275001
(289,363)(175855,216859)(170000,220000)	chr01	195000	76	0.667953
(296,383)(183430,229717)(180000,230000)	chr01	205000	89	0.628084
(299,383)(193065,229717)(190000,240000)	chr01	215000	86	0.628090
(311,421)(202400,249999)(200000,250000)	chr01	225000	112	0.626454
(336,457)(215040,257533)(210000,260000)	chr01	235000	123	0.625006
(364,476)(224519,268043)(220000,270000)	chr01	245000	114	0.354274
(384,505)(241035,278351)(230000,280000)	chr01	255000	123	0.303377
(384,529)(241035,286093)(240000,290000)	chr01	265000	147	0.279739
(422,538)(250021,296664)(250000,300000)	chr01	275000	118	0.155417
(458,560)(267752,307842)(260000,310000)	chr01	285000	104	0.033766
(477,561)(270347,317230)(270000,320000)	chr01	295000	86	0.056809
(506,573)(281515,324273)(280000,330000)	chr01	305000	69	0.047534
(530,599)(291233,339583)(290000,340000)	chr01	315000	71	0.038071
(539,605)(303105,348196)(300000,350000)	chr01	325000	68	0.026805
(561,623)(317230,359771)(310000,360000)	chr01	335000	64	0.123648
(562,631)(322110,360805)(320000,370000)	chr01	345000	71	0.137883
(574,650)(334023,373127)(330000,380000)	chr01	355000	78	0.242198
(600,653)(342750,384275)(340000,390000)	chr01	365000	55	0.243034
(606,661)(356572,399618)(350000,400000)	chr01	375000	57	0.221127
(624,675)(360718,406909)(360000,410000)	chr01	385000	53	0.238162
(632,713)(371165,418272)(370000,420000)	chr01	395000	83	0.199871
(651,722)(384248,426178)(380000,430000)	chr01	405000	73	0.245773
(654,722)(399494,426178)(390000,440000)	chr01	415000	70	0.245286
(662,742)(405929,447446)(400000,450000)	chr01	425000	82	0.260759
(676,755)(412909,458510)(410000,460000)	chr01	435000	81	0.269111
(714,755)(422091,458510)(420000,470000)	chr01	445000	43	0.403624
(723,768)(440021,477626)(430000,480000)	chr01	455000	47	0.225907
(723,794)(440021,489540)(440000,490000)	chr01	465000	73	0.220512
(743,805)(458290,497075)(450000,500000)	chr01	475000	64	0.197752
(756,805)(472791,497075)(460000,510000)	chr01	485000	51	0.183611
(756,806)(472791,519445)(470000,520000)	chr01	495000	52	0.183611
(769,827)(482579,527912)(480000,530000)	chr01	505000	60	0.506503
