region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.487135
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.391496
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.386750
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.359737
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.407516
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.421192
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.405028
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.389928
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.371977
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.368787
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.369127
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.471128
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.478074
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.513906
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.470803
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.417093
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.361829
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.389750
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.391963
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.468862
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.495963
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.466300
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.430979
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.408618
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.335893
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.241202
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.278742
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.286114
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.465863
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.445970
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.453490
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.479494
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.510037
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.498424
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.486095
(641,691)(360718,406783)(360000,410000)	chr01	385000	52	0.683103
(649,718)(371165,418272)(370000,420000)	chr01	395000	71	0.649410
(668,727)(384248,426178)(380000,430000)	chr01	405000	61	0.670372
(671,727)(399494,426178)(390000,440000)	chr01	415000	58	0.651724
(679,747)(405929,447446)(400000,450000)	chr01	425000	70	0.657730
(692,760)(413073,458510)(410000,460000)	chr01	435000	70	0.664039
(719,760)(422091,458510)(420000,470000)	chr01	445000	43	0.740459
(728,773)(440021,477626)(430000,480000)	chr01	455000	47	0.703687
(728,799)(440021,489540)(440000,490000)	chr01	465000	73	0.643904
(748,810)(458290,497075)(450000,500000)	chr01	475000	64	0.665727
(761,810)(472791,497075)(460000,510000)	chr01	485000	51	0.543848
(761,811)(472791,519445)(470000,520000)	chr01	495000	52	0.539347
(774,832)(482579,527912)(480000,530000)	chr01	505000	60	0.510476
(800,832)(490388,527912)(490000,540000)	chr01	515000	34	0.491017
(811,834)(519445,546039)(500000,550000)	chr01	525000	25	0.403391
(811,841)(519445,556579)(510000,560000)	chr01	535000	32	0.325971
(812,848)(520967,567617)(520000,570000)	chr01	545000	38	0.333477
(833,848)(546012,567617)(530000,580000)	chr01	555000	17	0.210025
(833,848)(546012,567617)(540000,590000)	chr01	565000	17	0.210025
(835,864)(553209,598747)(550000,600000)	chr01	575000	31	0.168150
(842,885)(567497,609080)(560000,610000)	chr01	585000	45	0.233547
(849,891)(598538,615712)(570000,620000)	chr01	595000	44	0.174227
(849,905)(598538,629014)(580000,630000)	chr01	605000	58	0.174241
(849,933)(598538,639995)(590000,640000)	chr01	615000	86	0.234090
(865,937)(608808,647580)(600000,650000)	chr01	625000	74	0.250469
(886,937)(615547,647580)(610000,660000)	chr01	635000	53	0.251098
(892,949)(622726,664539)(620000,670000)	chr01	645000	59	0.297805
(906,1016)(631986,679765)(630000,680000)	chr01	655000	112	0.373755
(934,1022)(640931,687635)(640000,690000)	chr01	665000	90	0.385348
(938,1025)(664341,699440)(650000,700000)	chr01	675000	89	0.393376
(938,1047)(664341,705398)(660000,710000)	chr01	685000	111	0.395230
(950,1057)(670057,710536)(670000,720000)	chr01	695000	109	0.381233
(1017,1092)(687435,726176)(680000,730000)	chr01	705000	77	0.315816
(1023,1125)(699339,736121)(690000,740000)	chr01	715000	104	0.299254
(1026,1131)(702035,749383)(700000,750000)	chr01	725000	107	0.292318
(1048,1134)(710398,754850)(710000,760000)	chr01	735000	88	0.285548
(1058,1174)(720265,768507)(720000,770000)	chr01	745000	118	0.355670
(1093,1181)(730423,774383)(730000,780000)	chr01	755000	90	0.406972
(1126,1182)(749258,780712)(740000,790000)	chr01	765000	58	0.447678
(1132,1182)(751549,780712)(750000,800000)	chr01	775000	52	0.488745
(1135,1186)(760149,800296)(760000,810000)	chr01	785000	53	0.510620
(1175,1216)(771638,819725)(770000,820000)	chr01	795000	43	0.413155
(1182,1218)(780712,824471)(780000,830000)	chr01	805000	38	0.378572
(1183,1272)(800261,839979)(790000,840000)	chr01	815000	91	0.430444
(1183,1273)(800261,849991)(800000,850000)	chr01	825000	92	0.429449
(1187,1278)(816740,852734)(810000,860000)	chr01	835000	93	0.425471
(1217,1281)(824403,860813)(820000,870000)	chr01	845000	66	0.475682
(1219,1287)(830052,877821)(830000,880000)	chr01	855000	70	0.470164
(1273,1299)(849991,888203)(840000,890000)	chr01	865000	28	0.587611
(1274,1314)(852666,898885)(850000,900000)	chr01	875000	42	0.633190
(1279,1339)(860727,909640)(860000,910000)	chr01	885000	62	0.582484
(1282,1369)(876147,916778)(870000,920000)	chr01	895000	89	0.439724
(1288,1396)(881512,929364)(880000,930000)	chr01	905000	110	0.383688
(1300,1400)(890743,936207)(890000,940000)	chr01	915000	102	0.280046
(1315,1433)(902874,949937)(900000,950000)	chr01	925000	120	0.214656
(1340,1446)(911188,952812)(910000,960000)	chr01	935000	108	0.242639
(1370,1454)(921481,969688)(920000,970000)	chr01	945000	86	0.268147
(1397,1504)(933153,979790)(930000,980000)	chr01	955000	109	0.285960
(1401,1524)(941192,981690)(940000,990000)	chr01	965000	125	0.292916
(1434,1540)(951051,994392)(950000,1000000)	chr01	975000	108	0.316659
(1447,1542)(964396,1007159)(960000,1010000)	chr01	985000	97	0.305255
(1455,1578)(972160,1019757)(970000,1020000)	chr01	995000	125	0.310058
(1505,1581)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.329533
(1525,1595)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.359419
(1541,1614)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.361376
