region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.889297
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.678268
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.631888
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.632727
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.511848
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.534871
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.478054
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.398288
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.441265
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.425419
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.401892
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.468862
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.459307
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.434728
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.507733
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.490427
(285,366)(175855,216859)(170000,220000)	chr01	195000	83	0.561130
(292,388)(183430,229717)(180000,230000)	chr01	205000	98	0.589039
(295,388)(193065,229717)(190000,240000)	chr01	215000	95	0.569855
(307,428)(202400,249999)(200000,250000)	chr01	225000	123	0.522766
(332,465)(214936,258347)(210000,260000)	chr01	235000	135	0.565883
(367,484)(224519,268043)(220000,270000)	chr01	245000	119	0.401750
(389,512)(241035,278351)(230000,280000)	chr01	255000	125	0.403859
(389,536)(241035,286093)(240000,290000)	chr01	265000	149	0.457362
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.504743
(466,563)(267752,305489)(260000,310000)	chr01	285000	99	0.336040
(485,563)(270347,305489)(270000,320000)	chr01	295000	80	0.447281
(513,575)(281515,324273)(280000,330000)	chr01	305000	64	0.424243
(537,601)(291233,339583)(290000,340000)	chr01	315000	66	0.308347
(546,607)(303105,348196)(300000,350000)	chr01	325000	63	0.354162
(564,625)(322110,359771)(310000,360000)	chr01	335000	63	0.412006
(564,633)(322110,360805)(320000,370000)	chr01	345000	71	0.456851
(576,652)(334023,373127)(330000,380000)	chr01	355000	78	0.336356
(602,655)(342750,384275)(340000,390000)	chr01	365000	55	0.269916
(608,663)(356572,399618)(350000,400000)	chr01	375000	57	0.356105
(626,677)(360718,406909)(360000,410000)	chr01	385000	53	0.458195
(634,715)(371165,418272)(370000,420000)	chr01	395000	83	0.505778
(653,724)(384248,426178)(380000,430000)	chr01	405000	73	0.633435
(656,724)(399494,426178)(390000,440000)	chr01	415000	70	0.635644
(664,724)(405929,426178)(400000,450000)	chr01	425000	62	0.629932
(678,737)(412909,458510)(410000,460000)	chr01	435000	61	0.729678
(716,737)(422091,458510)(420000,470000)	chr01	445000	23	0.857013
(725,750)(458290,477626)(430000,480000)	chr01	455000	27	0.754076
(725,776)(458290,489540)(440000,490000)	chr01	465000	53	0.706220
(725,787)(458290,497075)(450000,500000)	chr01	475000	64	0.709863
(738,787)(472791,497075)(460000,510000)	chr01	485000	51	0.595591
(738,788)(472791,519445)(470000,520000)	chr01	495000	52	0.600325
(751,809)(482579,527912)(480000,530000)	chr01	505000	60	0.633304
(777,809)(490388,527912)(490000,540000)	chr01	515000	34	0.643775
(788,811)(519445,546039)(500000,550000)	chr01	525000	25	0.668047
(788,811)(519445,546039)(510000,560000)	chr01	535000	25	0.668047
(789,818)(520967,567617)(520000,570000)	chr01	545000	31	0.618306
(810,818)(546012,567617)(530000,580000)	chr01	555000	10	0.625022
(810,818)(546012,567617)(540000,590000)	chr01	565000	10	0.625022
(812,834)(567497,598747)(550000,600000)	chr01	575000	24	0.676779
