region	chr	midPos	Nsites
(2,18)(27510,49138)(10000,60000)	chr01	35000	18	0.738164
(2,25)(27510,66805)(20000,70000)	chr01	45000	25	0.670909
(7,60)(34877,79275)(30000,80000)	chr01	55000	55	0.622782
(8,60)(40565,79275)(40000,90000)	chr01	65000	54	0.623505
(19,62)(66768,99748)(50000,100000)	chr01	75000	45	0.583807
(19,96)(66768,109295)(60000,110000)	chr01	85000	79	0.536834
(26,170)(72927,119227)(70000,120000)	chr01	95000	146	0.502126
(61,195)(99745,121372)(80000,130000)	chr01	105000	136	0.447340
(61,223)(99745,131673)(90000,140000)	chr01	115000	164	0.491471
(63,238)(101120,148599)(100000,150000)	chr01	125000	177	0.465222
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.479074
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.485089
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.485969
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.398320
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.530518
(264,331)(165376,204116)(160000,210000)	chr01	185000	69	0.460652
(285,366)(175855,216859)(170000,220000)	chr01	195000	83	0.682590
(292,388)(183430,229717)(180000,230000)	chr01	205000	98	0.674870
(295,388)(193065,229717)(190000,240000)	chr01	215000	95	0.665741
(307,428)(202400,249999)(200000,250000)	chr01	225000	123	0.600178
(332,465)(214936,258347)(210000,260000)	chr01	235000	135	0.621094
(367,484)(224519,268043)(220000,270000)	chr01	245000	119	0.332785
(389,512)(241035,278351)(230000,280000)	chr01	255000	125	0.295603
(389,536)(241035,286093)(240000,290000)	chr01	265000	149	0.338457
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.387656
(466,563)(267752,305489)(260000,310000)	chr01	285000	99	0.228377
(485,563)(270347,305489)(270000,320000)	chr01	295000	80	0.313709
(513,575)(281515,324273)(280000,330000)	chr01	305000	64	0.342499
(537,601)(291233,339583)(290000,340000)	chr01	315000	66	0.356986
(546,607)(303105,348196)(300000,350000)	chr01	325000	63	0.363463
(564,625)(322110,359771)(310000,360000)	chr01	335000	63	0.325879
(564,633)(322110,360805)(320000,370000)	chr01	345000	71	0.356472
(576,652)(334023,373127)(330000,380000)	chr01	355000	78	0.249249
(602,655)(342750,384275)(340000,390000)	chr01	365000	55	0.136919
(608,663)(356572,399618)(350000,400000)	chr01	375000	57	0.263191
(626,677)(360718,406909)(360000,410000)	chr01	385000	53	0.410177
(634,715)(371165,418272)(370000,420000)	chr01	395000	83	0.421722
(653,724)(384248,426178)(380000,430000)	chr01	405000	73	0.523880
(656,724)(399494,426178)(390000,440000)	chr01	415000	70	0.522495
(664,724)(405929,426178)(400000,450000)	chr01	425000	62	0.496322
(678,737)(412909,458510)(410000,460000)	chr01	435000	61	0.590685
(716,737)(422091,458510)(420000,470000)	chr01	445000	23	0.706975
(725,750)(458290,477626)(430000,480000)	chr01	455000	27	0.644998
(725,776)(458290,489540)(440000,490000)	chr01	465000	53	0.578159
(725,787)(458290,497075)(450000,500000)	chr01	475000	64	0.569376
(738,787)(472791,497075)(460000,510000)	chr01	485000	51	0.420638
(738,788)(472791,519445)(470000,520000)	chr01	495000	52	0.430325
(751,809)(482579,527912)(480000,530000)	chr01	505000	60	0.492934
(777,809)(490388,527912)(490000,540000)	chr01	515000	34	0.508287
(788,811)(519445,546039)(500000,550000)	chr01	525000	25	0.515006
(788,811)(519445,546039)(510000,560000)	chr01	535000	25	0.515006
(789,818)(520967,567617)(520000,570000)	chr01	545000	31	0.483851
(810,818)(546012,567617)(530000,580000)	chr01	555000	10	0.319787
(810,818)(546012,567617)(540000,590000)	chr01	565000	10	0.319787
(812,834)(567497,598747)(550000,600000)	chr01	575000	24	0.586424
(812,855)(567497,609080)(560000,610000)	chr01	585000	45	0.503784
(819,855)(598538,609080)(570000,620000)	chr01	595000	38	0.516897
(819,855)(598538,609080)(580000,630000)	chr01	605000	38	0.516897
(819,877)(598538,639995)(590000,640000)	chr01	615000	60	0.461588
(835,880)(608808,647580)(600000,650000)	chr01	625000	47	0.409405
(856,880)(631986,647580)(610000,660000)	chr01	635000	26	0.373922
(856,880)(631986,647580)(620000,670000)	chr01	645000	26	0.373922
(856,884)(631986,679765)(630000,680000)	chr01	655000	30	0.362782
(878,884)(640931,679765)(640000,690000)	chr01	665000	8	0.425185
(881,887)(679713,699440)(650000,700000)	chr01	675000	8	0.329885
(881,909)(679713,705398)(660000,710000)	chr01	685000	30	0.599297
(881,919)(679713,710536)(670000,720000)	chr01	695000	40	0.474235
(885,954)(699339,726176)(680000,730000)	chr01	705000	71	0.539575
(885,987)(699339,736121)(690000,740000)	chr01	715000	104	0.492737
(888,993)(702035,749383)(700000,750000)	chr01	725000	107	0.487811
(910,996)(710398,754850)(710000,760000)	chr01	735000	88	0.435598
(920,1036)(720265,768507)(720000,770000)	chr01	745000	118	0.488237
(955,1043)(730423,774383)(730000,780000)	chr01	755000	90	0.418911
(988,1044)(749258,780712)(740000,790000)	chr01	765000	58	0.468825
(994,1044)(751549,780712)(750000,800000)	chr01	775000	52	0.483198
(997,1048)(760149,800296)(760000,810000)	chr01	785000	53	0.487167
(1037,1078)(771638,819725)(770000,820000)	chr01	795000	43	0.342474
(1044,1080)(780712,824471)(780000,830000)	chr01	805000	38	0.340177
(1045,1133)(800261,839979)(790000,840000)	chr01	815000	90	0.297312
(1045,1134)(800261,849991)(800000,850000)	chr01	825000	91	0.296124
(1049,1139)(816740,852734)(810000,860000)	chr01	835000	92	0.283519
(1079,1142)(824403,860813)(820000,870000)	chr01	845000	65	0.261836
(1081,1148)(830052,877821)(830000,880000)	chr01	855000	69	0.284767
(1134,1158)(849991,888203)(840000,890000)	chr01	865000	26	0.573088
(1135,1165)(852666,898756)(850000,900000)	chr01	875000	32	0.731596
(1140,1190)(860727,909640)(860000,910000)	chr01	885000	52	0.653458
(1143,1220)(876147,916778)(870000,920000)	chr01	895000	79	0.500750
(1149,1247)(881512,929364)(880000,930000)	chr01	905000	100	0.431768
(1159,1251)(893856,936207)(890000,940000)	chr01	915000	94	0.405619
(1166,1284)(902874,949937)(900000,950000)	chr01	925000	120	0.351099
(1191,1297)(911188,952812)(910000,960000)	chr01	935000	108	0.286704
(1221,1305)(921481,969688)(920000,970000)	chr01	945000	86	0.290752
(1248,1350)(933153,979790)(930000,980000)	chr01	955000	104	0.316834
(1252,1370)(941192,981690)(940000,990000)	chr01	965000	120	0.308141
(1285,1386)(951051,994392)(950000,1000000)	chr01	975000	103	0.298377
(1298,1388)(964396,1007159)(960000,1010000)	chr01	985000	92	0.326585
(1306,1424)(972160,1019757)(970000,1020000)	chr01	995000	120	0.280453
(1351,1427)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.260936
(1371,1441)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.289175
(1387,1460)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.175204
(1389,1461)(1010494,1059222)(1010000,1060000)	chr01	1035000	74	0.181618
(1425,1470)(1023745,1060127)(1020000,1070000)	chr01	1045000	47	0.304952
(1428,1470)(1030079,1060127)(1030000,1080000)	chr01	1055000	44	0.306086
(1442,1480)(1040190,1088668)(1040000,1090000)	chr01	1065000	40	0.695854
(1461,1480)(1059222,1088668)(1050000,1100000)	chr01	1075000	21	0.722381
(1462,1485)(1060081,1106471)(1060000,1110000)	chr01	1085000	25	0.701467
(1471,1487)(1080464,1118148)(1070000,1120000)	chr01	1095000	18	0.766065
(1471,1494)(1080464,1129684)(1080000,1130000)	chr01	1105000	25	0.745941
(1481,1524)(1106311,1137795)(1090000,1140000)	chr01	1115000	45	0.386785
(1481,1545)(1106311,1148852)(1100000,1150000)	chr01	1125000	66	0.368634
(1486,1547)(1110213,1156484)(1110000,1160000)	chr01	1135000	63	0.361380
(1488,1575)(1125674,1169984)(1120000,1170000)	chr01	1145000	89	0.323769
(1495,1582)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.292667
(1525,1586)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.236635
(1546,1593)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.165178
(1548,1601)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.165708
(1576,1615)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.318347
(1583,1615)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.415468
(1587,1634)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.393062
(1594,1638)(1202564,1248625)(1200000,1250000)	chr01	1225000	46	0.371713
(1602,1638)(1215791,1248625)(1210000,1260000)	chr01	1235000	38	0.376449
(1616,1643)(1230664,1266942)(1220000,1270000)	chr01	1245000	29	0.402324
(1616,1649)(1230664,1271087)(1230000,1280000)	chr01	1255000	35	0.366670
(1635,1663)(1247842,1287173)(1240000,1290000)	chr01	1265000	30	0.634878
(1639,1666)(1260436,1299829)(1250000,1300000)	chr01	1275000	29	0.682098
(1639,1709)(1260436,1309752)(1260000,1310000)	chr01	1285000	72	0.636249
(1644,1717)(1271029,1311855)(1270000,1320000)	chr01	1295000	75	0.648015
(1650,1726)(1281877,1328440)(1280000,1330000)	chr01	1305000	78	0.685287
(1664,1749)(1299742,1339830)(1290000,1340000)	chr01	1315000	87	0.624201
(1667,1784)(1306965,1348194)(1300000,1350000)	chr01	1325000	119	0.594880
(1710,1788)(1311649,1355827)(1310000,1360000)	chr01	1335000	80	0.580460
(1718,1800)(1326979,1369999)(1320000,1370000)	chr01	1345000	84	0.542696
(1727,1819)(1330096,1376926)(1330000,1380000)	chr01	1355000	94	0.468719
(1750,1821)(1340379,1380434)(1340000,1390000)	chr01	1365000	73	0.464821
(1785,1878)(1354558,1399777)(1350000,1400000)	chr01	1375000	95	0.276571
(1789,1915)(1365354,1408031)(1360000,1410000)	chr01	1385000	128	0.289659
(1801,1935)(1370042,1417953)(1370000,1420000)	chr01	1395000	136	0.294241
(1820,1957)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.278699
(1822,1965)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.317097
(1879,1987)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.368260
(1916,1987)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.380981
(1936,2003)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.454097
(1958,2014)(1432940,1477036)(1430000,1480000)	chr01	1455000	58	0.529862
(1966,2023)(1440185,1485570)(1440000,1490000)	chr01	1465000	59	0.470158
(1988,2035)(1460418,1494411)(1450000,1500000)	chr01	1475000	49	0.348326
(1988,2035)(1460418,1494411)(1460000,1510000)	chr01	1485000	49	0.348326
(2004,2038)(1470369,1518981)(1470000,1520000)	chr01	1495000	36	0.359213
(2015,2064)(1480472,1528219)(1480000,1530000)	chr01	1505000	51	0.268490
(2024,2070)(1494294,1539114)(1490000,1540000)	chr01	1515000	48	0.290199
(2036,2082)(1518851,1541686)(1500000,1550000)	chr01	1525000	48	0.341359
(2036,2089)(1518851,1559963)(1510000,1560000)	chr01	1535000	55	0.355506
(2039,2094)(1520238,1565601)(1520000,1570000)	chr01	1545000	57	0.189575
(2065,2104)(1534100,1576258)(1530000,1580000)	chr01	1555000	41	0.103256
(2071,2116)(1541517,1589999)(1540000,1590000)	chr01	1565000	47	0.105584
(2083,2134)(1557459,1594343)(1550000,1600000)	chr01	1575000	53	0.150882
(2090,2153)(1565554,1609534)(1560000,1610000)	chr01	1585000	65	0.183689
(2095,2174)(1571517,1615954)(1570000,1620000)	chr01	1595000	81	0.240626
(2105,2186)(1582529,1625070)(1580000,1630000)	chr01	1605000	83	0.299269
(2117,2186)(1590004,1625070)(1590000,1640000)	chr01	1615000	71	0.271738
(2135,2216)(1602281,1647959)(1600000,1650000)	chr01	1625000	83	0.277080
(2154,2240)(1614247,1659319)(1610000,1660000)	chr01	1635000	88	0.283671
(2175,2259)(1622917,1668636)(1620000,1670000)	chr01	1645000	86	0.294835
(2187,2291)(1641495,1679436)(1630000,1680000)	chr01	1655000	106	0.294225
(2187,2303)(1641495,1686842)(1640000,1690000)	chr01	1665000	118	0.279142
(2217,2311)(1655037,1699901)(1650000,1700000)	chr01	1675000	96	0.290075
(2241,2315)(1666837,1707624)(1660000,1710000)	chr01	1685000	76	0.272763
(2260,2316)(1672203,1718665)(1670000,1720000)	chr01	1695000	58	0.249204
(2292,2329)(1684895,1726909)(1680000,1730000)	chr01	1705000	39	0.240184
(2304,2370)(1694753,1739508)(1690000,1740000)	chr01	1715000	68	0.215231
(2312,2386)(1707516,1747885)(1700000,1750000)	chr01	1725000	76	0.200467
(2316,2402)(1718665,1759177)(1710000,1760000)	chr01	1735000	88	0.192552
