region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.192639
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.107295
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.090744
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.090761
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.063371
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.111827
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.120283
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.134628
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.121042
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.108188
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.079384
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.061288
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.050331
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.050913
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.095701
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.073124
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.063174
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.071793
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.071794
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.057243
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.060592
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.035610
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.019743
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.028340
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.040536
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.062847
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.091843
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.108536
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.157974
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.134115
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.075637
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.078810
(591,667)(334023,373127)(330000,380000)	chr01	355000	78	0.109108
(617,670)(342750,384275)(340000,390000)	chr01	365000	55	0.084671
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.088926
(641,692)(360718,406909)(360000,410000)	chr01	385000	53	0.129964
(649,730)(371165,418272)(370000,420000)	chr01	395000	83	0.094975
(668,739)(384248,426178)(380000,430000)	chr01	405000	73	0.057343
(671,739)(399494,426178)(390000,440000)	chr01	415000	70	0.054143
(679,759)(405929,447446)(400000,450000)	chr01	425000	82	0.072378
(693,772)(412909,458510)(410000,460000)	chr01	435000	81	0.077084
(731,772)(422091,458510)(420000,470000)	chr01	445000	43	0.113532
(740,785)(440021,477626)(430000,480000)	chr01	455000	47	0.123733
(740,811)(440021,489540)(440000,490000)	chr01	465000	73	0.147622
(760,822)(458290,497075)(450000,500000)	chr01	475000	64	0.138338
(773,822)(472791,497075)(460000,510000)	chr01	485000	51	0.140278
(773,823)(472791,519445)(470000,520000)	chr01	495000	52	0.138606
(786,844)(482579,527912)(480000,530000)	chr01	505000	60	0.126051
(812,844)(490388,527912)(490000,540000)	chr01	515000	34	0.070838
(823,846)(519445,546039)(500000,550000)	chr01	525000	25	0.112825
(823,853)(519445,556579)(510000,560000)	chr01	535000	32	0.225271
(824,860)(520967,567617)(520000,570000)	chr01	545000	38	0.191339
(845,860)(546012,567617)(530000,580000)	chr01	555000	17	0.279104
(845,860)(546012,567617)(540000,590000)	chr01	565000	17	0.279104
(847,876)(553209,598747)(550000,600000)	chr01	575000	31	0.234299
(854,897)(567497,609080)(560000,610000)	chr01	585000	45	0.192338
(861,903)(598538,615712)(570000,620000)	chr01	595000	44	0.264698
(861,917)(598538,629014)(580000,630000)	chr01	605000	58	0.196655
(861,945)(598538,639995)(590000,640000)	chr01	615000	86	0.255529
(877,949)(608808,647580)(600000,650000)	chr01	625000	74	0.252122
(898,949)(615547,647580)(610000,660000)	chr01	635000	53	0.249397
(904,961)(622726,664539)(620000,670000)	chr01	645000	59	0.261832
(918,1028)(631986,679765)(630000,680000)	chr01	655000	112	0.332896
(946,1034)(640931,687635)(640000,690000)	chr01	665000	90	0.314852
(950,1037)(664341,699440)(650000,700000)	chr01	675000	89	0.326802
(950,1059)(664341,705398)(660000,710000)	chr01	685000	111	0.306963
(962,1069)(670057,710536)(670000,720000)	chr01	695000	109	0.291141
(1029,1104)(687435,726176)(680000,730000)	chr01	705000	77	0.190177
(1035,1137)(699339,736121)(690000,740000)	chr01	715000	104	0.137159
(1038,1143)(702035,749383)(700000,750000)	chr01	725000	107	0.134239
(1060,1146)(710398,754850)(710000,760000)	chr01	735000	88	0.123085
(1070,1186)(720265,768507)(720000,770000)	chr01	745000	118	0.146549
(1105,1193)(730423,774383)(730000,780000)	chr01	755000	90	0.118010
(1138,1194)(749258,780712)(740000,790000)	chr01	765000	58	0.136441
(1144,1194)(751549,780712)(750000,800000)	chr01	775000	52	0.141635
(1147,1198)(760149,800296)(760000,810000)	chr01	785000	53	0.133898
(1187,1228)(771638,819725)(770000,820000)	chr01	795000	43	0.238444
(1194,1230)(780712,824471)(780000,830000)	chr01	805000	38	0.268992
(1195,1284)(800261,839979)(790000,840000)	chr01	815000	91	0.277156
(1195,1285)(800261,849991)(800000,850000)	chr01	825000	92	0.277027
(1199,1292)(816740,855718)(810000,860000)	chr01	835000	95	0.292537
(1229,1295)(824403,860813)(820000,870000)	chr01	845000	68	0.263402
(1231,1301)(830052,877821)(830000,880000)	chr01	855000	72	0.267557
(1285,1313)(849991,888203)(840000,890000)	chr01	865000	30	0.110443
(1286,1328)(852666,898885)(850000,900000)	chr01	875000	44	0.140479
(1293,1353)(860727,909640)(860000,910000)	chr01	885000	62	0.283122
(1296,1383)(876147,916778)(870000,920000)	chr01	895000	89	0.243690
(1302,1410)(881512,929364)(880000,930000)	chr01	905000	110	0.193678
(1314,1414)(890743,936207)(890000,940000)	chr01	915000	102	0.215023
(1329,1447)(902874,949937)(900000,950000)	chr01	925000	120	0.179787
(1354,1460)(911188,952812)(910000,960000)	chr01	935000	108	0.128523
(1384,1468)(921481,969688)(920000,970000)	chr01	945000	86	0.120612
(1411,1518)(933153,979790)(930000,980000)	chr01	955000	109	0.193518
(1415,1538)(941192,981690)(940000,990000)	chr01	965000	125	0.182698
(1448,1554)(951051,994392)(950000,1000000)	chr01	975000	108	0.206443
(1461,1556)(964396,1007159)(960000,1010000)	chr01	985000	97	0.242800
(1469,1592)(972160,1019757)(970000,1020000)	chr01	995000	125	0.179366
(1519,1595)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.063510
(1539,1609)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.056623
(1555,1628)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.049606
(1557,1632)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.050940
(1593,1648)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.075761
(1596,1648)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.066859
(1610,1671)(1040190,1088668)(1040000,1090000)	chr01	1065000	63	0.056010
(1629,1671)(1059222,1088668)(1050000,1100000)	chr01	1075000	44	0.046248
(1633,1676)(1060081,1106471)(1060000,1110000)	chr01	1085000	45	0.028763
(1649,1690)(1080464,1118148)(1070000,1120000)	chr01	1095000	43	0.028555
(1649,1702)(1080464,1129684)(1080000,1130000)	chr01	1105000	55	0.027935
(1672,1733)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.043959
