region	chr	midPos	Nsites
(2,21)(27510,49086)(10000,60000)	chr01	35000	21	0.677527
(2,21)(27510,49086)(20000,70000)	chr01	45000	21	0.677527
(7,43)(34877,75784)(30000,80000)	chr01	55000	38	0.543013
(8,43)(40565,75784)(40000,90000)	chr01	65000	37	0.540696
(22,45)(72990,99748)(50000,100000)	chr01	75000	25	0.493522
(22,81)(72990,109295)(60000,110000)	chr01	85000	61	0.604990
(22,152)(72990,119227)(70000,120000)	chr01	95000	132	0.623573
(44,177)(99745,121372)(80000,130000)	chr01	105000	135	0.626302
(44,205)(99745,131673)(90000,140000)	chr01	115000	163	0.629719
(46,220)(101120,148599)(100000,150000)	chr01	125000	176	0.666519
(82,245)(112439,159252)(110000,160000)	chr01	135000	165	0.608654
(153,266)(121114,169571)(120000,170000)	chr01	145000	115	0.530254
(178,273)(130856,175991)(130000,180000)	chr01	155000	97	0.536222
(206,276)(146066,183449)(140000,190000)	chr01	165000	72	0.500842
(221,288)(155765,197658)(150000,200000)	chr01	175000	69	0.371252
(246,313)(165376,204116)(160000,210000)	chr01	185000	69	0.418237
(267,348)(175855,216859)(170000,220000)	chr01	195000	83	0.602756
(274,370)(183430,229717)(180000,230000)	chr01	205000	98	0.653650
(277,370)(193065,229717)(190000,240000)	chr01	215000	95	0.661169
(289,410)(202400,249999)(200000,250000)	chr01	225000	123	0.704760
(314,444)(214936,257492)(210000,260000)	chr01	235000	132	0.757592
(349,460)(224519,268043)(220000,270000)	chr01	245000	113	0.730994
(371,474)(241035,278259)(230000,280000)	chr01	255000	105	0.679962
(371,484)(241035,285977)(240000,290000)	chr01	265000	115	0.677149
(411,484)(250021,285977)(250000,300000)	chr01	275000	75	0.623596
(445,499)(267752,305489)(260000,310000)	chr01	285000	56	0.527094
(461,499)(270347,305489)(270000,320000)	chr01	295000	40	0.604554
(475,504)(284735,323234)(280000,330000)	chr01	305000	31	0.649278
(485,519)(303105,339583)(290000,340000)	chr01	315000	36	0.602893
(485,524)(303105,348196)(300000,350000)	chr01	325000	41	0.646524
(500,542)(322110,359771)(310000,360000)	chr01	335000	44	0.517355
(500,550)(322110,360805)(320000,370000)	chr01	345000	52	0.532744
(505,569)(334023,373127)(330000,380000)	chr01	355000	66	0.594548
(520,572)(342750,384275)(340000,390000)	chr01	365000	54	0.649183
(525,580)(356572,399618)(350000,400000)	chr01	375000	57	0.618836
(543,593)(360718,406783)(360000,410000)	chr01	385000	52	0.813188
(551,620)(371165,418272)(370000,420000)	chr01	395000	71	0.740023
(570,629)(384248,426178)(380000,430000)	chr01	405000	61	0.747317
(573,629)(399494,426178)(390000,440000)	chr01	415000	58	0.732099
(581,645)(405929,447272)(400000,450000)	chr01	425000	66	0.774075
(594,658)(413073,458510)(410000,460000)	chr01	435000	66	0.710106
(621,658)(422091,458510)(420000,470000)	chr01	445000	39	0.790902
(630,671)(440021,477626)(430000,480000)	chr01	455000	43	0.728555
(630,697)(440021,489540)(440000,490000)	chr01	465000	69	0.620618
(646,708)(458290,497075)(450000,500000)	chr01	475000	64	0.447855
(659,708)(472791,497075)(460000,510000)	chr01	485000	51	0.431342
(659,709)(472791,519445)(470000,520000)	chr01	495000	52	0.430318
(672,730)(482579,527912)(480000,530000)	chr01	505000	60	0.330374
(698,730)(490388,527912)(490000,540000)	chr01	515000	34	0.225358
(709,732)(519445,546039)(500000,550000)	chr01	525000	25	0.320445
(709,739)(519445,556579)(510000,560000)	chr01	535000	32	0.264645
(710,746)(520967,567617)(520000,570000)	chr01	545000	38	0.235530
(731,746)(546012,567617)(530000,580000)	chr01	555000	17	0.245376
(731,746)(546012,567617)(540000,590000)	chr01	565000	17	0.245376
(733,762)(553209,598747)(550000,600000)	chr01	575000	31	0.248603
(740,783)(567497,609080)(560000,610000)	chr01	585000	45	0.399345
(747,788)(598538,615712)(570000,620000)	chr01	595000	43	0.462884
(747,797)(598538,622801)(580000,630000)	chr01	605000	52	0.445687
(747,825)(598538,639995)(590000,640000)	chr01	615000	80	0.383961
(763,829)(608808,647580)(600000,650000)	chr01	625000	68	0.457354
(784,829)(615625,647580)(610000,660000)	chr01	635000	47	0.419576
(789,841)(622726,664539)(620000,670000)	chr01	645000	54	0.397570
(798,908)(631986,679765)(630000,680000)	chr01	655000	112	0.378814
(826,914)(640931,687635)(640000,690000)	chr01	665000	90	0.412841
