region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.564169
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.553375
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.460588
(24,101)(66768,109295)(60000,110000)	chr01	85000	79	0.503251
(31,175)(72927,119227)(70000,120000)	chr01	95000	146	0.502596
(66,200)(99745,121372)(80000,130000)	chr01	105000	136	0.508506
(66,228)(99745,131673)(90000,140000)	chr01	115000	164	0.490609
(68,243)(101120,148599)(100000,150000)	chr01	125000	177	0.485378
(102,268)(112439,159252)(110000,160000)	chr01	135000	168	0.471943
(176,289)(121114,169571)(120000,170000)	chr01	145000	115	0.444589
(201,296)(130856,175991)(130000,180000)	chr01	155000	97	0.451686
(229,299)(146066,183449)(140000,190000)	chr01	165000	72	0.500106
(244,311)(155765,197658)(150000,200000)	chr01	175000	69	0.433140
(269,336)(165376,204116)(160000,210000)	chr01	185000	69	0.448607
(290,371)(175855,216859)(170000,220000)	chr01	195000	83	0.502563
(297,393)(183430,229717)(180000,230000)	chr01	205000	98	0.577118
(300,393)(193065,229717)(190000,240000)	chr01	215000	95	0.577010
(312,431)(202400,249999)(200000,250000)	chr01	225000	121	0.709971
(337,468)(214936,258347)(210000,260000)	chr01	235000	133	0.722017
(372,487)(224519,268043)(220000,270000)	chr01	245000	117	0.788931
(394,514)(241035,278351)(230000,280000)	chr01	255000	122	0.784220
(394,528)(241035,286071)(240000,290000)	chr01	265000	136	0.765183
(432,532)(250021,291347)(250000,300000)	chr01	275000	102	0.728633
(469,551)(267752,307842)(260000,310000)	chr01	285000	84	0.733298
(488,551)(270347,307842)(270000,320000)	chr01	295000	65	0.711802
(515,563)(284710,324273)(280000,330000)	chr01	305000	50	0.720622
(529,589)(291296,339583)(290000,340000)	chr01	315000	62	0.809439
(533,595)(303105,348196)(300000,350000)	chr01	325000	64	0.798988
(552,613)(322110,359771)(310000,360000)	chr01	335000	63	0.796819
(552,621)(322110,360805)(320000,370000)	chr01	345000	71	0.799209
(564,641)(334023,373127)(330000,380000)	chr01	355000	79	0.768672
(590,644)(342750,384275)(340000,390000)	chr01	365000	56	0.737434
(596,652)(356572,399618)(350000,400000)	chr01	375000	58	0.739419
(614,662)(360718,406909)(360000,410000)	chr01	385000	50	0.760839
(622,696)(371165,418272)(370000,420000)	chr01	395000	76	0.709654
(642,705)(384248,426178)(380000,430000)	chr01	405000	65	0.750604
(645,705)(399494,426178)(390000,440000)	chr01	415000	62	0.740420
(653,713)(405929,447272)(400000,450000)	chr01	425000	62	0.718261
(663,726)(413073,458510)(410000,460000)	chr01	435000	65	0.751610
(697,726)(422091,458510)(420000,470000)	chr01	445000	31	0.825762
(706,739)(447168,477626)(430000,480000)	chr01	455000	35	0.683791
(706,763)(447168,489540)(440000,490000)	chr01	465000	59	0.723457
(714,773)(458290,497021)(450000,500000)	chr01	475000	61	0.762684
(727,773)(472791,497021)(460000,510000)	chr01	485000	48	0.708483
(727,774)(472791,519445)(470000,520000)	chr01	495000	49	0.706755
(740,795)(484534,527912)(480000,530000)	chr01	505000	57	0.692341
(764,795)(490388,527912)(490000,540000)	chr01	515000	33	0.585348
(774,797)(519445,546039)(500000,550000)	chr01	525000	25	0.489104
(774,804)(519445,556579)(510000,560000)	chr01	535000	32	0.546449
(775,811)(520967,567617)(520000,570000)	chr01	545000	38	0.480877
(796,811)(546012,567617)(530000,580000)	chr01	555000	17	0.486580
(796,811)(546012,567617)(540000,590000)	chr01	565000	17	0.486580
(798,827)(553209,598747)(550000,600000)	chr01	575000	31	0.403109
(805,848)(567497,609080)(560000,610000)	chr01	585000	45	0.421637
(812,851)(598538,615712)(570000,620000)	chr01	595000	41	0.447495
(812,864)(598538,625368)(580000,630000)	chr01	605000	54	0.354016
(812,892)(598538,639995)(590000,640000)	chr01	615000	82	0.426753
(828,896)(608808,647580)(600000,650000)	chr01	625000	70	0.432836
(849,896)(615678,647580)(610000,660000)	chr01	635000	49	0.369379
(852,908)(622726,664539)(620000,670000)	chr01	645000	58	0.346207
(865,975)(631986,679765)(630000,680000)	chr01	655000	112	0.377942
(893,981)(640931,687635)(640000,690000)	chr01	665000	90	0.346357
(897,984)(664341,699440)(650000,700000)	chr01	675000	89	0.352250
(897,1006)(664341,705398)(660000,710000)	chr01	685000	111	0.361412
(909,1016)(670057,710536)(670000,720000)	chr01	695000	109	0.408221
(976,1051)(687435,726176)(680000,730000)	chr01	705000	77	0.493854
(982,1084)(699339,736121)(690000,740000)	chr01	715000	104	0.442328
(985,1090)(702035,749383)(700000,750000)	chr01	725000	107	0.438256
(1007,1093)(710398,754850)(710000,760000)	chr01	735000	88	0.459048
(1017,1129)(720265,768507)(720000,770000)	chr01	745000	114	0.533208
(1052,1136)(730423,774383)(730000,780000)	chr01	755000	86	0.531095
(1085,1137)(749258,780712)(740000,790000)	chr01	765000	54	0.595157
(1091,1137)(751549,780712)(750000,800000)	chr01	775000	48	0.602791
(1094,1141)(760149,800296)(760000,810000)	chr01	785000	49	0.613258
(1130,1171)(771638,819725)(770000,820000)	chr01	795000	43	0.438307
(1137,1173)(780712,824471)(780000,830000)	chr01	805000	38	0.432643
(1138,1226)(800261,839979)(790000,840000)	chr01	815000	90	0.605005
(1138,1227)(800261,849991)(800000,850000)	chr01	825000	91	0.602585
(1142,1234)(816740,855718)(810000,860000)	chr01	835000	94	0.637927
(1172,1237)(824403,860813)(820000,870000)	chr01	845000	67	0.719037
(1174,1243)(830052,877821)(830000,880000)	chr01	855000	71	0.699236
(1227,1251)(849991,888203)(840000,890000)	chr01	865000	26	0.690561
(1228,1257)(852666,898756)(850000,900000)	chr01	875000	31	0.695477
(1235,1282)(860727,909640)(860000,910000)	chr01	885000	49	0.448361
(1238,1312)(876147,916778)(870000,920000)	chr01	895000	76	0.439506
(1244,1339)(885386,929364)(880000,930000)	chr01	905000	97	0.425087
(1252,1343)(890743,936207)(890000,940000)	chr01	915000	93	0.409140
(1258,1376)(902874,949937)(900000,950000)	chr01	925000	120	0.514414
(1283,1389)(911188,952812)(910000,960000)	chr01	935000	108	0.494144
(1313,1397)(921481,969688)(920000,970000)	chr01	945000	86	0.505823
(1340,1447)(933153,979790)(930000,980000)	chr01	955000	109	0.527176
(1344,1467)(941192,981690)(940000,990000)	chr01	965000	125	0.538513
(1377,1483)(951051,994392)(950000,1000000)	chr01	975000	108	0.474880
(1390,1485)(964396,1007159)(960000,1010000)	chr01	985000	97	0.525215
(1398,1521)(972160,1019757)(970000,1020000)	chr01	995000	125	0.568562
(1448,1524)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.617390
(1468,1538)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.593373
(1484,1557)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.634093
(1486,1561)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.678787
(1522,1577)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.729344
(1525,1577)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.740065
(1539,1599)(1040190,1088668)(1040000,1090000)	chr01	1065000	62	0.837189
(1558,1599)(1059222,1088668)(1050000,1100000)	chr01	1075000	43	0.840975
(1562,1604)(1060081,1106471)(1060000,1110000)	chr01	1085000	44	0.837462
(1578,1618)(1080464,1118148)(1070000,1120000)	chr01	1095000	42	0.805012
(1578,1630)(1080464,1129684)(1080000,1130000)	chr01	1105000	54	0.820435
(1600,1661)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.596154
(1600,1682)(1106311,1148852)(1100000,1150000)	chr01	1125000	84	0.566349
(1605,1684)(1110213,1156484)(1110000,1160000)	chr01	1135000	81	0.544108
(1619,1711)(1125674,1169984)(1120000,1170000)	chr01	1145000	94	0.552548
(1631,1718)(1131938,1175775)(1130000,1180000)	chr01	1155000	89	0.384605
(1662,1722)(1141378,1187811)(1140000,1190000)	chr01	1165000	62	0.429234
(1683,1729)(1156468,1197035)(1150000,1200000)	chr01	1175000	48	0.430348
(1685,1733)(1161555,1202634)(1160000,1210000)	chr01	1185000	50	0.431475
(1712,1747)(1170001,1215995)(1170000,1220000)	chr01	1195000	37	0.548160
(1719,1747)(1181102,1215995)(1180000,1230000)	chr01	1205000	30	0.634534
(1723,1766)(1196849,1235615)(1190000,1240000)	chr01	1215000	45	0.475776
(1730,1774)(1202564,1248625)(1200000,1250000)	chr01	1225000	46	0.534235
(1734,1774)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.535181
(1748,1779)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.408855
(1748,1785)(1230664,1271087)(1230000,1280000)	chr01	1255000	39	0.390949
(1767,1800)(1242138,1287173)(1240000,1290000)	chr01	1265000	35	0.441795
(1775,1803)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.275005
(1775,1846)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.398592
(1780,1854)(1271029,1311855)(1270000,1320000)	chr01	1295000	76	0.407131
(1786,1863)(1281877,1328440)(1280000,1330000)	chr01	1305000	79	0.427779
(1801,1887)(1299742,1339830)(1290000,1340000)	chr01	1315000	88	0.414709
(1804,1921)(1306965,1348194)(1300000,1350000)	chr01	1325000	119	0.423145
(1847,1925)(1311649,1355827)(1310000,1360000)	chr01	1335000	80	0.402928
(1855,1937)(1326979,1369999)(1320000,1370000)	chr01	1345000	84	0.441085
(1864,1957)(1330096,1375599)(1330000,1380000)	chr01	1355000	95	0.507783
(1888,1959)(1340379,1380434)(1340000,1390000)	chr01	1365000	73	0.540060
(1922,2016)(1354558,1399777)(1350000,1400000)	chr01	1375000	96	0.471118
(1926,2053)(1365354,1408031)(1360000,1410000)	chr01	1385000	129	0.482447
(1938,2073)(1370042,1417953)(1370000,1420000)	chr01	1395000	137	0.460195
(1958,2095)(1380412,1425564)(1380000,1430000)	chr01	1405000	139	0.403717
(1960,2103)(1390829,1434626)(1390000,1440000)	chr01	1415000	145	0.405203
(2017,2125)(1403724,1447907)(1400000,1450000)	chr01	1425000	110	0.527820
(2054,2125)(1412497,1447907)(1410000,1460000)	chr01	1435000	73	0.538776
(2074,2141)(1422464,1466693)(1420000,1470000)	chr01	1445000	69	0.558970
