region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.118763
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.145320
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.260497
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.260570
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.288052
(26,105)(66768,109295)(60000,110000)	chr01	85000	81	0.214905
(33,179)(72927,119227)(70000,120000)	chr01	95000	148	0.209646
(68,204)(99745,121372)(80000,130000)	chr01	105000	138	0.143068
(68,232)(99745,131673)(90000,140000)	chr01	115000	166	0.138205
(70,247)(101120,148599)(100000,150000)	chr01	125000	179	0.169165
(106,272)(112439,159252)(110000,160000)	chr01	135000	168	0.250831
(180,293)(121114,169571)(120000,170000)	chr01	145000	115	0.327005
(205,300)(130856,175991)(130000,180000)	chr01	155000	97	0.339089
(233,303)(146066,183449)(140000,190000)	chr01	165000	72	0.395354
(248,315)(155765,197658)(150000,200000)	chr01	175000	69	0.332137
(273,340)(165376,204116)(160000,210000)	chr01	185000	69	0.228271
(294,375)(175855,216859)(170000,220000)	chr01	195000	83	0.075670
(301,397)(183430,229717)(180000,230000)	chr01	205000	98	0.070287
(304,397)(193065,229717)(190000,240000)	chr01	215000	95	0.068828
(316,437)(202400,249999)(200000,250000)	chr01	225000	123	0.084927
(341,474)(214936,258347)(210000,260000)	chr01	235000	135	0.085533
(376,493)(224519,268043)(220000,270000)	chr01	245000	119	0.081227
(398,522)(241035,278351)(230000,280000)	chr01	255000	126	0.124408
(398,546)(241035,286093)(240000,290000)	chr01	265000	150	0.128834
(438,555)(250021,296664)(250000,300000)	chr01	275000	119	0.132294
(475,577)(267752,307842)(260000,310000)	chr01	285000	104	0.122305
(494,578)(270347,317230)(270000,320000)	chr01	295000	86	0.176312
(523,590)(281515,324273)(280000,330000)	chr01	305000	69	0.145230
(547,616)(291233,339583)(290000,340000)	chr01	315000	71	0.192257
(556,622)(303105,348196)(300000,350000)	chr01	325000	68	0.187060
(578,640)(317230,359771)(310000,360000)	chr01	335000	64	0.204122
(579,648)(322110,360805)(320000,370000)	chr01	345000	71	0.155391
(591,668)(334023,373127)(330000,380000)	chr01	355000	79	0.173399
(617,671)(342750,384275)(340000,390000)	chr01	365000	56	0.155040
(623,678)(356572,399618)(350000,400000)	chr01	375000	57	0.154077
(641,692)(360718,406909)(360000,410000)	chr01	385000	53	0.232399
(649,730)(371165,418272)(370000,420000)	chr01	395000	83	0.188711
(669,739)(384248,426178)(380000,430000)	chr01	405000	72	0.192278
(672,739)(399494,426178)(390000,440000)	chr01	415000	69	0.173610
(679,759)(405929,447446)(400000,450000)	chr01	425000	82	0.193955
(693,772)(412909,458510)(410000,460000)	chr01	435000	81	0.175003
(731,772)(422091,458510)(420000,470000)	chr01	445000	43	0.223951
(740,785)(440021,477626)(430000,480000)	chr01	455000	47	0.239075
(740,806)(440021,489386)(440000,490000)	chr01	465000	68	0.389337
(760,809)(458290,497075)(450000,500000)	chr01	475000	51	0.437534
(773,809)(472791,497075)(460000,510000)	chr01	485000	38	0.497982
(773,810)(472791,519445)(470000,520000)	chr01	495000	39	0.486507
(786,831)(482579,527912)(480000,530000)	chr01	505000	47	0.471052
(807,831)(496996,527912)(490000,540000)	chr01	515000	26	0.268675
(810,833)(519445,546039)(500000,550000)	chr01	525000	25	0.282297
(810,840)(519445,556579)(510000,560000)	chr01	535000	32	0.236260
(811,847)(520967,567617)(520000,570000)	chr01	545000	38	0.222841
(832,847)(546012,567617)(530000,580000)	chr01	555000	17	0.147668
(832,847)(546012,567617)(540000,590000)	chr01	565000	17	0.147668
(834,863)(553209,598747)(550000,600000)	chr01	575000	31	0.088421
(841,884)(567497,609080)(560000,610000)	chr01	585000	45	0.044904
(848,890)(598538,615712)(570000,620000)	chr01	595000	44	0.025596
(848,904)(598538,629014)(580000,630000)	chr01	605000	58	0.014179
(848,932)(598538,639995)(590000,640000)	chr01	615000	86	0.057234
(864,936)(608808,647580)(600000,650000)	chr01	625000	74	0.051085
(885,936)(615547,647580)(610000,660000)	chr01	635000	53	0.071798
(891,948)(622726,664539)(620000,670000)	chr01	645000	59	0.083660
(905,1015)(631986,679765)(630000,680000)	chr01	655000	112	0.143507
(933,1021)(640931,687635)(640000,690000)	chr01	665000	90	0.129761
(937,1024)(664341,699440)(650000,700000)	chr01	675000	89	0.134825
(937,1046)(664341,705398)(660000,710000)	chr01	685000	111	0.123821
(949,1056)(670057,710536)(670000,720000)	chr01	695000	109	0.129225
(1016,1091)(687435,726176)(680000,730000)	chr01	705000	77	0.206359
(1022,1124)(699339,736121)(690000,740000)	chr01	715000	104	0.199252
(1025,1130)(702035,749383)(700000,750000)	chr01	725000	107	0.198013
(1047,1133)(710398,754850)(710000,760000)	chr01	735000	88	0.243074
(1057,1173)(720265,768507)(720000,770000)	chr01	745000	118	0.214261
(1092,1180)(730423,774383)(730000,780000)	chr01	755000	90	0.157484
(1125,1181)(749258,780712)(740000,790000)	chr01	765000	58	0.165967
(1131,1181)(751549,780712)(750000,800000)	chr01	775000	52	0.165227
(1134,1185)(760149,800296)(760000,810000)	chr01	785000	53	0.146877
(1174,1215)(771638,819725)(770000,820000)	chr01	795000	43	0.179389
(1181,1217)(780712,824471)(780000,830000)	chr01	805000	38	0.152489
(1182,1271)(800261,839979)(790000,840000)	chr01	815000	91	0.103971
(1182,1272)(800261,849991)(800000,850000)	chr01	825000	92	0.103312
(1186,1279)(816740,855718)(810000,860000)	chr01	835000	95	0.087322
(1216,1282)(824403,860813)(820000,870000)	chr01	845000	68	0.057738
(1218,1288)(830052,877821)(830000,880000)	chr01	855000	72	0.102281
(1272,1298)(849991,888203)(840000,890000)	chr01	865000	28	0.490480
(1273,1302)(852666,898885)(850000,900000)	chr01	875000	31	0.483631
(1280,1327)(860727,909640)(860000,910000)	chr01	885000	49	0.448795
(1283,1357)(876147,916778)(870000,920000)	chr01	895000	76	0.313292
(1289,1384)(885300,929364)(880000,930000)	chr01	905000	97	0.260928
(1299,1388)(898756,936207)(890000,940000)	chr01	915000	91	0.189713
(1303,1421)(902874,949937)(900000,950000)	chr01	925000	120	0.166148
(1328,1434)(911188,952812)(910000,960000)	chr01	935000	108	0.154354
(1358,1442)(921481,969688)(920000,970000)	chr01	945000	86	0.171046
(1385,1492)(933153,979790)(930000,980000)	chr01	955000	109	0.125248
(1389,1512)(941192,981690)(940000,990000)	chr01	965000	125	0.100916
