region	chr	midPos	Nsites
(2,25)(27510,49138)(10000,60000)	chr01	35000	25	0.302112
(2,32)(27510,66805)(20000,70000)	chr01	45000	32	0.261881
(7,67)(34877,79275)(30000,80000)	chr01	55000	62	0.376568
(8,67)(40565,79275)(40000,90000)	chr01	65000	61	0.376767
(26,69)(66768,99748)(50000,100000)	chr01	75000	45	0.410393
(26,103)(66768,109295)(60000,110000)	chr01	85000	79	0.472545
(33,177)(72927,119227)(70000,120000)	chr01	95000	146	0.455191
(68,202)(99745,121372)(80000,130000)	chr01	105000	136	0.436089
(68,230)(99745,131673)(90000,140000)	chr01	115000	164	0.424730
(70,245)(101120,148599)(100000,150000)	chr01	125000	177	0.370140
(104,270)(112439,159252)(110000,160000)	chr01	135000	168	0.266951
(178,291)(121114,169571)(120000,170000)	chr01	145000	115	0.240239
(203,298)(130856,175991)(130000,180000)	chr01	155000	97	0.247687
(231,301)(146066,183449)(140000,190000)	chr01	165000	72	0.187287
(246,313)(155765,197658)(150000,200000)	chr01	175000	69	0.300166
(271,338)(165376,204116)(160000,210000)	chr01	185000	69	0.282810
(292,373)(175855,216859)(170000,220000)	chr01	195000	83	0.346683
(299,395)(183430,229717)(180000,230000)	chr01	205000	98	0.349674
(302,395)(193065,229717)(190000,240000)	chr01	215000	95	0.349745
(314,435)(202400,249999)(200000,250000)	chr01	225000	123	0.316374
(339,472)(214936,258347)(210000,260000)	chr01	235000	135	0.321134
(374,491)(224519,268043)(220000,270000)	chr01	245000	119	0.152384
(396,520)(241035,278351)(230000,280000)	chr01	255000	126	0.154424
(396,544)(241035,286093)(240000,290000)	chr01	265000	150	0.168763
(436,553)(250021,296664)(250000,300000)	chr01	275000	119	0.174684
(473,575)(267752,307842)(260000,310000)	chr01	285000	104	0.122222
(492,576)(270347,317230)(270000,320000)	chr01	295000	86	0.168004
(521,588)(281515,324273)(280000,330000)	chr01	305000	69	0.150814
(545,614)(291233,339583)(290000,340000)	chr01	315000	71	0.180884
(554,620)(303105,348196)(300000,350000)	chr01	325000	68	0.244103
(576,638)(317230,359771)(310000,360000)	chr01	335000	64	0.224044
(577,646)(322110,360805)(320000,370000)	chr01	345000	71	0.236245
(589,665)(334023,373127)(330000,380000)	chr01	355000	78	0.208975
(615,668)(342750,384275)(340000,390000)	chr01	365000	55	0.157574
(621,676)(356572,399618)(350000,400000)	chr01	375000	57	0.187211
(639,690)(360718,406909)(360000,410000)	chr01	385000	53	0.237635
(647,728)(371165,418272)(370000,420000)	chr01	395000	83	0.250529
(666,737)(384248,426178)(380000,430000)	chr01	405000	73	0.354563
(669,737)(399494,426178)(390000,440000)	chr01	415000	70	0.360395
(677,757)(405929,447446)(400000,450000)	chr01	425000	82	0.384350
(691,770)(412909,458510)(410000,460000)	chr01	435000	81	0.421472
(729,770)(422091,458510)(420000,470000)	chr01	445000	43	0.477527
(738,780)(440021,476556)(430000,480000)	chr01	455000	44	0.494858
(738,806)(440021,489540)(440000,490000)	chr01	465000	70	0.495984
(758,817)(458290,497075)(450000,500000)	chr01	475000	61	0.530780
(771,817)(472791,497075)(460000,510000)	chr01	485000	48	0.551138
(771,818)(472791,519445)(470000,520000)	chr01	495000	49	0.572565
(781,839)(482579,527912)(480000,530000)	chr01	505000	60	0.486673
(807,839)(490388,527912)(490000,540000)	chr01	515000	34	0.475444
(818,841)(519445,546039)(500000,550000)	chr01	525000	25	0.512446
(818,848)(519445,556579)(510000,560000)	chr01	535000	32	0.622811
(819,855)(520967,567617)(520000,570000)	chr01	545000	38	0.572032
(840,855)(546012,567617)(530000,580000)	chr01	555000	17	0.717567
(840,855)(546012,567617)(540000,590000)	chr01	565000	17	0.717567
(842,871)(553209,598747)(550000,600000)	chr01	575000	31	0.605075
(849,892)(567497,609080)(560000,610000)	chr01	585000	45	0.438452
(856,898)(598538,615712)(570000,620000)	chr01	595000	44	0.433554
(856,912)(598538,629014)(580000,630000)	chr01	605000	58	0.408972
(856,940)(598538,639995)(590000,640000)	chr01	615000	86	0.373509
(872,944)(608808,647580)(600000,650000)	chr01	625000	74	0.427487
(893,944)(615547,647580)(610000,660000)	chr01	635000	53	0.420646
(899,955)(622726,664539)(620000,670000)	chr01	645000	58	0.400109
(913,1022)(631986,679765)(630000,680000)	chr01	655000	111	0.415669
(941,1028)(640931,687635)(640000,690000)	chr01	665000	89	0.453007
(945,1031)(664365,699440)(650000,700000)	chr01	675000	88	0.368414
(945,1053)(664365,705398)(660000,710000)	chr01	685000	110	0.439834
(956,1063)(670057,710536)(670000,720000)	chr01	695000	109	0.389495
(1023,1098)(687435,726176)(680000,730000)	chr01	705000	77	0.304650
(1029,1131)(699339,736121)(690000,740000)	chr01	715000	104	0.255277
(1032,1137)(702035,749383)(700000,750000)	chr01	725000	107	0.248908
(1054,1140)(710398,754850)(710000,760000)	chr01	735000	88	0.156838
(1064,1180)(720265,768507)(720000,770000)	chr01	745000	118	0.292521
(1099,1187)(730423,774383)(730000,780000)	chr01	755000	90	0.338910
(1132,1188)(749258,780712)(740000,790000)	chr01	765000	58	0.434468
(1138,1188)(751549,780712)(750000,800000)	chr01	775000	52	0.463615
(1141,1192)(760149,800296)(760000,810000)	chr01	785000	53	0.417489
(1181,1222)(771638,819725)(770000,820000)	chr01	795000	43	0.036136
(1188,1224)(780712,824471)(780000,830000)	chr01	805000	38	-0.007223
(1189,1278)(800261,839979)(790000,840000)	chr01	815000	91	0.057235
(1189,1279)(800261,849991)(800000,850000)	chr01	825000	92	0.057231
(1193,1286)(816740,855718)(810000,860000)	chr01	835000	95	0.065466
(1223,1289)(824403,860813)(820000,870000)	chr01	845000	68	0.127804
(1225,1295)(830052,877821)(830000,880000)	chr01	855000	72	0.140593
(1279,1307)(849991,888203)(840000,890000)	chr01	865000	30	0.247018
(1280,1322)(852666,898885)(850000,900000)	chr01	875000	44	0.253572
(1287,1347)(860727,909640)(860000,910000)	chr01	885000	62	0.171892
(1290,1377)(876147,916778)(870000,920000)	chr01	895000	89	0.112142
(1296,1404)(881512,929364)(880000,930000)	chr01	905000	110	0.094206
(1308,1408)(890743,936207)(890000,940000)	chr01	915000	102	0.082336
(1323,1441)(902874,949937)(900000,950000)	chr01	925000	120	0.385283
(1348,1454)(911188,952812)(910000,960000)	chr01	935000	108	0.427671
(1378,1462)(921481,969688)(920000,970000)	chr01	945000	86	0.493245
(1405,1512)(933153,979790)(930000,980000)	chr01	955000	109	0.465161
(1409,1532)(941192,981690)(940000,990000)	chr01	965000	125	0.447331
(1442,1548)(951051,994392)(950000,1000000)	chr01	975000	108	0.281362
(1455,1550)(964396,1007159)(960000,1010000)	chr01	985000	97	0.220581
(1463,1586)(972160,1019757)(970000,1020000)	chr01	995000	125	0.178437
(1513,1589)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.116199
(1533,1603)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.074896
(1549,1622)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.040829
(1551,1626)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.049450
(1587,1638)(1023745,1067383)(1020000,1070000)	chr01	1045000	53	0.114119
(1590,1638)(1030079,1067383)(1030000,1080000)	chr01	1055000	50	0.108250
(1604,1661)(1040190,1088668)(1040000,1090000)	chr01	1065000	59	0.210566
(1623,1661)(1059222,1088668)(1050000,1100000)	chr01	1075000	40	0.229287
(1627,1666)(1060081,1106471)(1060000,1110000)	chr01	1085000	41	0.230019
(1639,1680)(1080464,1118148)(1070000,1120000)	chr01	1095000	43	0.319519
(1639,1692)(1080464,1129684)(1080000,1130000)	chr01	1105000	55	0.316801
(1662,1723)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.263998
(1662,1744)(1106311,1148852)(1100000,1150000)	chr01	1125000	84	0.430556
(1667,1746)(1110213,1156484)(1110000,1160000)	chr01	1135000	81	0.437491
(1681,1774)(1125674,1169984)(1120000,1170000)	chr01	1145000	95	0.395728
(1693,1781)(1131938,1175775)(1130000,1180000)	chr01	1155000	90	0.361297
(1724,1785)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.410565
(1745,1792)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.116075
(1747,1800)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.135169
(1775,1814)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.117752
(1782,1814)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.151919
(1786,1833)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.173527
(1793,1841)(1202564,1248625)(1200000,1250000)	chr01	1225000	50	0.160404
(1801,1841)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.153488
(1815,1846)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.179732
(1815,1852)(1230664,1271087)(1230000,1280000)	chr01	1255000	39	0.141298
(1834,1867)(1242138,1287173)(1240000,1290000)	chr01	1265000	35	0.173700
(1842,1870)(1260436,1299829)(1250000,1300000)	chr01	1275000	30	0.206032
(1842,1913)(1260436,1309752)(1260000,1310000)	chr01	1285000	73	0.280976
