region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.747094
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.737585
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.706105
(24,99)(66768,109295)(60000,110000)	chr01	85000	77	0.749708
(31,173)(72927,119227)(70000,120000)	chr01	95000	144	0.665857
(66,198)(99745,121372)(80000,130000)	chr01	105000	134	0.636039
(66,226)(99745,131673)(90000,140000)	chr01	115000	162	0.627103
(68,241)(101120,148599)(100000,150000)	chr01	125000	175	0.635779
(100,266)(112439,159252)(110000,160000)	chr01	135000	168	0.573815
(174,287)(121114,169571)(120000,170000)	chr01	145000	115	0.558064
(199,294)(130856,175991)(130000,180000)	chr01	155000	97	0.593540
(227,297)(146066,183449)(140000,190000)	chr01	165000	72	0.642151
(242,309)(155765,197658)(150000,200000)	chr01	175000	69	0.572190
(267,334)(165376,204116)(160000,210000)	chr01	185000	69	0.600610
(288,369)(175855,216859)(170000,220000)	chr01	195000	83	0.431039
(295,391)(183430,229717)(180000,230000)	chr01	205000	98	0.568761
(298,391)(193065,229717)(190000,240000)	chr01	215000	95	0.543523
(310,429)(202400,249999)(200000,250000)	chr01	225000	121	0.718615
(335,466)(214936,258347)(210000,260000)	chr01	235000	133	0.718518
(370,485)(224519,268043)(220000,270000)	chr01	245000	117	0.799677
(392,512)(241035,278351)(230000,280000)	chr01	255000	122	0.792714
(392,526)(241035,286071)(240000,290000)	chr01	265000	136	0.772554
(430,530)(250021,291347)(250000,300000)	chr01	275000	102	0.734365
(467,549)(267752,307842)(260000,310000)	chr01	285000	84	0.791379
(486,549)(270347,307842)(270000,320000)	chr01	295000	65	0.797746
(513,561)(284710,324273)(280000,330000)	chr01	305000	50	0.815048
(527,587)(291296,339583)(290000,340000)	chr01	315000	62	0.886234
(531,593)(303105,348196)(300000,350000)	chr01	325000	64	0.882200
(550,611)(322110,359771)(310000,360000)	chr01	335000	63	0.794640
(550,619)(322110,360805)(320000,370000)	chr01	345000	71	0.792018
(562,639)(334023,373127)(330000,380000)	chr01	355000	79	0.761213
(588,642)(342750,384275)(340000,390000)	chr01	365000	56	0.732125
(594,650)(356572,399618)(350000,400000)	chr01	375000	58	0.714295
(612,660)(360718,406909)(360000,410000)	chr01	385000	50	0.749251
(620,694)(371165,418272)(370000,420000)	chr01	395000	76	0.677473
(640,703)(384248,426178)(380000,430000)	chr01	405000	65	0.665237
(643,703)(399494,426178)(390000,440000)	chr01	415000	62	0.644713
(651,711)(405929,447272)(400000,450000)	chr01	425000	62	0.647635
(661,724)(413073,458510)(410000,460000)	chr01	435000	65	0.556404
(695,724)(422091,458510)(420000,470000)	chr01	445000	31	0.494204
(704,734)(447168,476556)(430000,480000)	chr01	455000	32	0.414480
(704,758)(447168,489540)(440000,490000)	chr01	465000	56	0.585843
(712,768)(458290,497021)(450000,500000)	chr01	475000	58	0.624679
(725,768)(472791,497021)(460000,510000)	chr01	485000	45	0.676009
(725,769)(472791,519445)(470000,520000)	chr01	495000	46	0.683206
(735,790)(484534,527912)(480000,530000)	chr01	505000	57	0.658110
(759,790)(490388,527912)(490000,540000)	chr01	515000	33	0.653456
(769,792)(519445,546039)(500000,550000)	chr01	525000	25	0.559358
(769,799)(519445,556579)(510000,560000)	chr01	535000	32	0.678307
(770,806)(520967,567617)(520000,570000)	chr01	545000	38	0.623473
(791,806)(546012,567617)(530000,580000)	chr01	555000	17	0.703050
(791,806)(546012,567617)(540000,590000)	chr01	565000	17	0.703050
(793,822)(553209,598747)(550000,600000)	chr01	575000	31	0.617059
(800,843)(567497,609080)(560000,610000)	chr01	585000	45	0.370158
(807,846)(598538,615712)(570000,620000)	chr01	595000	41	0.343492
(807,859)(598538,625368)(580000,630000)	chr01	605000	54	0.414965
(807,887)(598538,639995)(590000,640000)	chr01	615000	82	0.516694
(823,891)(608808,647580)(600000,650000)	chr01	625000	70	0.581859
(844,891)(615678,647580)(610000,660000)	chr01	635000	49	0.647640
(847,902)(622726,664539)(620000,670000)	chr01	645000	57	0.643423
(860,969)(631986,679765)(630000,680000)	chr01	655000	111	0.632124
(888,975)(640931,687635)(640000,690000)	chr01	665000	89	0.633875
