region	chr	midPos	Nsites
(5,65)(34877,79275)(30000,80000)	chr01	55000	62	0.288936
(6,65)(40565,79275)(40000,90000)	chr01	65000	61	0.289022
(24,67)(66768,99748)(50000,100000)	chr01	75000	45	0.364686
(24,100)(66768,109295)(60000,110000)	chr01	85000	78	0.363510
(31,174)(72927,119227)(70000,120000)	chr01	95000	145	0.325634
(66,199)(99745,121372)(80000,130000)	chr01	105000	135	0.298130
(66,227)(99745,131673)(90000,140000)	chr01	115000	163	0.275880
(68,242)(101120,148599)(100000,150000)	chr01	125000	176	0.247502
(101,267)(112439,159252)(110000,160000)	chr01	135000	168	0.204295
(175,288)(121114,169571)(120000,170000)	chr01	145000	115	0.172585
(200,295)(130856,175991)(130000,180000)	chr01	155000	97	0.180158
(228,298)(146066,183449)(140000,190000)	chr01	165000	72	0.196509
(243,310)(155765,197658)(150000,200000)	chr01	175000	69	0.293941
(268,335)(165376,204116)(160000,210000)	chr01	185000	69	0.383586
(289,370)(175855,216859)(170000,220000)	chr01	195000	83	0.407042
(296,390)(183430,229717)(180000,230000)	chr01	205000	96	0.412932
(299,390)(193065,229717)(190000,240000)	chr01	215000	93	0.413125
(311,428)(202400,249999)(200000,250000)	chr01	225000	119	0.594753
(336,464)(214936,257533)(210000,260000)	chr01	235000	130	0.675760
(371,483)(224519,268043)(220000,270000)	chr01	245000	114	0.680990
(391,512)(241035,278351)(230000,280000)	chr01	255000	123	0.649906
(391,536)(241035,286093)(240000,290000)	chr01	265000	147	0.616367
(429,545)(250021,296664)(250000,300000)	chr01	275000	118	0.448012
(465,567)(267752,307842)(260000,310000)	chr01	285000	104	0.167381
(484,568)(270347,317230)(270000,320000)	chr01	295000	86	0.226592
(513,580)(281515,324273)(280000,330000)	chr01	305000	69	0.133686
(537,606)(291233,339583)(290000,340000)	chr01	315000	71	0.205065
(546,612)(303105,348196)(300000,350000)	chr01	325000	68	0.201473
(568,630)(317230,359771)(310000,360000)	chr01	335000	64	0.165073
(569,638)(322110,360805)(320000,370000)	chr01	345000	71	0.157551
(581,657)(334023,373127)(330000,380000)	chr01	355000	78	0.237449
(607,660)(342750,384275)(340000,390000)	chr01	365000	55	0.264831
(613,668)(356572,399618)(350000,400000)	chr01	375000	57	0.258304
(631,682)(360718,406909)(360000,410000)	chr01	385000	53	0.443274
(639,720)(371165,418272)(370000,420000)	chr01	395000	83	0.393836
(658,729)(384248,426178)(380000,430000)	chr01	405000	73	0.450072
(661,729)(399494,426178)(390000,440000)	chr01	415000	70	0.421612
(669,749)(405929,447446)(400000,450000)	chr01	425000	82	0.437697
(683,762)(412909,458510)(410000,460000)	chr01	435000	81	0.348010
(721,762)(422091,458510)(420000,470000)	chr01	445000	43	0.475108
(730,775)(440021,477626)(430000,480000)	chr01	455000	47	0.370441
(730,801)(440021,489540)(440000,490000)	chr01	465000	73	0.349756
(750,812)(458290,497075)(450000,500000)	chr01	475000	64	0.350656
(763,812)(472791,497075)(460000,510000)	chr01	485000	51	0.319774
(763,813)(472791,519445)(470000,520000)	chr01	495000	52	0.312402
(776,834)(482579,527912)(480000,530000)	chr01	505000	60	0.521642
(802,834)(490388,527912)(490000,540000)	chr01	515000	34	0.588985
(813,836)(519445,546039)(500000,550000)	chr01	525000	25	0.587809
(813,843)(519445,556579)(510000,560000)	chr01	535000	32	0.516558
(814,850)(520967,567617)(520000,570000)	chr01	545000	38	0.460198
(835,850)(546012,567617)(530000,580000)	chr01	555000	17	0.148195
(835,850)(546012,567617)(540000,590000)	chr01	565000	17	0.148195
(837,866)(553209,598747)(550000,600000)	chr01	575000	31	0.160922
(844,887)(567497,609080)(560000,610000)	chr01	585000	45	0.178453
(851,893)(598538,615712)(570000,620000)	chr01	595000	44	0.172886
(851,907)(598538,629014)(580000,630000)	chr01	605000	58	0.194927
(851,929)(598538,639995)(590000,640000)	chr01	615000	80	0.177919
