region	chr	midPos	Nsites
(5,51)(34877,79275)(30000,80000)	chr01	55000	48	0.794273
(6,51)(40565,79275)(40000,90000)	chr01	65000	47	0.783421
(17,53)(66768,99748)(50000,100000)	chr01	75000	38	0.707888
(17,87)(66768,109295)(60000,110000)	chr01	85000	72	0.696843
(24,161)(72990,119227)(70000,120000)	chr01	95000	139	0.606034
(52,186)(99745,121372)(80000,130000)	chr01	105000	136	0.531072
(52,214)(99745,131673)(90000,140000)	chr01	115000	164	0.583248
(54,229)(101120,148599)(100000,150000)	chr01	125000	177	0.552858
(88,254)(112439,159252)(110000,160000)	chr01	135000	168	0.508329
(162,275)(121114,169571)(120000,170000)	chr01	145000	115	0.538545
(187,282)(130856,175991)(130000,180000)	chr01	155000	97	0.588166
(215,285)(146066,183449)(140000,190000)	chr01	165000	72	0.286247
(230,297)(155765,197658)(150000,200000)	chr01	175000	69	0.422821
(255,315)(165376,204116)(160000,210000)	chr01	185000	62	0.562057
(276,350)(175855,216859)(170000,220000)	chr01	195000	76	0.742036
(283,372)(183430,229717)(180000,230000)	chr01	205000	91	0.774946
(286,372)(193065,229717)(190000,240000)	chr01	215000	88	0.785858
(298,412)(202400,249999)(200000,250000)	chr01	225000	116	0.792839
(316,444)(214936,257533)(210000,260000)	chr01	235000	130	0.771841
(351,463)(224519,268043)(220000,270000)	chr01	245000	114	0.733557
(373,492)(241035,278351)(230000,280000)	chr01	255000	121	0.739204
(373,516)(241035,286093)(240000,290000)	chr01	265000	145	0.752692
(413,525)(250021,296664)(250000,300000)	chr01	275000	114	0.766930
(445,543)(267752,305489)(260000,310000)	chr01	285000	100	0.767127
(464,543)(270347,305489)(270000,320000)	chr01	295000	81	0.786461
(493,555)(281515,324273)(280000,330000)	chr01	305000	64	0.801327
(517,571)(291233,339583)(290000,340000)	chr01	315000	56	0.809333
(526,577)(303105,348196)(300000,350000)	chr01	325000	53	0.822403
(544,594)(322110,359771)(310000,360000)	chr01	335000	52	0.812808
(544,602)(322110,360805)(320000,370000)	chr01	345000	60	0.786249
(556,621)(334023,373127)(330000,380000)	chr01	355000	67	0.622872
(572,624)(342750,384275)(340000,390000)	chr01	365000	54	0.587181
(578,632)(356572,399618)(350000,400000)	chr01	375000	56	0.494945
(595,640)(360718,406783)(360000,410000)	chr01	385000	47	0.527326
(603,676)(371165,418272)(370000,420000)	chr01	395000	75	0.635558
(622,685)(384248,426178)(380000,430000)	chr01	405000	65	0.687735
(625,685)(399494,426178)(390000,440000)	chr01	415000	62	0.674114
(633,693)(405929,447272)(400000,450000)	chr01	425000	62	0.712391
(641,706)(412986,458510)(410000,460000)	chr01	435000	67	0.684433
(677,706)(422091,458510)(420000,470000)	chr01	445000	31	0.617991
(686,719)(447168,477626)(430000,480000)	chr01	455000	35	0.639430
(686,734)(447168,489540)(440000,490000)	chr01	465000	50	0.663142
(694,745)(458290,497075)(450000,500000)	chr01	475000	53	0.783713
(707,745)(472791,497075)(460000,510000)	chr01	485000	40	0.784683
(707,746)(472791,519445)(470000,520000)	chr01	495000	41	0.775283
(720,758)(482579,525090)(480000,530000)	chr01	505000	40	0.800980
(735,758)(490388,525090)(490000,540000)	chr01	515000	25	0.842080
(746,760)(519445,546039)(500000,550000)	chr01	525000	16	0.744151
(746,761)(519445,556579)(510000,560000)	chr01	535000	17	0.740418
(747,768)(520967,567617)(520000,570000)	chr01	545000	23	0.637062
(759,768)(546012,567617)(530000,580000)	chr01	555000	11	0.260555
(759,768)(546012,567617)(540000,590000)	chr01	565000	11	0.260555
(761,784)(556579,598747)(550000,600000)	chr01	575000	25	0.462848
(762,805)(567497,609080)(560000,610000)	chr01	585000	45	0.492819
(769,805)(598538,609080)(570000,620000)	chr01	595000	38	0.551137
(769,814)(598538,622801)(580000,630000)	chr01	605000	47	0.541651
(769,836)(598538,639995)(590000,640000)	chr01	615000	69	0.523941
(785,840)(608808,647580)(600000,650000)	chr01	625000	57	0.569484
(806,840)(622726,647580)(610000,660000)	chr01	635000	36	0.589127
(806,844)(622726,664510)(620000,670000)	chr01	645000	40	0.620063
(815,844)(631986,664510)(630000,680000)	chr01	655000	31	0.629489
(837,844)(640931,664510)(640000,690000)	chr01	665000	9	0.763658
(841,847)(664448,699440)(650000,700000)	chr01	675000	8	0.686447
(841,866)(664448,705398)(660000,710000)	chr01	685000	27	0.505002
(845,876)(699339,710536)(670000,720000)	chr01	695000	33	0.320870
(845,911)(699339,726176)(680000,730000)	chr01	705000	68	0.393224
(845,944)(699339,736121)(690000,740000)	chr01	715000	101	0.435964
(848,950)(702035,749383)(700000,750000)	chr01	725000	104	0.417868
(867,953)(710398,754850)(710000,760000)	chr01	735000	88	0.439090
