region	chr	midPos	Nsites
(5,58)(34877,79275)(30000,80000)	chr01	55000	55	0.582437
(6,58)(40565,79275)(40000,90000)	chr01	65000	54	0.561878
(24,60)(66768,99748)(50000,100000)	chr01	75000	38	0.525025
(24,96)(66768,109295)(60000,110000)	chr01	85000	74	0.565015
(31,170)(72990,119227)(70000,120000)	chr01	95000	141	0.495276
(59,195)(99745,121372)(80000,130000)	chr01	105000	138	0.466522
(59,223)(99745,131673)(90000,140000)	chr01	115000	166	0.476269
(61,238)(101120,148599)(100000,150000)	chr01	125000	179	0.503331
(97,263)(112439,159252)(110000,160000)	chr01	135000	168	0.457834
(171,284)(121114,169571)(120000,170000)	chr01	145000	115	0.522900
(196,291)(130856,175991)(130000,180000)	chr01	155000	97	0.555630
(224,294)(146066,183449)(140000,190000)	chr01	165000	72	0.546191
(239,306)(155765,197658)(150000,200000)	chr01	175000	69	0.417630
(264,324)(165376,204116)(160000,210000)	chr01	185000	62	0.576762
(285,359)(175855,216859)(170000,220000)	chr01	195000	76	0.710946
(292,381)(183430,229717)(180000,230000)	chr01	205000	91	0.752301
(295,381)(193065,229717)(190000,240000)	chr01	215000	88	0.768749
(307,421)(202400,249999)(200000,250000)	chr01	225000	116	0.775668
(325,453)(214936,257533)(210000,260000)	chr01	235000	130	0.760584
(360,472)(224519,268043)(220000,270000)	chr01	245000	114	0.735490
(382,501)(241035,278351)(230000,280000)	chr01	255000	121	0.737154
(382,525)(241035,286093)(240000,290000)	chr01	265000	145	0.728075
(422,534)(250021,296664)(250000,300000)	chr01	275000	114	0.728296
(454,556)(267752,307842)(260000,310000)	chr01	285000	104	0.737479
(473,557)(270347,317230)(270000,320000)	chr01	295000	86	0.768430
(502,569)(281515,324273)(280000,330000)	chr01	305000	69	0.770841
(526,585)(291233,339583)(290000,340000)	chr01	315000	61	0.816350
(535,591)(303105,348196)(300000,350000)	chr01	325000	58	0.829013
(557,608)(317230,359771)(310000,360000)	chr01	335000	53	0.814205
(558,616)(322110,360805)(320000,370000)	chr01	345000	60	0.784356
(570,635)(334023,373127)(330000,380000)	chr01	355000	67	0.652753
(586,638)(342750,384275)(340000,390000)	chr01	365000	54	0.625068
(592,646)(356572,399618)(350000,400000)	chr01	375000	56	0.530106
(609,654)(360718,406783)(360000,410000)	chr01	385000	47	0.514159
(617,690)(371165,418272)(370000,420000)	chr01	395000	75	0.643417
(636,699)(384248,426178)(380000,430000)	chr01	405000	65	0.696848
(639,699)(399494,426178)(390000,440000)	chr01	415000	62	0.683509
(647,719)(405929,447446)(400000,450000)	chr01	425000	74	0.741108
(655,732)(412986,458510)(410000,460000)	chr01	435000	79	0.696320
(691,732)(422091,458510)(420000,470000)	chr01	445000	43	0.664857
(700,745)(440021,477626)(430000,480000)	chr01	455000	47	0.610385
(700,760)(440021,489540)(440000,490000)	chr01	465000	62	0.666332
(720,771)(458290,497075)(450000,500000)	chr01	475000	53	0.709997
(733,771)(472791,497075)(460000,510000)	chr01	485000	40	0.766015
(733,772)(472791,519445)(470000,520000)	chr01	495000	41	0.758676
(746,784)(482579,525090)(480000,530000)	chr01	505000	40	0.757877
(761,784)(490388,525090)(490000,540000)	chr01	515000	25	0.771645
(772,786)(519445,546039)(500000,550000)	chr01	525000	16	0.607993
(772,787)(519445,556579)(510000,560000)	chr01	535000	17	0.607449
(773,794)(520967,567617)(520000,570000)	chr01	545000	23	0.684338
(785,794)(546012,567617)(530000,580000)	chr01	555000	11	0.816373
(785,794)(546012,567617)(540000,590000)	chr01	565000	11	0.816373
(787,810)(556579,598747)(550000,600000)	chr01	575000	25	0.600848
(788,831)(567497,609080)(560000,610000)	chr01	585000	45	0.546300
(795,837)(598538,615712)(570000,620000)	chr01	595000	44	0.568054
(795,851)(598538,629014)(580000,630000)	chr01	605000	58	0.534811
(795,873)(598538,639995)(590000,640000)	chr01	615000	80	0.513079
(811,877)(608808,647580)(600000,650000)	chr01	625000	68	0.517708
(832,877)(615547,647580)(610000,660000)	chr01	635000	47	0.527142
(838,889)(622726,664539)(620000,670000)	chr01	645000	53	0.389197
(852,956)(631986,679765)(630000,680000)	chr01	655000	106	0.549572
(874,956)(640931,679765)(640000,690000)	chr01	665000	84	0.566176
(878,959)(664341,699440)(650000,700000)	chr01	675000	83	0.584062
(878,978)(664341,705398)(660000,710000)	chr01	685000	102	0.536539
(890,988)(670057,710536)(670000,720000)	chr01	695000	100	0.521533
(957,1023)(699339,726176)(680000,730000)	chr01	705000	68	0.330410
(957,1056)(699339,736121)(690000,740000)	chr01	715000	101	0.420897
(960,1062)(702035,749383)(700000,750000)	chr01	725000	104	0.399570
(979,1065)(710398,754850)(710000,760000)	chr01	735000	88	0.421750
(989,1101)(720265,768507)(720000,770000)	chr01	745000	114	0.462924
(1024,1108)(730423,774383)(730000,780000)	chr01	755000	86	0.500793
(1057,1109)(749258,780712)(740000,790000)	chr01	765000	54	0.471202
(1063,1109)(751549,780712)(750000,800000)	chr01	775000	48	0.494914
(1066,1113)(760149,800296)(760000,810000)	chr01	785000	49	0.538914
(1102,1143)(771638,819725)(770000,820000)	chr01	795000	43	0.677265
(1109,1145)(780712,824471)(780000,830000)	chr01	805000	38	0.684140
(1110,1196)(800261,839864)(790000,840000)	chr01	815000	88	0.656398
(1110,1197)(800261,849991)(800000,850000)	chr01	825000	89	0.653911
(1114,1204)(816740,855718)(810000,860000)	chr01	835000	92	0.651951
(1144,1207)(824403,860813)(820000,870000)	chr01	845000	65	0.624270
(1146,1213)(830052,877821)(830000,880000)	chr01	855000	69	0.657312
(1197,1223)(849991,888203)(840000,890000)	chr01	865000	28	0.816329
(1198,1231)(852666,898885)(850000,900000)	chr01	875000	35	0.811424
(1205,1249)(860727,909640)(860000,910000)	chr01	885000	46	0.816961
(1208,1277)(876147,916778)(870000,920000)	chr01	895000	71	0.668209
(1214,1291)(885300,929364)(880000,930000)	chr01	905000	79	0.585929
(1224,1295)(893918,936207)(890000,940000)	chr01	915000	73	0.507528
(1232,1328)(902874,949937)(900000,950000)	chr01	925000	98	0.640371
(1250,1341)(911188,952812)(910000,960000)	chr01	935000	93	0.605242
(1278,1348)(929275,969688)(920000,970000)	chr01	945000	72	0.676526
(1292,1385)(933153,979790)(930000,980000)	chr01	955000	95	0.750520
(1296,1405)(941192,981690)(940000,990000)	chr01	965000	111	0.800852
(1329,1421)(951051,994392)(950000,1000000)	chr01	975000	94	0.818567
(1342,1423)(964396,1007159)(960000,1010000)	chr01	985000	83	0.847870
(1349,1459)(972160,1019757)(970000,1020000)	chr01	995000	112	0.768120
(1386,1462)(980899,1023815)(980000,1030000)	chr01	1005000	78	0.740185
(1406,1476)(990535,1038647)(990000,1040000)	chr01	1015000	72	0.412193
(1422,1495)(1007148,1046545)(1000000,1050000)	chr01	1025000	75	0.394427
(1424,1499)(1010494,1059378)(1010000,1060000)	chr01	1035000	77	0.388598
(1460,1515)(1023745,1067383)(1020000,1070000)	chr01	1045000	57	0.709076
(1463,1515)(1030079,1067383)(1030000,1080000)	chr01	1055000	54	0.709873
(1477,1537)(1040190,1088668)(1040000,1090000)	chr01	1065000	62	0.736126
(1496,1537)(1059222,1088668)(1050000,1100000)	chr01	1075000	43	0.752470
(1500,1542)(1060081,1106471)(1060000,1110000)	chr01	1085000	44	0.758384
(1516,1556)(1080464,1118148)(1070000,1120000)	chr01	1095000	42	0.810886
(1516,1568)(1080464,1129684)(1080000,1130000)	chr01	1105000	54	0.852715
(1538,1599)(1106311,1137795)(1090000,1140000)	chr01	1115000	63	0.745530
(1538,1620)(1106311,1148852)(1100000,1150000)	chr01	1125000	84	0.667237
(1543,1622)(1110213,1156484)(1110000,1160000)	chr01	1135000	81	0.676892
(1557,1650)(1125674,1169984)(1120000,1170000)	chr01	1145000	95	0.672773
(1569,1657)(1131938,1175775)(1130000,1180000)	chr01	1155000	90	0.575288
(1600,1661)(1141378,1187811)(1140000,1190000)	chr01	1165000	63	0.622433
(1621,1668)(1156468,1197035)(1150000,1200000)	chr01	1175000	49	0.730209
(1623,1676)(1161555,1208741)(1160000,1210000)	chr01	1185000	55	0.783229
(1651,1690)(1170001,1215995)(1170000,1220000)	chr01	1195000	41	0.643120
(1658,1690)(1181102,1215995)(1180000,1230000)	chr01	1205000	34	0.752285
(1662,1709)(1196849,1235615)(1190000,1240000)	chr01	1215000	49	0.647564
(1669,1717)(1202564,1248625)(1200000,1250000)	chr01	1225000	50	0.696631
(1677,1717)(1215791,1248625)(1210000,1260000)	chr01	1235000	42	0.512469
(1691,1722)(1230664,1266942)(1220000,1270000)	chr01	1245000	33	0.576039
(1691,1728)(1230664,1271087)(1230000,1280000)	chr01	1255000	39	0.514478
